ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
IR,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-021883,1716800000.0,1463700000.0,951300000.0,,,1463700000.0,765500000.0,,,463000000.0,350000000.0,,,113000000.0,302500000.0,,253100000.0,194600000.0,253100000.0,,,,,,-6200000.0,58500000.0,,,,,,,,,,,188400000.0,1900000.0,,186500000.0,,186500000.0,0,,0,0.46,0.46,403100000.0,406400000.0,,18379400000.0,4351700000.0,,,1133000000.0,,3218700000.0,14027700000.0,,,4360500000.0,,9667200000.0,7825700000.0,1826800000.0,780400000.0,,252800000.0,793600000.0,5998900000.0,,,0.0,,,,,10553700000.0,68900000.0,10484800000.0,,,18379400000.0,256400000.0,256400000.0,,-197100000.0,-197100000.0,,-10000000.0,-10000000.0,,22300000.0,71600000.0,49300000.0,,307100000.0,2600000.0,304500000.0,118700000.0,700000.0,118000000.0
IR,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-034400,1805300000.0,1569200000.0,1012000000.0,,,1569200000.0,793300000.0,,,521500000.0,342100000.0,,,179400000.0,271800000.0,,236100000.0,190000000.0,236100000.0,,,,,,-3500000.0,46100000.0,,,,,,,,,,,186500000.0,1500000.0,,185000000.0,,185000000.0,0,,0,0.46,0.45,403500000.0,407400000.0,,17838500000.0,3843200000.0,,,1160000000.0,,2683200000.0,13995300000.0,,,4478200000.0,,9517100000.0,7814300000.0,1764600000.0,748500000.0,,199800000.0,816300000.0,6049700000.0,,,0.0,,,,,10024200000.0,66000000.0,9958200000.0,,,17838500000.0,304900000.0,304900000.0,,-2628500000.0,-2628500000.0,,1941600000.0,1941600000.0,,-7800000.0,-389800000.0,-382000000.0,,149100000.0,1600000.0,147500000.0,-37400000.0,100000.0,-37500000.0
IR,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-020267,1670100000.0,1400500000.0,923800000.0,,,1400500000.0,746300000.0,,,453100000.0,336300000.0,,,116800000.0,293200000.0,,269600000.0,215200000.0,269600000.0,,,,,,-10700000.0,54400000.0,,,,,36800000.0,,,,,,204500000.0,2300000.0,,202200000.0,,202200000.0,0,,0,0.5,0.5,403500000.0,407900000.0,,15529000000.0,4006800000.0,,,1051800000.0,,2955000000.0,11522200000.0,,,3589600000.0,,7932600000.0,5609300000.0,1724600000.0,694000000.0,,239000000.0,791600000.0,0.0,,,0.0,,,,,9919700000.0,64400000.0,9855300000.0,,,15529000000.0,161600000.0,161600000.0,,-205600000.0,-205600000.0,,-79600000.0,-79600000.0,,-19600000.0,-143200000.0,-123600000.0,,128700000.0,1500000.0,127200000.0,-75800000.0,-800000.0,-75000000.0
IR,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-006642,6876100000.0,5845000000.0,3993900000.0,,,5845000000.0,2882200000.0,,,1717900000.0,1272700000.0,,108000000.0,337200000.0,1164300000.0,,1031100000.0,785100000.0,1031100000.0,0.0,,,,,-6000000.0,240000000.0,,-76900000.0,,,156700000.0,,,,,,785100000.0,6400000.0,,778700000.0,,778700000.0,0,,0,1.92,1.9,404800000.0,409000000.0,,15563500000.0,4050400000.0,,,1001100000.0,,3049300000.0,11513100000.0,,711400000.0,3611100000.0,,7190600000.0,5716800000.0,1827300000.0,801200000.0,,262400000.0,763700000.0,3889500000.0,,,,,,,,9846700000.0,62900000.0,9783800000.0,,,15563500000.0,1377400000.0,1377400000.0,0.0,-1060500000.0,-1060500000.0,0.0,-337500000.0,-337500000.0,,3100000.0,-17500000.0,-20600000.0,0.0,810900000.0,8100000.0,802800000.0,25800000.0,1700000.0,24100000.0
IR,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-036698,1738900000.0,1465100000.0,999600000.0,,,1465100000.0,739300000.0,,,420900000.0,315200000.0,,,105700000.0,318400000.0,,273800000.0,209600000.0,273800000.0,0.0,,,,,-3900000.0,60300000.0,,,,,39600000.0,,,,,,209600000.0,1300000.0,,208300000.0,,208300000.0,0,,0,0.51,0.51,404500000.0,408600000.0,,15154000000.0,3733400000.0,,,1082900000.0,,2650500000.0,11420600000.0,,685800000.0,3673000000.0,,7061800000.0,5534200000.0,1654700000.0,663100000.0,,225900000.0,765700000.0,3879500000.0,,,0.0,,,,,9619800000.0,65800000.0,9554000000.0,,,15154000000.0,397300000.0,397300000.0,0.0,-336300000.0,-336300000.0,,-28100000.0,-28100000.0,,-13500000.0,19400000.0,32900000.0,0.0,132000000.0,2100000.0,129900000.0,-77600000.0,800000.0,-78400000.0
IR,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-027540,1686500000.0,1447600000.0,989000000.0,,,1447600000.0,697500000.0,,,425100000.0,315600000.0,,,109500000.0,272400000.0,,238900000.0,180800000.0,238900000.0,0.0,,,,,2400000.0,60500000.0,,,,,40800000.0,,,,,,180800000.0,1300000.0,,179500000.0,,179500000.0,0,,0,0.44,0.44,404500000.0,408300000.0,,15028600000.0,3727000000.0,,,1101300000.0,,2625700000.0,11301600000.0,,645700000.0,3659800000.0,,6996100000.0,5548200000.0,1624100000.0,669200000.0,,200600000.0,754300000.0,0.0,,,0.0,,,,,9480400000.0,65600000.0,9414800000.0,,,15028600000.0,228400000.0,228400000.0,0.0,-73900000.0,-73900000.0,,-76400000.0,-76400000.0,,-19300000.0,58800000.0,78100000.0,0.0,143900000.0,1200000.0,142700000.0,-36900000.0,-100000.0,-36800000.0
IR,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-016124,1629300000.0,1418300000.0,965100000.0,,,1418300000.0,664200000.0,,,423900000.0,311100000.0,,,112800000.0,240300000.0,,211000000.0,163200000.0,211000000.0,0.0,,,,,300000.0,48100000.0,,,,,38900000.0,,,,,,163200000.0,2100000.0,,161100000.0,,161100000.0,0,,0,0.4,0.39,405000000.0,409200000.0,,14995000000.0,3672400000.0,,,1122600000.0,,2549800000.0,11322600000.0,,648800000.0,3739100000.0,,6934700000.0,5613300000.0,1700100000.0,730900000.0,,223900000.0,745300000.0,0.0,,,0.0,,,,,9381700000.0,64400000.0,9317300000.0,,,14995000000.0,170300000.0,170300000.0,0.0,-581500000.0,-581500000.0,,-89300000.0,-89300000.0,,6800000.0,-493700000.0,-500500000.0,0.0,189400000.0,3000000.0,186400000.0,26200000.0,900000.0,25300000.0
IR,2023-02-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-004287,5916300000.0,5174100000.0,3590700000.0,,,5174100000.0,2325600000.0,,,1508300000.0,1095800000.0,,91000000.0,321500000.0,817300000.0,,742200000.0,593300000.0,742200000.0,15200000.0,,,,,700000.0,149600000.0,,-85800000.0,,,103200000.0,,,,,,608500000.0,3800000.0,,604700000.0,,604700000.0,0,,0,1.49,1.47,405300000.0,410200000.0,,14765900000.0,3967300000.0,,,1025400000.0,,2941900000.0,10798600000.0,,624400000.0,3578600000.0,,6595600000.0,5508700000.0,1674000000.0,778700000.0,,223300000.0,672000000.0,3834700000.0,,,,,,,,9257200000.0,61400000.0,9195800000.0,,,14765900000.0,860300000.0,865400000.0,-5100000.0,-332900000.0,-337300000.0,4400000.0,-954000000.0,-954000000.0,,-70000000.0,-496600000.0,-425900000.0,-700000.0,391200000.0,-3400000.0,394600000.0,-217300000.0,-7200000.0,-210100000.0
IR,2022-11-04,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-22-028451,1515700000.0,1342500000.0,940400000.0,,,1342500000.0,575300000.0,,,385300000.0,278700000.0,,,106600000.0,190000000.0,,170600000.0,145500000.0,173200000.0,500000.0,,,,,2600000.0,30300000.0,,,,,26600000.0,,,,,,146000000.0,900000.0,,145100000.0,,145100000.0,0,,0,0.36,0.36,404000000.0,408500000.0,,14225600000.0,3744800000.0,,,1012500000.0,,2732300000.0,10480800000.0,,587700000.0,3533600000.0,,6359500000.0,5410600000.0,1523000000.0,698900000.0,,207000000.0,617100000.0,3887600000.0,,,0.0,,,,,8815000000.0,64100000.0,8750900000.0,,,14225600000.0,274500000.0,274400000.0,100000.0,-49600000.0,-54000000.0,4400000.0,-20000000.0,-20000000.0,,-54600000.0,150300000.0,200400000.0,4500000.0,-38900000.0,-1000000.0,-37900000.0,-184900000.0,-1900000.0,-183000000.0
IR,2022-08-05,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-22-021363,1439900000.0,1259400000.0,870100000.0,,,1259400000.0,569800000.0,,,372400000.0,275600000.0,,,96800000.0,197400000.0,,181300000.0,137800000.0,180500000.0,1500000.0,,,,,-800000.0,41900000.0,,,,,23200000.0,,,,,,139300000.0,800000.0,,138500000.0,,138500000.0,0,,0,0.34,0.34,404500000.0,409400000.0,,14221400000.0,3554900000.0,,,1013500000.0,,2541400000.0,10666500000.0,,608300000.0,3676900000.0,,6381300000.0,5377400000.0,1464800000.0,700900000.0,,174000000.0,589900000.0,0.0,,,0.0,,,,,8844000000.0,67100000.0,8776900000.0,,,14221400000.0,185100000.0,186100000.0,-1000000.0,-17300000.0,-17300000.0,0.0,-798700000.0,-798700000.0,,-50100000.0,-681000000.0,-629900000.0,-1000000.0,-85000000.0,-4000000.0,-81000000.0,-224300000.0,-4800000.0,-219500000.0
