ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
IRBT,2025-05-06,2025,Q4,2024-12-29,2025-03-29,https://api.polygon.io/v1/reference/sec/filings/0001159167-25-000051,101569000.0,188385000.0,81256000.0,,,188385000.0,20313000.0,,-41066000.0,66063000.0,,,14686000.0,51377000.0,-45750000.0,,,-87273000.0,-86816000.0,,,,,,,457000.0,,,,,5000000.0,,,,,,-87273000.0,0,,-87273000.0,,-87273000.0,0,,0,-2.84,-2.84,30725000.0,30725000.0,,461509000.0,234285000.0,,,68968000.0,,165317000.0,227224000.0,,12106000.0,3225000.0,,211893000.0,462302000.0,427937000.0,97298000.0,,,330639000.0,34365000.0,,,,,,,,-793000.0,0,-793000.0,,,461509000.0,-26460000.0,-26460000.0,,-8000.0,-8000.0,,-84000.0,-84000.0,,922000.0,-25630000.0,-26552000.0,,-79508000.0,0,-79508000.0,-79508000.0,,7765000.0
IRBT,2025-03-12,2024,FY,2023-12-31,2024-12-28,https://api.polygon.io/v1/reference/sec/filings/0001159167-25-000011,681849000.0,826989000.0,539492000.0,,,826989000.0,142357000.0,,-42190000.0,245307000.0,,,93283000.0,152024000.0,-102950000.0,,,-145518000.0,-145140000.0,,,,,,,378000.0,2841000.0,-2463000.0,,,21500000.0,,,,,,-145518000.0,0,,-145518000.0,,-145518000.0,0,,0,-4.92,-4.92,29600000.0,29600000.0,,516137000.0,288502000.0,,,76029000.0,,212473000.0,227635000.0,,15835000.0,3212000.0,,208588000.0,454898000.0,218244000.0,106367000.0,,,111877000.0,236654000.0,,,,,,,,61239000.0,0,61239000.0,,,516137000.0,-33222000.0,-33222000.0,,-254000.0,-254000.0,,-16740000.0,-16740000.0,,280000.0,-49936000.0,-50216000.0,,-177707000.0,0,-177707000.0,-177707000.0,,-32189000.0
IRBT,2024-11-06,2024,Q3,2024-06-30,2024-09-28,https://api.polygon.io/v1/reference/sec/filings/0001159167-24-000083,193435000.0,198726000.0,131058000.0,,,198726000.0,62377000.0,,-12548000.0,55120000.0,,,19630000.0,35490000.0,7257000.0,,,-6371000.0,-5291000.0,,,,,,,1080000.0,,,,,5400000.0,,,,,,-6371000.0,0,,-6371000.0,,-6371000.0,0,,0,-0.21,-0.21,30348000.0,30348000.0,,669915000.0,423785000.0,,,149156000.0,,274629000.0,246130000.0,,25405000.0,3635000.0,,217090000.0,519753000.0,292638000.0,195133000.0,,,97505000.0,227115000.0,,,,,,,,150162000.0,0,150162000.0,,,669915000.0,-10243000.0,-10243000.0,,-10000.0,-10000.0,,1337000.0,1337000.0,,398000.0,-8518000.0,-8916000.0,,-5640000.0,0,-5640000.0,-5640000.0,,731000.0
IRBT,2024-08-07,2024,Q2,2024-03-31,2024-06-29,https://api.polygon.io/v1/reference/sec/filings/0001159167-24-000064,166361000.0,236278000.0,138895000.0,,,236278000.0,27466000.0,,-8849000.0,88534000.0,,,23230000.0,65304000.0,-61068000.0,,,-70646000.0,-69917000.0,,,,,,,729000.0,,,,,5400000.0,,,,,,-70646000.0,0,,-70646000.0,,-70646000.0,0,,0,-2.41,-2.41,29309000.0,29309000.0,,585939000.0,340112000.0,,,101365000.0,,238747000.0,245827000.0,,29461000.0,4404000.0,,211962000.0,436863000.0,221644000.0,113557000.0,,,108087000.0,215219000.0,,,,,,,,149076000.0,0,149076000.0,,,585939000.0,-21670000.0,-21670000.0,,-46000.0,-46000.0,,11999000.0,11999000.0,,-29000.0,-9746000.0,-9717000.0,,-72969000.0,0,-72969000.0,-72969000.0,,-2323000.0
IRBT,2024-05-08,2024,Q1,2023-12-31,2024-03-30,https://api.polygon.io/v1/reference/sec/filings/0001159167-24-000039,150014000.0,141299000.0,113913000.0,,,141299000.0,36101000.0,,-3185000.0,24201000.0,,,33878000.0,-9677000.0,11900000.0,,,8607000.0,8715000.0,,,,,,,108000.0,,,,,5500000.0,,,,,,8607000.0,0,,8607000.0,,8607000.0,0,,0,0.31,0.3,28171000.0,28266000.0,,626123000.0,371864000.0,,,133318000.0,,238546000.0,254259000.0,,34330000.0,4682000.0,,215247000.0,422054000.0,207361000.0,103194000.0,,,104167000.0,214693000.0,,,,,,,,204069000.0,0,204069000.0,,,626123000.0,1437000.0,1437000.0,,-118000.0,-118000.0,,-29944000.0,-29944000.0,,882000.0,-27743000.0,-28625000.0,,-3381000.0,0,-3381000.0,-3381000.0,,-11988000.0
IRBT,2024-02-27,2023,FY,2023-01-01,2023-12-30,https://api.polygon.io/v1/reference/sec/filings/0001159167-24-000008,890580000.0,1183635000.0,694383000.0,,,1183635000.0,196197000.0,,-28975000.0,460277000.0,,,144087000.0,316190000.0,-264080000.0,,,-304710000.0,-293055000.0,,,,,,,11655000.0,6532000.0,5123000.0,,,10600000.0,,,,,,-304710000.0,0,,-304710000.0,,-304710000.0,0,,0,-11.01,-11.01,27676000.0,27676000.0,,733698000.0,465490000.0,185100000.0,,152469000.0,,127921000.0,268208000.0,,40395000.0,5044000.0,,222769000.0,537211000.0,287147000.0,178318000.0,,,108829000.0,250064000.0,,,,,,,,196487000.0,0,196487000.0,,,733698000.0,-114793000.0,-114793000.0,,-3095000.0,-3095000.0,,185370000.0,185370000.0,,2456000.0,69938000.0,67482000.0,,-312492000.0,0,-312492000.0,-312492000.0,,-7782000.0
IRBT,2023-11-07,2023,Q3,2023-07-02,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001159167-23-000069,186176000.0,264783000.0,138163000.0,,,264783000.0,48013000.0,,-19113000.0,107507000.0,,,37239000.0,70268000.0,-59494000.0,,,-79205000.0,-78607000.0,,,,,,,598000.0,,,,,,,,,,,-79205000.0,0,,-79205000.0,,-79205000.0,0,,0,-2.86,-2.86,27738000.0,27738000.0,,831478000.0,556849000.0,,,244509000.0,,312340000.0,274629000.0,,44942000.0,9692000.0,,219995000.0,578590000.0,325393000.0,211341000.0,,,114052000.0,253197000.0,,,,,,,,252888000.0,0,252888000.0,,,831478000.0,-55526000.0,-55526000.0,,-673000.0,-673000.0,,188058000.0,188058000.0,,1595000.0,133454000.0,131859000.0,,-81801000.0,0,-81801000.0,-81801000.0,,-2596000.0
IRBT,2023-08-08,2023,Q2,2023-04-02,2023-07-01,https://api.polygon.io/v1/reference/sec/filings/0001159167-23-000059,236568000.0,311651000.0,183066000.0,,,311651000.0,53502000.0,,-4027000.0,124558000.0,,,37964000.0,86594000.0,-71056000.0,,,-80800000.0,-75083000.0,,,,,,,5717000.0,,,,,,,,,,,-80800000.0,0,,-80800000.0,,-80800000.0,0,,0,-2.93,-2.93,27619000.0,27619000.0,,634139000.0,348245000.0,,,170561000.0,,177684000.0,285894000.0,,49894000.0,10421000.0,,225579000.0,308720000.0,256682000.0,138803000.0,,,117879000.0,52038000.0,,,,,,,,325419000.0,0,325419000.0,,,634139000.0,36396000.0,36396000.0,,-1143000.0,-1143000.0,,-27219000.0,-27219000.0,,2005000.0,10039000.0,8034000.0,,-78374000.0,0,-78374000.0,-78374000.0,,2426000.0
IRBT,2023-05-09,2023,Q1,2023-01-01,2023-04-01,https://api.polygon.io/v1/reference/sec/filings/0001159167-23-000036,160292000.0,242666000.0,123741000.0,,,242666000.0,36551000.0,,-1077000.0,117848000.0,,,41934000.0,75914000.0,-81297000.0,,,-81112000.0,-82374000.0,,,,,,,-1262000.0,,,,,,,,,,,-81112000.0,0,,-81112000.0,,-81112000.0,0,,0,-2.95,-2.95,27467000.0,27467000.0,,664627000.0,364235000.0,,,229688000.0,,134547000.0,300392000.0,,55774000.0,10919000.0,,233699000.0,269188000.0,214000000.0,74014000.0,,,139986000.0,55188000.0,,,,,,,,395439000.0,0,395439000.0,,,664627000.0,-94507000.0,-94507000.0,,-1529000.0,-1529000.0,,25409000.0,25409000.0,,593000.0,-70034000.0,-70627000.0,,-86618000.0,0,-86618000.0,-86618000.0,,-5506000.0
IRBT,2023-02-14,2022,FY,2022-01-02,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001159167-23-000011,1183383000.0,1445066000.0,833290000.0,,,1445066000.0,350093000.0,,-21300000.0,590476000.0,,,166508000.0,423968000.0,-240383000.0,,,-286295000.0,-261683000.0,,,,,,,24612000.0,6123000.0,18489000.0,,,,,,,,,-286295000.0,0,,-286295000.0,,-286295000.0,0,,0,-10.52,-10.52,27214000.0,27214000.0,,835443000.0,528300000.0,117900000.0,,285250000.0,,125150000.0,307143000.0,,60909000.0,11260000.0,,234974000.0,359727000.0,296183000.0,184016000.0,,,112167000.0,63544000.0,,,,,,,,475716000.0,0,475716000.0,,,835443000.0,-90021000.0,-90021000.0,,2248000.0,2248000.0,,2944000.0,2944000.0,,1321000.0,-83508000.0,-84829000.0,,-275856000.0,0,-275856000.0,-275856000.0,,10439000.0
