ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ISPC,2025-04-14,2024,TTM,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-031639,9291115.0,22019160.0,5111157.0,,,22019160.0,4179958.0,,230240.0,16908003.0,,2294248.0,1493310.0,13120445.0,-12728045.0,,,-12497805.0,-12728045.0,,,,,,,,,,,,,,,,,,-12497805.0,0,,-12497805.0,,-12497805.0,0,,0,-17.58,-17.58,710852.0,710852.0,,9350230.0,3587936.0,,,,,,5762294.0,,93563.0,,,5668731.0,6039222.0,5770424.0,4197561.0,,,1572863.0,268798.0,,,,,,,,3311008.0,0,3311008.0,,,9350230.0,-8263713.0,-8263713.0,,1979554.0,1979554.0,,5818901.0,5818901.0,,,-465258.0,-465258.0,,-12498645.0,0.0,-12498645.0,-840.0,,
ISPC,2025-04-14,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-031639,9291115.0,22019160.0,5111157.0,,,22019160.0,4179958.0,,230240.0,16908003.0,,2294248.0,1493310.0,13120445.0,-12728045.0,,,-12497805.0,-12728045.0,,,,,,,,,,,,,,,,,,-12497805.0,0,,-12497805.0,,-12497805.0,0,,0,-17.58,-17.58,710852.0,710852.0,,9350230.0,3587936.0,,,,,,5762294.0,,93563.0,,,5668731.0,6039222.0,5770424.0,4197561.0,,,1572863.0,268798.0,,,,,,,,3311008.0,0,3311008.0,,,9350230.0,-8263713.0,-8263713.0,,1979554.0,1979554.0,,5818901.0,5818901.0,,,-465258.0,-465258.0,,-12498645.0,0.0,-12498645.0,-840.0,,
ISPC,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-014743,2661936.0,4367340.0,1554159.0,,,4367340.0,1107777.0,,265551.0,2813181.0,,,,,-1705404.0,,,-1439853.0,-1705404.0,,,,,,,,,,,,7364.0,,,,,,-1439853.0,0,,-1439853.0,,-1439853.0,0,,0,-2.1,-2.1,687141.0,687141.0,,11264223.0,4657835.0,1751854.0,,,,2905981.0,6606388.0,,102803.0,,,6503585.0,6549651.0,6268214.0,4055332.0,,,2212882.0,281437.0,,,,,,,,4714572.0,0,4714572.0,,,11264223.0,-1079418.0,-1079418.0,,-179951.0,-179951.0,,859980.0,859980.0,,,-399389.0,-399389.0,,-1439853.0,0.0,-1439853.0,-1439853.0,,
ISPC,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-010936,2863679.0,5045344.0,1424392.0,,,5045344.0,1439287.0,,72641.0,3620952.0,,,,,-2181665.0,,,-2109024.0,-2109024.0,,,,,,,,,,,,4474.0,,,,,,-2109024.0,0,,-2109024.0,,-2109024.0,0,,0,-0.19,-0.16999999999999998,11340586.0,1104063.0,,11901858.0,5235253.0,2151243.0,,,,3084010.0,6666605.0,,104822.0,,,6561783.0,5812574.0,5812574.0,4205371.0,,,1607203.0,0.0,,,,,,,,6089284.0,0,6089284.0,,,11901858.0,-1539251.0,-1539251.0,,295119.0,295119.0,,1305484.0,1305484.0,,,61352.0,61352.0,,-2109024.0,0.0,-2109065.0,-41.0,,
ISPC,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-006896,2289993.0,5290513.0,1000006.0,,,5290513.0,1289987.0,,98403.0,4290507.0,,,,,-3000520.0,,,-2902117.0,-2902117.0,,,,,,,,,,,,4465.0,,,,,,-2902117.0,0,,-2902117.0,,-2902117.0,0,,0,-0.32,-0.32,9132460.0,9132460.0,,12513901.0,5285951.0,2556384.0,,,,2729567.0,7227950.0,,120873.0,,,7107077.0,5700673.0,5700673.0,3560474.0,,,2140199.0,0.0,,,,,,,,6813228.0,0,6813228.0,,,12513901.0,-2072363.0,-2072363.0,,1937446.0,1937446.0,,-118858.0,-118858.0,,,-253775.0,-253775.0,,-2902117.0,0.0,-2902916.0,-799.0,,
ISPC,2024-03-13,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-003129,9928184.0,21097533.0,4820268.0,,,21097533.0,5107916.0,,69861.0,16277265.0,,,1618833.0,14658432.0,-11169349.0,,,-11099488.0,-11169349.0,,,,,,,,,,,,16001.0,,,,,,-11099488.0,0,,-11099488.0,,-11099488.0,0,,0,-1.23,-1.23,9041341.0,9041341.0,,15819137.0,8238603.0,5005598.0,,,,3233005.0,7580534.0,,127787.0,,,7452747.0,6078060.0,6048930.0,3925438.0,,,2123492.0,29130.0,,,,,,,,9741077.0,0,9741077.0,,,15819137.0,-5807550.0,-5807550.0,,-7228383.0,-7228383.0,,70889.0,70889.0,,,-12965044.0,-12965044.0,,-11098648.0,0.0,-11098648.0,840.0,,
ISPC,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-017306,2777751.0,4971831.0,1392534.0,,,4971831.0,1385217.0,,82979.0,3579297.0,,,,,-2194080.0,,,-2111101.0,-2194080.0,,,,,,,,,,,,4465.0,,,,,,-2111101.0,0,,-2111101.0,,-2111101.0,0,,0,-0.23,-0.23,9065319.0,9065319.0,,16295096.0,9126557.0,5662535.0,,,,3464022.0,7168539.0,,146205.0,,,7022334.0,3589376.0,3517088.0,2280164.0,,,1236924.0,72288.0,,,,,,,,12705720.0,0,12705720.0,,,16295096.0,-1633773.0,-1633773.0,,2350841.0,2350841.0,,0.0,0.0,,,717068.0,717068.0,,,2111148.0,,-47.0,,
ISPC,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-012807,1625140.0,5186963.0,853633.0,,,5186963.0,771507.0,,78209.0,4333330.0,,,,,-3561823.0,,,-3483614.0,-3483614.0,,,,,,,,,,,,3535.0,,,,,,-3483614.0,0,,-3483614.0,,-3483614.0,0,,0,-0.39,-0.39,9033868.0,9033868.0,,17570345.0,10971293.0,,,,,,6599052.0,,163871.0,,,6435181.0,2859770.0,2859770.0,1779920.0,,,1079850.0,0.0,,,,,,,,14710575.0,0,14710575.0,,,17570345.0,-1693341.0,-1693341.0,,-67966.0,-67966.0,,3153.0,3153.0,,,-1758154.0,-1758154.0,,-3483614.0,3501769.0,-3483614.0,-18155.0,,
ISPC,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-007961,2950197.0,5492620.0,1146912.0,,,5492620.0,1803285.0,,110611.0,4345708.0,,,,,-2542423.0,,,-2431812.0,-2431812.0,,,,,,,,,,,,3535.0,,,,,,-2431812.0,0,,-2431812.0,,-2431812.0,0,,0,-0.27,-0.25,8980898.0,8980898.0,,21939071.0,15959977.0,,,,,,5979094.0,,195293.0,,,5783801.0,3854577.0,3854577.0,2701235.0,,,1153342.0,0.0,,,,,,,,18084494.0,0,18084494.0,,,21939071.0,-2825577.0,-2825577.0,,-8788215.0,-8788215.0,,67736.0,67736.0,,,-11546056.0,-11546056.0,,-2431812.0,2412969.0,-2431812.0,18843.0,,
ISPC,2023-03-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-004231,10402303.0,20588385.0,4756965.0,,,20588385.0,5645338.0,,-59840.0,15831420.0,,,1473520.0,14357900.0,-10186082.0,,,-10245922.0,-10186082.0,,,,,,,0.0,,,,,238963.0,,,,,,-10245922.0,0,,-10245922.0,,-10245922.0,0,,0,-1.16,-1.16,8844307.0,8844307.0,,24617653.0,19675721.0,,,,,,4941932.0,,225852.0,,,4716080.0,4308483.0,4281087.0,2459063.0,,,1822024.0,27396.0,,,,,,,,20309170.0,0,20309170.0,,,24617653.0,-5817720.0,-5817720.0,,-3191190.0,-3191190.0,,-3421359.0,-3421359.0,,,-12430269.0,-12430269.0,,-10245922.0,0.0,-10245922.0,0.0,,
ISPC,2022-11-08,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-016722,2583412.0,5684471.0,1181562.0,,,5684471.0,1401850.0,,5369.0,4502909.0,,,,,-3101059.0,,,-3095690.0,-3101059.0,,,,,,,,,,,,58591.0,,,,,,-3095690.0,0,,-3095690.0,,-3095690.0,0,,0,-0.35,-0.35,8878888.0,8878888.0,,27939939.0,24236174.0,,,,,,3703765.0,,19194.0,,,3684571.0,5516479.0,2833338.0,967735.0,,,1865603.0,2683141.0,3431823.0,,,,,,,22423460.0,0,22423460.0,,,27939939.0,-2256389.0,-2256389.0,,-772100.0,-772100.0,,-4967.0,-4967.0,,,-3033456.0,-3033456.0,,-3095690.0,0.0,-3095690.0,0.0,,
ISPC,2022-08-04,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-012038,2338688.0,4923695.0,999743.0,,,4923695.0,1338945.0,,,3923952.0,,,,,-2585007.0,,,-2606809.0,-2606809.0,,,,,,,,,,,,42273.0,,,,,,-2606809.0,0,,-2606809.0,,-2606809.0,0,,0,-0.3,-0.3,8821698.0,8821698.0,,30397457.0,27131269.0,,,,,,3266188.0,,23648.0,,,3242540.0,5099527.0,2029487.0,433026.0,,,1596461.0,0.0,3428732.0,,,,,,,25297930.0,0,25297930.0,,,30397457.0,-1978061.0,-1978061.0,,-438019.0,-438019.0,,8077.0,8077.0,,,-2408003.0,-2408003.0,,-2606809.0,0.0,-2606809.0,0.0,,
ISPC,2022-05-10,2022,Q1,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-007969,2518660.0,4877048.0,1165917.0,,,4877048.0,1352743.0,,,3711131.0,,,,,-2358388.0,,,-2383742.0,-2383742.0,,,,,,,,,,,,38048.0,,,,,,-2383742.0,0,,-2383742.0,,-2383742.0,0,,0,-0.27,-0.27,8765437.0,8765437.0,,33287316.0,30151004.0,,,,,,3136312.0,,28069.0,,,3108243.0,5620002.0,2046963.0,281494.0,,,1765469.0,0.0,3425664.0,147375.0,,,,,,27667314.0,0,27667314.0,,,33287316.0,-1375916.0,-1375916.0,,-339162.0,-339162.0,,75277.0,75277.0,,,-1639801.0,-1639801.0,,-2383742.0,0.0,-2383742.0,0.0,,
ISPC,2022-03-22,2021,FY,2021-01-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-004077,11135303.0,17060549.0,5249013.0,,,17060549.0,5886290.0,,,11811536.0,,,295305.0,11516231.0,-5925246.0,,,-8961815.0,-5925246.0,,,,,,,0.0,,,,,2102681.0,,,,,,-8961815.0,0,,-8961815.0,,-8961815.0,0,,0,-2.09,-2.09,4287424.0,4287424.0,,35719598.0,32948349.0,,,,,,2771249.0,,32781.0,,,2738468.0,5928010.0,2505394.0,832678.0,,,1672716.0,3422616.0,3422616.0,,,,,,,29791588.0,0,29791588.0,,,35719598.0,-10668410.0,-10668410.0,,-1037917.0,-1037917.0,,38749397.0,38749397.0,,,27043070.0,27043070.0,,-8961815.0,0.0,-8961815.0,0.0,,
ISPC,2021-11-04,2021,Q3,2021-07-01,2021-09-30,https://api.polygon.io/v1/reference/sec/filings/0001104659-21-134005,2718534.0,4271557.0,913833.0,,,4177607.0,1804701.0,,,3263774.0,,,,,-1459073.0,,,-1553023.0,-1553023.0,,,,,,,,,,,,75922.0,,,,,,-1553023.0,0,,-1553023.0,,-1553023.0,0,,0,,,,,,17622072.0,14898855.0,,,,,,2723217.0,,44749.0,,,2678468.0,5531173.0,2102793.0,351424.0,,,1751369.0,3428380.0,,,,,,,,12090899.0,0,12090899.0,,,17622072.0,-6080166.0,-6080166.0,,-290841.0,-290841.0,,2977429.0,2977429.0,,,-3393578.0,-3393578.0,,-1553023.0,0.0,-1553023.0,0.0,,
ISPC,2021-08-10,2021,Q2,2021-04-01,2021-06-30,https://api.polygon.io/v1/reference/sec/filings/0001104659-21-102514,2903876.0,4298790.0,1489196.0,,,4432407.0,1414680.0,,,2943211.0,,,,,-1528531.0,,,-1394914.0,-1394914.0,,,,,,,,,,,,1133479.0,,,,,,-1394914.0,0,,-1394914.0,,-1394914.0,0,,0,,,,,,19605042.0,16918676.0,,,,,,2686366.0,,55879.0,,,2630487.0,8925767.0,5925767.0,3233231.0,,,2692536.0,0.0,3000000.0,,,,,,,10679275.0,0,10679275.0,,,19605042.0,,,,,,,,,,,,,,-1394914.0,0.0,-1394914.0,0.0,,
