ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ITGR,2025-04-24,2025,Q1,2025-01-01,2025-03-28,https://api.polygon.io/v1/reference/sec/filings/0001114483-25-000084,437392000.0,450391000.0,317074000.0,,,450391000.0,120318000.0,,,70766000.0,51160000.0,,,19606000.0,49552000.0,,-13180000.0,-22465000.0,-12999000.0,-22000.0,,,,,181000.0,9466000.0,,4055000.0,,,,,,,,,-22487000.0,0,,-22487000.0,,-22487000.0,0,,0,-0.66,-0.66,33916000.0,33916000.0,,3297703000.0,702203000.0,,,260103000.0,,442100000.0,2595500000.0,,,856208000.0,,1739292000.0,1690999000.0,206403000.0,112023000.0,,,94380000.0,1484596000.0,1235215000.0,249381000.0,,,,,,1606704000.0,0,1606704000.0,,,3297703000.0,31276000.0,31276000.0,,-197167000.0,-197167000.0,,151578000.0,151578000.0,,-519000.0,-14832000.0,-14313000.0,,2302000.0,0,2302000.0,2302000.0,,24789000.0
ITGR,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001114483-25-000034,1716596000.0,1569033000.0,1257582000.0,,,1569033000.0,459014000.0,,,250776000.0,185202000.0,,,65574000.0,208238000.0,,148096000.0,121053000.0,147563000.0,-1157000.0,,,,,-533000.0,26510000.0,39440000.0,-14110000.0,,,,,,,,,119896000.0,0,,119896000.0,,119896000.0,0,,0,3.57,3.36,33601000.0,35649000.0,,3077971000.0,671119000.0,,,247126000.0,,423993000.0,2406852000.0,,465798000.0,778286000.0,,1162768000.0,1458756000.0,227173000.0,101498000.0,,,125675000.0,1231583000.0,990153000.0,241430000.0,,,,,,1619215000.0,0,1619215000.0,,,3077971000.0,205205000.0,205205000.0,,-195414000.0,-195414000.0,,13321000.0,13321000.0,,-243000.0,22869000.0,23112000.0,,85630000.0,0,85630000.0,-34266000.0,,
ITGR,2024-10-24,2024,Q3,2024-06-29,2024-09-27,https://api.polygon.io/v1/reference/sec/filings/0001114483-24-000127,431417000.0,387993000.0,314849000.0,,,387993000.0,116568000.0,,,58557000.0,44820000.0,,,13737000.0,58011000.0,,42271000.0,36282000.0,43424000.0,-843000.0,,,,,1153000.0,7142000.0,,0.0,,,,,,,,,35439000.0,0,,35439000.0,,35439000.0,0,,0,1.05,0.99,33656000.0,35791000.0,,3167649000.0,730032000.0,,,265415000.0,,464617000.0,2437617000.0,,472315000.0,805174000.0,,1160128000.0,1546463000.0,222398000.0,116837000.0,,,105561000.0,1324065000.0,1079339000.0,244726000.0,,,,,,1621186000.0,0,1621186000.0,,,3167649000.0,71500000.0,71500000.0,,-26235000.0,-26235000.0,,-43143000.0,-43143000.0,,-685000.0,1437000.0,2122000.0,,61308000.0,0,61308000.0,61308000.0,,25869000.0
ITGR,2024-07-25,2024,Q2,2024-03-30,2024-06-28,https://api.polygon.io/v1/reference/sec/filings/0001114483-24-000114,436202000.0,396174000.0,316809000.0,,,396174000.0,119393000.0,,,64207000.0,47117000.0,,,17090000.0,55186000.0,,40035000.0,31246000.0,40028000.0,,,,,,-7000.0,8782000.0,,0.0,,,,,,,,,31246000.0,0,,31246000.0,,31246000.0,0,,0,0.93,0.88,33600000.0,35529000.0,,3126412000.0,676980000.0,,,272335000.0,,404645000.0,2449432000.0,,466296000.0,813727000.0,,1169409000.0,1572502000.0,205991000.0,119446000.0,,,86545000.0,0.0,1118529000.0,247982000.0,,,,,,1553910000.0,0,1553910000.0,,,3126412000.0,47235000.0,47235000.0,,-30598000.0,-30598000.0,,-24526000.0,-24526000.0,,-130000.0,-8019000.0,-7889000.0,,23989000.0,0,23989000.0,23989000.0,,-7257000.0
ITGR,2024-04-25,2024,Q1,2024-01-01,2024-03-29,https://api.polygon.io/v1/reference/sec/filings/0001114483-24-000059,414805000.0,390070000.0,304965000.0,,,390070000.0,109840000.0,,,70563000.0,46929000.0,,,23634000.0,39277000.0,,23599000.0,20508000.0,24735000.0,,,,,,1136000.0,4227000.0,,0.0,,,14671000.0,,,,,,20508000.0,0,,20508000.0,,20508000.0,0,,0,0.61,0.59,33478000.0,34993000.0,,3116009000.0,668573000.0,,,262869000.0,,405704000.0,2447436000.0,,448712000.0,828854000.0,,1169870000.0,1590998000.0,201429000.0,116220000.0,,,85209000.0,0.0,1140724000.0,248845000.0,,,,,,1525011000.0,0,1525011000.0,,,3116009000.0,23239000.0,23239000.0,,-168198000.0,-168198000.0,,163294000.0,163294000.0,,147000.0,18482000.0,18335000.0,,8156000.0,0,8156000.0,8156000.0,,-12352000.0
ITGR,2024-02-20,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001114483-24-000034,1596673000.0,1489379000.0,1178384000.0,,,1489379000.0,418289000.0,,,250959000.0,175619000.0,,,75340000.0,167330000.0,,107775000.0,90650000.0,107294000.0,0.0,,,,,-481000.0,16644000.0,26134000.0,-9490000.0,,,53370000.0,,,,,,90650000.0,0,,90650000.0,,90650000.0,0,,0,2.72,2.69,33320000.0,33758000.0,,2942653000.0,617668000.0,,,239716000.0,,377952000.0,2324985000.0,,407954000.0,783146000.0,,1133885000.0,1423611000.0,220969000.0,120293000.0,,,100676000.0,1202642000.0,959925000.0,242717000.0,,,,,,1519042000.0,0,1519042000.0,,,2942653000.0,180213000.0,180213000.0,,-163367000.0,-163367000.0,,-18014000.0,-18014000.0,,570000.0,-598000.0,-1168000.0,,105544000.0,0,105544000.0,14894000.0,,
ITGR,2023-10-26,2023,Q3,2023-07-01,2023-09-29,https://api.polygon.io/v1/reference/sec/filings/0001114483-23-000031,404693000.0,372616000.0,299137000.0,,,372616000.0,105556000.0,,,57481000.0,42102000.0,,,15379000.0,48075000.0,,32276000.0,27257000.0,32077000.0,,,,,,-199000.0,4820000.0,,-1000.0,,,11967000.0,,,,,,27257000.0,0,,27257000.0,,27257000.0,0,,0,0.82,0.81,33346000.0,33774000.0,,2839349000.0,609344000.0,,,232158000.0,,377186000.0,2230005000.0,,364283000.0,779115000.0,,1086607000.0,1376000000.0,203101000.0,108351000.0,,,94750000.0,1172899000.0,941383000.0,231516000.0,,,,,,1463349000.0,0,1463349000.0,,,2839349000.0,62293000.0,62293000.0,,-25419000.0,-25419000.0,,-43130000.0,-43130000.0,,-217000.0,-6473000.0,-6256000.0,,12126000.0,0,12126000.0,12126000.0,,-15131000.0
ITGR,2023-07-27,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001114483-23-000024,400044000.0,370152000.0,294240000.0,,,370152000.0,105804000.0,,,64228000.0,45827000.0,,,18401000.0,41576000.0,,29758000.0,23971000.0,29892000.0,,,,,,134000.0,5921000.0,,1000.0,,,11459000.0,,,,,,23971000.0,0,,23971000.0,,23971000.0,0,,0,0.72,0.71,33312000.0,33686000.0,,2861344000.0,615928000.0,,,228931000.0,,386997000.0,2245416000.0,,348895000.0,797594000.0,,1098927000.0,1415689000.0,199832000.0,107507000.0,,,92325000.0,0.0,985398000.0,230459000.0,,,,,,1445655000.0,0,1445655000.0,,,2861344000.0,56145000.0,56145000.0,,-32672000.0,-32672000.0,,-25523000.0,-25523000.0,,61000.0,-1989000.0,-2050000.0,,21175000.0,0,21175000.0,21175000.0,,-2796000.0
ITGR,2023-04-27,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001114483-23-000016,378785000.0,362788000.0,282112000.0,,,362788000.0,96673000.0,,,62507000.0,41886000.0,,,20621000.0,34166000.0,,16152000.0,13065000.0,15997000.0,,,,,,-155000.0,2932000.0,,-5000.0,,,17254000.0,,,,,,13065000.0,0,,13065000.0,,13065000.0,0,,0,0.39,0.39,33258000.0,33575000.0,,2873550000.0,628989000.0,,,225282000.0,,403707000.0,2244561000.0,,330995000.0,811460000.0,,1102106000.0,1455614000.0,225475000.0,124280000.0,,,101195000.0,0.0,1002469000.0,227670000.0,,,,,,1417936000.0,0,1417936000.0,,,2873550000.0,6188000.0,6188000.0,,-24694000.0,-24694000.0,,33116000.0,33116000.0,,1722000.0,16332000.0,14610000.0,,22702000.0,0,22702000.0,22702000.0,,9637000.0
ITGR,2023-02-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001114483-23-000003,1376096000.0,1300138000.0,1017090000.0,,,1300138000.0,359006000.0,,,237679000.0,160578000.0,,,77101000.0,121327000.0,,83594000.0,65350000.0,75958000.0,1027000.0,,,,,-7636000.0,10608000.0,28106000.0,-17498000.0,,,38632000.0,,,,,,66377000.0,0,,66377000.0,,66377000.0,0,,0,2.0,1.99,33127000.0,33357000.0,,2794386000.0,558298000.0,,,208766000.0,,349532000.0,2236088000.0,,317243000.0,819889000.0,,1098956000.0,1376930000.0,223752000.0,110780000.0,,,112972000.0,1153178000.0,925261000.0,227917000.0,,,,,,1417456000.0,0,1417456000.0,,,2794386000.0,116381000.0,116381000.0,,-200421000.0,-200421000.0,,92476000.0,92476000.0,,-2049000.0,6387000.0,8436000.0,,44516000.0,0,44516000.0,-21861000.0,,
