ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ITRM,2025-05-13,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-069802,0,,,,,,,,-1121000.0,3710000.0,,,591000.0,3119000.0,-3710000.0,,,-4891000.0,-4831000.0,,,,,,,60000,,,,,,,,,,,-4891000.0,0,,-4891000.0,,-4891000.0,0,,0,-0.14,-0.14,34059630.0,34059630.0,,32975000.0,13513000.0,,,533000.0,,12980000.0,19462000.0,,18000.0,19404000.0,,40000.0,35529000.0,3628000.0,413000.0,,369000.0,2846000.0,31901000.0,20104000.0,11797000.0,,,,,,-2554000.0,0.0,-2554000.0,,,32975000.0,-3060000.0,-3060000.0,,-2000.0,-2000.0,,-8388000.0,-8388000.0,,-23000.0,-11473000.0,-11450000.0,,-4891000.0,0,-4891000.0,0.0,,
ITRM,2025-02-07,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-015857,0,,,,,,,,-5838000.0,18696000.0,,,10458000.0,8238000.0,-18696000.0,,,-24774000.0,-24534000.0,,,,,,,240000,240000.0,,,,,,,,,,-24774000.0,0,,-24774000.0,,-24774000.0,0,,0,-1.26,-1.26,19699260.0,19699260.0,,44595000.0,24787000.0,,,0.0,,,19808000.0,,23000.0,19746000.0,,39000.0,48676000.0,17605000.0,251000.0,,1138000.0,16216000.0,31071000.0,31221000.0,,,,,,,-4081000.0,0.0,-4081000.0,,,44595000.0,-26770000.0,-26770000.0,,18208000.0,18208000.0,,26691000.0,26691000.0,,-75000.0,18054000.0,18129000.0,,-24775000.0,0,-24775000.0,-1000.0,,
ITRM,2024-11-14,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-126736,0,,,,,,,,-1071000.0,4887000.0,,,3107000.0,1780000.0,-4887000.0,,,-6094000.0,-5958000.0,,,,,,,136000,,,,,,,,,,,-6094000.0,0,,-6094000.0,,-6094000.0,0,,0,-0.3,-0.3,20044270.0,20044270.0,,15924000.0,15854000.0,,,,,,70000.0,,30000.0,,,40000.0,27431000.0,18703000.0,835000.0,,1770000.0,16098000.0,8728000.0,11221000.0,,,,,,,-11507000.0,0.0,-11507000.0,,,15924000.0,-2672000.0,-2672000.0,,5700000.0,5700000.0,,5430000.0,5430000.0,,-28000.0,8430000.0,8458000.0,,-6091000.0,0,-6091000.0,-6091000.0,,
ITRM,2024-08-14,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-096653,0,,,,,,,,-990000.0,3976000.0,,,2075000.0,1901000.0,-3976000.0,,,-4997000.0,-4966000.0,,,,,,,31000,,,,,,,,,,,-4997000.0,0,,-4997000.0,,-4997000.0,0,,0,-0.3,-0.3,16552214.0,16552214.0,,14174000.0,13695000.0,,,,,,479000.0,,38000.0,,,441000.0,25087000.0,16775000.0,822000.0,,1349000.0,14604000.0,0.0,11221000.0,,,,,,,-10913000.0,0.0,-10913000.0,,,14174000.0,-6759000.0,-6759000.0,,4197000.0,4197000.0,,167000.0,167000.0,,-18000.0,-2413000.0,-2395000.0,,-4998000.0,0,-4998000.0,-4998000.0,,
ITRM,2024-05-13,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-058200,0,,,,,,,,-890000.0,6163000.0,,,3977000.0,2186000.0,-6163000.0,,,-7101000.0,-7053000.0,,,,,,,48000,,,,,,,,,,,-7101000.0,0,,-7101000.0,,-7101000.0,0,,0,-0.46,-0.46,15432693.0,15432693.0,,19625000.0,19054000.0,,,,,,571000.0,,44000.0,,,527000.0,25775000.0,17794000.0,2966000.0,,1137000.0,13691000.0,0.0,11221000.0,,,,,,,-6150000.0,0.0,-6150000.0,,,19625000.0,-13083000.0,-13083000.0,,7211000.0,7211000.0,,7217000.0,7217000.0,,-27000.0,1318000.0,1345000.0,,-7102000.0,0,-7102000.0,-1000.0,,
ITRM,2024-03-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-037615,0,,,,,,,,9710000.0,47468000.0,,,39992000.0,7476000.0,-47468000.0,,,-38371000.0,-37758000.0,,,,,,,613000,613000.0,,,,,,,,,,-38371000.0,0,,-38371000.0,,-38371000.0,0,,0,-2.96,-2.96,12962362.0,12962362.0,,26259000.0,25596000.0,,,0.0,,,663000.0,,51000.0,,,612000.0,32662000.0,13518000.0,4996000.0,,2742000.0,5780000.0,19144000.0,11221000.0,7923000.0,,,,,,-6403000.0,0.0,-6403000.0,,,26259000.0,-39330000.0,-39330000.0,,23336000.0,23336000.0,,1034000.0,1034000.0,,-61000.0,-15021000.0,-14960000.0,,-38020000.0,0,-38020000.0,351000.0,,
ITRM,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-063353,0,,,,,,,,12969000.0,16685000.0,,,14852000.0,1833000.0,-16685000.0,,,-3877000.0,-3716000.0,,,,,,,161000,,,,,,,,,,,-3877000.0,0,,-3877000.0,,-3877000.0,0,,0,-0.3,-0.3,13039437.0,13039437.0,,39728000.0,38527000.0,,,,,,1201000.0,,59000.0,432000.0,,710000.0,36296000.0,16396000.0,5514000.0,,2113000.0,8769000.0,19900000.0,12711000.0,7189000.0,,,,,,3432000.0,0.0,3432000.0,,,39728000.0,-9265000.0,-9265000.0,,360000.0,360000.0,,10000.0,10000.0,,-23000.0,-8918000.0,-8895000.0,,-3848000.0,0,-3848000.0,-3848000.0,,
ITRM,2023-08-11,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-041604,0,,,,,,,,-1234000.0,10822000.0,,,8964000.0,1858000.0,-10822000.0,,,-12243000.0,-12056000.0,,,,,,,187000,,,,,,,,,,,-12243000.0,0,,-12243000.0,,-12243000.0,0,,0,-0.95,-0.95,12942969.0,12942969.0,,51021000.0,47653000.0,,,,,,3368000.0,,69000.0,861000.0,,2438000.0,43892000.0,10829000.0,3715000.0,,1407000.0,5707000.0,0.0,12711000.0,20352000.0,,,,,,7129000.0,0.0,7129000.0,,,51021000.0,-7632000.0,-7632000.0,,4347000.0,4347000.0,,200000.0,200000.0,,-12000.0,-3097000.0,-3085000.0,,-12138000.0,0,-12138000.0,-12138000.0,,
ITRM,2023-05-12,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-021500,0,,,,,,,,-1236000.0,8530000.0,,,6432000.0,2098000.0,-8530000.0,,,-9889000.0,-9766000.0,,,,,,,123000,,,,,,,,,,,-9889000.0,0,,-9889000.0,,-9889000.0,0,,0,-0.78,-0.78,12681900.0,12681900.0,,58120000.0,54246000.0,,,,,,3874000.0,,62000.0,1290000.0,,2522000.0,39163000.0,7797000.0,2235000.0,,881000.0,4681000.0,0.0,12711000.0,18655000.0,,,,,,18957000.0,0.0,18957000.0,,,58120000.0,-9590000.0,-9590000.0,,5106000.0,5106000.0,,235000.0,235000.0,,-12000.0,-4261000.0,-4249000.0,,-9670000.0,0,-9670000.0,219000.0,,
ITRM,2023-03-16,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-008300,0,,,,,,,,-13750000.0,30383000.0,,,17617000.0,12766000.0,-30383000.0,,,-44434000.0,-44133000.0,,,,,,,301000,301000.0,,,,,,,,,,-44434000.0,0,,-44434000.0,,-44434000.0,0,,0,-3.63,-3.63,12236607.0,12236607.0,,66833000.0,62444000.0,,,0.0,,,4389000.0,,69000.0,1719000.0,,2601000.0,38834000.0,9064000.0,2774000.0,,1971000.0,4319000.0,29770000.0,12711000.0,17059000.0,,,,,,27999000.0,0.0,27999000.0,,,66833000.0,-18473000.0,-18473000.0,,13957000.0,13957000.0,,-1818000.0,-1818000.0,,-50000.0,-6384000.0,-6334000.0,,-44784000.0,0,-44784000.0,-350000.0,,
