ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
JNPR,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001043604-25-000065,1280200000.0,1198400000.0,525500000.0,,,1198400000.0,754700000.0,,-4300000.0,665300000.0,,,283100000.0,382200000.0,89400000.0,,81800000.0,64100000.0,81800000.0,,,,,,0.0,17700000.0,,-34800000.0,,,,,,,,,64100000.0,0,,64100000.0,,64100000.0,0,,0,0.19,0.19,333300000.0,339200000.0,0.22,10088800000.0,3737300000.0,,,824700000.0,134000000.0,2778600000.0,6351500000.0,,674600000.0,32100000.0,,5644800000.0,5259700000.0,2506500000.0,219300000.0,,217700000.0,2069500000.0,2753200000.0,1628500000.0,1124700000.0,,,,,,4829100000.0,0,4829100000.0,,,10088800000.0,316500000.0,316500000.0,,-162600000.0,-162600000.0,,-90300000.0,-90300000.0,,600000.0,64200000.0,63600000.0,,75600000.0,0,75600000.0,75600000.0,,11500000.0
JNPR,2024-10-31,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001043604-24-000154,1331000000.0,1234100000.0,557600000.0,,,1234100000.0,773400000.0,,2300000.0,679300000.0,,,290600000.0,388700000.0,94100000.0,,96900000.0,94800000.0,96900000.0,,,,,,-2200000.0,2100000.0,,-83300000.0,,,,,,,,,92600000.0,0,,92600000.0,,92600000.0,0,,0,0.28,0.28,329400000.0,335900000.0,0.22,9595600000.0,3525500000.0,,,872500000.0,127500000.0,2525500000.0,6070100000.0,,684900000.0,53100000.0,,5332100000.0,4952900000.0,2048100000.0,258000000.0,,314400000.0,1475700000.0,2904800000.0,1632600000.0,1272200000.0,,,,,,4642700000.0,0,4642700000.0,,,9595600000.0,192200000.0,192200000.0,,-22700000.0,-22700000.0,,-44900000.0,-44900000.0,,4900000.0,129500000.0,124600000.0,,115400000.0,0,115400000.0,115400000.0,,22800000.0
JNPR,2024-07-26,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001043604-24-000144,1189600000.0,1142600000.0,501100000.0,,,1142600000.0,688500000.0,,1300000.0,643500000.0,,,274600000.0,368900000.0,45000000.0,,47000000.0,36200000.0,47000000.0,,,,,,-2100000.0,10800000.0,,-37700000.0,,,,,,,,,34100000.0,0,,34100000.0,,34100000.0,0,,0,0.1,0.1,325100000.0,332700000.0,0.22,9428300000.0,3444300000.0,,,926100000.0,178700000.0,2339500000.0,5984000000.0,,685200000.0,63800000.0,,5235000000.0,4926300000.0,2043600000.0,268300000.0,,263900000.0,1511400000.0,0.0,1607200000.0,1275500000.0,,,,,,4502000000.0,0,4502000000.0,,,9428300000.0,-8900000.0,-8900000.0,,-54000000.0,-54000000.0,,-70100000.0,-70100000.0,,-2400000.0,-135400000.0,-133000000.0,,31000000.0,0,31000000.0,31000000.0,,-3100000.0
JNPR,2024-04-26,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001043604-24-000066,1148900000.0,1175300000.0,468000000.0,,,1175300000.0,680900000.0,,2100000.0,695100000.0,,,296600000.0,398500000.0,-14200000.0,,-26400000.0,1300000.0,-26400000.0,,,,,,-2100000.0,-27700000.0,,-26600000.0,,,20500000.0,,,,,,-800000.0,0,,-800000.0,,-800000.0,0,,0,0.0,0.0,322600000.0,322600000.0,0.22,9478200000.0,3540900000.0,,,958200000.0,149900000.0,2432800000.0,5937300000.0,,688600000.0,74600000.0,,5174100000.0,4997000000.0,2030000000.0,250200000.0,,210900000.0,1568900000.0,0.0,1607100000.0,1359900000.0,,,,,,4481200000.0,0,4481200000.0,,,9478200000.0,325000000.0,325000000.0,,-265500000.0,-265500000.0,,-53900000.0,-53900000.0,,-3600000.0,2000000.0,5600000.0,,-37800000.0,0,-37800000.0,-37800000.0,,-37000000.0
JNPR,2024-02-07,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001043604-24-000014,5564500000.0,5215500000.0,2362600000.0,,,5215500000.0,3201900000.0,,-23800000.0,2731800000.0,,,1144400000.0,1587400000.0,470100000.0,,349000000.0,319800000.0,349000000.0,,,,,,-9600000.0,29200000.0,291400000.0,-262200000.0,,,80000000.0,,,,,,310200000.0,0,,310200000.0,,310200000.0,0,,0,0.97,0.95,320000000.0,325900000.0,0.88,9518500000.0,3795500000.0,,,952400000.0,140900000.0,2702200000.0,5723000000.0,,689900000.0,91800000.0,,4941300000.0,5025800000.0,2104000000.0,295100000.0,,292200000.0,1516700000.0,2921800000.0,1616800000.0,1305000000.0,,,,,,4492700000.0,0,4492700000.0,,,9518500000.0,872800000.0,872800000.0,,-67600000.0,-67600000.0,,-618800000.0,-618800000.0,,200000.0,186600000.0,186400000.0,,355100000.0,0,355100000.0,355100000.0,,44900000.0
JNPR,2023-10-27,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001043604-23-000156,1397800000.0,1315000000.0,587400000.0,,,1315000000.0,810400000.0,,-4800000.0,722800000.0,,,288500000.0,434300000.0,87600000.0,,82800000.0,77800000.0,82800000.0,,,,,,-1700000.0,5000000.0,,,,,20500000.0,,,,,,76100000.0,0,,76100000.0,,76100000.0,0,,0,0.24,0.24,319300000.0,323800000.0,0.22,9404800000.0,3871300000.0,,,976300000.0,123200000.0,2771800000.0,5533500000.0,,687800000.0,109000000.0,,4736700000.0,5073600000.0,2236800000.0,324400000.0,,221600000.0,1690800000.0,2836800000.0,1588500000.0,1248300000.0,,,,,,4331200000.0,0,4331200000.0,,,9404800000.0,329200000.0,329200000.0,,-3900000.0,-3900000.0,,-165400000.0,-165400000.0,,-5900000.0,154000000.0,159900000.0,,67100000.0,0,67100000.0,67100000.0,,-9000000.0
JNPR,2023-07-28,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001043604-23-000133,1430100000.0,1388600000.0,617000000.0,,,1388600000.0,813100000.0,,-7400000.0,672000000.0,,,282000000.0,390000000.0,141100000.0,,41500000.0,26500000.0,41500000.0,,,,,,-2100000.0,15000000.0,,,,,19700000.0,,,,,,24400000.0,0,,24400000.0,,24400000.0,0,,0,0.08,0.07,319300000.0,326000000.0,0.22,9375500000.0,3751000000.0,,,925700000.0,130200000.0,2695100000.0,5624500000.0,,689100000.0,126200000.0,,4809200000.0,5020600000.0,2262200000.0,371800000.0,,280100000.0,1610300000.0,0.0,1602600000.0,1155800000.0,,,,,,4354900000.0,0,4354900000.0,,,9375500000.0,343000000.0,343000000.0,,12500000.0,12500000.0,,-190700000.0,-190700000.0,,600000.0,165400000.0,164800000.0,,47200000.0,0,47200000.0,47200000.0,,22800000.0
JNPR,2023-04-28,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001043604-23-000064,1371800000.0,1264700000.0,600600000.0,,,1264700000.0,771200000.0,,-8600000.0,655500000.0,,,284800000.0,370700000.0,115700000.0,,107100000.0,87500000.0,107100000.0,,,,,,-2100000.0,19600000.0,,,,,19200000.0,,,,,,85400000.0,0,,85400000.0,,85400000.0,0,,0,0.26,0.26,322300000.0,329100000.0,0.22,9316300000.0,3658100000.0,,,761500000.0,130500000.0,2766100000.0,5658200000.0,,671000000.0,143300000.0,,4843900000.0,4881100000.0,2074200000.0,357500000.0,,228400000.0,1488300000.0,0.0,1616700000.0,1190200000.0,,,,,,4435200000.0,0,4435200000.0,,,9316300000.0,191500000.0,191500000.0,,42200000.0,42200000.0,,-190800000.0,-190800000.0,,1200000.0,44100000.0,42900000.0,,89500000.0,0,89500000.0,89500000.0,,4100000.0
JNPR,2023-02-10,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001043604-23-000016,5301200000.0,4764900000.0,2342900000.0,,,4764900000.0,2958300000.0,,-28600000.0,2439200000.0,,,1036100000.0,1403100000.0,519100000.0,,536300000.0,475800000.0,536300000.0,,,,,,-4800000.0,60500000.0,283700000.0,-223200000.0,,,58600000.0,,,,,,471000000.0,0,,471000000.0,,471000000.0,0,,0,1.46,1.43,322100000.0,329500000.0,0.84,9326700000.0,3617100000.0,,,619400000.0,104300000.0,2893400000.0,5709600000.0,,666800000.0,160500000.0,,4882300000.0,4851600000.0,2078900000.0,347400000.0,,306100000.0,1425400000.0,2772700000.0,1601300000.0,1171400000.0,,,,,,4475100000.0,0,4475100000.0,,,9326700000.0,97600000.0,97600000.0,,407500000.0,407500000.0,,-528400000.0,-528400000.0,,-21700000.0,-45000000.0,-23300000.0,,477300000.0,0,477300000.0,477300000.0,,6300000.0
JNPR,2022-10-28,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001043604-22-000163,1414600000.0,1274400000.0,626800000.0,,,1274400000.0,787800000.0,,-9100000.0,638500000.0,,,274000000.0,364500000.0,149300000.0,,142300000.0,123600000.0,140200000.0,,,,,,-2100000.0,16600000.0,,,,,15200000.0,,,,,,121500000.0,0,,121500000.0,,121500000.0,0,,0,0.38,0.37,322800000.0,328900000.0,0.21,8976200000.0,3208700000.0,,,519600000.0,89500000.0,2599600000.0,5767500000.0,,667200000.0,177700000.0,,4922600000.0,4638100000.0,1896700000.0,352700000.0,,239900000.0,1304100000.0,2741400000.0,1595700000.0,1145700000.0,,,,,,4338100000.0,0,4338100000.0,,,8976200000.0,51800000.0,51800000.0,,113500000.0,113500000.0,,-40800000.0,-40800000.0,,-15500000.0,109000000.0,124500000.0,,69000000.0,0,69000000.0,69000000.0,,-52500000.0
