ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
KORE,2025-05-15,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001855457-25-000042,72142000.0,0.0,,,,74598000.0,,,,41576000.0,,13911000.0,,27665000.0,-2456000.0,,,-14908000.0,72142000.0,,,,,,,1109000.0,,,,,,,,,,,-14908000.0,0,,-14908000.0,,-14908000.0,0.0,,0.0,-0.77,-0.77,19433080.0,19433080.0,,445134000.0,80534000.0,,,6067000.0,4828000.0,69639000.0,364600000.0,,,115057000.0,,249543000.0,560033000.0,65353000.0,18559000.0,,7522000.0,39272000.0,494680000.0,,,,,,,,-114899000.0,0,-114899000.0,,,445134000.0,2874000.0,2874000.0,,-2277000.0,-2277000.0,,-512000.0,-512000.0,,164000.0,249000.0,85000.0,,-15852000.0,0,-15852000.0,-15852000.0,,
KORE,2025-04-30,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001855457-25-000022,286087000.0,0.0,,,,388880000.0,,,,262719000.0,,56218000.0,,206501000.0,-102793000.0,,,-146076000.0,286087000.0,,,,,,,-5937000.0,4172000.0,-10109000.0,,,,,,,,,-146076000.0,0,,-146076000.0,,-146076000.0,0.0,,0.0,-7.59,-7.59,19246799.0,19246799.0,,455833000.0,79963000.0,,,6653000.0,5504000.0,67806000.0,375870000.0,,9052000.0,125057000.0,,241761000.0,555433000.0,66090000.0,14827000.0,,7131000.0,44132000.0,489343000.0,303150000.0,186193000.0,,,,,,-99600000.0,0,-99600000.0,,,455833000.0,9906000.0,9906000.0,,-13455000.0,-13455000.0,,-3782000.0,-3782000.0,,-405000.0,-7736000.0,-7331000.0,,-143784000.0,0,-143784000.0,-143784000.0,,
KORE,2024-11-19,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001855457-24-000085,68920000.0,0.0,,,,74546000.0,,,,43827000.0,,14214000.0,,29613000.0,-5626000.0,,,-19408000.0,68920000.0,,,,,,,-412000.0,,,,,,,,,,,-19408000.0,0,,-19408000.0,,-19408000.0,0.0,,0.0,-1.0,-1.0,19458102.0,19458102.0,,473915000.0,83474000.0,,,7554000.0,8384000.0,67536000.0,390441000.0,,,138738000.0,,251703000.0,551152000.0,64452000.0,22685000.0,,7166000.0,34601000.0,486700000.0,,,,,,,,-77237000.0,0,-77237000.0,,,473915000.0,1176000.0,1176000.0,,-3393000.0,-3393000.0,,-1647000.0,-1647000.0,,214000.0,-3650000.0,-3864000.0,,-19687000.0,0,-19687000.0,-19687000.0,,
KORE,2024-08-14,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-037228,67868000.0,0.0,,,,125018000.0,,,,95773000.0,,14423000.0,,81350000.0,-57150000.0,,,-64300000.0,67868000.0,,,,,,,-1437000.0,,,,,,,,,,,-64300000.0,0,,-64300000.0,,-64300000.0,0.0,,0.0,-3.36,-3.36,19147677.0,19147677.0,,509794000.0,88212000.0,,,7842000.0,7265000.0,73105000.0,421582000.0,,,148059000.0,,273523000.0,547621000.0,64975000.0,21381000.0,,4901000.0,38693000.0,0.0,,,,,,,,-57160000.0,0,-57160000.0,,,509794000.0,3986000.0,3986000.0,,-4099000.0,-4099000.0,,-559000.0,-559000.0,,-91000.0,-763000.0,-672000.0,,-63823000.0,0,-63823000.0,-63823000.0,,
KORE,2024-05-15,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001855457-24-000048,75975000.0,0.0,,,,83356000.0,,,,49143000.0,,13606000.0,,35537000.0,-7381000.0,,,-17587000.0,75975000.0,,,,,,,-420000.0,,-1393000.0,,,,,,,,,-17587000.0,0,,-17587000.0,,-17587000.0,0.0,,0.0,-0.19,-0.19,94960371.0,94960371.0,,576616000.0,98999000.0,,,7605000.0,7609000.0,83785000.0,477617000.0,,,158398000.0,,319219000.0,554282000.0,72293000.0,22486000.0,,6022000.0,43785000.0,481989000.0,,,,,,,,22334000.0,0,22334000.0,,,576616000.0,1904000.0,1904000.0,,-4685000.0,-4685000.0,,-1180000.0,-1180000.0,,-154000.0,-4115000.0,-3961000.0,,-17347000.0,0,-17347000.0,-17347000.0,,
KORE,2024-04-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001855457-24-000015,276610000.0,0.0,,,,395371000.0,,,,266808000.0,,58363000.0,,208445000.0,-118761000.0,,,-167042000.0,276610000.0,,,,,,,-4158000.0,7254000.0,-11412000.0,,,,,,,,,-167042000.0,0,,-167042000.0,,-167042000.0,0.0,,0.0,-1.99,-1.99,83808227.0,83808227.0,,586984000.0,101987000.0,,,8215000.0,7411000.0,86361000.0,484997000.0,,10956000.0,167587000.0,,306454000.0,550011000.0,74499000.0,23983000.0,,4623000.0,45893000.0,475512000.0,305000000.0,170512000.0,,,,,,36973000.0,0,36973000.0,,,586984000.0,-6419000.0,-6419000.0,,-20230000.0,-20230000.0,,18906000.0,18906000.0,,173000.0,-7570000.0,-7743000.0,,-166722000.0,0,-166722000.0,-166722000.0,,
KORE,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001855457-23-000037,68633000.0,0.0,,,,156486000.0,,,,125490000.0,32778000.0,14457000.0,,78255000.0,-87853000.0,,,-95361000.0,68633000.0,,,,,,,-3093000.0,,,,,10615000.0,,,,,,-95361000.0,0,,-95361000.0,,-95361000.0,0.0,,0.0,-1.1,-1.1,86655279.0,86655279.0,,586176000.0,92226000.0,,,9925000.0,9114000.0,73187000.0,493950000.0,,,176028000.0,,317922000.0,515070000.0,62838000.0,22455000.0,,,40383000.0,452232000.0,,,,,,,,71106000.0,0,71106000.0,,,586176000.0,3190000.0,3190000.0,,-5351000.0,-5351000.0,,-1105000.0,-1105000.0,,-169000.0,-3435000.0,-3266000.0,,-95591000.0,0,-95591000.0,-95591000.0,,
KORE,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001855457-23-000017,69536000.0,0.0,,,,79120000.0,,,,47404000.0,32892000.0,14512000.0,,,-9584000.0,,,-19499000.0,69536000.0,,,,,,,-495000.0,,,,,10407000.0,,,,,,-19499000.0,0,,-19499000.0,,-19499000.0,0.0,,0.0,-0.24,-0.24,79849299.0,79849299.0,,671270000.0,88836000.0,,,7368000.0,8400000.0,73068000.0,582434000.0,,,185173000.0,,397261000.0,508239000.0,53979000.0,21600000.0,,,32379000.0,0.0,,,,,,,,163031000.0,0,163031000.0,,,671270000.0,-609000.0,-609000.0,,-5406000.0,-5406000.0,,-1330000.0,-1330000.0,,-115000.0,-7460000.0,-7345000.0,,-19369000.0,0,-19369000.0,-19369000.0,,
KORE,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-016867,65975000.0,0.0,,,,74642000.0,,,,44325000.0,30200000.0,14125000.0,,,-8667000.0,,,-18490000.0,65975000.0,,,,,,,-369000.0,,-1994000.0,,,10195000.0,,,,,,-18490000.0,0,,-18490000.0,,-18490000.0,0.0,,0.0,-0.24,-0.24,76524735.0,76524735.0,,676529000.0,100478000.0,,,8774000.0,,91704000.0,576051000.0,,,183252000.0,,392799000.0,511834000.0,55077000.0,23264000.0,,,31813000.0,0.0,,,,,,,,164695000.0,0,164695000.0,,,676529000.0,1912000.0,1912000.0,,-4839000.0,-4839000.0,,-1324000.0,-1324000.0,,202000.0,-4049000.0,-4251000.0,,-18362000.0,0,-18362000.0,-18362000.0,,
KORE,2023-04-07,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-011103,268447000.0,385064000.0,,,,385064000.0,,,,224793000.0,112220000.0,54499000.0,,58074000.0,-85500000.0,,,-106200000.0,-116617000.0,,,,,,,-10417000.0,5772000.0,-16189000.0,,,31371000.0,,,,,,-106200000.0,0,,-106200000.0,,-106200000.0,0.0,,0.0,-1.4,-1.4,75710904.0,75710904.0,,688736000.0,103220000.0,,,10051000.0,8362000.0,84807000.0,585516000.0,,,192504000.0,,393012000.0,508064000.0,48808000.0,17835000.0,,4804000.0,26169000.0,459256000.0,425408000.0,33848000.0,,,,,,180672000.0,0,180672000.0,0.0,0.0,688736000.0,16356000.0,16356000.0,,-62547000.0,-62547000.0,,-4694000.0,-4694000.0,,-451000.0,-51336000.0,-50885000.0,,-109127000.0,0,-109127000.0,-109127000.0,,
