ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
LBTYB,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001570585-25-000114,1171200000.0,2564500000.0,403400000.0,,,1110500000.0,767800000.0,,-1454000000.0,707100000.0,285400000.0,232200000.0,,189500000.0,60700000.0,,-1245300000.0,-1323300000.0,-1393300000.0,0.0,,,,,-148000000.0,-70000000.0,,-97800000.0,,,,,,,,,-1323300000.0,14000000.0,,-1337300000.0,,-1337300000.0,0,,0,-3.84,-3.84,348407676.0,348407676.0,,25970600000.0,3116500000.0,,,,,,22854100000.0,,,,,,13129300000.0,3288200000.0,361100000.0,,,2927100000.0,9841100000.0,9339200000.0,501900000.0,,,,,,12841300000.0,192500000.0,12648800000.0,,,25970600000.0,129200000.0,129200000.0,0.0,52500000.0,52500000.0,0.0,-66200000.0,-66200000.0,0.0,50800000.0,166300000.0,115500000.0,0.0,298600000.0,14000000.0,284600000.0,1621900000.0,,
LBTYB,2025-02-18,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001570585-25-000021,4341900000.0,2503600000.0,1450700000.0,,,4402000000.0,2891200000.0,,1898400000.0,2951300000.0,1138600000.0,1002000000.0,,810700000.0,-60100000.0,,2043900000.0,1869100000.0,1838300000.0,-223200000.0,,-223200000.0,0.0,,-205600000.0,-30800000.0,22300000.0,-53100000.0,,,,,,,,,1645900000.0,57900000.0,,1588000000.0,,1588000000.0,0,,0,4.33,4.23,366731510.0,375182221.0,,25439700000.0,3300300000.0,,,,,,22139400000.0,,,,,,12895400000.0,3133900000.0,371200000.0,,,2762700000.0,9761500000.0,9066900000.0,694600000.0,,,,,,12544300000.0,178400000.0,12365900000.0,,,25439700000.0,2032900000.0,1331200000.0,701700000.0,684700000.0,1145500000.0,-460800000.0,-2250100000.0,-806200000.0,-1443900000.0,-64000000.0,403500000.0,1670500000.0,-1203000000.0,-903700000.0,57900000.0,-961600000.0,-2549600000.0,,-2549600000.0
LBTYB,2024-05-01,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001570585-24-000136,1091300000.0,456800000.0,672100000.0,,,1922500000.0,1273000000.0,,531300000.0,1103600000.0,427600000.0,480700000.0,,342100000.0,-12300000.0,,561900000.0,634500000.0,553900000.0,,,,,,-8000000.0,26900000.0,,3800000.0,,,253500000.0,,,,,,527000000.0,17000000.0,,510000000.0,,510000000.0,0,,0,1.35,1.32,377747016.0,385109631.0,,40559700000.0,4869400000.0,,,,,,35690300000.0,,,,,,22168300000.0,3803900000.0,537300000.0,,,3266600000.0,0.0,15468100000.0,2896300000.0,,,,,,18391400000.0,-37700000.0,18429100000.0,,,40559700000.0,245700000.0,245700000.0,,-211700000.0,-211700000.0,,-284000000.0,-284000000.0,,,-250000000.0,-250000000.0,,-499400000.0,17600000.0,-517000000.0,-1026400000.0,,
LBTYB,2024-02-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001570585-24-000022,7491400000.0,11215600000.0,2384700000.0,,,7735900000.0,5106700000.0,,-3479700000.0,5351200000.0,1761000000.0,2315200000.0,,1275000000.0,-244500000.0,,-1704900000.0,-3873800000.0,-3724200000.0,0.0,,0.0,0.0,,-2019300000.0,149600000.0,182700000.0,-33100000.0,,,907900000.0,,,,,,-3873800000.0,177900000.0,,-4051700000.0,,-4051700000.0,0,,0,-9.52,-9.52,425679037.0,425679037.0,,42087900000.0,5641600000.0,,,,,,36446300000.0,,,,,,23080500000.0,4332800000.0,689800000.0,,,3643000000.0,18747700000.0,15707900000.0,3039800000.0,,,,,,19007400000.0,-55200000.0,19062600000.0,,,42087900000.0,2165900000.0,2165900000.0,0.0,-1845000000.0,-1845000000.0,0.0,-692400000.0,-692400000.0,0.0,62000000.0,-309500000.0,-371500000.0,0.0,-2217700000.0,177100000.0,-2394800000.0,1656100000.0,-800000.0,1656900000.0
LBTYB,2023-10-31,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001570585-23-000417,1854500000.0,1033500000.0,550000000.0,,,1881900000.0,1304500000.0,,848400000.0,1331900000.0,423700000.0,584000000.0,,324200000.0,-27400000.0,,1061800000.0,822700000.0,821000000.0,0.0,,0.0,0.0,,-240800000.0,-1700000.0,,-46900000.0,,,241400000.0,,,,,,822700000.0,163500000.0,,659200000.0,,659200000.0,0,,0,1.58,1.57,416014282.0,420973362.0,,42696400000.0,5428000000.0,,,,,,37268400000.0,,,,,,21848800000.0,3730800000.0,585800000.0,,,3145000000.0,18118000000.0,15135500000.0,2982500000.0,,,,,,20847600000.0,-73700000.0,20921300000.0,,,42696400000.0,327100000.0,327100000.0,0.0,519900000.0,519900000.0,0.0,-638100000.0,-638100000.0,0.0,-32200000.0,176700000.0,208900000.0,0.0,-663900000.0,162300000.0,-826200000.0,-1486600000.0,,
LBTYB,2023-07-24,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001570585-23-000351,1848000000.0,2200100000.0,555700000.0,,,1897200000.0,1292300000.0,,-302900000.0,1341500000.0,442100000.0,570900000.0,,328500000.0,-49200000.0,,-490400000.0,-511300000.0,-352100000.0,0.0,,0.0,0.0,,138300000.0,159200000.0,,115200000.0,,,213700000.0,,,,,,-511300000.0,-11700000.0,,-499600000.0,,-511300000.0,0,,0,-1.13,-1.13,441780412.0,441780412.0,,43936500000.0,5943200000.0,,,,,,37993300000.0,,,,,,21995800000.0,4088100000.0,616200000.0,,,3471900000.0,0.0,14650300000.0,3257400000.0,,,,,,21940700000.0,84500000.0,21856200000.0,,,43936500000.0,691800000.0,691800000.0,0.0,-63100000.0,-63100000.0,0.0,-518800000.0,-518800000.0,0.0,9100000.0,119000000.0,109900000.0,0.0,-21100000.0,-11600000.0,-9500000.0,490200000.0,,
LBTYB,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001570585-23-000186,1868400000.0,2569400000.0,570700000.0,,,1831000000.0,1297700000.0,,-738400000.0,1260300000.0,415400000.0,526900000.0,,318000000.0,37400000.0,,-462400000.0,-713500000.0,-701000000.0,0.0,,0.0,0.0,,-238600000.0,12500000.0,,-27600000.0,,,200900000.0,,,,,,-713500000.0,7900000.0,,-721400000.0,,-713500000.0,0,,0,-1.59,-1.59,454394944.0,454394944.0,,43805800000.0,5659900000.0,,,,,,38145900000.0,,,,,,21436300000.0,3705000000.0,478500000.0,,,3226500000.0,0.0,14596900000.0,3134400000.0,,,,,,22369500000.0,147100000.0,22222400000.0,,,43805800000.0,307800000.0,307800000.0,0.0,-1423200000.0,-1423200000.0,0.0,813800000.0,813800000.0,0.0,22000000.0,-279600000.0,-301600000.0,0.0,-15900000.0,8400000.0,-24300000.0,697600000.0,,
LBTYB,2023-02-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001570585-23-000028,7195700000.0,5771500000.0,2085700000.0,,,7048900000.0,5110000000.0,,1277400000.0,4963200000.0,1618500000.0,2171400000.0,,1173300000.0,146800000.0,,2692000000.0,1105300000.0,1424200000.0,881000000.0,,34600000.0,846400000.0,,-1267800000.0,318900000.0,146400000.0,172500000.0,,,589300000.0,,,,,,1986300000.0,513100000.0,,1473200000.0,,1473200000.0,0,,0,3.01,2.96,489555582.0,496988850.0,,42895000000.0,6297400000.0,,,,,,36597600000.0,,,,,,20321600000.0,3921000000.0,610100000.0,,,3310900000.0,16400600000.0,13327100000.0,3073500000.0,,,,,,22573400000.0,137000000.0,22436400000.0,,,42895000000.0,2837800000.0,2786700000.0,51100000.0,1281000000.0,1296600000.0,-15600000.0,-3276000000.0,-3273400000.0,-2600000.0,-27700000.0,815100000.0,809900000.0,32900000.0,-1390300000.0,515300000.0,-1905600000.0,-3376600000.0,2200000.0,-3378800000.0
LBTYB,2022-11-01,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001570585-22-000292,1746300000.0,-750200000.0,484300000.0,,,1637400000.0,1262000000.0,,2387600000.0,1153100000.0,365100000.0,506000000.0,,282000000.0,108900000.0,,1995500000.0,2431700000.0,2496500000.0,0.0,,0.0,0.0,,501000000.0,64800000.0,,38300000.0,,,149700000.0,,,,,,2431700000.0,83700000.0,,2348000000.0,,2348000000.0,0,,0,4.92,4.87,477176983.0,482515940.0,,42618400000.0,5470500000.0,,,,,,37147900000.0,,,,,,19129300000.0,3385000000.0,502600000.0,,,2882400000.0,15744300000.0,12814200000.0,2930100000.0,,,,,,23489100000.0,112400000.0,23376700000.0,,,42618400000.0,540500000.0,540500000.0,0.0,-633500000.0,-633500000.0,0.0,-628000000.0,-628000000.0,0.0,-76000000.0,-731700000.0,-655700000.0,0.0,-835500000.0,83700000.0,-919200000.0,-3267200000.0,,
LBTYB,2022-07-28,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001570585-22-000237,1754200000.0,-591600000.0,480600000.0,,,1729700000.0,1273600000.0,,2321300000.0,1249100000.0,405800000.0,517700000.0,,325600000.0,24500000.0,,2264700000.0,2282200000.0,2345800000.0,848900000.0,,0.0,848900000.0,,81100000.0,63600000.0,,20900000.0,,,132900000.0,,,,,,3131100000.0,344500000.0,,2786600000.0,,3131100000.0,0,,0,5.56,5.47,501406664.0,509442605.0,,44159600000.0,5604500000.0,,,,,,38555100000.0,,,,,,19354000000.0,3586300000.0,513400000.0,,,3072900000.0,0.0,12807600000.0,2960100000.0,,,,,,24805600000.0,29600000.0,24776000000.0,,,44159600000.0,757400000.0,757400000.0,0.0,2620700000.0,2620700000.0,0.0,-1776300000.0,-1776300000.0,0.0,-54800000.0,1492200000.0,1547000000.0,0.0,415200000.0,351800000.0,63400000.0,-2715900000.0,,
