ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
LCUT,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-023821,140085000.0,144428000.0,89448000.0,,,144428000.0,50637000.0,,,49538000.0,31468000.0,5698000.0,,12372000.0,1099000.0,,-4343000.0,-4201000.0,-4343000.0,,,,,,0.0,-142000.0,,,,,4915000.0,,,,,,-4201000.0,0,,-4201000.0,,-4201000.0,0,,0,-0.19,-0.19,21592000.0,21592000.0,,594593000.0,340605000.0,,,210053000.0,,130552000.0,253988000.0,,15481000.0,,,238507000.0,368917000.0,124183000.0,45524000.0,,,78659000.0,244734000.0,,,,,,,,225676000.0,0,225676000.0,,,594593000.0,16711000.0,16711000.0,,-1573000.0,-1573000.0,,-7767000.0,-7767000.0,,75000.0,7446000.0,7371000.0,,-3909000.0,0,-3909000.0,292000.0,,
LCUT,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-046301,183837000.0,181986000.0,116420000.0,,,181986000.0,67417000.0,,,58804000.0,38770000.0,6408000.0,,13626000.0,8613000.0,,1851000.0,344000.0,1851000.0,,,,,,0.0,1507000.0,,0.0,,,5834000.0,,,,,,344000.0,0,,344000.0,,344000.0,0,,0,0.02,0.02,21562000.0,21610000.0,,668738000.0,399945000.0,,,235015000.0,,164930000.0,268793000.0,,16562000.0,,,252231000.0,447820000.0,169721000.0,79608000.0,,,90113000.0,278099000.0,,,,,,,,220918000.0,0,220918000.0,,,668738000.0,-22667000.0,-22667000.0,,-506000.0,-506000.0,,25664000.0,25664000.0,,97000.0,2588000.0,2491000.0,,1026000.0,0,1026000.0,682000.0,,
LCUT,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-036161,141666000.0,159890000.0,87116000.0,,,159890000.0,54550000.0,,,53383000.0,38331000.0,4894000.0,,10158000.0,1167000.0,,-18224000.0,-18167000.0,-18224000.0,,,,,,0.0,-57000.0,,,,,5157000.0,,,,,,-18167000.0,0,,-18167000.0,,-18167000.0,0,,0,-0.85,-0.85,21421000.0,21421000.0,,616964000.0,343296000.0,,,208480000.0,,134816000.0,273668000.0,,15689000.0,,,257979000.0,-219805000.0,145835000.0,59523000.0,,,86312000.0,0.0,,,,,,,,219805000.0,0,219805000.0,,,616964000.0,10417000.0,10417000.0,,-498000.0,-498000.0,,-11147000.0,-11147000.0,,-15000.0,-1243000.0,-1228000.0,,-3928000.0,0,-3928000.0,14239000.0,,
LCUT,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-022257,142242000.0,146200000.0,84695000.0,,,146200000.0,57547000.0,,,55717000.0,39536000.0,4939000.0,,11242000.0,1830000.0,,-3958000.0,-6260000.0,-3958000.0,,,,,,-2092000.0,210000.0,,,,,5614000.0,,,,,,-6260000.0,0,,-6260000.0,,-6260000.0,0,,0,-0.29,-0.29,21377000.0,21377000.0,,602666000.0,322019000.0,,,189820000.0,,132199000.0,280647000.0,,16356000.0,,,264291000.0,-223701000.0,123022000.0,32855000.0,,,90167000.0,0.0,,,,,,,,223701000.0,0,223701000.0,,,602666000.0,10513000.0,10513000.0,,-600000.0,-600000.0,,-21399000.0,-21399000.0,,-64000.0,-11550000.0,-11486000.0,,-6006000.0,0,-6006000.0,254000.0,,
LCUT,2024-03-12,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-010568,686683000.0,676208000.0,432044000.0,,,676208000.0,254639000.0,,,222698000.0,152648000.0,19571000.0,,50479000.0,31941000.0,,10475000.0,4253000.0,10475000.0,,,,,,-12665000.0,6222000.0,,-2130000.0,,,21728000.0,,,,,,-8412000.0,0,,-8412000.0,,-8412000.0,0,,0,-0.4,-0.4,21195000.0,21195000.0,,667142000.0,376355000.0,,,188647000.0,,187708000.0,290787000.0,,16970000.0,165896000.0,,107921000.0,436263000.0,151968000.0,54154000.0,,12434000.0,85380000.0,284295000.0,150000000.0,134295000.0,,,,,,230879000.0,0,230879000.0,,,667142000.0,56431000.0,56431000.0,,-2801000.0,-2801000.0,,-61062000.0,-61062000.0,,23000.0,-7409000.0,-7432000.0,,-6057000.0,0,-6057000.0,2355000.0,,
LCUT,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-038268,191669000.0,183401000.0,120718000.0,,,183401000.0,70951000.0,,,57339000.0,40214000.0,4821000.0,,12304000.0,13612000.0,,8268000.0,5253000.0,8268000.0,,,,,,-1047000.0,3015000.0,,,,,5246000.0,,,,,,4206000.0,0,,4206000.0,,4206000.0,0,,0,0.2,0.2,21216000.0,21293000.0,,691668000.0,390863000.0,,,217696000.0,,173167000.0,300805000.0,,16824000.0,,,283981000.0,465251000.0,153959000.0,57188000.0,,,96771000.0,311292000.0,,,,,,,,226417000.0,0,226417000.0,,,691668000.0,-12032000.0,-12032000.0,,-772000.0,-772000.0,,4068000.0,4068000.0,,-68000.0,-8804000.0,-8736000.0,,3411000.0,0,3411000.0,-795000.0,,
LCUT,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-027243,146436000.0,145851000.0,90445000.0,,,145851000.0,55991000.0,,,51595000.0,35863000.0,4925000.0,,10807000.0,4396000.0,,585000.0,-6520000.0,585000.0,,,,,,-5863000.0,1242000.0,,,,,5528000.0,,,,,,-6520000.0,0,,-6520000.0,,-6520000.0,0,,0,-0.31,-0.31,21123000.0,21123000.0,,665238000.0,357541000.0,,,212527000.0,,145014000.0,307697000.0,,17422000.0,,,290275000.0,-223051000.0,135179000.0,48396000.0,,,86783000.0,0.0,,,,,,,,223051000.0,0,223051000.0,,,665238000.0,16888000.0,16888000.0,,-482000.0,-482000.0,,-42171000.0,-42171000.0,,-71000.0,-25836000.0,-25765000.0,,-5572000.0,0,-5572000.0,948000.0,,
LCUT,2023-05-10,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-017221,145435000.0,152811000.0,91593000.0,,,152811000.0,53842000.0,,,55648000.0,37907000.0,4870000.0,,12871000.0,-1806000.0,,-7376000.0,-8805000.0,-7376000.0,,,,,,-2777000.0,-1348000.0,,,,,5336000.0,,,,,,-8805000.0,0,,-8805000.0,,-8805000.0,0,,0,-0.41,-0.41,21225000.0,21225000.0,,706334000.0,388303000.0,,,209858000.0,,178445000.0,318031000.0,,18076000.0,,,299955000.0,-228661000.0,120376000.0,30953000.0,,,89423000.0,0.0,,,,,,,,228661000.0,0,228661000.0,,,706334000.0,12105000.0,12105000.0,,-511000.0,-511000.0,,5707000.0,5707000.0,,59000.0,17360000.0,17301000.0,,-8385000.0,0,-8385000.0,420000.0,,
LCUT,2023-03-09,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-007371,727662000.0,718633000.0,467346000.0,,,718633000.0,260316000.0,,,236053000.0,154545000.0,19536000.0,,61972000.0,24263000.0,,9029000.0,3301000.0,9029000.0,,,,,,-9467000.0,5728000.0,,-3825000.0,,,17205000.0,,,,,,-6166000.0,0,,-6166000.0,,-6166000.0,0,,0,-0.29,-0.29,21558000.0,21558000.0,,725888000.0,400256000.0,,,222209000.0,,178047000.0,325632000.0,,18022000.0,180650000.0,,126960000.0,485800000.0,129906000.0,38052000.0,,9789000.0,82065000.0,355894000.0,,,,,,,,240088000.0,0,240088000.0,,,725888000.0,24319000.0,24319000.0,,-20931000.0,-20931000.0,,-7617000.0,-7617000.0,,-155000.0,-4384000.0,-4229000.0,,-8471000.0,0,-8471000.0,-2305000.0,,
LCUT,2022-11-03,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-22-028208,186590000.0,182944000.0,118757000.0,,,182944000.0,67833000.0,,,60243000.0,36462000.0,4598000.0,,19183000.0,7590000.0,,3646000.0,1801000.0,3646000.0,,,,,,-8159000.0,1845000.0,,,,,4581000.0,,,,,,-6358000.0,0,,-6358000.0,,-6358000.0,0,,0,-0.3,-0.3,21522000.0,21522000.0,,756928000.0,423670000.0,,,269723000.0,,153947000.0,333258000.0,,17737000.0,184289000.0,,131232000.0,520629000.0,135936000.0,42960000.0,,,92976000.0,384693000.0,,,,,,,,236299000.0,0,236299000.0,,,756928000.0,-11228000.0,-11228000.0,,-496000.0,-496000.0,,10682000.0,10682000.0,,-225000.0,-1267000.0,-1042000.0,,-8661000.0,0,-8661000.0,-2303000.0,,
