ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
LINK,2025-05-13,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-001225,2664000.0,3508000.0,1715000.0,,,3508000.0,949000.0,,5000.0,1798000.0,1364000.0,,434000.0,,-849000.0,,,-805000.0,-844000.0,,,,,,,-39000,,,,,,,,,,,-805000.0,0,,-805000.0,,-905000.0,100000,,100000,-0.09,-0.09,9864000.0,9864000.0,,12472000.0,6394000.0,,,1840000.0,,4554000.0,6078000.0,,576000,,,5502000.0,2707000.0,1592000.0,767000.0,,,825000.0,1115000.0,,,,,,,,9765000.0,0,9765000.0,,,12472000.0,-271000.0,-271000.0,,-29000.0,-29000.0,,-100000.0,-100000.0,,35000,-365000.0,-400000.0,,-635000.0,0,-635000.0,170000.0,,
LINK,2025-03-27,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-000511,11679000.0,13636000.0,6833000.0,,,13636000.0,4846000.0,,93000.0,6896000.0,4844000.0,,2052000.0,,-2050000.0,,,-1984000.0,-1957000.0,,,,,,,27000,197000.0,-170000.0,,,,,,,,,-1984000.0,0,,-1984000.0,,-2384000.0,400000,,400000,-0.24,-0.24,9862000.0,9862000.0,,13116000.0,6899000.0,,,2009000.0,,4890000.0,6217000.0,,411000,,,5806000.0,2623000.0,1390000.0,573000.0,,,817000.0,1233000.0,,,,,,,,10493000.0,0,10493000.0,,,13116000.0,-367000.0,-367000.0,,-491000.0,-491000.0,,-400000.0,-400000.0,,-99000,-1357000.0,-1258000.0,,-2169000.0,0,-2169000.0,-185000.0,,
LINK,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-001798,2671000.0,3166000.0,1566000.0,,,3166000.0,1105000.0,,-19000.0,1581000.0,1095000.0,,486000.0,,-476000.0,,,-523000.0,-495000.0,,,,,,,28000,,,,,,,,,,,-523000.0,0,,-523000.0,,-623000.0,100000,,100000,-0.06,-0.06,9862000.0,9862000.0,,14121000.0,7721000.0,,,2494000.0,,5227000.0,6400000.0,,314000,,,6086000.0,2655000.0,1254000.0,367000.0,,,887000.0,1401000.0,,,,,,,,11466000.0,0,11466000.0,,,14121000.0,-68000.0,-68000.0,,-87000.0,-87000.0,,-100000.0,-100000.0,,105000,-150000.0,-255000.0,,-125000.0,0,-125000.0,-125000.0,,
LINK,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-001230,2898000.0,3195000.0,1593000.0,,,3195000.0,1305000.0,,16000.0,1618000.0,1108000.0,,510000.0,,-313000.0,,,-307000.0,-297000.0,,,,,,,10000,,,,,,,,,,,-307000.0,0,,-307000.0,,-407000.0,100000,,100000,-0.04,-0.04,9860000.0,9860000.0,,14241000.0,8295000.0,,,2555000.0,,5740000.0,5946000.0,,254000,,,5692000.0,2572000.0,1440000.0,360000.0,,,1080000.0,1132000.0,,,,,,,,11669000.0,0,11669000.0,,,14241000.0,-298000.0,-298000.0,,-2000.0,-2000.0,,-100000.0,-100000.0,,-7000,-407000.0,-400000.0,,-316000.0,0,-316000.0,-316000.0,,
LINK,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000702,3124000.0,3843000.0,1871000.0,,,3843000.0,1253000.0,,32000.0,2004000.0,1428000.0,,576000.0,,-751000.0,,,-741000.0,-719000.0,,,,,,,22000,,,,,,,,,,,-741000.0,0,,-741000.0,,-841000.0,100000,,100000,-0.09,-0.09,9860000.0,9860000.0,,14498000.0,9077000.0,,,2570000.0,,6507000.0,5421000.0,,289000,,,5132000.0,2418000.0,1835000.0,965000.0,,,870000.0,583000.0,,,,,,,,12080000.0,0,12080000.0,,,14498000.0,222000.0,222000.0,,-18000.0,-18000.0,,-100000.0,-100000.0,,-41000,63000.0,104000.0,,-848000.0,0,-848000.0,-107000.0,,
LINK,2024-03-25,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001104659-24-038475,13940000.0,14215000.0,7381000.0,,,14215000.0,6559000.0,,164000.0,6998000.0,4672000.0,,2326000.0,,-439000.0,,,-383000.0,-275000.0,,,,,,,108000,191000.0,-83000.0,,,,,,,,,-383000.0,0,,-383000.0,,-783000.0,400000,,400000,-0.08,-0.08,9887000.0,9887000.0,,15062000.0,9328000.0,,,2476000.0,,6852000.0,5734000.0,,313000,,,5421000.0,2034000.0,1375000.0,464000.0,,,911000.0,659000.0,,,,,,,,13028000.0,0,13028000.0,,,15062000.0,-116000.0,-116000.0,,-4885000.0,-4885000.0,,-750000.0,-750000.0,,-36000,-5787000.0,-5751000.0,,-85000.0,0,-85000.0,298000.0,,
LINK,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001104659-23-116252,3075000.0,3141000.0,1616000.0,,,3141000.0,1459000.0,,26000.0,1551000.0,963000.0,,588000.0,,-92000.0,,,-125000.0,-66000.0,,,,,,,59000,,,,,,,,,,,-125000.0,0,,-125000.0,,-225000.0,100000,,100000,-0.03,-0.03,6582000.0,6582000.0,,15294000.0,9930000.0,,,2875000.0,,7055000.0,5364000.0,,305000,,,5059000.0,2015000.0,1961000.0,909000.0,,,1052000.0,54000.0,,,,,,,,13279000.0,0,13279000.0,,,15294000.0,400000.0,400000.0,,-12000.0,-12000.0,,-273000.0,-273000.0,,-14000,101000.0,115000.0,,-319000.0,0,-319000.0,-319000.0,,
LINK,2023-08-10,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001104659-23-089776,4049000.0,3579000.0,1988000.0,,,3579000.0,2061000.0,,64000.0,1655000.0,1005000.0,,650000.0,,406000.0,,,381000.0,470000.0,,,,,,,89000,,,,,,,,,,,381000.0,0,,381000.0,,281000.0,100000,,100000,0.04,0.04,6600000.0,6600000.0,,16079000.0,10445000.0,,,2940000.0,,7505000.0,5634000.0,,337000,,,5297000.0,2223000.0,2146000.0,1090000.0,,,1056000.0,77000.0,,,,,,,,13856000.0,0,13856000.0,,,16079000.0,375000.0,375000.0,,-1560000.0,-1560000.0,,-277000.0,-277000.0,,-122000,-1584000.0,-1462000.0,,394000.0,0,394000.0,394000.0,,
LINK,2023-05-11,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001104659-23-059095,3278000.0,3387000.0,1691000.0,,,3387000.0,1587000.0,,64000.0,1760000.0,1233000.0,,527000.0,,-173000.0,,,-191000.0,-109000.0,,,,,,,82000,,,,,,,,,,,-191000.0,0,,-191000.0,,-291000.0,100000,,100000,-0.04,-0.04,6610000.0,6610000.0,,18095000.0,12434000.0,,,2976000.0,,9458000.0,5661000.0,,309000,,,5352000.0,4356000.0,4273000.0,2969000.0,,,1304000.0,83000.0,,,,,,,,13739000.0,0,13739000.0,,,18095000.0,-620000.0,-620000.0,,-2750000.0,-2750000.0,,-100000.0,-100000.0,,69000,-3401000.0,-3470000.0,,-9000.0,0,-9000.0,182000.0,,
LINK,2023-03-29,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001104659-23-038308,7493000.0,5550000.0,3632000.0,,,5550000.0,3861000.0,,2611000.0,4529000.0,3309000.0,,1220000.0,,-668000.0,,,1672000.0,1943000.0,,,,,,,271000,397000.0,-126000.0,,,,,,,,,1672000.0,0,,1672000.0,,1272000.0,400000,,400000,0.19,0.19,6603000.0,6603000.0,,14983000.0,13702000.0,,,2112000.0,,11590000.0,1281000.0,,184000,,,1097000.0,1135000.0,1089000.0,273000.0,,,816000.0,46000.0,,,,,,,,13848000.0,0,13848000.0,,,14983000.0,-915000.0,-915000.0,,735000.0,735000.0,,-350000.0,-350000.0,,-161000,-691000.0,-530000.0,,1478000.0,0,1478000.0,-194000.0,,
