ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
LSF,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-015150,11654159.0,11797730.0,6772619.0,,,11797730.0,4881540.0,,74448.0,5099559.0,,66521.0,,5033038.0,-218019.0,,,-156182.0,-143571.0,,,,,,,12611.0,,,,,,,,,,,-156182.0,0,,-156182.0,,-156182.0,0.0,,0.0,-0.02,,10345495.0,,,21493031.0,20213541.0,,,9511964.0,641631.0,10059946.0,1279490.0,,109195.0,983168.0,,187127.0,8162258.0,8044597.0,,,2658983.0,5385614.0,117661.0,,,,,,,,13330773.0,0.0,13330773.0,,,21493031.0,-1274744.0,-1274744.0,,-72214.0,-72214.0,,-3832.0,-3832.0,,,-1350790.0,-1350790.0,,-156182.0,0,-156182.0,0.0,,
LSF,2025-02-26,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-005236,43295137.0,45054974.0,25607556.0,,,45054974.0,17687581.0,,413255.0,19860673.0,,,114144.0,19746529.0,-2173092.0,,,-1820161.0,-1759837.0,,,,,,,60324.0,,,,,,,,,,,-1820161.0,0,,-1820161.0,,-1820161.0,0.0,,0.0,-0.18,,9946733.0,,,19259001.0,17966628.0,,,5975676.0,568549.0,11422403.0,1292373.0,,58447.0,1028223.0,,205703.0,6062135.0,5921671.0,,,1993008.0,3928663.0,140464.0,,,,,,,,13196866.0,0.0,13196866.0,,,19259001.0,865502.0,865502.0,,-24776.0,-24776.0,,-33380.0,-33380.0,,,807346.0,807346.0,,-1820161.0,0,-1820161.0,0.0,,
LSF,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-033630,11776346.0,11937045.0,6712214.0,,,11937045.0,5064132.0,,107891.0,5332722.0,,,,,-268590.0,,,-166120.0,-160699.0,,,,,,,5421.0,,,,,,,,,,,-166120.0,0,,-166120.0,,-166120.0,0.0,,0.0,-0.02,,10256802.0,,,18750245.0,17337070.0,,,6155442.0,,11181628.0,1413175.0,,81408.0,1073277.0,,258490.0,5698141.0,5536517.0,1682851.0,,,3853666.0,161624.0,,,,,,,,13052104.0,0.0,13052104.0,,,18750245.0,305844.0,305844.0,,-5716.0,-5716.0,,73571.0,73571.0,,,373699.0,373699.0,,-166120.0,0,-166120.0,0.0,,
LSF,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-025205,10003654.0,10239206.0,5826373.0,,,10239206.0,4177281.0,,103069.0,4515902.0,,,,,-338621.0,,,-239076.0,-235552.0,,,,,,,3524.0,,,,,,,,,,,-239076.0,0,,-239076.0,,-239076.0,0.0,,0.0,-0.02,,9833001.0,,,18036945.0,16531207.0,,,6398377.0,,10132830.0,1505738.0,,96477.0,1118332.0,,290929.0,5432717.0,5250247.0,1942263.0,,,3307984.0,0.0,,,,,,,,12604228.0,0.0,12604228.0,,,18036945.0,642725.0,642725.0,,-430982.0,-430982.0,,-90857.0,-90857.0,,,120886.0,120886.0,,-239076.0,0,-239076.0,0.0,,
LSF,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-015379,9908938.0,10886503.0,5944837.0,,,10886503.0,3964101.0,,110997.0,5052663.0,,,,,-1088562.0,,,-1016522.0,-977565.0,,,,,,,38957.0,,,,,,,,,,,-1016522.0,0,,-1016522.0,,-1016522.0,0.0,,0.0,-0.11,,9401605.0,,,17646328.0,16054830.0,,,5633124.0,,10421706.0,1591498.0,,102881.0,1165610.0,,323007.0,4965875.0,4757733.0,1718574.0,,,3039159.0,0.0,,,,,,,,12680453.0,0.0,12680453.0,,,17646328.0,-422311.0,-422311.0,,417520.0,417520.0,,4791.0,4791.0,,,0.0,0.0,,-1016522.0,0,-1016522.0,0.0,,
LSF,2024-03-13,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-007658,34224198.0,44372120.0,23910921.0,,,44372120.0,10313277.0,,551064.0,21012263.0,,,219723.0,20792540.0,-10698986.0,,,-10163117.0,-10147922.0,,,,,,,15195.0,,,,,,,,,,,-10163117.0,0,,-10163117.0,,-10163117.0,0.0,,0.0,-1.09,-1.09,9297226.0,,,18031959.0,16337301.0,,,6322559.0,,10014742.0,1694658.0,,122595.0,1217331.0,,354732.0,4619340.0,4375504.0,1647673.0,,,2727831.0,243836.0,,,,,,,,13412619.0,0.0,13412619.0,,,18031959.0,-10765881.0,-10765881.0,,690307.0,690307.0,,-27422.0,-27422.0,,,-10102996.0,-10102996.0,,-10163117.0,0,-10163117.0,-10163117.0,,0.0
LSF,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-031266,9179781.0,11834665.0,6332624.0,,,11834665.0,2847157.0,,132185.0,5634226.0,,,40123.0,5594103.0,-2787069.0,,,-2654884.0,-2654884.0,,,,,,,0.0,,,,,,,,,,,-2654884.0,0,,-2654884.0,,-2654884.0,0.0,,0.0,-0.28,-0.28,9337789.0,,,19394076.0,17600301.0,,,6552571.0,,11047730.0,1793775.0,,138604.0,1269053.0,,386118.0,6393523.0,6115105.0,1869458.0,,,4245647.0,278418.0,,,,,,,,13000553.0,0.0,13000553.0,,,19394076.0,-3469069.0,4030931.0,,321753.0,321753.0,,-3929.0,-3929.0,,,-3151245.0,4348755.0,,-2654884.0,0,-2654884.0,-2654884.0,,0.0
LSF,2023-08-10,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-041270,7724091.0,11230587.0,5848023.0,,,11230587.0,1876068.0,,149109.0,5531673.0,,75579.0,82324.0,5449349.0,-3655605.0,,,-3507246.0,-3506496.0,,,,,,,750.0,,,,,,,,,,,-3507246.0,0,,-3507246.0,,-3507246.0,0.0,,0.0,-0.38,-0.38,9284585.0,9284585.0,,21792864.0,19899758.0,,,5857285.0,,14042473.0,1893106.0,,155160.0,1320774.0,,417172.0,6498434.0,6192598.0,2282983.0,,,3909615.0,0.0,,,,,,,,15294430.0,0.0,15294430.0,,,21792864.0,-1405814.0,-2805814.0,1400000.0,109969.0,109969.0,,-14727.0,-14727.0,,,-1310572.0,-2710572.0,1400000.0,-3507246.0,0,-3507246.0,0.0,,0.0
LSF,2023-05-11,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-021202,8112938.0,12244426.0,6239062.0,,,12244426.0,1873876.0,,170994.0,6176358.0,,87953.0,83866.0,6004539.0,-4302482.0,,,-4143910.0,-4131488.0,,,,,,,12422.0,,,,,,,,,,,-4143910.0,0,,-4143910.0,,-4143910.0,0.0,,0.0,-0.45,-0.45,9213723.0,9213723.0,,24952202.0,22895506.0,,,5390164.0,,17505342.0,2056696.0,,228493.0,1372496.0,,455707.0,6441875.0,6112635.0,2393088.0,,,3719547.0,0.0,,,,,,,,18510327.0,0.0,18510327.0,,,24952202.0,-6054262.0,-12154262.0,6100000.0,135737.0,135737.0,,-4410.0,-4410.0,,,-5922935.0,-12022935.0,6100000.0,-4143910.0,0,-4143910.0,0.0,,0.0
LSF,2023-03-16,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-008473,35828392.0,76145441.0,30641125.0,,,76145441.0,5187267.0,,47088.0,45551404.0,,1118071.0,427537.0,44005796.0,-40364137.0,,,-40317049.0,-40317049.0,,,,,,,,,,,,,,,,,,-40337318.0,0,,-40337318.0,,-40337318.0,0.0,,0.0,-4.41,-4.41,9146008.0,9146008.0,,30039340.0,27530911.0,,,5696565.0,,21834346.0,2508429.0,,150289.0,1424218.0,,933922.0,7528328.0,7452252.0,1080267.0,,,6371985.0,76076.0,,,,,,,,22511012.0,0.0,22511012.0,,,30039340.0,-14312439.0,-14312439.0,,8970740.0,8970740.0,,102267.0,102267.0,,,-5239432.0,-5239432.0,,-40276302.0,0,-40276302.0,61016.0,,61016.0
