ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
LYRA,2025-05-06,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-064495,183000.0,8726000.0,,,,8726000.0,,,298000.0,9024000.0,,,4876000.0,4148000.0,-8841000.0,,,-8547000.0,-8543000.0,,,,,,,4000.0,,,,,,,,,,,-8547000.0,0,,-8547000.0,,-8547000.0,0,,0,-0.13,-0.13,65757860.0,65757860.0,,56316000.0,33905000.0,,,,,,22411000.0,,1276000.0,,,21135000.0,52444000.0,11470000.0,725000.0,,,10745000.0,40974000.0,,,,,,,,3872000.0,0,3872000.0,,,56316000.0,-8842000.0,-8842000.0,,,,,,,,,-8842000.0,-8842000.0,,-8547000.0,0,-8547000.0,0.0,,
LYRA,2025-03-13,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-038751,1534000.0,94930000.0,,,,94930000.0,,,2952000.0,97882000.0,,,43766000.0,54116000.0,-96348000.0,,,-93435000.0,-93396000.0,,,,,,,39000.0,,,,,,,,,,,-93435000.0,0,,-93435000.0,,-93435000.0,0,,0,-1.43,-1.43,65113859.0,65113859.0,,66346000.0,43025000.0,,,,,,23321000.0,,1404000.0,,,21917000.0,54752000.0,12631000.0,1179000.0,,529000.0,10923000.0,42121000.0,,,,,,,,11594000.0,0,11594000.0,,,66346000.0,-70011000.0,-70011000.0,,80305000.0,80305000.0,,8531000.0,8531000.0,,,18825000.0,18825000.0,,-93468000.0,0,-93468000.0,-33000.0,,
LYRA,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-125494,195000.0,12061000.0,,,,12061000.0,,,576000.0,12637000.0,,,5902000.0,6735000.0,-12442000.0,,,-11873000.0,-11866000.0,,,,,,,7000.0,,,,,,,,,,,-11873000.0,0,,-11873000.0,,-11873000.0,0,,0,-0.18,-0.18,65456735.0,65456735.0,,78756000.0,54444000.0,,,,,,24312000.0,,1613000.0,,,22699000.0,58137000.0,14954000.0,2292000.0,,,12662000.0,43183000.0,,,,,,,,20619000.0,0,20619000.0,,,78756000.0,-16223000.0,-16223000.0,,8141000.0,8141000.0,,-23000.0,-23000.0,,,-8105000.0,-8105000.0,,-11849000.0,0,-11849000.0,-11849000.0,,
LYRA,2024-08-14,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-097042,598000.0,48717000.0,,,,48717000.0,,,855000.0,49572000.0,,,13264000.0,36308000.0,-48974000.0,,,-48131000.0,-48119000.0,,,,,,,12000.0,,,,,,,,,,,-48131000.0,0,,-48131000.0,,-48131000.0,0,,0,-0.74,-0.74,65459678.0,65459678.0,,94582000.0,69435000.0,,,,,,25147000.0,,1665000.0,,,23482000.0,63605000.0,19276000.0,4971000.0,,,14305000.0,0.0,,,,,,,,30977000.0,0,30977000.0,,,94582000.0,-19981000.0,-19981000.0,,36176000.0,36176000.0,,-89000.0,-89000.0,,,16106000.0,16106000.0,,-48131000.0,0,-48160000.0,0.0,,
LYRA,2024-04-30,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-050535,532000.0,22970000.0,,,,22970000.0,,,1086000.0,24056000.0,,,18238000.0,5818000.0,-23524000.0,,,-22452000.0,-22438000.0,,,,,,,14000.0,,,,,,,,,,,-22452000.0,0,,-22452000.0,,-22452000.0,0,,0,-0.35,-0.35,64011360.0,64011360.0,,141527000.0,89443000.0,,,,,,52084000.0,,3783000.0,,,48301000.0,64023000.0,18724000.0,2844000.0,,,15880000.0,0.0,,,,,,,,77504000.0,0,77504000.0,,,141527000.0,-22455000.0,-22455000.0,,7857000.0,7857000.0,,8644000.0,8644000.0,,,-5954000.0,-5954000.0,,-22452000.0,0,-22460000.0,0.0,,
LYRA,2024-03-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-035047,1558000.0,64179000.0,,,,64179000.0,,,4499000.0,68678000.0,,,48029000.0,20649000.0,-67120000.0,,,-62680000.0,-62621000.0,,,,,,,59000.0,,,,,,,,,,,-62680000.0,0,,-62680000.0,,-62680000.0,0,,0,-1.26,-1.26,49804283.0,49804283.0,,142600000.0,104821000.0,,,,,,37779000.0,,2043000.0,,,35736000.0,53180000.0,19597000.0,3131000.0,,4670000.0,11796000.0,33583000.0,,,,,,,,89420000.0,0,89420000.0,,,142600000.0,-63304000.0,-63304000.0,,-12584000.0,-12584000.0,,65691000.0,65691000.0,,,-10197000.0,-10197000.0,,-62657000.0,0,-62657000.0,23000.0,,
LYRA,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-060298,544000.0,16179000.0,,,,16179000.0,,,1192000.0,17371000.0,,,12368000.0,5003000.0,-16827000.0,,,-15651000.0,-15635000.0,,,,,,,16000.0,,,,,,,,,,,-15651000.0,0,,-15651000.0,,-15651000.0,0,,0,-0.27,-0.27,56953685.0,56953685.0,,120575000.0,104920000.0,,,,,,15655000.0,,726000.0,,,14929000.0,36336000.0,19235000.0,5054000.0,,,14181000.0,17101000.0,,,,,,,,84239000.0,0,84239000.0,,,120575000.0,-14114000.0,-14114000.0,,-14979000.0,-14979000.0,,-418000.0,-418000.0,,,-29511000.0,-29511000.0,,-15631000.0,0,-15631000.0,-15631000.0,,
LYRA,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039830,458000.0,16064000.0,,,,16064000.0,,,897000.0,16961000.0,,,10799000.0,6162000.0,-16503000.0,,,-15618000.0,-15606000.0,,,,,,,12000.0,,,,,,,,,,,-15618000.0,0,,-15618000.0,,-15618000.0,0,,0,-0.36,-0.36,43676387.0,43676387.0,,125675000.0,118253000.0,,,,,,7422000.0,,560000.0,,,6862000.0,27098000.0,14111000.0,4188000.0,,,9923000.0,0.0,,,,,,,,98577000.0,0,98577000.0,,,125675000.0,-14282000.0,-14282000.0,,-561000.0,-561000.0,,47185000.0,47185000.0,,,32342000.0,32342000.0,,-15618000.0,0,-15633000.0,0.0,,
LYRA,2023-05-12,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-021497,410000.0,16651000.0,,,,16651000.0,,,1072000.0,17723000.0,,,12596000.0,5127000.0,-17313000.0,,,-16255000.0,-16241000.0,,,,,,,14000.0,,,,,,,,,,,-16255000.0,0,,-16255000.0,,-16255000.0,0,,0,-0.44,-0.44,36832747.0,36832747.0,,93868000.0,84799000.0,,,,,,9069000.0,,2004000.0,,,7065000.0,27777000.0,14154000.0,3951000.0,,,10203000.0,0.0,,,,,,,,66091000.0,0,66091000.0,,,93868000.0,-15850000.0,-15850000.0,,5315000.0,5315000.0,,4000.0,4000.0,,,-10531000.0,-10531000.0,,-16255000.0,0,-16277000.0,0.0,,
LYRA,2023-03-29,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-010632,1363000.0,56628000.0,,,,56628000.0,,,1041000.0,57669000.0,,,38797000.0,18872000.0,-56306000.0,,,-55278000.0,-55265000.0,,,,,,,13000.0,,,,,,,,,,,-55278000.0,0,,-55278000.0,,-55278000.0,0,,0,-1.83,-1.83,30235689.0,30235689.0,,109968000.0,100829000.0,,,,,,9139000.0,,2243000.0,,,6896000.0,29214000.0,14470000.0,2616000.0,,2975000.0,8879000.0,14744000.0,,,,,,,,80754000.0,0,80754000.0,,,109968000.0,-43385000.0,-43385000.0,,-65006000.0,-65006000.0,,96257000.0,96257000.0,,,-12134000.0,-12134000.0,,-55268000.0,0,-55268000.0,10000.0,,
