ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MCHP,2024-11-05,2025,Q2,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000827054-24-000206,1163800000.0,1072300000.0,495300000.0,,,1072300000.0,668500000.0,,,521900000.0,157000000.0,,240700000.0,124200000.0,146600000.0,,,78400000.0,91500000.0,,,,,,,13100000.0,,-41600000.0,,,59100000.0,,,,,,78400000.0,0.0,,78400000.0,,78400000.0,0,,0,0.15,0.14,536700000.0,542000000.0,,15622300000.0,2905500000.0,,,1339600000.0,,1565900000.0,12716800000.0,,1171200000.0,2654500000.0,,8891100000.0,9346400000.0,3285700000.0,204200000.0,,101200000.0,2980300000.0,6060700000.0,6422900000.0,,,,,,,6275900000.0,0.0,6275900000.0,,,15622300000.0,43600000.0,43600000.0,,-64200000.0,-64200000.0,,-8400000.0,-8400000.0,,,-29000000.0,-29000000.0,,74300000.0,0.0,74300000.0,74300000.0,,-4100000.0
MCHP,2024-08-01,2025,Q1,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000827054-24-000139,1241300000.0,1079500000.0,504400000.0,,,1079500000.0,736900000.0,,,517800000.0,150500000.0,,241700000.0,125600000.0,219100000.0,,,129300000.0,161800000.0,,,,,,,32500000.0,,-8100000.0,,,61800000.0,,,,,,129300000.0,0.0,,129300000.0,,129300000.0,0,,0,0.24,0.24,536700000.0,542800000.0,,15839700000.0,2948300000.0,,,1308000000.0,,1640300000.0,12891400000.0,,1196200000.0,2775500000.0,,8919700000.0,-6406000000.0,1520300000.0,196400000.0,,132100000.0,1191800000.0,0.0,6167900000.0,1745500000.0,,,,,,6406000000.0,0.0,6406000000.0,,,15839700000.0,377100000.0,377100000.0,,-125500000.0,-125500000.0,,-256200000.0,-256200000.0,,,-4600000.0,-4600000.0,,129300000.0,0.0,129100000.0,0.0,,-200000.0
MCHP,2024-05-23,2024,FY,2023-04-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000827054-24-000098,7634400000.0,5268500000.0,2638700000.0,,,5268500000.0,4995700000.0,,,2424700000.0,734200000.0,,1097400000.0,593100000.0,2571000000.0,,,1906900000.0,2365900000.0,,,,,,,459000000.0,486200000.0,-27200000.0,,,198300000.0,,,,,,1906900000.0,0.0,,1906900000.0,,1906900000.0,0,,0,3.52,3.48,542000000.0,548000000.0,1.682,15873200000.0,3013000000.0,,,1316000000.0,,1697000000.0,12860200000.0,,1194600000.0,2781800000.0,,8883800000.0,9215400000.0,2519400000.0,213000000.0,,,2306400000.0,6696000000.0,5999800000.0,696200000.0,,,,,,6657800000.0,0.0,6657800000.0,,,15873200000.0,2892700000.0,2892700000.0,,-392100000.0,-392100000.0,,-2414900000.0,-2414900000.0,,,85700000.0,85700000.0,,1907500000.0,0.0,1907500000.0,1907500000.0,,600000.0
MCHP,2024-02-01,2024,Q3,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000827054-24-000024,1765700000.0,1281400000.0,645700000.0,,,1281400000.0,1120000000.0,,,590600000.0,172200000.0,,266000000.0,152400000.0,529400000.0,,,419200000.0,484300000.0,,,,,,,65100000.0,,17100000.0,,,49200000.0,,,,,,419200000.0,0.0,,419200000.0,,419200000.0,0,,0,0.78,0.77,540800000.0,546500000.0,,16143000000.0,3219600000.0,,,1311100000.0,,1908500000.0,12923400000.0,,1208300000.0,2936500000.0,,8778600000.0,9062800000.0,3293200000.0,242200000.0,,,3051000000.0,5769600000.0,5695400000.0,74200000.0,,,,,,7080200000.0,0.0,7080200000.0,,,16143000000.0,853300000.0,853300000.0,,-86200000.0,-86200000.0,,-742700000.0,-742700000.0,,,24400000.0,24400000.0,,417200000.0,0.0,417200000.0,417200000.0,,-2000000.0
MCHP,2023-11-02,2024,Q2,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000827054-23-000185,2254300000.0,1420700000.0,726900000.0,,,1420700000.0,1527400000.0,,,642400000.0,196600000.0,,292600000.0,153200000.0,885000000.0,,,666600000.0,833600000.0,,,,,,,167000000.0,,3100000.0,,,46800000.0,,,,,,666600000.0,0.0,,666600000.0,,666600000.0,0,,0,1.23,1.21,543100000.0,549200000.0,,16601400000.0,3526400000.0,,,1330900000.0,,2195500000.0,13075000000.0,,1206900000.0,3088800000.0,,8779300000.0,-6968500000.0,3412600000.0,283500000.0,,,3129100000.0,0.0,6075800000.0,144500000.0,,,,,,6968500000.0,0.0,6968500000.0,,,16601400000.0,616200000.0,616200000.0,,-93800000.0,-93800000.0,,-537000000.0,-537000000.0,,,-14600000.0,-14600000.0,,666600000.0,0.0,668200000.0,0.0,,1600000.0
MCHP,2023-08-03,2024,Q1,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000827054-23-000132,2288600000.0,1440300000.0,730200000.0,,,1440300000.0,1558400000.0,,,655300000.0,203600000.0,,298500000.0,153200000.0,903100000.0,,,666400000.0,848300000.0,,,,,,,181900000.0,,23900000.0,,,47200000.0,,,,,,666400000.0,0.0,,666400000.0,,666400000.0,0,,0,1.22,1.21,545100000.0,551400000.0,,16494600000.0,3269600000.0,,,1336400000.0,,1933200000.0,13225000000.0,,1185700000.0,3252800000.0,,8786500000.0,-6831300000.0,3219600000.0,281300000.0,,,2938300000.0,0.0,6030900000.0,412800000.0,,,,,,6831300000.0,0.0,6831300000.0,,,16494600000.0,993200000.0,993200000.0,,-140900000.0,-140900000.0,,-815100000.0,-815100000.0,,,37200000.0,37200000.0,,666400000.0,0.0,666100000.0,0.0,,-300000.0
MCHP,2023-05-25,2023,FY,2022-04-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000827054-23-000080,8438700000.0,5529000000.0,2740800000.0,,,5529000000.0,5697900000.0,,,2581900000.0,797700000.0,,1118300000.0,665900000.0,3116000000.0,,,2237700000.0,2909700000.0,,,,,,,672000000.0,466500000.0,205500000.0,,,203900000.0,,,,,,2237700000.0,0.0,,2237700000.0,,2237700000.0,0,,0,4.07,4.02,550400000.0,557300000.0,1.263,16370300000.0,3069300000.0,,,1324900000.0,,1744400000.0,13301000000.0,,1177900000.0,3369000000.0,,8754100000.0,9856700000.0,3118600000.0,396900000.0,,,2721700000.0,6738100000.0,6439900000.0,298200000.0,,,,,,6513600000.0,0.0,6513600000.0,,,16370300000.0,3621000000.0,3621000000.0,,-599500000.0,-599500000.0,,-3104900000.0,-3104900000.0,,,-83400000.0,-83400000.0,,2254200000.0,0.0,2254200000.0,2254200000.0,,16500000.0
MCHP,2023-02-02,2023,Q3,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000827054-23-000020,2169200000.0,1407000000.0,698400000.0,,,1407000000.0,1470800000.0,,,659200000.0,202900000.0,,282400000.0,173900000.0,811600000.0,,,580300000.0,762200000.0,,,,,,,181900000.0,,54100000.0,,,52800000.0,,,,,,580300000.0,0.0,,580300000.0,,580300000.0,0,,0,1.06,1.04,549200000.0,555400000.0,,16116100000.0,2833700000.0,,,1165400000.0,,1668300000.0,13282400000.0,,1113700000.0,3544800000.0,,8623900000.0,9804500000.0,1611100000.0,354800000.0,,,1256300000.0,8193400000.0,6588700000.0,1604700000.0,,,,,,6311600000.0,0.0,6311600000.0,,,16116100000.0,1277900000.0,1277900000.0,,-164100000.0,-164100000.0,,-1129700000.0,-1129700000.0,,,-15900000.0,-15900000.0,,574400000.0,0.0,574400000.0,574400000.0,,-5900000.0
MCHP,2022-11-03,2023,Q2,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0000827054-22-000193,2073200000.0,1374100000.0,675300000.0,,,1374100000.0,1397900000.0,,,642800000.0,202400000.0,,268600000.0,171800000.0,755100000.0,,,546200000.0,699100000.0,,,,,,,152900000.0,,56600000.0,,,53300000.0,,,,,,546200000.0,0.0,,546200000.0,,546200000.0,0,,0,0.99,0.98,551500000.0,558300000.0,,16141100000.0,2676000000.0,,,1030300000.0,,1645700000.0,13465100000.0,,1088300000.0,3704900000.0,,8671900000.0,-6103100000.0,2538400000.0,379800000.0,,,2158600000.0,0.0,7303500000.0,196100000.0,,,,,,6103100000.0,0.0,6103100000.0,,,16141100000.0,793200000.0,793200000.0,,-130800000.0,-130800000.0,,-734700000.0,-734700000.0,,,-72300000.0,-72300000.0,,546200000.0,0.0,551200000.0,0.0,,5000000.0
MCHP,2022-08-02,2023,Q1,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0000827054-22-000148,1963600000.0,1317000000.0,653700000.0,,,1317000000.0,1309900000.0,,,608600000.0,188900000.0,,269000000.0,150700000.0,701300000.0,,,507200000.0,646600000.0,,,,,,,139400000.0,,74700000.0,,,50300000.0,,,,,,507200000.0,0.0,,507200000.0,,507200000.0,0,,0,0.92,0.9,553800000.0,561500000.0,,16208400000.0,2643200000.0,,,911800000.0,,1731400000.0,13565200000.0,,994900000.0,3869400000.0,,8700900000.0,-5977900000.0,1485400000.0,304700000.0,,,1180700000.0,0.0,7563900000.0,1181200000.0,,,,,,5977900000.0,0.0,5977900000.0,,,16208400000.0,840400000.0,840400000.0,,-153800000.0,-153800000.0,,-626900000.0,-626900000.0,,,59700000.0,59700000.0,,507200000.0,0.0,511200000.0,0.0,,4000000.0
