ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MCO,2025-04-23,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001059556-25-000121,1924000000.0,1120000000.0,491000000.0,,,1078000000.0,1433000000.0,,-42000000.0,587000000.0,439000000.0,113000000.0,,35000000.0,846000000.0,,793000000.0,625000000.0,804000000.0,,,,,,11000000.0,179000000.0,,18000000.0,,,72000000.0,,,,,,625000000.0,0.0,,625000000.0,,625000000.0,0,,0,3.47,3.46,180000000.0,180700000.0,,15096000000.0,4565000000.0,,,,184000000.0,4381000000.0,10531000000.0,,671000000.0,1978000000.0,,7882000000.0,11238000000.0,2917000000.0,98000000.0,,163000000.0,2656000000.0,8321000000.0,6823000000.0,1498000000.0,,,,,,3858000000.0,158000000.0,3700000000.0,,,15096000000.0,757000000.0,757000000.0,,224000000.0,224000000.0,,-1298000000.0,-1298000000.0,,48000000.0,-269000000.0,-317000000.0,,682000000.0,-3000000.0,685000000.0,57000000.0,,
MCO,2025-02-14,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001059556-25-000025,7088000000.0,4389000000.0,1945000000.0,,,4213000000.0,5143000000.0,,-176000000.0,2268000000.0,1735000000.0,431000000.0,,102000000.0,2875000000.0,,2684000000.0,2059000000.0,2699000000.0,,,,,,15000000.0,640000000.0,702000000.0,-62000000.0,,,300000000.0,,,,,,2059000000.0,1000000.0,,2058000000.0,,2058000000.0,0,,0,11.32,11.26,181800000.0,182700000.0,3.4,15505000000.0,5290000000.0,,,,179000000.0,5111000000.0,10215000000.0,,656000000.0,1890000000.0,,7669000000.0,11778000000.0,3597000000.0,53000000.0,,133000000.0,3411000000.0,8181000000.0,7428000000.0,753000000.0,,,,,,3727000000.0,162000000.0,3565000000.0,,,15505000000.0,2838000000.0,2838000000.0,,-1056000000.0,-1056000000.0,,-1446000000.0,-1446000000.0,,-58000000.0,278000000.0,336000000.0,,1988000000.0,0.0,1988000000.0,-71000000.0,,
MCO,2024-10-23,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001059556-24-000184,1813000000.0,1110000000.0,512000000.0,,,1075000000.0,1301000000.0,,-35000000.0,563000000.0,434000000.0,108000000.0,,21000000.0,738000000.0,,695000000.0,534000000.0,703000000.0,,,,,,8000000.0,169000000.0,,-16000000.0,,,79000000.0,,,,,,534000000.0,0.0,,534000000.0,,534000000.0,0,,0,2.94,2.93,181700000.0,182500000.0,0.85,15769000000.0,5393000000.0,,,,168000000.0,5225000000.0,10376000000.0,,662000000.0,1970000000.0,,7744000000.0,11701000000.0,3235000000.0,50000000.0,,130000000.0,3055000000.0,8466000000.0,7569000000.0,897000000.0,,,,,,4068000000.0,163000000.0,3905000000.0,,,15769000000.0,703000000.0,703000000.0,,-684000000.0,-684000000.0,,-81000000.0,-81000000.0,,69000000.0,7000000.0,-62000000.0,,648000000.0,0.0,648000000.0,114000000.0,,
MCO,2024-07-24,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001059556-24-000128,1817000000.0,1098000000.0,469000000.0,,,1042000000.0,1348000000.0,,-56000000.0,573000000.0,446000000.0,110000000.0,,17000000.0,775000000.0,,717000000.0,553000000.0,719000000.0,,,,,,2000000.0,166000000.0,,0.0,,,74000000.0,,,,,,553000000.0,1000000.0,,552000000.0,,552000000.0,0,,0,3.03,3.02,182300000.0,183000000.0,0.85,15013000000.0,4881000000.0,,,,162000000.0,4719000000.0,10132000000.0,,652000000.0,1930000000.0,,7550000000.0,11075000000.0,3219000000.0,57000000.0,,140000000.0,3022000000.0,0.0,6941000000.0,915000000.0,,,,,,3938000000.0,160000000.0,3778000000.0,,,15013000000.0,686000000.0,686000000.0,,-95000000.0,-95000000.0,,-423000000.0,-423000000.0,,-9000000.0,159000000.0,168000000.0,,544000000.0,0.0,544000000.0,-9000000.0,,
MCO,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001059556-24-000090,1786000000.0,1034000000.0,467000000.0,,,985000000.0,1319000000.0,,-49000000.0,518000000.0,413000000.0,100000000.0,,5000000.0,801000000.0,,752000000.0,577000000.0,752000000.0,,,,,,0.0,175000000.0,,25000000.0,,,74000000.0,,,,,,577000000.0,0.0,,577000000.0,,577000000.0,0,,0,3.16,3.15,182600000.0,183400000.0,0.85,15011000000.0,4806000000.0,,,,147000000.0,4659000000.0,10205000000.0,,613000000.0,1983000000.0,,7609000000.0,11276000000.0,3382000000.0,88000000.0,,154000000.0,3140000000.0,0.0,6944000000.0,950000000.0,,,,,,3735000000.0,160000000.0,3575000000.0,,,15011000000.0,775000000.0,775000000.0,,-96000000.0,-96000000.0,,-308000000.0,-308000000.0,,-25000000.0,346000000.0,371000000.0,,536000000.0,0.0,536000000.0,-41000000.0,,
MCO,2024-02-14,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001059556-24-000017,5916000000.0,3981000000.0,1687000000.0,,,3779000000.0,4229000000.0,,-202000000.0,2092000000.0,1632000000.0,373000000.0,,87000000.0,2137000000.0,,1916000000.0,1608000000.0,1935000000.0,,,,,,19000000.0,327000000.0,365000000.0,-38000000.0,,,296000000.0,,,,,,1608000000.0,1000000.0,,1607000000.0,,1607000000.0,0,,0,8.77,8.73,183200000.0,184000000.0,3.08,14622000000.0,4341000000.0,,,,133000000.0,4208000000.0,10281000000.0,,603000000.0,2049000000.0,,7629000000.0,11146000000.0,2500000000.0,23000000.0,,130000000.0,2347000000.0,8646000000.0,7001000000.0,1645000000.0,,,,,,3476000000.0,158000000.0,3318000000.0,,,14622000000.0,2151000000.0,2151000000.0,,-247000000.0,-247000000.0,,-1584000000.0,-1584000000.0,,41000000.0,361000000.0,320000000.0,,1680000000.0,-4000000.0,1684000000.0,72000000.0,,
MCO,2023-10-26,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001059556-23-000102,1472000000.0,985000000.0,412000000.0,,,937000000.0,1060000000.0,,-48000000.0,525000000.0,403000000.0,95000000.0,,27000000.0,535000000.0,,478000000.0,390000000.0,487000000.0,,,,,,9000000.0,97000000.0,,-31000000.0,,,75000000.0,,,,,,390000000.0,1000000.0,,389000000.0,,389000000.0,0,,0,2.12,2.11,183300000.0,184000000.0,0.77,14191000000.0,4037000000.0,,,,137000000.0,3900000000.0,10154000000.0,,573000000.0,2058000000.0,,7523000000.0,10839000000.0,2269000000.0,41000000.0,,108000000.0,2120000000.0,8570000000.0,6851000000.0,1719000000.0,,,,,,3352000000.0,161000000.0,3191000000.0,,,14191000000.0,462000000.0,462000000.0,,-90000000.0,-90000000.0,,-607000000.0,-607000000.0,,-37000000.0,-272000000.0,-235000000.0,,308000000.0,0.0,308000000.0,-82000000.0,,
MCO,2023-07-26,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001059556-23-000052,1494000000.0,1002000000.0,426000000.0,,,944000000.0,1068000000.0,,-58000000.0,518000000.0,415000000.0,93000000.0,,10000000.0,550000000.0,,491000000.0,377000000.0,492000000.0,,,,,,1000000.0,115000000.0,,21000000.0,,,75000000.0,,,,,,377000000.0,0.0,,377000000.0,,377000000.0,0,,0,2.05,2.05,183500000.0,184100000.0,0.77,14691000000.0,4390000000.0,,,,112000000.0,4278000000.0,10301000000.0,,541000000.0,2138000000.0,,7622000000.0,11379000000.0,2667000000.0,37000000.0,,113000000.0,2517000000.0,0.0,7223000000.0,1489000000.0,,,,,,3312000000.0,168000000.0,3144000000.0,,,14691000000.0,604000000.0,604000000.0,,-40000000.0,-40000000.0,,-408000000.0,-408000000.0,,3000000.0,159000000.0,156000000.0,,398000000.0,2000000.0,396000000.0,21000000.0,,
MCO,2023-04-26,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001059556-23-000030,1470000000.0,964000000.0,428000000.0,,,916000000.0,1042000000.0,,-48000000.0,488000000.0,386000000.0,88000000.0,,14000000.0,554000000.0,,504000000.0,501000000.0,506000000.0,,,,,,2000000.0,5000000.0,,0.0,,,70000000.0,,,,,,501000000.0,0.0,,501000000.0,,501000000.0,0,,0,2.73,2.72,183300000.0,184100000.0,0.77,14719000000.0,4426000000.0,,,,131000000.0,4295000000.0,10293000000.0,,525000000.0,2177000000.0,,7591000000.0,11661000000.0,2988000000.0,70000000.0,,135000000.0,2783000000.0,0.0,7462000000.0,1211000000.0,,,,,,3058000000.0,167000000.0,2891000000.0,,,14719000000.0,608000000.0,608000000.0,,-63000000.0,-63000000.0,,-216000000.0,-216000000.0,,21000000.0,350000000.0,329000000.0,,552000000.0,-3000000.0,555000000.0,51000000.0,,
MCO,2023-02-15,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001059556-23-000016,5468000000.0,3708000000.0,1613000000.0,,,3585000000.0,3855000000.0,,-123000000.0,1972000000.0,1527000000.0,331000000.0,,114000000.0,1883000000.0,,1743000000.0,1374000000.0,1760000000.0,,,,,,17000000.0,386000000.0,338000000.0,48000000.0,,,216000000.0,,,,,,1374000000.0,0.0,,1374000000.0,,1374000000.0,0,,0,7.47,7.44,183900000.0,184700000.0,2.8,14349000000.0,4094000000.0,,,,119000000.0,3975000000.0,10255000000.0,,502000000.0,2210000000.0,,7543000000.0,11660000000.0,2375000000.0,52000000.0,,104000000.0,2219000000.0,9285000000.0,7389000000.0,1896000000.0,,,,,,2689000000.0,170000000.0,2519000000.0,,,14349000000.0,1474000000.0,1474000000.0,,-262000000.0,-262000000.0,,-1208000000.0,-1208000000.0,,-46000000.0,-42000000.0,4000000.0,,1125000000.0,-16000000.0,1141000000.0,-249000000.0,,-233000000.0
