ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MDLZ,2025-04-29,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001103982-25-000127,9313000000.0,8768000000.0,6883000000.0,,,8768000000.0,2430000000.0,,,1750000000.0,1711000000.0,324000000.0,,,680000000.0,,545000000.0,391000000.0,545000000.0,,,,,,16000000.0,154000000.0,,-96000000.0,,,,,,,,,407000000.0,5000000.0,,402000000.0,,402000000.0,0,,0,0.31,0.31,1301000000.0,1305000000.0,,68927000000.0,12730000000.0,,,4255000000.0,,8475000000.0,56197000000.0,,,19130000000.0,,37067000000.0,43104000000.0,21003000000.0,9921000000.0,,774000000.0,10308000000.0,22101000000.0,,,,,,,,25823000000.0,38000000.0,25785000000.0,,,68927000000.0,1092000000.0,1092000000.0,,-251000000.0,-251000000.0,,-704000000.0,-704000000.0,,88000000.0,225000000.0,137000000.0,,906000000.0,12000000.0,894000000.0,499000000.0,7000000.0,492000000.0
MDLZ,2025-02-05,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001103982-25-000030,36441000000.0,30180000000.0,22184000000.0,,,30180000000.0,14257000000.0,,-180000000.0,7912000000.0,7439000000.0,1302000000.0,400000000.0,,6345000000.0,,6261000000.0,4792000000.0,6261000000.0,,,,,,168000000.0,1469000000.0,,257000000.0,,,,,,,,,4623000000.0,12000000.0,,4611000000.0,,4611000000.0,0,,0,3.44,3.42,1341000000.0,1347000000.0,,68497000000.0,13242000000.0,,,3827000000.0,,9415000000.0,55255000000.0,,,18848000000.0,,36407000000.0,41539000000.0,19549000000.0,9433000000.0,,928000000.0,9188000000.0,21990000000.0,,,,,,,,26958000000.0,26000000.0,26932000000.0,,,68497000000.0,4910000000.0,4910000000.0,,526000000.0,526000000.0,,-5780000000.0,-5780000000.0,,-140000000.0,-484000000.0,-344000000.0,,3088000000.0,2000000.0,3086000000.0,-1535000000.0,-10000000.0,-1525000000.0
MDLZ,2024-10-29,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001103982-24-000104,9204000000.0,8072000000.0,6205000000.0,,,8072000000.0,2999000000.0,,,1846000000.0,1630000000.0,335000000.0,,216000000.0,1153000000.0,,1132000000.0,806000000.0,1132000000.0,,,,,,54000000.0,326000000.0,,-38000000.0,,,,,,,,,856000000.0,3000000.0,,853000000.0,,853000000.0,0,,0,0.64,0.63,1339000000.0,1344000000.0,,72191000000.0,13201000000.0,,,4270000000.0,,8931000000.0,58990000000.0,,,19459000000.0,,39531000000.0,44300000000.0,21073000000.0,9110000000.0,,905000000.0,11058000000.0,23227000000.0,,,,,,,,27891000000.0,37000000.0,27854000000.0,,,72191000000.0,1305000000.0,1305000000.0,,-323000000.0,-323000000.0,,-954000000.0,-954000000.0,,74000000.0,102000000.0,28000000.0,,802000000.0,13000000.0,789000000.0,-54000000.0,10000000.0,-64000000.0
MDLZ,2024-07-30,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001103982-24-000092,8343000000.0,7493000000.0,5546000000.0,,,7493000000.0,2797000000.0,,,1943000000.0,1891000000.0,317000000.0,,52000000.0,854000000.0,,850000000.0,555000000.0,850000000.0,,,,,,48000000.0,295000000.0,,-65000000.0,,,,,,,,,603000000.0,2000000.0,,601000000.0,,601000000.0,0,,0,0.45,0.45,1343000000.0,1348000000.0,,73096000000.0,15170000000.0,,,4009000000.0,,11161000000.0,57926000000.0,,,19397000000.0,,38529000000.0,45378000000.0,22430000000.0,8370000000.0,,838000000.0,13222000000.0,0.0,,,,,,,,27718000000.0,29000000.0,27689000000.0,,,73096000000.0,822000000.0,822000000.0,,-401000000.0,-401000000.0,,-381000000.0,-381000000.0,,-31000000.0,9000000.0,40000000.0,,218000000.0,0.0,218000000.0,-385000000.0,-2000000.0,-383000000.0
MDLZ,2024-04-30,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001103982-24-000055,9290000000.0,6608000000.0,4540000000.0,,,6608000000.0,4750000000.0,,-68000000.0,2023000000.0,1938000000.0,319000000.0,,,2727000000.0,,2682000000.0,2050000000.0,2682000000.0,,,,,,31000000.0,632000000.0,,270000000.0,,,,,,,,,1416000000.0,4000000.0,,1412000000.0,,1412000000.0,0,,0,1.05,1.04,1348000000.0,1355000000.0,,77624000000.0,19426000000.0,,,3562000000.0,,15864000000.0,58198000000.0,,,19614000000.0,,38584000000.0,49110000000.0,25288000000.0,8618000000.0,,928000000.0,15742000000.0,0.0,,,,,,,,28514000000.0,32000000.0,28482000000.0,,,77624000000.0,1324000000.0,1324000000.0,,-446000000.0,-446000000.0,,-1223000000.0,-1223000000.0,,-77000000.0,-422000000.0,-345000000.0,,1224000000.0,-2000000.0,1226000000.0,-192000000.0,-6000000.0,-186000000.0
MDLZ,2024-02-02,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001103982-24-000019,36016000000.0,30136000000.0,22252000000.0,,,30136000000.0,13764000000.0,,-310000000.0,8262000000.0,8002000000.0,1215000000.0,380000000.0,,5502000000.0,,5880000000.0,4343000000.0,5880000000.0,,,,,,160000000.0,1537000000.0,,-37000000.0,,,,,,,,,4968000000.0,9000000.0,,4959000000.0,,4959000000.0,0,,0,3.64,3.62,1363000000.0,1370000000.0,,71391000000.0,11703000000.0,,,3615000000.0,,8088000000.0,59688000000.0,,,19836000000.0,,39852000000.0,43025000000.0,19013000000.0,8321000000.0,,1158000000.0,9534000000.0,24012000000.0,,,,,,,,28366000000.0,34000000.0,28332000000.0,,,71391000000.0,4714000000.0,4714000000.0,,2812000000.0,2812000000.0,,-7558000000.0,-7558000000.0,,-32000000.0,-64000000.0,-32000000.0,,4964000000.0,4000000.0,4960000000.0,-4000000.0,-5000000.0,1000000.0
MDLZ,2023-11-01,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001103982-23-000075,9029000000.0,7698000000.0,5535000000.0,,,7698000000.0,3494000000.0,,-66000000.0,2115000000.0,2019000000.0,309000000.0,,96000000.0,1379000000.0,,1331000000.0,977000000.0,1331000000.0,,,,,,10000000.0,354000000.0,,-92000000.0,,,,,,,,,988000000.0,4000000.0,,984000000.0,,984000000.0,0,,0,0.72,0.72,1363000000.0,1370000000.0,,70860000000.0,11515000000.0,,,3808000000.0,,7707000000.0,59345000000.0,,,19475000000.0,,39870000000.0,42300000000.0,18936000000.0,7658000000.0,,1043000000.0,10235000000.0,23364000000.0,,,,,,,,28560000000.0,25000000.0,28535000000.0,,,70860000000.0,1177000000.0,1177000000.0,,536000000.0,536000000.0,,-1535000000.0,-1535000000.0,,-54000000.0,124000000.0,178000000.0,,460000000.0,-2000000.0,462000000.0,-528000000.0,-6000000.0,-522000000.0
MDLZ,2023-07-27,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001103982-23-000043,8507000000.0,7346000000.0,5153000000.0,,,7346000000.0,3354000000.0,,-97000000.0,1929000000.0,1869000000.0,290000000.0,,60000000.0,1425000000.0,,1161000000.0,893000000.0,1161000000.0,,,,,,71000000.0,268000000.0,,-98000000.0,,,,,,,,,941000000.0,-3000000.0,,944000000.0,,944000000.0,0,,0,0.69,0.69,1364000000.0,1371000000.0,,72025000000.0,11622000000.0,,,3825000000.0,,7797000000.0,60403000000.0,,,19839000000.0,,40564000000.0,43346000000.0,18002000000.0,7740000000.0,,816000000.0,9446000000.0,0.0,,,,,,,,28679000000.0,32000000.0,28647000000.0,,,72025000000.0,850000000.0,850000000.0,,614000000.0,614000000.0,,-1782000000.0,-1782000000.0,,-68000000.0,-386000000.0,-318000000.0,,1037000000.0,-11000000.0,1048000000.0,96000000.0,-8000000.0,104000000.0
MDLZ,2023-04-27,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001103982-23-000018,9166000000.0,6941000000.0,5720000000.0,,,6941000000.0,3446000000.0,,-95000000.0,1941000000.0,1855000000.0,303000000.0,,,1505000000.0,,2225000000.0,1567000000.0,2225000000.0,,,,,,35000000.0,658000000.0,,199000000.0,,,,,,,,,2089000000.0,8000000.0,,2081000000.0,,2081000000.0,0,,0,1.52,1.52,1366000000.0,1373000000.0,,72786000000.0,12671000000.0,,,3627000000.0,,9044000000.0,60115000000.0,,,19810000000.0,,40305000000.0,44512000000.0,18531000000.0,7885000000.0,,785000000.0,9861000000.0,0.0,,,,,,,,28274000000.0,46000000.0,28228000000.0,,,72786000000.0,1123000000.0,1123000000.0,,636000000.0,636000000.0,,-1757000000.0,-1757000000.0,,-11000000.0,-9000000.0,2000000.0,,2224000000.0,10000000.0,2214000000.0,135000000.0,2000000.0,133000000.0
MDLZ,2023-02-03,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001103982-23-000006,31496000000.0,28268000000.0,20184000000.0,,,28268000000.0,11312000000.0,,-423000000.0,7778000000.0,7384000000.0,1107000000.0,346000000.0,,3534000000.0,,3228000000.0,2363000000.0,3228000000.0,,,,,,385000000.0,865000000.0,,-42000000.0,,,,,,,,,2726000000.0,9000000.0,,2717000000.0,,2717000000.0,0,,0,1.97,1.96,1378000000.0,1385000000.0,,71161000000.0,10091000000.0,,,3381000000.0,,6710000000.0,61070000000.0,,,19710000000.0,,41360000000.0,44241000000.0,16731000000.0,7562000000.0,,949000000.0,8220000000.0,27510000000.0,,,,,,,,26920000000.0,37000000.0,26883000000.0,,,71161000000.0,3908000000.0,3908000000.0,,-4888000000.0,-4888000000.0,,-456000000.0,-456000000.0,,-169000000.0,-1605000000.0,-1436000000.0,,2389000000.0,-5000000.0,2394000000.0,-337000000.0,-14000000.0,-323000000.0
