ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MDU,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000067716-25-000042,674833000.0,583795000.0,,,,583795000.0,,,,561970000.0,111047000.0,,,450923000.0,112863000.0,,,82467000.0,91038000.0,-502000.0,,,,,,8571000.0,,-13687000.0,,,,,,,,,81965000.0,0.0,,81965000.0,,81965000.0,0,,0,0.4,0.4,204142000.0,204959000.0,,6961474000.0,541551000.0,,269246000.0,18457000.0,,253848000.0,6419923000.0,,5378636000.0,,,1041287000.0,4218338000.0,634576000.0,109133000.0,,18175000.0,507268000.0,3583762000.0,2193676000.0,1390086000.0,,,,,,2743136000.0,0.0,2743136000.0,,,6961474000.0,217472000.0,217974000.0,-502000.0,-94739000.0,-94739000.0,0.0,-130096000.0,-130096000.0,0.0,,-7363000.0,-6861000.0,-502000.0,82157000.0,0.0,82157000.0,192000.0,,
MDU,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000067716-25-000016,1757978000.0,1559316000.0,,,,1559316000.0,,,,1492336000.0,414491000.0,,,1077845000.0,265642000.0,,,181073000.0,198662000.0,100035000.0,,,,,,17589000.0,33667000.0,-16078000.0,,,,,,,,,281108000.0,0.0,,281108000.0,,281108000.0,0,,0,1.38,1.37,203867000.0,204653000.0,,7038818000.0,666259000.0,,274303000.0,44940000.0,,347016000.0,6372559000.0,,5344292000.0,,,1028267000.0,4348244000.0,678598000.0,150070000.0,,35264000.0,493264000.0,3669646000.0,2292610000.0,1377036000.0,,,,,,2690574000.0,0.0,2690574000.0,,,7038818000.0,502318000.0,411813000.0,90505000.0,-552685000.0,-523827000.0,-28858000.0,40296000.0,-76603000.0,116899000.0,,-10071000.0,-188617000.0,178546000.0,282694000.0,0.0,282694000.0,1586000.0,,1586000.0
MDU,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000067716-24-000107,1050516000.0,975340000.0,,,,975340000.0,,,,959712000.0,786637000.0,,,173075000.0,90804000.0,,,62159000.0,75176000.0,2456000.0,,,,,,13017000.0,,-3709000.0,,,,,,,,,64615000.0,0.0,,64615000.0,,64615000.0,0,,0,0.32,0.32,203888000.0,204678000.0,,8172649000.0,1467820000.0,,934473000.0,91889000.0,,441458000.0,6704829000.0,,5380706000.0,466000.0,,1323657000.0,5114664000.0,1281375000.0,489100000.0,,97041000.0,695234000.0,3833289000.0,2452297000.0,1380992000.0,,,,,,3057985000.0,0.0,3057985000.0,,,8172649000.0,140217000.0,137761000.0,2456000.0,-156446000.0,-156446000.0,0.0,25807000.0,25807000.0,0.0,,9578000.0,7122000.0,2456000.0,64899000.0,0.0,64899000.0,284000.0,,
MDU,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000067716-24-000082,1047545000.0,971746000.0,,,,971746000.0,,,,957799000.0,732992000.0,,,224807000.0,89746000.0,,,60574000.0,75799000.0,-138000.0,,,,,,15225000.0,,-9639000.0,,,,,,,,,60436000.0,0.0,,60436000.0,,60436000.0,0,,0,0.3,0.3,203888000.0,204582000.0,,7960336000.0,1397039000.0,,926804000.0,69736000.0,,400499000.0,6563297000.0,,5264956000.0,960000.0,,1297381000.0,-3017804000.0,1149859000.0,442568000.0,,63927000.0,643364000.0,3792673000.0,2400617000.0,1392056000.0,,,,,,3017804000.0,0.0,3017804000.0,,,7960336000.0,136472000.0,136610000.0,-138000.0,-118700000.0,-118700000.0,0.0,-12630000.0,-12630000.0,0.0,,5142000.0,5280000.0,-138000.0,60575000.0,0.0,60575000.0,139000.0,,
MDU,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000067716-24-000055,1213825000.0,1092797000.0,,,,1092797000.0,,,,1077878000.0,671917000.0,,,405961000.0,135947000.0,,,100898000.0,121028000.0,0.0,,,,,,20130000.0,,1059000.0,,,28706000.0,,,,,,100898000.0,0.0,,100898000.0,,100898000.0,0,,0,0.5,0.49,203779000.0,204187000.0,,7839871000.0,1319944000.0,,932146000.0,57429000.0,,330369000.0,6519927000.0,,5178800000.0,1482000.0,,1339645000.0,-2980941000.0,922823000.0,420168000.0,,47394000.0,455261000.0,3936107000.0,2386397000.0,1549710000.0,,,,,,2980941000.0,0.0,2980941000.0,,,7839871000.0,165097000.0,165097000.0,0.0,-117264000.0,-117264000.0,0.0,-35512000.0,-35512000.0,0.0,,12321000.0,12321000.0,0.0,100972000.0,0.0,100972000.0,74000.0,,
MDU,2024-02-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000067716-24-000017,4657340000.0,4117442000.0,,,,4117442000.0,,,,4231362000.0,2970872000.0,,,1260490000.0,425978000.0,,,480425000.0,539898000.0,-65718000.0,,,,,,59473000.0,63887000.0,-4414000.0,,,114308000.0,,,,,,414707000.0,0.0,,414707000.0,,414707000.0,0,,0,2.04,2.03,203640000.0,203938000.0,,7833159000.0,1363723000.0,,942782000.0,87392000.0,,333549000.0,6469436000.0,,5120910000.0,2004000.0,,1346522000.0,4927926000.0,1075733000.0,475215000.0,,85512000.0,515006000.0,3852193000.0,2298223000.0,1553970000.0,,,,,,2905233000.0,0.0,2905233000.0,,,7833159000.0,332627000.0,492757000.0,-160130000.0,-540791000.0,-485780000.0,-55011000.0,204622000.0,111113000.0,93509000.0,,-3542000.0,118090000.0,-121632000.0,414600000.0,0.0,414600000.0,-107000.0,,-107000.0
MDU,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000067716-23-000112,1000795000.0,909252000.0,,,,909252000.0,,,,916191000.0,738658000.0,,,177533000.0,84604000.0,,,78218000.0,91543000.0,-3289000.0,,-3289000.0,,,,13325000.0,,8267000.0,,,32129000.0,,,,,,74929000.0,0.0,,74929000.0,,74929000.0,0,,0,0.37,0.37,203638000.0,203886000.0,,7869149000.0,1515013000.0,,893019000.0,80235000.0,,541759000.0,6354136000.0,,5020166000.0,2526000.0,,1331444000.0,5111715000.0,1173655000.0,414479000.0,,94230000.0,664946000.0,3938060000.0,2341147000.0,1596913000.0,,,,,,2757434000.0,0.0,2757434000.0,,,7869149000.0,101813000.0,105095000.0,-3282000.0,-139107000.0,-139107000.0,0.0,8917000.0,9708000.0,-791000.0,,-28377000.0,-24304000.0,-4073000.0,74867000.0,0.0,74867000.0,-62000.0,,
MDU,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000067716-23-000096,1091126000.0,885575000.0,,,,885575000.0,,,,1009095000.0,769593000.0,,,239502000.0,82031000.0,,,147633000.0,205551000.0,-16941000.0,,-16941000.0,,,,57918000.0,,46622000.0,,,26459000.0,,,,,,130692000.0,0.0,,130692000.0,,130692000.0,0,,0,0.64,0.64,203635000.0,203877000.0,,7684850000.0,1544834000.0,,934173000.0,60154000.0,,550507000.0,6140016000.0,,4922790000.0,3049000.0,,1214177000.0,-2706193000.0,1131765000.0,399339000.0,,66555000.0,665871000.0,3846892000.0,2247422000.0,1599470000.0,,,,,,2706193000.0,0.0,2706193000.0,,,7684850000.0,116749000.0,273710000.0,-156961000.0,-125567000.0,-70555000.0,,-23502000.0,-117802000.0,,,-32320000.0,85353000.0,-117673000.0,131055000.0,0.0,131055000.0,363000.0,,
MDU,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000067716-23-000066,1737337000.0,1690017000.0,,,,1690017000.0,,,,1662865000.0,1104742000.0,,,558123000.0,74472000.0,,,38343000.0,47320000.0,10000.0,,-45523000.0,,,,8977000.0,,8856000.0,,,38020000.0,,,,,,38353000.0,0.0,,38353000.0,,38353000.0,0,,0,0.19,0.19,203624000.0,203910000.0,,9842587000.0,2108714000.0,,1291949000.0,425834000.0,,390931000.0,7733873000.0,,6152714000.0,16334000.0,,1564825000.0,-3575382000.0,1636329000.0,547188000.0,,65509000.0,1023632000.0,4630876000.0,2847068000.0,1783808000.0,,,,,,3575382000.0,0.0,3575382000.0,,,9842587000.0,-43648000.0,-43677000.0,29000.0,-151024000.0,-151024000.0,,207344000.0,207344000.0,,,12672000.0,12643000.0,29000.0,38570000.0,0.0,38570000.0,217000.0,,
MDU,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000067716-23-000017,6973864000.0,6511805000.0,,,,6511805000.0,,,,6399911000.0,4978857000.0,,,1421054000.0,573953000.0,,,367276000.0,462059000.0,213000.0,,,,,,94783000.0,71457000.0,23326000.0,,,119273000.0,,,,,,367489000.0,0.0,,367489000.0,,367489000.0,0,,0,1.81,1.81,203358000.0,203462000.0,,9660781000.0,2011748000.0,,1305642000.0,387525000.0,,318581000.0,7649033000.0,,6091545000.0,17532000.0,,1539956000.0,6073652000.0,1479603000.0,657168000.0,,88662000.0,733773000.0,4594049000.0,2841425000.0,1752624000.0,,,,,,3587129000.0,0.0,3587129000.0,,,9660781000.0,510064000.0,509850000.0,214000.0,-638881000.0,-638881000.0,,155173000.0,155173000.0,,,26356000.0,26142000.0,214000.0,377910000.0,0.0,377910000.0,10421000.0,,
