ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MEI,2025-03-05,2025,Q3,2024-11-03,2025-02-01,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-033708,239900000.0,248100000.0,198600000.0,,,248100000.0,41300000.0,,-500000.0,43500000.0,37700000.0,,,5800000.0,-2200000.0,,,-14400000.0,-8200000.0,,,,,,,6200000.0,,,,,,-5500000.0,-5500000.0,,,0.0,-14400000.0,0,,-14400000.0,,-14400000.0,0,,0,-0.41,-0.41,35182166.0,35182166.0,0.14,1304600000.0,572200000.0,,,218800000.0,,353400000.0,732400000.0,,208600000.0,235700000.0,,288100000.0,600300000.0,201400000.0,107700000.0,,29400000.0,64300000.0,398900000.0,327900000.0,71000000.0,,,,,,704300000.0,0,704300000.0,,,1304600000.0,28100000.0,28100000.0,,-5700000.0,-5700000.0,,-8500000.0,-8500000.0,,-7100000.0,6800000.0,13900000.0,,-27900000.0,0,-27900000.0,-13500000.0,,
MEI,2024-12-05,2025,Q2,2024-07-28,2024-11-02,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-133526,292600000.0,291000000.0,234700000.0,,,291000000.0,57900000.0,,-1600000.0,48500000.0,42600000.0,,,5900000.0,9400000.0,,,-1600000.0,1600000.0,,,,,,,3200000.0,,,,,,-6200000.0,-6200000.0,,,0.0,-1600000.0,0,,-1600000.0,,-1600000.0,0,,0,-0.05,-0.05,35494664.0,35494664.0,0.14,1375100000.0,612900000.0,,,228200000.0,,384700000.0,762200000.0,,217200000.0,246000000.0,,299000000.0,636800000.0,222600000.0,129800000.0,,31500000.0,61300000.0,414200000.0,340600000.0,73600000.0,,,,,,738300000.0,0,738300000.0,,,1375100000.0,-48000000.0,-48000000.0,,-7400000.0,-7400000.0,,40100000.0,40100000.0,,1000000.0,-14300000.0,-15300000.0,,-3000000.0,0,-3000000.0,-1400000.0,,
MEI,2024-09-05,2025,Q1,2024-04-28,2024-07-27,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-103735,258500000.0,271600000.0,213900000.0,,,271600000.0,44600000.0,,-800000.0,52100000.0,46200000.0,,,5900000.0,-7500000.0,,,-18300000.0,-13100000.0,,,,,,,5200000.0,,,,,,-4800000.0,-4800000.0,,,0.0,-18300000.0,0,,-18300000.0,,-18300000.0,0,,0,-0.52,-0.52,35423886.0,35423886.0,0.14,1377900000.0,611800000.0,,,219900000.0,,391900000.0,766100000.0,,213800000.0,252200000.0,,300100000.0,633500000.0,260800000.0,161100000.0,,36300000.0,63400000.0,372700000.0,296000000.0,76700000.0,,,,,,744400000.0,0,744400000.0,,,1377900000.0,10900000.0,10900000.0,,-13600000.0,-13600000.0,,-48200000.0,-48200000.0,,700000.0,-50200000.0,-50900000.0,,-17900000.0,0,-17900000.0,400000.0,,
MEI,2024-07-11,2024,FY,2023-04-28,2024-04-27,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-082852,1114500000.0,1242600000.0,935700000.0,,,1242600000.0,178800000.0,,600000.0,290800000.0,160900000.0,,49100000.0,80800000.0,-112000000.0,,,-123300000.0,-128100000.0,,,,,,,-4800000.0,16700000.0,-21500000.0,,,,-16700000.0,-16700000.0,,,0.0,-123300000.0,0,,-123300000.0,,-123300000.0,0,,0,-3.48,-3.48,35470471.0,35470471.0,0.56,1403500000.0,637700000.0,,,186200000.0,,451500000.0,765800000.0,,212100000.0,256700000.0,,297000000.0,637500000.0,231400000.0,132400000.0,,38000000.0,61000000.0,406100000.0,330900000.0,75200000.0,,,,,,766000000.0,0,766000000.0,,,1403500000.0,47500000.0,47500000.0,,-17500000.0,-17500000.0,,-18900000.0,-18900000.0,,-6600000.0,4500000.0,11100000.0,,-141000000.0,0,-141000000.0,-17700000.0,,
MEI,2024-03-07,2024,Q3,2023-10-29,2024-01-27,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-027579,259500000.0,270000000.0,222500000.0,,,270000000.0,37000000.0,,-2500000.0,40000000.0,33900000.0,,,6100000.0,-3000000.0,,,-11600000.0,-10500000.0,,,,,,,1100000.0,,,,,,-5000000.0,-5000000.0,,,0.0,-11600000.0,0,,-11600000.0,,-11600000.0,0,,0,-0.33,-0.33,35327995.0,35327995.0,0.14,1491500000.0,629800000.0,,,204000000.0,,425800000.0,861700000.0,,232500000.0,264300000.0,,364900000.0,656500000.0,229900000.0,146000000.0,,31600000.0,52300000.0,426600000.0,331300000.0,95300000.0,,,,,,835000000.0,0,835000000.0,,,1491500000.0,28800000.0,28800000.0,,-16700000.0,-16700000.0,,-16900000.0,-16900000.0,,5200000.0,400000.0,-4800000.0,,100000.0,0,100000.0,11700000.0,,
MEI,2023-12-07,2024,Q2,2023-07-30,2023-10-28,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-068796,288000000.0,343500000.0,235700000.0,,,343500000.0,52300000.0,,200000.0,103600000.0,40900000.0,,,62700000.0,-51300000.0,,,-55300000.0,-55500000.0,,,,,,,-200000.0,,,,,,-4400000.0,-4400000.0,,,0.0,-55300000.0,0,,-55300000.0,,-55300000.0,0,,0,-1.55,-1.55,35671677.0,35671677.0,0.14,1484900000.0,636500000.0,,,183900000.0,,452600000.0,848400000.0,,224600000.0,264700000.0,,359100000.0,640000000.0,218300000.0,133500000.0,,29000000.0,55800000.0,421700000.0,332000000.0,89700000.0,,,,,,844900000.0,0,844900000.0,,,1484900000.0,-600000.0,-600000.0,,-8500000.0,-8500000.0,,-10600000.0,-10600000.0,,-5700000.0,-25400000.0,-19700000.0,,-75100000.0,0,-75100000.0,-19800000.0,,
MEI,2023-09-07,2024,Q1,2023-04-30,2023-07-29,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-046882,289700000.0,288700000.0,235700000.0,,,288700000.0,54000000.0,,0.0,50200000.0,44500000.0,,,5700000.0,3800000.0,,,900000.0,1000000.0,,,,,,,100000.0,,,,,,-2800000.0,-2800000.0,,,0.0,900000.0,0,,900000.0,,900000.0,0,,0,0.03,0.02,35687876.0,36281407.0,0.14,1574100000.0,657500000.0,,,175600000.0,,481900000.0,916600000.0,,225200000.0,251300000.0,,440100000.0,641800000.0,208400000.0,131900000.0,,26700000.0,49800000.0,433400000.0,339000000.0,94400000.0,,900000.0,,,,931400000.0,0,931400000.0,900000.0,,1574100000.0,-5600000.0,-5600000.0,,-13800000.0,-13800000.0,,12500000.0,12500000.0,,-2200000.0,-9100000.0,-6900000.0,,-3200000.0,0,-3200000.0,-4100000.0,,
MEI,2023-06-27,2023,FY,2022-05-01,2023-04-29,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-030121,1179600000.0,1089500000.0,915500000.0,,,1089500000.0,264100000.0,,2400000.0,173700000.0,154900000.0,,35000000.0,,90400000.0,,,77100000.0,90100000.0,,,,,,,13000000.0,17000000.0,-4000000.0,,,,-2700000.0,-2700000.0,,,0.0,77100000.0,0,,77100000.0,,77100000.0,0,,0,2.14,2.1,36016686.0,36775435.0,0.56,1579100000.0,664400000.0,,,159700000.0,,504700000.0,914700000.0,,220300000.0,256700000.0,,437700000.0,626200000.0,228000000.0,138700000.0,,36700000.0,52600000.0,398200000.0,306800000.0,91400000.0,,11100000.0,,,,941800000.0,0,941800000.0,11100000.0,,1579100000.0,132800000.0,132800000.0,,-153100000.0,-153100000.0,,3200000.0,3200000.0,,2100000.0,-15000000.0,-17100000.0,,84900000.0,0,84900000.0,7800000.0,,
MEI,2023-03-09,2023,Q3,2022-10-30,2023-01-28,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-006843,280100000.0,257100000.0,215200000.0,,,257100000.0,64900000.0,,-3500000.0,37600000.0,32900000.0,,,4700000.0,27300000.0,,,19900000.0,23000000.0,,,,,,,3100000.0,,,,,,-800000.0,-800000.0,,,0.0,19900000.0,0,,19900000.0,,19900000.0,0,,0,0.56,0.54,35757465.0,36576995.0,0.14,1428500000.0,671000000.0,,,175400000.0,,495600000.0,757500000.0,,200700000.0,193300000.0,,363500000.0,485900000.0,190900000.0,113100000.0,,29400000.0,48400000.0,295000000.0,201300000.0,93700000.0,,,,,,942600000.0,0,942600000.0,,,1428500000.0,55700000.0,55700000.0,,-12800000.0,-12800000.0,,-14900000.0,-14900000.0,,7100000.0,35100000.0,28000000.0,,52600000.0,0,52600000.0,32700000.0,,
MEI,2022-12-01,2023,Q2,2022-07-31,2022-10-29,https://api.polygon.io/v1/reference/sec/filings/0000950170-22-025916,315900000.0,282500000.0,241800000.0,,,282500000.0,74100000.0,,1100000.0,41300000.0,36600000.0,,,4700000.0,32800000.0,,,27600000.0,33400000.0,,,,,,,5800000.0,,,,,,-500000.0,-500000.0,,,0.0,27600000.0,0,,27600000.0,,27600000.0,0,,0,0.76,0.75,36126132.0,36841831.0,0.14,1394300000.0,658400000.0,,,172500000.0,,485900000.0,735900000.0,,189600000.0,196700000.0,,349600000.0,495500000.0,213000000.0,124500000.0,,29900000.0,58600000.0,282500000.0,204000000.0,78500000.0,,,,,,898800000.0,0,898800000.0,,,1394300000.0,15400000.0,15400000.0,,-4900000.0,-4900000.0,,-27900000.0,-27900000.0,,-5400000.0,-22800000.0,-17400000.0,,9500000.0,0,9500000.0,-18100000.0,,
