ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MMS,2025-05-08,2025,Q2,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001032220-25-000029,1361786000.0,1229324000.0,1022965000.0,,,1229324000.0,338821000.0,,,185853000.0,162857000.0,,,22996000.0,152968000.0,,,96569000.0,132462000.0,,,,,,,35893000.0,,-2747000.0,,,,,,,,,96569000.0,0.0,,96569000.0,,96569000.0,0,,0,1.7,1.69,56892000.0,57057000.0,0.3,4199772000.0,1328267000.0,,,,,,2871505000.0,,34883000.0,,,2836622000.0,2532298000.0,721237000.0,,,165350000.0,555887000.0,1811061000.0,,,,,,,,1667474000.0,0.0,1667474000.0,,,4199772000.0,42714000.0,42714000.0,,-19371000.0,-19371000.0,,8934000.0,8934000.0,,791000.0,33068000.0,32277000.0,,97748000.0,0.0,97748000.0,97748000.0,,1179000.0
MMS,2025-02-06,2025,Q1,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001032220-25-000016,1402675000.0,1333722000.0,1101118000.0,,,1333722000.0,301557000.0,,,214770000.0,191735000.0,,,23035000.0,86787000.0,,,41196000.0,68953000.0,,,,,,,27757000.0,,2157000.0,,,,,,,,,41196000.0,0.0,,41196000.0,,41196000.0,0,,0,0.69,0.69,59733000.0,60002000.0,0.3,4058760000.0,1165378000.0,,,,,,2893382000.0,,37905000.0,,,2855477000.0,2411911000.0,678925000.0,,,119869000.0,559056000.0,0.0,,,,,,,,1646849000.0,0.0,1646849000.0,,,4058760000.0,-79996000.0,-79996000.0,,-22256000.0,-22256000.0,,-8257000.0,-8257000.0,,-2384000.0,-112893000.0,-110509000.0,,41196000.0,0.0,54102000.0,12906000.0,,12906000.0
MMS,2024-08-08,2024,Q3,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001032220-24-000075,1314929000.0,1194554000.0,982615000.0,,,1194554000.0,332314000.0,,,190575000.0,167033000.0,,,23542000.0,141739000.0,,,89752000.0,120375000.0,,,,,,,30623000.0,,4545000.0,20555000.0,,,,,,,,89752000.0,0.0,,89752000.0,,89752000.0,0,,0,1.47,1.46,61079000.0,61381000.0,0.3,3999790000.0,1078291000.0,,,,,,2921499000.0,,35020000.0,,,2886479000.0,2181075000.0,680043000.0,,,162318000.0,517725000.0,1501032000.0,,,,,,,,1818715000.0,0.0,1818715000.0,,,3999790000.0,199328000.0,199328000.0,,-34690000.0,-34690000.0,,-135332000.0,-135332000.0,,155000.0,29461000.0,29306000.0,,88967000.0,0.0,88967000.0,88967000.0,,-785000.0
MMS,2024-05-09,2024,Q2,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001032220-24-000050,1348357000.0,1240407000.0,1030768000.0,,,1240407000.0,317589000.0,,,190095000.0,168454000.0,,,21641000.0,127494000.0,,,80510000.0,107950000.0,,,,,,,27440000.0,,-6150000.0,20366000.0,,,,,,,,80510000.0,0.0,,80510000.0,,80510000.0,0,,0,1.31,1.31,61371000.0,61622000.0,0.3,4041144000.0,1118453000.0,,,,,,2922691000.0,,35371000.0,,,2887320000.0,2252001000.0,728716000.0,,,172601000.0,556115000.0,0.0,,,,,,,,1789143000.0,0.0,1789143000.0,,,4041144000.0,130488000.0,130488000.0,,-42043000.0,-42043000.0,,-122869000.0,-122869000.0,,-731000.0,-35155000.0,-34424000.0,,80510000.0,0.0,80949000.0,0.0,,439000.0
MMS,2024-02-08,2024,Q1,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001032220-24-000015,1327041000.0,1241526000.0,1026987000.0,,,1241526000.0,300054000.0,,,192544000.0,169195000.0,,,23349000.0,107510000.0,,,64148000.0,85515000.0,,,,,,,21367000.0,,-2165000.0,21507000.0,,,,,,,,64148000.0,0.0,,64148000.0,,64148000.0,0,,0,1.05,1.04,61322000.0,61535000.0,0.3,4016861000.0,1109619000.0,,,,,,2907242000.0,,34976000.0,,,2872266000.0,2299055000.0,658366000.0,,,115864000.0,542502000.0,0.0,,,,,,,,1717806000.0,0.0,1717806000.0,,,4016861000.0,21608000.0,21608000.0,,-20432000.0,-20432000.0,,28382000.0,28382000.0,,1846000.0,31404000.0,29558000.0,,64148000.0,0.0,61175000.0,0.0,,-2973000.0
MMS,2023-11-16,2023,FY,2022-10-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001032220-23-000096,4904728000.0,4694435000.0,3876120000.0,,,4694435000.0,1028608000.0,,,733814000.0,639223000.0,54725000.0,,39866000.0,294794000.0,,,161792000.0,210293000.0,,,,,,,48501000.0,46949000.0,1552000.0,84138000.0,,,,,,,,161792000.0,0.0,,161792000.0,,161792000.0,0,,0,2.65,2.63,61125000.0,61450000.0,1.12,3985797000.0,1055466000.0,,,,,,2930331000.0,,38831000.0,,,2891500000.0,2317962000.0,723014000.0,,,194251000.0,528763000.0,1594948000.0,,,,,,,,1667835000.0,0.0,1667835000.0,,,3985797000.0,314340000.0,314340000.0,,-80963000.0,-80963000.0,,-250798000.0,-250798000.0,,2717000.0,-14704000.0,-17421000.0,,168138000.0,0.0,168138000.0,6346000.0,,6346000.0
MMS,2023-08-03,2023,Q3,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001032220-23-000066,1188677000.0,1152320000.0,924313000.0,,,1152320000.0,264364000.0,,,205976000.0,182545000.0,,,23431000.0,58388000.0,,,30863000.0,36357000.0,,,,,,,5494000.0,,3743000.0,21026000.0,,,,,,,,30863000.0,0.0,,30863000.0,,30863000.0,0,,0,0.5,0.5,61141000.0,61544000.0,0.28,3943184000.0,996036000.0,,,,,,2947148000.0,,44808000.0,,,2902340000.0,2310331000.0,683301000.0,,,140007000.0,543294000.0,1627030000.0,,,,,,,,1632853000.0,0.0,1632853000.0,,,3943184000.0,-5286000.0,-5286000.0,,-25112000.0,-25112000.0,,2822000.0,2822000.0,,549000.0,-27027000.0,-27576000.0,,39855000.0,0.0,39855000.0,39855000.0,,8992000.0
MMS,2023-05-04,2023,Q2,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001032220-23-000037,1206852000.0,1164528000.0,978249000.0,,,1164528000.0,228603000.0,,,166098000.0,142448000.0,,,23650000.0,62505000.0,,,31788000.0,42324000.0,,,,,,,10536000.0,,-37000.0,20999000.0,,,,,,,,31788000.0,0.0,,31788000.0,,31788000.0,0,,0,0.52,0.52,61120000.0,61383000.0,0.28,3898856000.0,951904000.0,,,,,,2946952000.0,,46915000.0,,,2900037000.0,2297134000.0,681175000.0,,,156990000.0,524185000.0,0.0,,,,,,,,1601722000.0,0.0,1601722000.0,,,3898856000.0,309696000.0,309696000.0,,-8930000.0,-8930000.0,,-342638000.0,-342638000.0,,765000.0,-41107000.0,-41872000.0,,31788000.0,0.0,28191000.0,0.0,,-3597000.0
MMS,2023-02-09,2023,Q1,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001032220-23-000004,1249246000.0,1195809000.0,1004499000.0,,,1195809000.0,244747000.0,,,169970000.0,146452000.0,,,23518000.0,74777000.0,,,39995000.0,53437000.0,,,,,,,13442000.0,,-1331000.0,21606000.0,,,,,,,,39995000.0,0.0,,39995000.0,,39995000.0,0,,0,0.65,0.65,61117000.0,61196000.0,0.28,4234915000.0,1256087000.0,,,,,,2978828000.0,,50181000.0,,,2928647000.0,2653908000.0,746222000.0,,,118505000.0,627717000.0,0.0,,,,,,,,1581007000.0,0.0,1581007000.0,,,4234915000.0,-134659000.0,-134659000.0,,-15697000.0,-15697000.0,,170967000.0,170967000.0,,2421000.0,23032000.0,20611000.0,,39995000.0,0.0,44250000.0,0.0,,4255000.0
MMS,2022-11-22,2022,FY,2021-10-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001032220-22-000074,4631018000.0,4353920000.0,3691208000.0,,,4353920000.0,939810000.0,,,613912000.0,534493000.0,42330000.0,,37089000.0,325898000.0,,,203828000.0,277098000.0,,,,,,,73270000.0,63066000.0,10204000.0,45965000.0,,,,,,,,203828000.0,0.0,,203828000.0,,203828000.0,0,,0,3.3,3.29,61774000.0,61969000.0,1.12,3992714000.0,1032313000.0,,,,,,2960401000.0,,52258000.0,,,2908143000.0,2443343000.0,774447000.0,,,178199000.0,596248000.0,1668896000.0,,,,,,,,1549371000.0,0.0,1549371000.0,,,3992714000.0,289839000.0,289839000.0,,-54009000.0,-54009000.0,,-248271000.0,-248271000.0,,-7334000.0,-19775000.0,-12441000.0,,209775000.0,0.0,209775000.0,5947000.0,,
