ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MQ,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-023249,139073000.0,147098000.0,40394000.0,,,147098000.0,98679000.0,,,117217000.0,,,,,-18538000.0,,,-8260000.0,-8025000.0,,,,,,,235000.0,,,,,,,,,,,-8260000.0,0,,-8260000.0,,-8260000.0,0,,0,,,501222000.0,501222000.0,,1349627000.0,1134657000.0,,,,,,214970000.0,,42580000.0,28310000.0,,144080000.0,362367000.0,356973000.0,,,14610000.0,342363000.0,5394000.0,,,,,,,,987260000.0,0,987260000.0,,,1349627000.0,9987000.0,9987000.0,,14861000.0,14861000.0,,-116967000.0,-116967000.0,,,-92119000.0,-92119000.0,,-8222000.0,0,-8222000.0,-8222000.0,,38000.0
MQ,2025-02-26,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-008232,506995000.0,478915000.0,155146000.0,,,478915000.0,351849000.0,,,376315000.0,,,,,-24466000.0,,,27287000.0,28080000.0,,,,,,,793000.0,695000.0,98000.0,,,,,,,,,27287000.0,0,,27287000.0,,27287000.0,0,,0,,,511065000.0,518845000.0,,1463204000.0,1249297000.0,,,,7193000.0,1242104000.0,213907000.0,,37523000.0,29774000.0,,146610000.0,378186000.0,370985000.0,,,45754000.0,325231000.0,7201000.0,,,,,,,,1085018000.0,0,1085018000.0,,,1463204000.0,58170000.0,58170000.0,,70788000.0,70788000.0,,-186914000.0,-186914000.0,,,-57956000.0,-57956000.0,,26211000.0,0,26211000.0,26211000.0,,-1076000.0
MQ,2024-11-04,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-045055,127967000.0,156495000.0,37835000.0,,,156495000.0,90132000.0,,,132363000.0,,,,,-42231000.0,,,-28643000.0,-28528000.0,,,,,,,115000.0,,,,,,,,,,,-28643000.0,0,,-28643000.0,,-28643000.0,0,,0,,,507160000.0,507160000.0,,1435836000.0,1221164000.0,,,,,,214672000.0,,35791000.0,31238000.0,,147643000.0,340178000.0,333573000.0,,,36999000.0,296574000.0,6605000.0,,,,,,,,1095658000.0,0,1095658000.0,,,1435836000.0,7281000.0,7281000.0,,9705000.0,9705000.0,,-55299000.0,-55299000.0,,,-38313000.0,-38313000.0,,-26537000.0,0,-26537000.0,-26537000.0,,2106000.0
MQ,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-035709,125270000.0,6012000.0,45917000.0,,,6012000.0,79353000.0,,,-25689000.0,,,,,105042000.0,,,119108000.0,119258000.0,,,,,,,150000.0,,,,,,,,,,,119108000.0,0,,119108000.0,,119108000.0,0,,0,,,515959000.0,524401000.0,,1488283000.0,1272901000.0,,,,,,215382000.0,,33011000.0,32702000.0,,149669000.0,345908000.0,337846000.0,,,27762000.0,310084000.0,0.0,,,,,,,,1142375000.0,0,1142375000.0,,,1488283000.0,25708000.0,25708000.0,,-6166000.0,-6166000.0,,-65169000.0,-65169000.0,,,-45627000.0,-45627000.0,,119108000.0,0,118659000.0,0.0,,-449000.0
MQ,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-021181,117968000.0,153894000.0,33807000.0,,,153894000.0,84161000.0,,,134013000.0,,,,,-49852000.0,,,-36060000.0,-35926000.0,,,,,,,134000.0,,,,,,,,,,,-36060000.0,0,,-36060000.0,,-36060000.0,0,,0,,,517987361.0,517987361.0,,1558361000.0,1348167000.0,,,,,,210194000.0,,28138000.0,34167000.0,,147889000.0,347696000.0,338582000.0,,,19262000.0,319320000.0,0.0,,,,,,,,1210665000.0,0,1210665000.0,,,1558361000.0,426000.0,426000.0,,33502000.0,33502000.0,,-44543000.0,-44543000.0,,,-10615000.0,-10615000.0,,-36060000.0,0,-37646000.0,0.0,,-1586000.0
MQ,2024-02-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-007663,676171000.0,906746000.0,346657000.0,,,906746000.0,329514000.0,,,612529000.0,,,,,-283015000.0,,,-222962000.0,-230575000.0,,,,,,,-7613000.0,-56000.0,-7557000.0,,,,,,,,,-222962000.0,0,,-222962000.0,,-222962000.0,0,,0,,,532540175.0,532540175.0,,1589691000.0,1388698000.0,,,,6342000.0,1382356000.0,200993000.0,,18764000.0,35631000.0,,146598000.0,346296000.0,336579000.0,,,42095000.0,294484000.0,9717000.0,,,,,,,,1243395000.0,0,1243395000.0,,,1589691000.0,21104000.0,21104000.0,,38516000.0,38516000.0,,-261794000.0,-261794000.0,,,-202174000.0,-202174000.0,,-214963000.0,0,-214963000.0,-214963000.0,,7999000.0
MQ,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-037578,108891000.0,163643000.0,36383000.0,,,163643000.0,72508000.0,,,142334000.0,,,,,-69826000.0,,,-54990000.0,-54752000.0,,,,,,,238000.0,,,,,,,,,,,-54990000.0,0,,-54990000.0,,-54990000.0,0,,0,,,529488986.0,529488986.0,,1603249000.0,1407215000.0,,,,,,196034000.0,,17022000.0,,,179012000.0,308166000.0,296867000.0,,,34701000.0,262166000.0,11299000.0,,,,,,,,1295083000.0,0,1295083000.0,,,1603249000.0,41102000.0,41102000.0,,79129000.0,79129000.0,,-124214000.0,-124214000.0,,,-3983000.0,-3983000.0,,-55352000.0,0,-55352000.0,-55352000.0,,-362000.0
MQ,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-028284,231115000.0,289774000.0,146506000.0,,,289774000.0,84609000.0,,,154030000.0,,,,,-69421000.0,,,-58797000.0,-58659000.0,,,,,,,138000.0,,,,,,,,,,,-58797000.0,0,,-58797000.0,,-58797000.0,0,,0,,,538267449.0,538267449.0,,1704143000.0,1513815000.0,,,,,,190328000.0,,14330000.0,,,175998000.0,331528000.0,318340000.0,,,18161000.0,300179000.0,0.0,,,,,,,,1372615000.0,0,1372615000.0,,,1704143000.0,-25974000.0,-25974000.0,,-24195000.0,-24195000.0,,-48513000.0,-48513000.0,,,-98682000.0,-98682000.0,,-58797000.0,0,-57090000.0,0.0,,1707000.0
MQ,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001522540-23-000024,217343000.0,293104000.0,128179000.0,,,293104000.0,89164000.0,,,176597000.0,,,,,-87433000.0,,,-68801000.0,-75761000.0,,,,,,,-6960000.0,,,,,,,,,,,-68801000.0,0,,-68801000.0,,-68801000.0,0,,0,,,539744130.0,539744130.0,,1774183000.0,1585011000.0,,,,,,189172000.0,,10662000.0,,,178510000.0,340533000.0,326308000.0,,,18705000.0,307603000.0,0.0,,,,,,,,1433650000.0,0,1433650000.0,,,1774183000.0,-10546000.0,-10546000.0,,-98330000.0,-98330000.0,,-24556000.0,-24556000.0,,,-133432000.0,-133432000.0,,-68801000.0,0,-64747000.0,0.0,,4054000.0
MQ,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001522540-23-000015,748206000.0,933088000.0,428205000.0,,,933088000.0,320001000.0,,,529809000.0,,,,,-209808000.0,,,-184780000.0,-184882000.0,,,,,,,-102000.0,371000.0,-473000.0,,,,,,,,,-184780000.0,0,,-184780000.0,,-184780000.0,0,,0,,,545397254.0,545397254.0,,1770346000.0,1746769000.0,,,,9082000.0,1737687000.0,23577000.0,,7440000.0,,,16137000.0,297390000.0,282879000.0,,,41268000.0,241611000.0,14511000.0,,,,,,,,1472956000.0,0,1472956000.0,0.0,0.0,1770346000.0,-12966000.0,-12966000.0,,28718000.0,28718000.0,,-79487000.0,-79487000.0,,,-63735000.0,-63735000.0,,-189787000.0,0,-189787000.0,-189787000.0,,-5007000.0
