ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MRSN,2025-05-15,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-025679,2754000.0,26877000.0,,,,26877000.0,,,389000.0,27266000.0,,,18341000.0,8925000.0,-24512000.0,,,-24123000.0,-24123000.0,,,,,,,,,,,,,,,,,,-24123000.0,0.0,,-24123000.0,,-24123000.0,0.0,,0.0,-0.19,-0.19,124466113.0,124466113.0,,112471000.0,106188000.0,,,,,,6283000.0,,,,,,143339000.0,58161000.0,4374000.0,,2492000.0,51295000.0,85178000.0,,,,,,,,-30868000.0,0,-30868000.0,,,112471000.0,-29326000.0,-29326000.0,,27000000.0,27000000.0,,-3137000.0,-3137000.0,,,-5463000.0,-5463000.0,,-24133000.0,0.0,-24133000.0,-10000.0,,-10000.0
MRSN,2024-11-13,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-047441,12598000.0,23681000.0,,,,23681000.0,,,986000.0,24667000.0,,,14803000.0,9864000.0,-12069000.0,,,-11501000.0,-11083000.0,,,,,,,418000.0,,,,,,,,,,,-11501000.0,0.0,,-11501000.0,,-11501000.0,0.0,,0.0,-0.09,-0.09,122721918.0,122721918.0,,169530000.0,160557000.0,,,,,,8973000.0,,,,,,168481000.0,68301000.0,2033000.0,,10207000.0,56061000.0,100180000.0,,,,,,,,1049000.0,0,1049000.0,,,169530000.0,-8577000.0,-8577000.0,,28470000.0,28470000.0,,-23000.0,-23000.0,,,19870000.0,19870000.0,,-11405000.0,0.0,-11405000.0,-11405000.0,,96000.0
MRSN,2024-08-13,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-036864,2293000.0,0.0,,,,27748000.0,,,1187000.0,27748000.0,,,17245000.0,10503000.0,-25455000.0,,,-24268000.0,-24268000.0,,,,,,,,,,,,,,,,,,-24268000.0,0.0,,-24268000.0,,-24268000.0,0.0,,0.0,-0.2,-0.2,122440124.0,122440124.0,,179128000.0,168963000.0,,,,,,10165000.0,,,,,,170701000.0,62184000.0,3013000.0,,7810000.0,51361000.0,0.0,,,,,,,,8427000.0,0,8427000.0,,,179128000.0,-21855000.0,-21855000.0,,5514000.0,5514000.0,,153000.0,153000.0,,,-16188000.0,-16188000.0,,-24268000.0,0.0,-24249000.0,0.0,,19000.0
MRSN,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-021985,9245000.0,28551000.0,,,,28551000.0,,,1695000.0,30246000.0,,,18686000.0,11560000.0,-21001000.0,,,-19306000.0,-19306000.0,,,,,,,,,,,,1002000.0,,,,,,-19306000.0,0.0,,-19306000.0,,-19306000.0,0.0,,0.0,-0.16,-0.16,121424953.0,121424953.0,,198373000.0,187538000.0,,,,,,10835000.0,,,,,,170388000.0,53406000.0,3086000.0,,5395000.0,44925000.0,0.0,20098000.0,96884000.0,,,,,,27985000.0,0,27985000.0,,,198373000.0,-32657000.0,-32657000.0,,-72547000.0,-72547000.0,,5829000.0,5829000.0,,,-99375000.0,-99375000.0,,-19306000.0,0.0,-19407000.0,0.0,,-101000.0
MRSN,2024-02-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-007407,36855000.0,208525000.0,,,,208525000.0,,,8000000.0,216525000.0,,,148269000.0,68256000.0,-179670000.0,,,-171670000.0,-171670000.0,,,,,,,0.0,,,,,4073000.0,,,,,,-171670000.0,0.0,,-171670000.0,,-171670000.0,0.0,,0.0,-1.48,-1.48,116112891.0,116112891.0,,226060000.0,214057000.0,,,,,,12003000.0,,3831000.0,,,8172000.0,189156000.0,63637000.0,7319000.0,,8807000.0,47511000.0,125519000.0,,,,,,,,36904000.0,0,36904000.0,,,226060000.0,-168882000.0,-168882000.0,,119883000.0,119883000.0,,94675000.0,94675000.0,,,45676000.0,45676000.0,,-171507000.0,0.0,-171507000.0,163000.0,,163000.0
MRSN,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-037193,7698000.0,0.0,,,,51639000.0,,,2285000.0,51639000.0,,,30531000.0,21108000.0,-43941000.0,,,-41656000.0,7698000.0,,,,,,,,,,,,1017000.0,,,,,,-41656000.0,0.0,,-41656000.0,,-41656000.0,0.0,,0.0,-0.35,-0.35,120521985.0,120521985.0,,262904000.0,249738000.0,,,,,,13166000.0,,,,,,210709000.0,67933000.0,12946000.0,,7168000.0,47819000.0,142776000.0,25155000.0,117621000.0,,,,,,52195000.0,0,52195000.0,,,262904000.0,-46081000.0,-46081000.0,,103778000.0,103778000.0,,-146000.0,-146000.0,,,57551000.0,57551000.0,,-41606000.0,0.0,-41606000.0,-41606000.0,,50000.0
MRSN,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-027989,10654000.0,0.0,,,,67155000.0,,,2194000.0,67155000.0,,,48968000.0,18187000.0,-56501000.0,,,-54307000.0,-54307000.0,,,,,,,,,,,,1025000.0,,,,,,-54307000.0,0.0,,-54307000.0,,-54307000.0,0.0,,0.0,-0.47,-0.47,115608156.0,115608156.0,,311000000.0,297087000.0,,,,,,13913000.0,,,,,,221200000.0,74920000.0,16918000.0,,7591000.0,50411000.0,0.0,25080000.0,121200000.0,,,,,,89800000.0,0,89800000.0,,,311000000.0,-61834000.0,-61834000.0,,-5439000.0,-5439000.0,,73180000.0,73180000.0,,,5907000.0,5907000.0,,-54307000.0,0.0,-54368000.0,0.0,,-61000.0
MRSN,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-016643,7802000.0,63965000.0,,,,63965000.0,,,1638000.0,65603000.0,,,47275000.0,18328000.0,-57801000.0,,,-56163000.0,-56163000.0,,,,,,,,,,,,983000.0,,,,,,-56163000.0,0.0,,-56163000.0,,-56163000.0,0.0,,0.0,-0.52,-0.52,107514655.0,107514655.0,,296195000.0,281807000.0,,,,,,14388000.0,,,,,,231901000.0,83402000.0,18156000.0,,4754000.0,60492000.0,0.0,25004000.0,123495000.0,,,,,,64294000.0,0,64294000.0,,,296195000.0,-29005000.0,-29005000.0,,1396000.0,1396000.0,,21549000.0,21549000.0,,,-6060000.0,-6060000.0,,-56163000.0,0.0,-55999000.0,164000.0,,164000.0
MRSN,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-005376,26581000.0,230793000.0,,,,230793000.0,,,-445000.0,230348000.0,,,173385000.0,56963000.0,-203767000.0,,,-204212000.0,-204212000.0,,,,,,,0.0,,,,,3328000.0,,,,,,-204212000.0,0.0,,-204212000.0,,-204212000.0,0.0,,0.0,-2.18,-2.18,93654243.0,93654243.0,,334340000.0,319219000.0,,,,,,15121000.0,,3985000.0,,,11136000.0,242283000.0,91533000.0,13951000.0,,11558000.0,66024000.0,150750000.0,,,,,,,,92057000.0,0,92057000.0,,,334340000.0,-49363000.0,-49363000.0,,-152716000.0,-152716000.0,,153017000.0,153017000.0,,,-49062000.0,-49062000.0,,-204364000.0,0.0,-204364000.0,-152000.0,,
MRSN,2022-11-07,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-22-028551,5573000.0,0.0,,,,65212000.0,,,-172000.0,65212000.0,,,50639000.0,14573000.0,-59639000.0,,,-59811000.0,5573000.0,,,,,,,,,,,,880000.0,,,,,,-59811000.0,0.0,,-59811000.0,,-59811000.0,0.0,,0.0,-0.61,-0.61,97641936.0,97641936.0,,314850000.0,300037000.0,,,,,,14813000.0,,,,,,224621000.0,88794000.0,13732000.0,,9083000.0,65979000.0,135827000.0,24853000.0,110974000.0,,,,,,90229000.0,0,90229000.0,,,314850000.0,54597000.0,54597000.0,,-16491000.0,-16491000.0,,10638000.0,10638000.0,,,48744000.0,48744000.0,,-59916000.0,0.0,-59916000.0,-59916000.0,,-105000.0
