ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MSM,2025-04-03,2025,Q2,2024-12-01,2025-03-01,https://api.polygon.io/v1/reference/sec/filings/0001003078-25-000047,891717000.0,840004000.0,526487000.0,,,840004000.0,365230000.0,,-10533000.0,301578000.0,,22989000.0,,278589000.0,62246000.0,,,39147000.0,51713000.0,,,,,,,12566000.0,,,,,,,,,,,39147000.0,-167000.0,,39314000.0,,39314000.0,0.0,,0.0,0.7,0.7,55793000.0,55851000.0,,2462178000.0,1194355000.0,,,644971000.0,,549384000.0,1267823000.0,,372842000.0,93144000.0,,801837000.0,1097588000.0,622633000.0,213057000.0,,,409576000.0,474955000.0,,,,,,,,1364590000.0,8098000.0,1356492000.0,,,2462178000.0,54466000.0,54466000.0,,-30339000.0,-30339000.0,,-39731000.0,-39731000.0,,-386000.0,-15990000.0,-15604000.0,,36551000.0,-224000.0,36775000.0,-2596000.0,,
MSM,2025-01-08,2025,Q1,2024-09-01,2024-11-30,https://api.polygon.io/v1/reference/sec/filings/0001003078-25-000007,928484000.0,867882000.0,550297000.0,,,867882000.0,378187000.0,,-11678000.0,303563000.0,,21682000.0,,281881000.0,72280000.0,,,45694000.0,60602000.0,,,,,,,14908000.0,,,,,,,,,,,45694000.0,-929000.0,,46623000.0,,46623000.0,0.0,,0.0,0.83,0.83,55897000.0,56068000.0,,2473522000.0,1206392000.0,,,636652000.0,,569740000.0,1267130000.0,,362336000.0,96826000.0,,807968000.0,1090116000.0,626288000.0,208697000.0,,,417591000.0,463828000.0,,,,,,,,1383406000.0,8322000.0,1375084000.0,,,2473522000.0,101868000.0,101868000.0,,-20408000.0,-20408000.0,,-53359000.0,-53359000.0,,-423000.0,27678000.0,28101000.0,,41628000.0,-1163000.0,42791000.0,-4066000.0,,
MSM,2024-10-24,2024,FY,2023-09-03,2024-08-31,https://api.polygon.io/v1/reference/sec/filings/0001003078-24-000107,3820951000.0,3478202000.0,2248168000.0,,,3478202000.0,1572783000.0,,-47638000.0,1167870000.0,,80886000.0,,1086984000.0,390387000.0,,,255957000.0,342749000.0,,,,,,,86792000.0,76753000.0,10039000.0,,,,,,,,,255957000.0,-2637000.0,,258594000.0,,258594000.0,0.0,,0.0,4.6,4.58,56257000.0,56441000.0,,2462313000.0,1188089000.0,,,643904000.0,,544185000.0,1274224000.0,,360255000.0,101147000.0,,812822000.0,1061031000.0,605427000.0,205933000.0,,34199000.0,365295000.0,455604000.0,508110000.0,,,,,,,1401282000.0,9485000.0,1391797000.0,,,2462313000.0,410696000.0,410696000.0,,-123396000.0,-123396000.0,,-307352000.0,-307352000.0,,,-20052000.0,-20052000.0,,251242000.0,-3933000.0,255175000.0,-4715000.0,,
MSM,2024-07-02,2024,Q3,2024-03-03,2024-06-01,https://api.polygon.io/v1/reference/sec/filings/0001003078-24-000076,979350000.0,884014000.0,578903000.0,,,884014000.0,400447000.0,,-11430000.0,288991000.0,,19916000.0,,269075000.0,106766000.0,,,71312000.0,95336000.0,,,,,,,24024000.0,,,,,,,,,,,71312000.0,-393000.0,,71705000.0,,71705000.0,0.0,,0.0,1.28,1.27,56214000.0,56351000.0,,2467794000.0,1212848000.0,,,665638000.0,,547210000.0,1254946000.0,,344787000.0,102854000.0,,807305000.0,1053585000.0,583512000.0,205644000.0,,,377868000.0,470073000.0,,,,,,,,1414209000.0,12593000.0,1401616000.0,,,2467794000.0,143522000.0,143522000.0,,-29562000.0,-29562000.0,,-110198000.0,-110198000.0,,-61000.0,3701000.0,3762000.0,,71095000.0,-397000.0,71492000.0,-217000.0,,
MSM,2024-03-28,2024,Q2,2023-12-03,2024-03-02,https://api.polygon.io/v1/reference/sec/filings/0001003078-24-000050,935348000.0,855393000.0,546737000.0,,,855393000.0,388611000.0,,-11240000.0,291235000.0,,20590000.0,,270645000.0,91195000.0,,,61565000.0,79955000.0,,,,,,,18390000.0,,,,,6951000.0,,,,,,61565000.0,-282000.0,,61847000.0,,61847000.0,0.0,,0.0,1.1,1.1,56325000.0,56467000.0,,2501394000.0,1264913000.0,,,685373000.0,,579540000.0,1236481000.0,,330765000.0,106833000.0,,798883000.0,1097895000.0,630430000.0,208111000.0,,,422319000.0,467465000.0,,,,,,,,1403499000.0,12990000.0,1390509000.0,,,2501394000.0,78743000.0,78743000.0,,-35218000.0,-35218000.0,,-47086000.0,-47086000.0,,-17000.0,-3578000.0,-3561000.0,,61622000.0,-162000.0,61784000.0,57000.0,,
MSM,2024-01-09,2024,Q1,2023-09-03,2023-12-02,https://api.polygon.io/v1/reference/sec/filings/0001003078-24-000008,953969000.0,862651000.0,560852000.0,,,862651000.0,393117000.0,,-10250000.0,290633000.0,,19782000.0,,270851000.0,101568000.0,,,69128000.0,91318000.0,,,,,,,22190000.0,,,,,5320000.0,,,,,,69128000.0,-222000.0,,69350000.0,,69350000.0,0.0,,0.0,1.23,1.22,56429000.0,56723000.0,,2493724000.0,1270966000.0,,,709362000.0,,561604000.0,1222758000.0,,322091000.0,106890000.0,,793777000.0,1095499000.0,627858000.0,188976000.0,,,438882000.0,467641000.0,,,,,,,,1398225000.0,13152000.0,1385073000.0,,,2493724000.0,81168000.0,81168000.0,,-18433000.0,-18433000.0,,-87191000.0,-87191000.0,,209000.0,-24247000.0,-24456000.0,,69532000.0,-266000.0,69798000.0,404000.0,,
MSM,2023-10-25,2023,FY,2022-09-04,2023-09-02,https://api.polygon.io/v1/reference/sec/filings/0001003078-23-000102,4009282000.0,3553126000.0,2366317000.0,,,3553126000.0,1642965000.0,,-27577000.0,1151295000.0,,75129000.0,,1076166000.0,483733000.0,,,343107000.0,456156000.0,,,,,,,113049000.0,103943000.0,9106000.0,,,22543000.0,,,,,,343107000.0,-126000.0,,343233000.0,,343233000.0,0.0,,0.0,6.14,6.11,55918000.0,56210000.0,,2544134000.0,1317513000.0,,,726521000.0,,590992000.0,1226621000.0,,319660000.0,110641000.0,,796320000.0,1051552000.0,649436000.0,226299000.0,,39717000.0,383420000.0,402116000.0,453851000.0,,,,,,,1492582000.0,13418000.0,1479164000.0,,,2544134000.0,699582000.0,699582000.0,,-112675000.0,-112675000.0,,-580400000.0,-580400000.0,,,6507000.0,6507000.0,,350198000.0,1569000.0,348629000.0,7091000.0,,
MSM,2023-06-29,2023,Q3,2023-03-05,2023-06-03,https://api.polygon.io/v1/reference/sec/filings/0001003078-23-000072,1054464000.0,928059000.0,625527000.0,,,928059000.0,428937000.0,,-8981000.0,291706000.0,,18899000.0,,272807000.0,135386000.0,,,95139000.0,126405000.0,,,,,,,31266000.0,,,,,5038000.0,,,,,,95139000.0,-41000.0,,95180000.0,,95180000.0,0.0,,0.0,1.7,1.69,55963000.0,56156000.0,0.79,2526679000.0,1316217000.0,,,726863000.0,,589354000.0,1210462000.0,,307123000.0,114262000.0,,789077000.0,1024133000.0,683475000.0,209859000.0,,,473616000.0,340658000.0,,,,,,,,1502546000.0,13286000.0,1489260000.0,,,2526679000.0,150637000.0,150637000.0,,-23191000.0,-23191000.0,,-118764000.0,-118764000.0,,131000.0,8813000.0,8682000.0,,97613000.0,229000.0,97384000.0,2474000.0,,
MSM,2023-04-04,2023,Q2,2022-12-04,2023-03-04,https://api.polygon.io/v1/reference/sec/filings/0001003078-23-000050,961632000.0,855454000.0,564937000.0,,,855454000.0,396695000.0,,-8104000.0,280630000.0,,18657000.0,,261973000.0,114282000.0,,,79315000.0,106178000.0,,,,,,,26863000.0,,,,,5956000.0,,,,,,79315000.0,175000.0,,79140000.0,,79140000.0,0.0,,0.0,1.42,1.41,55880000.0,56001000.0,0.79,2524455000.0,1314768000.0,,,747470000.0,,567298000.0,1209687000.0,,298664000.0,117865000.0,,793158000.0,1090464000.0,645281000.0,207553000.0,,,437728000.0,445183000.0,,,,,,,,1433991000.0,13057000.0,1420934000.0,,,2524455000.0,340416000.0,340416000.0,,-35513000.0,-35513000.0,,-281373000.0,-281373000.0,,,23595000.0,23530000.0,,81864000.0,975000.0,80889000.0,2549000.0,,
MSM,2023-01-05,2023,Q1,2022-09-04,2022-12-03,https://api.polygon.io/v1/reference/sec/filings/0001003078-23-000008,957745000.0,849894000.0,559946000.0,,,849894000.0,397799000.0,,-8159000.0,279695000.0,,18566000.0,,261129000.0,116010000.0,,,81212000.0,107851000.0,,,,,,,26639000.0,,,,,6919000.0,,,,,,81212000.0,-102000.0,,81314000.0,,81314000.0,0.0,,0.0,1.45,1.45,55891000.0,56081000.0,0.79,2749401000.0,1558573000.0,,,726415000.0,,832158000.0,1190828000.0,,297113000.0,110702000.0,,783013000.0,1350981000.0,726761000.0,212793000.0,,,513968000.0,624220000.0,780108000.0,,,,,,,1398420000.0,12082000.0,1386338000.0,,,2749401000.0,76024000.0,76024000.0,,-25591000.0,-25591000.0,,-67950000.0,-67950000.0,,,-17517000.0,-17517000.0,,82482000.0,233000.0,82249000.0,1270000.0,,
