ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MSN,2024-11-14,2025,Q2,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-035287,2738000.0,3619000.0,2466000.0,,,3855000.0,272000.0,,,1389000.0,1389000.0,,,,-1117000.0,,,-881000.0,-881000.0,,,,,,,0.0,,,,,,236000.0,236000.0,,,0,-881000.0,0,,-881000.0,,-881000.0,0,,0,-0.04,-0.04,21042652.0,21042652.0,,26570000.0,25726000.0,,,,,,844000.0,,245000.0,,,599000.0,2188000.0,1785000.0,,,,,403000.0,,,,,,,,24382000.0,0,24382000.0,,,26570000.0,-2129000.0,-2129000.0,,-249000.0,-249000.0,,0.0,0.0,,,-2378000.0,-2378000.0,,-881000.0,0,-881000.0,0.0,,
MSN,2024-08-14,2025,Q1,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-026775,2198000.0,3157000.0,2004000.0,,,3420000.0,194000.0,,,1416000.0,1416000.0,,,,-1222000.0,,,-962000.0,-959000.0,,,,,,,3000.0,,,,,,263000.0,263000.0,,,0,-962000.0,0,,-962000.0,,-962000.0,0,,0,-0.05,-0.05,21042652.0,21042652.0,,28458000.0,27874000.0,,,,,,584000.0,,258000.0,,,326000.0,3195000.0,2334000.0,,,,,861000.0,,,,,,,,25263000.0,0,25263000.0,,,28458000.0,-840000.0,-840000.0,,-16215000.0,-16215000.0,,7000.0,7000.0,,,-17048000.0,-17048000.0,,-962000.0,0,-962000.0,0.0,,
MSN,2024-06-27,2024,FY,2023-04-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-021403,9070000.0,8214000.0,7506000.0,,,12469000.0,1564000.0,,,4963000.0,4963000.0,,,,-3399000.0,,,766000.0,856000.0,,,,,,,90000.0,,,,1160000.0,5000.0,1155000.0,1155000.0,,,0,766000.0,0,,766000.0,,766000.0,0,,0,0.04,0.04,21042652.0,21042652.0,,29065000.0,28604000.0,,,,,,461000.0,,95000.0,,,366000.0,2840000.0,1974000.0,,,,,866000.0,,,,,,,,26225000.0,0,26225000.0,,,29065000.0,-5258000.0,-5258000.0,,-119000.0,-119000.0,,-1000.0,-1000.0,,,-5378000.0,-5378000.0,,766000.0,0,766000.0,0.0,,
MSN,2024-02-20,2024,Q3,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-004822,2622000.0,3057000.0,2144000.0,,,3346000.0,478000.0,,,1202000.0,1202000.0,,,,-724000.0,,,-421000.0,-435000.0,,,,,,,-14000.0,,,,,,289000.0,289000.0,,,0,-421000.0,0,,-421000.0,,-421000.0,0,,0,-0.02,-0.02,21042652.0,21042652.0,,30222000.0,29719000.0,,,,,,503000.0,,91000.0,,,412000.0,3114000.0,2238000.0,,,,,876000.0,,,,,,,,27108000.0,0,27108000.0,,,30222000.0,1293000.0,1293000.0,,-18527000.0,-18527000.0,,17234000.0,17234000.0,,,0.0,0.0,,-421000.0,0,-421000.0,0.0,,
MSN,2023-11-14,2024,Q2,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-031952,2438000.0,-285000.0,2040000.0,,,3104000.0,398000.0,,,1064000.0,1064000.0,,,,-666000.0,,,2635000.0,2723000.0,,,,,,,88000.0,,,,,,289000.0,289000.0,,,0,2635000.0,0,,2635000.0,,2635000.0,0,,0,0.13,0.13,21042652.0,21042652.0,,29782000.0,29250000.0,,,,,,532000.0,,76000.0,,,456000.0,2253000.0,1366000.0,,,,,887000.0,,,,,,,,27529000.0,0,27529000.0,,,29782000.0,-3765000.0,-3765000.0,,-35000.0,-35000.0,,3800000.0,3800000.0,,,0.0,0.0,,2635000.0,0,2635000.0,0.0,,
MSN,2023-08-14,2024,Q1,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-023646,1809000.0,2374000.0,1470000.0,,,2668000.0,339000.0,,,1198000.0,1198000.0,,,,-859000.0,,,-565000.0,-565000.0,,,,,,,0.0,,,,,,294000.0,294000.0,,,0,-565000.0,0,,-565000.0,,-565000.0,0,,0,-0.03,-0.03,21042652.0,21042652.0,,30533000.0,30235000.0,,,,,,298000.0,,47000.0,,,251000.0,5639000.0,4412000.0,,,,,1227000.0,,,,,,,,24894000.0,0,24894000.0,,,30533000.0,-547000.0,-547000.0,,-50000.0,-50000.0,,597000.0,597000.0,,,0.0,0.0,,-565000.0,0,-565000.0,0.0,,
MSN,2023-06-26,2023,FY,2022-04-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-018439,7177000.0,8537000.0,5076000.0,,,9273000.0,2101000.0,,,4197000.0,4197000.0,,,,-2096000.0,,,-1360000.0,-1360000.0,,,,,,,0.0,,,,712000.0,10000.0,702000.0,702000.0,,,0,-1360000.0,0,,-1360000.0,,-1360000.0,0,,0,-0.06,-0.06,21042652.0,21042652.0,,31371000.0,31095000.0,,,,,,276000.0,,1000.0,,,275000.0,5912000.0,4648000.0,,,,,1264000.0,,,,,,,,25459000.0,0,25459000.0,,,31371000.0,-308000.0,-308000.0,,0.0,,,0.0,,,,-308000.0,-308000.0,,-1360000.0,0,-1360000.0,0.0,,
MSN,2023-02-14,2023,Q3,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-003345,1932000.0,2173000.0,1361000.0,,,2412000.0,571000.0,,,1051000.0,1051000.0,,,,-480000.0,,,-241000.0,-241000.0,,,,,,,0.0,,,,,,235000.0,235000.0,,,0,-241000.0,0,,-241000.0,,-241000.0,0,,0,-0.01,-0.01,21043000.0,21043000.0,,31993000.0,31655000.0,,,,,,338000.0,,2000.0,,,336000.0,6645000.0,5344000.0,,,,,1301000.0,,,,,,,,25348000.0,0,25348000.0,,,31993000.0,-479000.0,-479000.0,,0.0,,,0.0,,,,-479000.0,-479000.0,,-241000.0,0,-241000.0,0.0,,
MSN,2022-11-14,2023,Q2,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-22-027253,2300000.0,2453000.0,1309000.0,,,2600000.0,991000.0,,,1291000.0,1291000.0,,,,-300000.0,,,-153000.0,-153000.0,,,,,,,0.0,,,,,,139000.0,139000.0,,,0,-153000.0,0,,-153000.0,,-153000.0,0,,0,-0.01,-0.01,21043000.0,21043000.0,,32348000.0,31957000.0,,,,,,391000.0,,2000.0,,,389000.0,6759000.0,5424000.0,,,,,1335000.0,,,,,,,,25589000.0,0,25589000.0,,,32348000.0,2865000.0,2865000.0,,,,,,,,,2865000.0,2865000.0,,-153000.0,0,-153000.0,0.0,,
MSN,2022-08-15,2023,Q1,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-029485,1074000.0,2151000.0,879000.0,,,2223000.0,195000.0,,,1344000.0,1344000.0,,,,-1149000.0,,,-1077000.0,-1077000.0,,,,,,,0.0,,,,,,50000.0,50000.0,,,0,-1077000.0,0,,-1077000.0,,-1077000.0,0,,0,-0.05,-0.05,21043000.0,21043000.0,,28895000.0,28451000.0,,,,,,444000.0,,2000.0,,,442000.0,3153000.0,1382000.0,,,,,1771000.0,,,,,,,,25742000.0,0,25742000.0,,,28895000.0,-668000.0,-668000.0,,,,,,,,,-668000.0,-668000.0,,-1077000.0,0,-1077000.0,0.0,,
