ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
MSTR,2025-05-05,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-063536,111066000.0,6053520000.0,33971000.0,,,6053520000.0,77095000.0,,,5998507000.0,,,24423000.0,5974084000.0,-5921412000.0,,,-4217370000.0,-5942454000.0,,,,,,,-1725084000.0,,,,,,,,,,,-4217370000.0,0,,-4217370000.0,,-4228018000.0,10648000.0,,10648000.0,-16.49,-16.49,256473000.0,256473000.0,,43919760000.0,203612000.0,,,,,,43716148000.0,,28335000.0,,,43687813000.0,10394027000.0,308689000.0,,,32785000.0,275904000.0,10085338000.0,8140681000.0,1944657000.0,,,,,,32221236000.0,0,32221236000.0,1304497000.0,1304497000.0,43919760000.0,-2389000.0,-2389000.0,,-7670400000.0,-7670400000.0,,7694305000.0,7694305000.0,,,21516000.0,21516000.0,,-4213953000.0,0,-4213953000.0,3417000.0,,
MSTR,2025-02-18,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-021814,463456000.0,2397802000.0,129468000.0,,,2397802000.0,333988000.0,,,2186966000.0,,5600000.0,118486000.0,2062880000.0,-1852978000.0,,,-1166661000.0,-1934346000.0,,,,,,,-767685000.0,238000.0,-767923000.0,,,,,,,,,-1166661000.0,0,,-1166661000.0,,-1166661000.0,0.0,,0.0,-6.06,-6.06,192549000.0,192549000.0,,25843685000.0,252324000.0,,,,,,25591361000.0,,26327000.0,,,25565034000.0,7613701000.0,355384000.0,,,58362000.0,297022000.0,7258317000.0,7191675000.0,66642000.0,,,,,,18229984000.0,0,18229984000.0,,,25843685000.0,-53032000.0,-53032000.0,,-22086237000.0,-22086237000.0,,22132641000.0,22132641000.0,,,-6628000.0,-6628000.0,,-1170601000.0,0,-1170601000.0,-3940000.0,,
MSTR,2024-10-31,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-119263,116071000.0,594749000.0,34349000.0,,,594749000.0,81722000.0,,,514304000.0,,,33301000.0,481003000.0,-432582000.0,,,-340174000.0,-478678000.0,,,,,,,-138504000.0,,,,,,,,,,,-340174000.0,0,,-340174000.0,,-340174000.0,0.0,,0.0,-1.72,-1.72,197273000.0,197273000.0,,8343581000.0,186042000.0,,,,,,8157539000.0,,27517000.0,,,8130022000.0,4569932000.0,288111000.0,,,51686000.0,236425000.0,4281821000.0,4212458000.0,69363000.0,,,,,,3773649000.0,0,3773649000.0,,,8343581000.0,-40966000.0,-40966000.0,,-1575499000.0,-1575499000.0,,1594236000.0,1594236000.0,,,-22229000.0,-22229000.0,,-336204000.0,0,-336204000.0,3970000.0,,
MSTR,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-091778,111442000.0,326488000.0,30935000.0,,,326488000.0,80507000.0,,,280781000.0,,,30311000.0,250470000.0,-200274000.0,,,-102559000.0,-215046000.0,,,,,,,-112487000.0,,,,,,,,,,,-102559000.0,0,,-102559000.0,,-102559000.0,0.0,,0.0,-5.74,-5.74,17861000.0,17861000.0,,7053073000.0,208269000.0,,,,,,6844804000.0,,28332000.0,,,6816472000.0,4218274000.0,446063000.0,,,46853000.0,399210000.0,0.0,3848500000.0,,,,,,,2834799000.0,0,2834799000.0,,,7053073000.0,-23329000.0,-23329000.0,,-794551000.0,-794551000.0,,803431000.0,803431000.0,,,-14449000.0,-14449000.0,,-102940000.0,0,-102940000.0,-381000.0,,
MSTR,2024-05-01,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-051230,115246000.0,329133000.0,30015000.0,,,329133000.0,85231000.0,,,288933000.0,,,29183000.0,259750000.0,-203702000.0,,,-53118000.0,-213887000.0,,,,,,,-160769000.0,,,,,,,,,,,-53118000.0,0,,-53118000.0,,-53118000.0,0.0,,0.0,-3.09,-3.09,17194000.0,17194000.0,,6351539000.0,241592000.0,,,,,,6109947000.0,,29108000.0,,,6080839000.0,3951434000.0,309808000.0,,,40617000.0,269191000.0,0.0,3558801000.0,82825000.0,,,,,,2400105000.0,0,2400105000.0,,,6351539000.0,28587000.0,28587000.0,,-1640854000.0,-1640854000.0,,1648400000.0,1648400000.0,,,36133000.0,36133000.0,,-54843000.0,0,-54843000.0,-1725000.0,,
MSTR,2024-02-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-015847,496261000.0,620786000.0,109944000.0,,,620786000.0,386317000.0,,,501364000.0,,6400000.0,120530000.0,374434000.0,-115047000.0,,,429121000.0,-124525000.0,,,,,,,-553646000.0,15296000.0,-568942000.0,,,,,,,,,429121000.0,0,,429121000.0,,429121000.0,0.0,,0.0,31.39,26.42,13671000.0,16566000.0,,4762528000.0,267895000.0,,,,,,4494633000.0,,28941000.0,,,4465692000.0,2597556000.0,323273000.0,,,50045000.0,273228000.0,2274283000.0,2182108000.0,92175000.0,,,,,,2164972000.0,0,2164972000.0,,,4762528000.0,12712000.0,12712000.0,,-1905237000.0,-1905237000.0,,1889886000.0,1889886000.0,,,-2639000.0,-2639000.0,,431478000.0,0,431478000.0,2357000.0,,
MSTR,2023-11-01,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-057418,129462000.0,163296000.0,26661000.0,,,163296000.0,102801000.0,,,128048000.0,,,29660000.0,98388000.0,-25247000.0,,,-143441000.0,-33834000.0,,,,,,,109607000.0,,,,,,,,,,,-143441000.0,0,,-143441000.0,,-143441000.0,0.0,,0.0,-10.09,-10.09,14221000.0,14221000.0,,3373941000.0,199565000.0,,,,,,3174376000.0,,30192000.0,,,3144184000.0,2533546000.0,267721000.0,,,43405000.0,224316000.0,2265825000.0,2180038000.0,85787000.0,,,,,,840395000.0,0,840395000.0,,,3373941000.0,-7397000.0,-7397000.0,,-163134000.0,-163134000.0,,150114000.0,150114000.0,,,-20417000.0,-20417000.0,,-145646000.0,0,-145646000.0,-2205000.0,,
MSTR,2023-08-01,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-036448,120400000.0,158453000.0,27121000.0,,,158453000.0,93279000.0,,,119987000.0,,,29354000.0,90633000.0,-26708000.0,,,22243000.0,-38053000.0,,,,,,,-60296000.0,,,,,,,,,,,22243000.0,0,,22243000.0,,22243000.0,0.0,,0.0,1.68,1.52,13247000.0,16095000.0,,3363104000.0,209634000.0,,,,,,3153470000.0,,30507000.0,,,3122963000.0,2543986000.0,272930000.0,,,41492000.0,231438000.0,0.0,2177974000.0,93082000.0,,,,,,819118000.0,0,819118000.0,,,3363104000.0,-18472000.0,-18472000.0,,-347642000.0,-347642000.0,,338289000.0,338289000.0,,,-27825000.0,-27825000.0,,22156000.0,0,22156000.0,-87000.0,,
MSTR,2023-05-01,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-016229,121915000.0,113909000.0,27941000.0,,,113909000.0,93974000.0,,,114281000.0,,,31358000.0,82923000.0,-20307000.0,,,461193000.0,8006000.0,,,,,,,-453187000.0,,,,,,,,,,,461193000.0,0,,461193000.0,,461193000.0,0.0,,0.0,38.97,31.79,11834000.0,14575000.0,,3026402000.0,259676000.0,,,,,,2766726000.0,,31338000.0,,,2735388000.0,2583191000.0,312399000.0,,,39199000.0,273200000.0,0.0,2175918000.0,94874000.0,,,,,,443211000.0,0,443211000.0,,,3026402000.0,37397000.0,37397000.0,,-179774000.0,-179774000.0,,187622000.0,187622000.0,,,45245000.0,45245000.0,,461931000.0,0,461931000.0,738000.0,,
MSTR,2023-02-16,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-23-002012,499264000.0,1821729000.0,102989000.0,,,1821729000.0,396275000.0,,,1672017000.0,,6700000.0,127428000.0,1537889000.0,-1275742000.0,,,-1469797000.0,-1322465000.0,,,,,,,147332000.0,22779000.0,124553000.0,,,,,,,,,-1469797000.0,0,,-1469797000.0,,-1469797000.0,0.0,,0.0,-129.83,-129.83,11321000.0,11321000.0,,2410272000.0,264566000.0,,,,,,2145706000.0,,32311000.0,,,2113395000.0,2793392000.0,317403000.0,,,53716000.0,263687000.0,2475989000.0,2378560000.0,97429000.0,,,,,,-383120000.0,0,-383120000.0,,,2410272000.0,3211000.0,3211000.0,,-278590000.0,-278590000.0,,265188000.0,265188000.0,,,-10191000.0,-10191000.0,,-1476055000.0,0,-1476055000.0,-6258000.0,,
