ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
NNBR,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000918541-25-000062,105688000.0,113502000.0,,,,113502000.0,,,,110477000.0,11170000.0,,,99307000.0,-4789000.0,,-7814000.0,-9124000.0,-7814000.0,,,,,,2439000.0,1310000.0,,,,,5194000.0,,,,,,-6685000.0,0,,-6685000.0,,-11092000.0,4407000.0,,4407000.0,-0.23,-0.23,49075000.0,49075000.0,,460724000.0,172974000.0,,,62927000.0,,110047000.0,287750000.0,,,,,,295476000.0,90104000.0,45876000.0,,17698000.0,26530000.0,205372000.0,,,,,,,,67344000.0,0.0,67344000.0,,,460724000.0,-3345000.0,-3345000.0,,-3730000.0,-3730000.0,,583000.0,583000.0,,103000.0,-6389000.0,-6492000.0,,-3560000.0,0,-3560000.0,3125000.0,,3125000.0
NNBR,2025-03-06,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000918541-25-000018,464290000.0,509724000.0,,,,509724000.0,,,,491838000.0,49481000.0,,,442357000.0,-27548000.0,,-45434000.0,-38273000.0,-45434000.0,7154000.0,,,7154000.0,,9571000.0,2410000.0,3331000.0,-921000.0,,,22095000.0,,,,,,-38273000.0,0,,-38273000.0,,-53971000.0,15698000.0,,15698000.0,-1.11,-1.11,48653000.0,48653000.0,,456893000.0,167562000.0,,,61877000.0,,105685000.0,289331000.0,,,,,,288874000.0,83912000.0,38879000.0,,19915000.0,25118000.0,204962000.0,,,,,,,,74522000.0,0.0,74522000.0,,,456893000.0,11070000.0,11070000.0,,-1008000.0,-1008000.0,,-13245000.0,-13245000.0,,-592000.0,-3775000.0,-3183000.0,,-48685000.0,0,-48685000.0,-10412000.0,,-10412000.0
NNBR,2024-10-31,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000918541-24-000134,113587000.0,117426000.0,,,,117426000.0,,,,117337000.0,10257000.0,,,107080000.0,-3750000.0,,-3839000.0,-4742000.0,-3839000.0,,,,,,2185000.0,903000.0,,,,,5404000.0,,,,,,-2557000.0,0,,-2557000.0,,-6534000.0,3977000.0,,3977000.0,-0.13,-0.13,48997000.0,48997000.0,,483098000.0,173904000.0,,,69600000.0,,104304000.0,309194000.0,,,,,,287235000.0,88572000.0,44983000.0,,15027000.0,28562000.0,198663000.0,,,,,,,,106574000.0,0.0,106574000.0,,,483098000.0,4958000.0,4958000.0,,10729000.0,10729000.0,,-17202000.0,-17202000.0,,218000.0,-1297000.0,-1515000.0,,1304000.0,0,1304000.0,3861000.0,,3861000.0
NNBR,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000918541-24-000115,122992000.0,127551000.0,,,,127551000.0,,,,125139000.0,13511000.0,,,111628000.0,-2147000.0,,-4559000.0,-4344000.0,-4559000.0,,,,,,2141000.0,-215000.0,,,,,5873000.0,,,,,,-2203000.0,0,,-2203000.0,,-6046000.0,3843000.0,,3843000.0,-0.12,-0.12,48839000.0,48839000.0,,497234000.0,185342000.0,,,68291000.0,,117051000.0,311892000.0,,,,,,303486000.0,90895000.0,45470000.0,,14848000.0,30577000.0,0.0,,,,,,,,108436000.0,0.0,108436000.0,,,497234000.0,-1281000.0,-1281000.0,,-3453000.0,-3453000.0,,-2001000.0,-2001000.0,,-129000.0,-6864000.0,-6735000.0,,-6039000.0,0,-6039000.0,-3836000.0,,-3836000.0
NNBR,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000918541-24-000066,121198000.0,135500000.0,,,,135500000.0,,,,125981000.0,13348000.0,,,112633000.0,-4783000.0,,-14302000.0,-14808000.0,-14302000.0,,,,,,2271000.0,506000.0,,,,,5366000.0,,,,,,-12537000.0,0,,-12537000.0,,-16207000.0,3670000.0,,3670000.0,-0.34,-0.34,47724000.0,47724000.0,,512824000.0,193538000.0,,,72718000.0,,120820000.0,319286000.0,,,,,,315214000.0,94792000.0,50786000.0,,16920000.0,27086000.0,0.0,,,,,,,,116141000.0,0.0,116141000.0,,,512824000.0,712000.0,712000.0,,-5362000.0,-5362000.0,,3570000.0,3570000.0,,-213000.0,-1293000.0,-1080000.0,,-15332000.0,0,-15332000.0,-2795000.0,,-2795000.0
NNBR,2024-03-12,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000918541-24-000020,489270000.0,542941000.0,,,,542941000.0,,,,511074000.0,47436000.0,,,463638000.0,-21804000.0,,-53671000.0,-50150000.0,-53671000.0,0.0,,,0.0,,5806000.0,2285000.0,3447000.0,-1162000.0,,,21137000.0,,,,,,-50150000.0,0,,-50150000.0,,-63248000.0,13098000.0,,13098000.0,-1.35,-1.35,46738000.0,46738000.0,,510885000.0,182554000.0,,,71563000.0,,110991000.0,328331000.0,,,,,,308084000.0,81619000.0,45480000.0,,15464000.0,20675000.0,226465000.0,,,,,,,,125002000.0,0.0,125002000.0,,,510885000.0,29344000.0,29344000.0,,-17598000.0,-17598000.0,,-2883000.0,-2883000.0,,232000.0,9095000.0,8863000.0,,-50785000.0,0,-50785000.0,-635000.0,,-635000.0
NNBR,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000918541-23-000139,124443000.0,131458000.0,,,,131458000.0,,,,127182000.0,11693000.0,,,115489000.0,-2739000.0,,-7015000.0,-6770000.0,-7015000.0,,,,,,1713000.0,-245000.0,,,,,5739000.0,,,,,,-5057000.0,0,,-5057000.0,,-8404000.0,3347000.0,,3347000.0,-0.18,-0.18,47539000.0,47539000.0,,520698000.0,193257000.0,,,70917000.0,,122340000.0,327441000.0,,,,,,302677000.0,88519000.0,49347000.0,,13243000.0,25929000.0,214158000.0,151746000.0,62412000.0,,,,,,143726000.0,0.0,143726000.0,,,520698000.0,15247000.0,15247000.0,,-3997000.0,-3997000.0,,-3463000.0,-3463000.0,,-334000.0,7453000.0,7787000.0,,-8578000.0,0,-8578000.0,-3521000.0,,-3521000.0
NNBR,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000918541-23-000123,125206000.0,140351000.0,,,,140351000.0,,,,129253000.0,10975000.0,,,118278000.0,-4047000.0,,-15145000.0,-15470000.0,-15145000.0,,,,,,1093000.0,325000.0,,,,,5457000.0,,,,,,-14377000.0,0,,-14377000.0,,-17573000.0,3196000.0,,3196000.0,-0.38,-0.38,46357000.0,46357000.0,,538414000.0,197417000.0,,,77386000.0,,120031000.0,340997000.0,,,,,,313022000.0,91019000.0,51416000.0,,13317000.0,26286000.0,0.0,154966000.0,67037000.0,,,,,,154444000.0,0.0,154444000.0,,,538414000.0,8417000.0,8417000.0,,-5457000.0,-5457000.0,,1007000.0,1007000.0,,-175000.0,3792000.0,3967000.0,,-17200000.0,0,-17200000.0,-2823000.0,,-2823000.0
NNBR,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000918541-23-000081,127088000.0,136243000.0,,,,136243000.0,,,,134163000.0,13165000.0,,,120998000.0,-7075000.0,,-9155000.0,-10175000.0,-9155000.0,,,,,,281000.0,1301000.0,,,,,4288000.0,,,,,,-10175000.0,0,,-10175000.0,,-13226000.0,3051000.0,,3051000.0,-0.29,-0.29,45309000.0,45309000.0,,547273000.0,200505000.0,,,81778000.0,,118727000.0,346768000.0,,,,,,305057000.0,91340000.0,49975000.0,,14251000.0,27114000.0,0.0,153032000.0,60685000.0,,,,,,174464000.0,0.0,174464000.0,,,547273000.0,226000.0,226000.0,,-3962000.0,-3962000.0,,1251000.0,1251000.0,,222000.0,-2263000.0,-2485000.0,,-9033000.0,0,-9033000.0,1142000.0,,1142000.0
NNBR,2023-03-10,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000918541-23-000023,498738000.0,529807000.0,,,,529807000.0,,,,519830000.0,49635000.0,,,470195000.0,-21092000.0,,-31069000.0,-26098000.0,-31069000.0,0.0,,,0.0,,6592000.0,1621000.0,3406000.0,-1785000.0,,,15041000.0,,,,,,-26098000.0,0,,-26098000.0,,-36992000.0,10894000.0,,10894000.0,-0.83,-0.83,44680000.0,44680000.0,,546127000.0,191700000.0,,,80682000.0,,111018000.0,354427000.0,,,,,,295162000.0,78806000.0,45871000.0,,11671000.0,21264000.0,216356000.0,157104000.0,59252000.0,,,,,,186264000.0,0.0,186264000.0,,,546127000.0,7717000.0,7717000.0,,-17492000.0,-17492000.0,,-5186000.0,-5186000.0,,-887000.0,-15848000.0,-14961000.0,,-31316000.0,0,-31316000.0,-5218000.0,,
