ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
OGE,2025-04-30,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-060389,747700000.0,674800000.0,324000000.0,,,674800000.0,423700000.0,,6900000.0,290400000.0,,137400000.0,,153000000.0,133300000.0,,,62700000.0,72900000.0,,,,,,,10200000.0,,,,,67300000.0,,,,,,62700000.0,0,,62700000.0,,62700000.0,0,,0,0.31,0.31,201200000.0,201900000.0,,13953200000.0,1008800000.0,,,135600000.0,,873200000.0,12944400000.0,,12213200000.0,,,731200000.0,9337500000.0,1382600000.0,224700000.0,,32500000.0,1125400000.0,7954900000.0,,,,,,,,4615700000.0,0,4615700000.0,,,13953200000.0,15900000.0,15900000.0,,-263700000.0,-263700000.0,,274100000.0,274100000.0,,,26300000.0,26300000.0,,62800000.0,0,62800000.0,100000.0,,100000.0
OGE,2025-02-19,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-022560,2985300000.0,2464700000.0,1076400000.0,,,2464700000.0,1908900000.0,,29800000.0,1163600000.0,,539500000.0,,624100000.0,745300000.0,,,441500000.0,520600000.0,,,,,,,79100000.0,62800000.0,16300000.0,,,254500000.0,,,,,,441500000.0,0,,441500000.0,,441500000.0,0,,0,2.2,2.19,200800000.0,201300000.0,,13716000000.0,895100000.0,,,148300000.0,,746800000.0,12820900000.0,,12086600000.0,,,734300000.0,9075100000.0,1229800000.0,305700000.0,,53000000.0,871100000.0,7845300000.0,5053300000.0,2792000000.0,,,,,,4640900000.0,0,4640900000.0,,,13716000000.0,812800000.0,812800000.0,,-1161200000.0,-1161200000.0,,348800000.0,348800000.0,,,400000.0,400000.0,,446000000.0,0,446000000.0,4500000.0,,4500000.0
OGE,2024-11-05,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-120954,965400000.0,705700000.0,350100000.0,,,705700000.0,615300000.0,,10700000.0,302100000.0,,144000000.0,,158100000.0,313200000.0,,,218700000.0,259700000.0,,,,,,,41000000.0,,,,,64200000.0,,,,,,218700000.0,0,,218700000.0,,218700000.0,0,,0,1.09,1.09,200900000.0,201500000.0,,13475800000.0,896500000.0,,,123400000.0,,773100000.0,12579300000.0,,11832000000.0,,,747300000.0,8858700000.0,1041500000.0,269800000.0,,54200000.0,717500000.0,7817200000.0,,,,,,,,4617100000.0,0,4617100000.0,,,13475800000.0,347100000.0,347100000.0,,-261700000.0,-261700000.0,,-75600000.0,-75600000.0,,,9800000.0,9800000.0,,218800000.0,0,218800000.0,100000.0,,100000.0
OGE,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-092035,662600000.0,541100000.0,193900000.0,,,541100000.0,468700000.0,,10500000.0,292800000.0,,135500000.0,,157300000.0,175900000.0,,,102300000.0,121500000.0,,,,,,,19200000.0,,,,,64900000.0,,,,,,102300000.0,0,,102300000.0,,102300000.0,0,,0,0.51,0.51,200800000.0,201400000.0,,13211800000.0,787300000.0,,,145500000.0,,641800000.0,12424500000.0,,11687300000.0,,,737200000.0,8734100000.0,1109700000.0,256800000.0,,39700000.0,813200000.0,0.0,,,,,,,,4477700000.0,0,4477700000.0,,,13211800000.0,253100000.0,253100000.0,,-346100000.0,-346100000.0,,88800000.0,88800000.0,,,-4200000.0,-4200000.0,,102400000.0,0,102400000.0,100000.0,,100000.0
OGE,2024-05-01,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-050701,596800000.0,576600000.0,232200000.0,,,576600000.0,364600000.0,,6400000.0,290600000.0,,129200000.0,,161400000.0,74000000.0,,,18600000.0,20200000.0,,,,,,,1600000.0,,,,,60200000.0,,,,,,18600000.0,0,,18600000.0,,18600000.0,0,,0,0.09,0.09,200400000.0,200600000.0,,12918000000.0,725000000.0,,,157900000.0,,567100000.0,12193000000.0,,11468800000.0,,,724200000.0,8472700000.0,1429700000.0,211900000.0,,30700000.0,1187100000.0,0.0,,,,,,,,4445300000.0,0,4445300000.0,,,12918000000.0,83000000.0,83000000.0,,-243500000.0,-243500000.0,,164600000.0,164600000.0,,,4100000.0,4100000.0,,22500000.0,0,22500000.0,3900000.0,,3900000.0
OGE,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-017400,2674300000.0,2201300000.0,911700000.0,,,2201300000.0,1762600000.0,,44200000.0,1112400000.0,148300000.0,506600000.0,,457500000.0,650200000.0,,,416800000.0,473000000.0,,,,,,0.0,56200000.0,43900000.0,12300000.0,,,221400000.0,,,,,,416800000.0,0,,416800000.0,,416800000.0,0,,0,2.08,2.07,200300000.0,200900000.0,,12790700000.0,771500000.0,,,158500000.0,,613000000.0,12019200000.0,,11301000000.0,,,718200000.0,8279100000.0,1179200000.0,276400000.0,,46800000.0,856000000.0,7099900000.0,4340500000.0,2759400000.0,,,,,,4511600000.0,0,4511600000.0,,,12790700000.0,1232300000.0,1232300000.0,,-1272100000.0,-1272100000.0,,-48100000.0,-48100000.0,,,-87900000.0,-87900000.0,,421500000.0,0,421500000.0,4700000.0,0.0,4700000.0
OGE,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-057629,945400000.0,665100000.0,333800000.0,,,665100000.0,611600000.0,,6600000.0,280500000.0,,132500000.0,,148000000.0,331100000.0,,,241900000.0,280300000.0,,,,,,,38400000.0,,,,,57400000.0,,,,,,241900000.0,0,,241900000.0,,241900000.0,0,,0,1.21,1.2,200300000.0,201000000.0,,12743200000.0,905100000.0,,,123600000.0,,781500000.0,11838100000.0,,11114000000.0,,,724100000.0,8202500000.0,1107500000.0,281800000.0,,46900000.0,778800000.0,7095000000.0,,,,,,,,4540700000.0,0,4540700000.0,,,12743200000.0,392000000.0,392000000.0,,-299900000.0,-299900000.0,,-89600000.0,-89600000.0,,,2500000.0,2500000.0,,242100000.0,0,242100000.0,200000.0,,200000.0
OGE,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039989,605000000.0,501800000.0,181800000.0,,,501800000.0,423200000.0,,14500000.0,276800000.0,,124100000.0,,152700000.0,146400000.0,,,88400000.0,103200000.0,,,,,,,14800000.0,,,,,57700000.0,,,,,,88400000.0,0,,88400000.0,,88400000.0,0,,0,0.44,0.44,200300000.0,200800000.0,,12604600000.0,951100000.0,,,117700000.0,,833400000.0,11653500000.0,,10939600000.0,,,713900000.0,8225500000.0,1127200000.0,337700000.0,,35500000.0,754000000.0,0.0,,,,,,,,4379100000.0,0,4379100000.0,,,12604600000.0,309100000.0,309100000.0,,-295000000.0,-295000000.0,,-320800000.0,-320800000.0,,,-306700000.0,-306700000.0,,88900000.0,0,88900000.0,500000.0,,500000.0
OGE,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-017340,557200000.0,512100000.0,200600000.0,,,512100000.0,356600000.0,,16400000.0,280100000.0,,121200000.0,,158900000.0,76500000.0,,,38300000.0,45100000.0,,,,,,,6800000.0,,,,,47800000.0,,,,,,38300000.0,0,,38300000.0,,38300000.0,0,,0,0.19,0.19,200200000.0,200800000.0,,12790300000.0,1401100000.0,,,128600000.0,,1272500000.0,11389200000.0,,10719700000.0,,,669500000.0,8420300000.0,1665900000.0,327600000.0,,28500000.0,1309800000.0,0.0,,,,,,,,4370000000.0,0,4370000000.0,,,12790300000.0,147800000.0,147800000.0,,-287700000.0,-287700000.0,,358800000.0,358800000.0,,,218900000.0,218900000.0,,39400000.0,0,39400000.0,1100000.0,,1100000.0
OGE,2023-02-23,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-003858,3375700000.0,2586400000.0,1662400000.0,,,2586400000.0,1713300000.0,,306100000.0,1063800000.0,,460900000.0,,602900000.0,649500000.0,,,665700000.0,789300000.0,,,,,,0.0,123600000.0,279600000.0,-156000000.0,,,166300000.0,,,,,,665700000.0,0,,665700000.0,,665700000.0,0,,0,3.33,3.32,200200000.0,200800000.0,,12544700000.0,1340800000.0,,,108800000.0,,1232000000.0,11203900000.0,,10546800000.0,,,657100000.0,8131300000.0,1802200000.0,448900000.0,,37000000.0,1316300000.0,6329100000.0,4548600000.0,1780500000.0,,0.0,,,,4413400000.0,0,4413400000.0,0.0,,12544700000.0,843100000.0,843100000.0,,12900000.0,12900000.0,,-767900000.0,-767900000.0,,,88100000.0,88100000.0,,678600000.0,0,678600000.0,12900000.0,0.0,12900000.0
