ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
OGN,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001821825-25-000023,1513000000.0,1412000000.0,672000000.0,,,1412000000.0,841000000.0,,,740000000.0,420000000.0,,,320000000.0,101000000.0,,,87000000.0,101000000.0,,,,,,,14000000.0,,-17000000.0,,,124000000.0,,,,,,87000000.0,0,,87000000.0,,87000000.0,0,,0,0.34,0.33,257862000.0,261001000.0,,13156000000.0,4371000000.0,,,1362000000.0,,3009000000.0,8785000000.0,,1197000000.0,,,7588000000.0,12614000000.0,2615000000.0,1006000000.0,,,1609000000.0,9999000000.0,8956000000.0,1043000000.0,,,,,,542000000.0,0,542000000.0,,,13156000000.0,75000000.0,75000000.0,,-172000000.0,-172000000.0,,-75000000.0,-75000000.0,,44000000.0,-128000000.0,-172000000.0,,119000000.0,0,119000000.0,32000000.0,,32000000.0
OGN,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001821825-25-000006,6403000000.0,5596000000.0,2688000000.0,,,5596000000.0,3715000000.0,,,2908000000.0,1760000000.0,,,1148000000.0,807000000.0,,,864000000.0,807000000.0,,,,,,,-57000000.0,103000000.0,-160000000.0,,,520000000.0,,,,,,864000000.0,0,,864000000.0,,864000000.0,0,,0,3.36,3.33,257046000.0,259152000.0,,13101000000.0,4348000000.0,,,1321000000.0,,3027000000.0,8753000000.0,,1168000000.0,,,7585000000.0,12629000000.0,2718000000.0,1153000000.0,,,1565000000.0,9911000000.0,8880000000.0,1031000000.0,,,,,,472000000.0,0,472000000.0,,,13101000000.0,939000000.0,939000000.0,,-513000000.0,-513000000.0,,-368000000.0,-368000000.0,,-76000000.0,-18000000.0,58000000.0,,756000000.0,0,756000000.0,-108000000.0,,-108000000.0
OGN,2024-11-01,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001821825-24-000108,1582000000.0,1375000000.0,659000000.0,,,1375000000.0,923000000.0,,,716000000.0,422000000.0,,,294000000.0,207000000.0,,,359000000.0,207000000.0,,,,,,,-152000000.0,,-196000000.0,,,126000000.0,,,,,,359000000.0,0,,359000000.0,,359000000.0,0,,0,1.39,1.38,257498000.0,259757000.0,,12752000000.0,4756000000.0,,,1383000000.0,,3373000000.0,7996000000.0,,1204000000.0,,,6792000000.0,12259000000.0,2790000000.0,1092000000.0,,,1698000000.0,9469000000.0,8749000000.0,720000000.0,,,,,,493000000.0,0,493000000.0,,,12752000000.0,141000000.0,141000000.0,,-75000000.0,-75000000.0,,-78000000.0,-78000000.0,,71000000.0,59000000.0,-12000000.0,,400000000.0,0,400000000.0,41000000.0,,41000000.0
OGN,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001821825-24-000083,1607000000.0,1372000000.0,668000000.0,,,1372000000.0,939000000.0,,,704000000.0,437000000.0,,,267000000.0,235000000.0,,,195000000.0,235000000.0,,,,,,,40000000.0,,21000000.0,,,131000000.0,,,,,,195000000.0,0,,195000000.0,,195000000.0,0,,0,0.76,0.75,257288000.0,258598000.0,,12154000000.0,4509000000.0,,,1287000000.0,,3222000000.0,7645000000.0,,1162000000.0,,,6483000000.0,12010000000.0,2755000000.0,1243000000.0,,,1512000000.0,0.0,8656000000.0,599000000.0,,,,,,144000000.0,0,144000000.0,,,12154000000.0,332000000.0,332000000.0,,-46000000.0,-46000000.0,,-134000000.0,-134000000.0,,-23000000.0,129000000.0,152000000.0,,160000000.0,0,160000000.0,-35000000.0,,-35000000.0
OGN,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001821825-24-000056,1622000000.0,1386000000.0,665000000.0,,,1386000000.0,957000000.0,,,721000000.0,431000000.0,,,290000000.0,236000000.0,,,201000000.0,236000000.0,,,,,,,35000000.0,,5000000.0,,,131000000.0,,,,,,201000000.0,0,,201000000.0,,201000000.0,0,,0,0.78,0.78,255695000.0,258362000.0,,11891000000.0,4196000000.0,,,1263000000.0,,2933000000.0,7695000000.0,,1180000000.0,,,6515000000.0,11843000000.0,2545000000.0,955000000.0,,,1590000000.0,0.0,8714000000.0,584000000.0,,,,,,48000000.0,0,48000000.0,,,11891000000.0,76000000.0,76000000.0,,-96000000.0,-96000000.0,,-74000000.0,-74000000.0,,-24000000.0,-118000000.0,-94000000.0,,165000000.0,0,165000000.0,-36000000.0,,-36000000.0
OGN,2024-02-26,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-006733,6263000000.0,5590000000.0,2515000000.0,,,5590000000.0,3748000000.0,,,3075000000.0,1893000000.0,,,1182000000.0,673000000.0,,,1023000000.0,673000000.0,0.0,,,,,,-350000000.0,135000000.0,-485000000.0,,,527000000.0,,,,,,1023000000.0,0,,1023000000.0,,1023000000.0,0,,0,4.01,3.99,255239000.0,256270000.0,,12058000000.0,4508000000.0,,,1315000000.0,,3193000000.0,7550000000.0,,1183000000.0,,,6367000000.0,12128000000.0,2918000000.0,1314000000.0,,,1604000000.0,9210000000.0,8760000000.0,450000000.0,,,,,,-70000000.0,0,-70000000.0,,,12058000000.0,799000000.0,799000000.0,0.0,-260000000.0,-260000000.0,,-569000000.0,-569000000.0,0.0,17000000.0,-13000000.0,-30000000.0,0.0,1046000000.0,0,1046000000.0,23000000.0,,23000000.0
OGN,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001821825-23-000013,1519000000.0,1439000000.0,612000000.0,,,1439000000.0,907000000.0,,,827000000.0,538000000.0,,,289000000.0,80000000.0,,,58000000.0,80000000.0,,,,,,,22000000.0,,8000000.0,,,134000000.0,,,,,,58000000.0,0,,58000000.0,,58000000.0,0,,0,0.23,0.23,255588000.0,256349000.0,,11012000000.0,4050000000.0,,,1186000000.0,,2864000000.0,6962000000.0,,1096000000.0,,,5866000000.0,11601000000.0,2491000000.0,1067000000.0,,,1424000000.0,9110000000.0,8654000000.0,456000000.0,,,,,,-589000000.0,0,-589000000.0,,,11012000000.0,261000000.0,261000000.0,,-55000000.0,-55000000.0,,-78000000.0,-78000000.0,,-40000000.0,88000000.0,128000000.0,,15000000.0,0,15000000.0,-43000000.0,,-43000000.0
OGN,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001821825-23-000010,1608000000.0,1354000000.0,640000000.0,,,1354000000.0,968000000.0,,,714000000.0,451000000.0,,,263000000.0,254000000.0,,,242000000.0,254000000.0,,,,,,,12000000.0,,-7000000.0,,,132000000.0,,,,,,242000000.0,0,,242000000.0,,242000000.0,0,,0,0.95,0.95,255341000.0,255953000.0,,10979000000.0,3958000000.0,,,1199000000.0,,2759000000.0,7021000000.0,,1110000000.0,,,5911000000.0,11534000000.0,2387000000.0,1115000000.0,,,1272000000.0,0.0,8730000000.0,417000000.0,,,,,,-555000000.0,0,-555000000.0,,,10979000000.0,27000000.0,27000000.0,,-70000000.0,-70000000.0,,-88000000.0,-88000000.0,,-2000000.0,-133000000.0,-131000000.0,,243000000.0,0,243000000.0,1000000.0,,1000000.0
OGN,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001821825-23-000006,1538000000.0,1303000000.0,580000000.0,,,1303000000.0,958000000.0,,,723000000.0,435000000.0,,,288000000.0,235000000.0,,,177000000.0,235000000.0,,,,,,,58000000.0,,3000000.0,,,132000000.0,,,,,,177000000.0,0,,177000000.0,,177000000.0,0,,0,0.7,0.69,254392000.0,256170000.0,,10763000000.0,3780000000.0,,,1121000000.0,,2659000000.0,6983000000.0,,1055000000.0,,,5928000000.0,737000000.0,2346000000.0,996000000.0,,,1350000000.0,0.0,8711000000.0,443000000.0,,,,,,-737000000.0,0,-737000000.0,,,10763000000.0,114000000.0,114000000.0,,-54000000.0,-54000000.0,,-326000000.0,-326000000.0,,19000000.0,-247000000.0,-266000000.0,,207000000.0,0,207000000.0,30000000.0,,30000000.0
OGN,2023-02-27,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001821825-23-000003,6174000000.0,5052000000.0,2294000000.0,,,5052000000.0,3880000000.0,,,2758000000.0,1704000000.0,,,1054000000.0,1122000000.0,,,917000000.0,1122000000.0,0.0,,,,,,205000000.0,223000000.0,-18000000.0,,,422000000.0,,,,,,917000000.0,0,,917000000.0,,917000000.0,0,,0,3.61,3.59,254082000.0,255169000.0,,10955000000.0,3931000000.0,,,1003000000.0,,2928000000.0,7024000000.0,,1018000000.0,,,6006000000.0,11847000000.0,2512000000.0,1132000000.0,,,1380000000.0,9335000000.0,8913000000.0,422000000.0,,,,,,-892000000.0,0,-892000000.0,,,10955000000.0,858000000.0,858000000.0,0.0,-420000000.0,-420000000.0,0.0,-433000000.0,-433000000.0,0.0,-36000000.0,-31000000.0,5000000.0,0.0,866000000.0,0,866000000.0,-51000000.0,,-51000000.0
