ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
OPRX,2025-05-13,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001448431-25-000005,21928000.0,25212000.0,8584000.0,,,25212000.0,13344000.0,,-1170000.0,15458000.0,,1094000.0,,14364000.0,-2114000.0,,,-2199000.0,-3284000.0,,,,,,,-1085000.0,,,,,,,,,,,-2199000.0,0.0,,-2199000.0,,-2199000.0,0,,0,-0.12,-0.12,18470808.0,18470808.0,,167768000.0,51711000.0,,,,2305000.0,49406000.0,116057000.0,,150000,,,115907000.0,51498000.0,18351000.0,,,,,33147000.0,33790000.0,,,,,,,116270000.0,0,116270000.0,,,167768000.0,3864000.0,3864000.0,,-84000.0,-84000.0,,-587000.0,-587000.0,,,3193000.0,3193000.0,,-2199000.0,0,-2199000.0,0,,
OPRX,2025-03-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-025576,92127000.0,111512000.0,32749000.0,,,111512000.0,59378000.0,,-5679000.0,73084000.0,,4329000.0,,68755000.0,-13706000.0,,,-20110000.0,-19385000.0,,,,,,,725000.0,572000.0,153000.0,,,,,,,,,-20110000.0,0.0,,-20110000.0,,-20110000.0,0,,0,-1.1,-1.1,18292935.0,18292935.0,,171168000.0,53971000.0,,,,,,117197000.0,,150000,,,117047000.0,54170000.0,18654000.0,,,,,35516000.0,34290000.0,1226000.0,,,,,,116998000.0,0,116998000.0,,,171168000.0,4889000.0,4889000.0,,-450000.0,-450000.0,,-4911000.0,-4911000.0,,,-472000.0,-472000.0,,-20110000.0,0,-20110000.0,0,,
OPRX,2024-11-14,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-098319,21309000.0,31250000.0,7862000.0,,,31250000.0,13447000.0,,-1379000.0,22009000.0,,1095000.0,,20914000.0,-8562000.0,,,-9124000.0,-9941000.0,,,,,,,-817000.0,,,,,,,,,,,-9124000.0,0.0,,-9124000.0,,-9124000.0,0,,0,-0.5,-0.5,18323542.0,18323542.0,,165199000.0,46906000.0,,,,,,118293000.0,,161000,,,118132000.0,50734000.0,14502000.0,,,,,36232000.0,36790000.0,,,,,,,114465000.0,0,114465000.0,,,165199000.0,1791000.0,1791000.0,,-92000.0,-92000.0,,-532000.0,-532000.0,,,1167000.0,1167000.0,,-9124000.0,0,-9124000.0,0,,
OPRX,2024-08-15,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-069700,18812000.0,23908000.0,7108000.0,,,23908000.0,11704000.0,,-1347000.0,15453000.0,,1073000.0,,14380000.0,-3749000.0,,,-4008000.0,-5096000.0,,,,,,,-1088000.0,,,,,,,,,,,-4008000.0,0.0,,-4008000.0,,-4008000.0,0,,0,-0.22,-0.22,18257879.0,18257879.0,,172876000.0,45969000.0,,,,,,126907000.0,,171000,,,126736000.0,51860000.0,14956000.0,,,,,0.0,37290000.0,,,,,,,121016000.0,0,121016000.0,,,172876000.0,782000.0,782000.0,,-85000.0,-85000.0,,-915000.0,-915000.0,,,-218000.0,-218000.0,,-4008000.0,0,-4008000.0,0,,
OPRX,2024-05-15,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-043749,19690000.0,26245000.0,7486000.0,,,26245000.0,12204000.0,,-1526000.0,17233000.0,,1067000.0,,16166000.0,-5029000.0,,,-6900000.0,-6555000.0,,,,,,,344000.0,,,,,1546000.0,,,,,,-6900000.0,0.0,,-6900000.0,,-6900000.0,0,,0,-0.38,-0.38,18170108.0,18170108.0,,176367000.0,48351000.0,,,,,,128016000.0,,153000,,,127863000.0,53829000.0,16765000.0,,,,,0.0,37790000.0,,,,,,,122537000.0,0,122537000.0,,,176367000.0,2118000.0,2118000.0,,-153000.0,-153000.0,,-640000.0,-640000.0,,,1325000.0,1325000.0,,-6900000.0,0,-6900000.0,0,,
OPRX,2024-04-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-033000,71521506.0,0.0,28621589.0,,,97923220.0,42899917.0,,1237926.0,69301631.0,,2401628.0,,66900003.0,-26401714.0,,,-17565866.0,71521506.0,,,,,,,-7597922.0,-97452.0,1206713.0,,,1453764.0,,,,,,-17565866.0,0.0,,-17565866.0,,-17565866.0,0,,0,-1.03,-1.03,17124801.0,17124801.0,,183373898.0,54330892.0,,,,,,129043006.0,,149407,,,125704131.0,56820724.0,17881125.0,,,,,38939599.0,38290000.0,649599.0,,,,,,126553174.0,0,126553174.0,,,183373898.0,-7239153.0,-7239153.0,,-25336865.0,-25336865.0,,28219789.0,28219789.0,,,-4356229.0,-4356229.0,,-17565866.0,0,-17565866.0,0,,
OPRX,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-086885,16331484.0,19196782.0,6531183.0,,,19196782.0,9800301.0,,,13353789.0,12887083.0,466706.0,,,-3553488.0,,,-2865298.0,-2865298.0,,,,,,,,,,,,,,,,,,-2865298.0,0.0,,-2865298.0,,-2865298.0,0,,0,-0.17,-0.17,16637606.0,16637606.0,,123929152.0,87389671.0,,4598280.0,,3008858.0,79782533.0,36539481.0,,149304,,,36390177.0,7822493.0,7701538.0,,,,,120955.0,5800.0,115155.0,,,,,,116106659.0,0,116106659.0,,,123929152.0,1472554.0,1472554.0,,-1009980.0,-1009980.0,,-349428.0,-349428.0,,,113146.0,113146.0,,-2865298.0,0,-2865298.0,0,,
OPRX,2023-08-14,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-067120,13818166.0,17979615.0,5993145.0,,,17979615.0,7825021.0,,,12706889.0,12242128.0,464761.0,,,-4881868.0,,,-4161449.0,-4161449.0,,,,,,,,,,,,,,,,,,-4161449.0,0.0,-4161449.0,-4161449.0,,-4161449.0,0,,0,-0.24,-0.24,16992100.0,16992100.0,,121324874.0,85074023.0,,2975040.0,,,82098983.0,36250851.0,,140968,,,36109883.0,5509715.0,5509715.0,,,,,0.0,,,,,,,,115815159.0,0,115815159.0,,,121324874.0,-2368159.0,-2368159.0,,3223109.0,3223109.0,,-7490287.0,-7490287.0,,,-6635337.0,-6635337.0,,-4161449.0,0,-4161449.0,0,,
OPRX,2023-05-12,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-039060,13002910.0,19400624.0,5569621.0,,,19400624.0,7433289.0,,,14496475.0,14032542.0,463933.0,,,-7063186.0,,,-6397714.0,-6397714.0,,,,,,,,,,,,,,,,,,-6397714.0,0.0,-6397714.0,-6397714.0,,-6397714.0,0,,0,-0.37,-0.37,17094676.0,17094676.0,,131692540.0,95881440.0,,2992909.0,,,92888531.0,35811100.0,,143924,,,35667176.0,7728768.0,7605541.0,,,,,0.0,,,,,,,,123963772.0,0,123963772.0,,,131692540.0,-86330.0,-86330.0,,-1548894.0,-1548894.0,,-129794.0,-129794.0,,,-1765018.0,-1765018.0,,-6397714.0,0,-6397714.0,0,,
OPRX,2023-03-10,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-019233,62450156.0,73888596.0,23483336.0,,,73888596.0,38966820.0,,,51257558.0,33489707.0,2022029.0,,15745822.0,-12290738.0,,,-11438440.0,-11438440.0,,,,,,,,,,,,,,,,,,-11438440.0,0.0,,-11438440.0,,-11438440.0,0,,0,-0.64,-0.64,17783992.0,17783992.0,,134651185.0,98576635.0,,,,2280828.0,96295807.0,36074550.0,,137448,,,33656274.0,8540408.0,8395876.0,,,,,144532.0,,,,,,,,126110777.0,0,126110777.0,,,134651185.0,10654078.0,10654078.0,,-58176386.0,-58176386.0,,-18950777.0,-18950777.0,,,-66473085.0,-66473085.0,,-11438440.0,0,-11438440.0,0,,
