ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ORI,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000074260-25-000096,2114000000.0,1806300000.0,,,,1806300000.0,,,,1806300000.0,,,,,307700000.0,,,246100000.0,307700000.0,,,,,,,61600000.0,45500000.0,16100000.0,,,,,,,,,246100000.0,1100000.0,,245000000.0,,245000000.0,0,,0,1.01,0.98,243772711.0,249640031.0,,28028100000.0,28028100000.0,,,,,,0,,,,,,22084500000.0,22084500000.0,,,,,0,,,,,,,,5943500000.0,26000000.0,5917500000.0,,,28028100000.0,231700000.0,231700000.0,,428400000.0,428400000.0,,-598400000.0,-598400000.0,,,61700000.0,61700000.0,0.0,359500000.0,1100000.0,358400000.0,113300000.0,,
ORI,2025-02-27,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000074260-25-000042,8231500000.0,7161700000.0,,,,7161700000.0,,,,7161700000.0,,,,,1069800000.0,,1069700000.0,852800000.0,1069700000.0,,,,,,,216900000.0,205200000.0,11700000.0,,,,,,,,,852700000.0,0.0,,852700000.0,,852700000.0,0,,0,3.3,3.24,258032085.0,262880631.0,3.06,27843100000.0,27843100000.0,,,,,,0,,,,,,22224100000.0,22224100000.0,,,,,0,,,,,,,,5618900000.0,0.0,5618900000.0,,,27843100000.0,1233400000.0,1236700000.0,-3300000.0,-3900000.0,-3900000.0,,-1226900000.0,-1226900000.0,,,2600000.0,5900000.0,-3300000.0,882600000.0,0.0,882600000.0,882600000.0,,29900000.0
ORI,2024-11-01,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000074260-24-000140,2341700000.0,1914800000.0,,,,1914800000.0,,,,1914800000.0,,,,,426900000.0,,,338900000.0,426900000.0,,,,,,,88000000.0,40600000.0,47300000.0,,,,,,,,,338900000.0,0.0,,338900000.0,,338900000.0,0,,0,1.35,1.32,251640055.0,256862595.0,,28843800000.0,28843800000.0,,,,,,0,,,,,,22398400000.0,22398400000.0,,,,,0,,,,,,,,6445300000.0,0.0,6445300000.0,,,28843800000.0,474800000.0,474800000.0,0.0,114500000.0,114500000.0,,-233400000.0,-233400000.0,,,355900000.0,355900000.0,0.0,338900000.0,0.0,641800000.0,0.0,,302800000.0
ORI,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000074260-24-000122,1871700000.0,1758300000.0,,,,1758300000.0,,,,1758300000.0,,,,,113400000.0,,,91800000.0,113300000.0,,,,,,,21400000.0,29300000.0,-7800000.0,,,,,,,,,91800000.0,0.0,,91800000.0,,91800000.0,0,,0,0.35,0.35,260796757.0,265549655.0,,27525200000.0,27525200000.0,,,,,,0,,,,,,21498600000.0,21498600000.0,,,,,0,,,,,,,,6026600000.0,0.0,6026600000.0,,,27525200000.0,236500000.0,240200000.0,-3700000.0,282400000.0,282400000.0,,-482700000.0,-482700000.0,,,36200000.0,39900000.0,-3700000.0,91800000.0,0.0,100600000.0,0.0,,8800000.0
ORI,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000074260-24-000084,2015900000.0,1617200000.0,,,,1617200000.0,,,,1617200000.0,,,,,398700000.0,,,316700000.0,398700000.0,,,,,,,81900000.0,76000000.0,5800000.0,,,,,,,,,316700000.0,0.0,,316700000.0,,316700000.0,0,,0,1.17,1.15,271725775.0,275432461.0,,27064300000.0,27064300000.0,,,,,,0,,,,,,20663300000.0,20663300000.0,,,,,0,,,,,,,,6400900000.0,0.0,6400900000.0,,,27064300000.0,160400000.0,160000000.0,400000.0,-355200000.0,-355200000.0,,128400000.0,128400000.0,,,-66400000.0,-66800000.0,400000.0,316700000.0,0.0,243700000.0,0.0,,-73000000.0
ORI,2024-02-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000074260-24-000021,7258300000.0,6510800000.0,,,,6510800000.0,,,,6510800000.0,,,,,747500000.0,,747400000.0,598700000.0,747400000.0,,,,,,,148700000.0,186200000.0,-37400000.0,,,,,,,,,598600000.0,0.0,,598600000.0,,598600000.0,0,,0,2.12,2.1,282732526.0,285471064.0,0.98,26501400000.0,26501400000.0,,,,,,0,,,,,,20090700000.0,20090700000.0,,,,,0,,,,,,,,6410700000.0,0.0,6410700000.0,,,26501400000.0,880400000.0,881200000.0,-800000.0,25300000.0,25300000.0,,-783200000.0,-783200000.0,,,122500000.0,123300000.0,-800000.0,984100000.0,0.0,984100000.0,984100000.0,,385400000.0
ORI,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000074260-23-000093,1760100000.0,1696200000.0,,,,1696200000.0,,,,1696200000.0,,,,,63900000.0,,,52600000.0,63900000.0,,,,,,,11300000.0,46600000.0,-35300000.0,,,,,,,,,52600000.0,0.0,,52600000.0,,52600000.0,0,,0,0.19,0.19,277010690.0,279924410.0,0.245,26400500000.0,26400500000.0,,,,,,0,,,,,,20484800000.0,20484800000.0,,,,,0,,,,,,,,5915600000.0,0.0,5915600000.0,,,26400500000.0,349800000.0,349800000.0,,-110400000.0,-110400000.0,,-183500000.0,-183500000.0,,,55900000.0,55900000.0,,52600000.0,0.0,-29500000.0,0.0,,-82100000.0
ORI,2023-08-07,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000074260-23-000074,1798300000.0,1601400000.0,,,,1601400000.0,,,,1601400000.0,,,,,196900000.0,,,155500000.0,196900000.0,,,,,,,41300000.0,47300000.0,-5900000.0,,,,,,,,,155500000.0,0.0,,155500000.0,,155500000.0,0,,0,0.55,0.54,285426801.0,287882787.0,0.245,25850300000.0,25850300000.0,,,,,,0,,,,,,19730500000.0,19730500000.0,,,,,0,,,,,,,,6119800000.0,0.0,6119800000.0,,,25850300000.0,90600000.0,90600000.0,,200500000.0,200500000.0,,-288500000.0,-288500000.0,,,2600000.0,2600000.0,,155500000.0,0.0,64500000.0,0.0,,-90900000.0
ORI,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000074260-23-000039,1758700000.0,1509500000.0,,,,1509500000.0,,,,1509500000.0,,,,,249200000.0,,,199800000.0,249200000.0,,,,,,,49300000.0,51200000.0,-1900000.0,,,,,,,,,199800000.0,0.0,,199800000.0,,199800000.0,0,,0,0.68,0.68,291945750.0,293993474.0,0.245,25397900000.0,25397900000.0,,,,,,0,,,,,,19065900000.0,19065900000.0,,,,,0,,,,,,,,6331900000.0,0.0,6331900000.0,,,25397900000.0,156600000.0,156600000.0,,49300000.0,49300000.0,,-193300000.0,-193300000.0,,,12600000.0,12600000.0,,199800000.0,0.0,339700000.0,0.0,,139800000.0
ORI,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000074260-23-000014,8083700000.0,7226300000.0,,,,7226300000.0,,,,7226300000.0,,,,,857400000.0,,857400000.0,686500000.0,857400000.0,,,,,,,170900000.0,226000000.0,-55100000.0,,,,,,,,,686400000.0,0.0,,686400000.0,,686400000.0,0,,0,2.28,2.26,301676941.0,303296612.0,1.92,25159400000.0,25159400000.0,,,,,,0,,,,,,18993200000.0,18993200000.0,,,,,0,,,,,,,,6166200000.0,0.0,6166200000.0,,,25159400000.0,1170600000.0,1170600000.0,,-415000000.0,-415000000.0,,-832700000.0,-832700000.0,,,-77100000.0,-77100000.0,,85700000.0,0.0,85700000.0,85700000.0,,-600700000.0
