ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PAHC,2025-05-07,2025,Q3,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-006746,347825000.0,318137000.0,243257000.0,,,318137000.0,104568000.0,,,71053000.0,71053000.0,,,,33515000.0,,,20880000.0,29688000.0,,,,,,,8808000.0,,,,,,,,,,,20880000.0,0,,20880000.0,,20880000.0,0,,0,0.52,0.51,40520000.0,40709000.0,,1317260000.0,776018000.0,,,448390000.0,,327628000.0,541242000.0,,336093000.0,,,205149000.0,1051268000.0,266481000.0,131622000.0,,40403000.0,94456000.0,784787000.0,635407000.0,149380000.0,,,,,,265992000.0,0,265992000.0,,,1317260000.0,43154000.0,43154000.0,,-18251000.0,-18251000.0,,-32223000.0,-32223000.0,,600000.0,-6720000.0,-7320000.0,,23876000.0,0,23876000.0,23876000.0,,2996000.0
PAHC,2025-02-05,2025,Q2,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-000659,309261000.0,304423000.0,207391000.0,,,304423000.0,101870000.0,,,76337000.0,76337000.0,,,,25533000.0,,,3185000.0,4838000.0,,,,,,,1653000.0,,,,,,,,,,,3185000.0,0,,3185000.0,,3185000.0,0,,0,0.08,0.08,40504000.0,40715000.0,,1285509000.0,746153000.0,,,427224000.0,,318929000.0,539356000.0,,337662000.0,,,201694000.0,1038707000.0,233250000.0,99445000.0,,34732000.0,99073000.0,0.0,639130000.0,166327000.0,,,,,,246802000.0,0,246802000.0,,,1285509000.0,3076000.0,3076000.0,,-260473000.0,-260473000.0,,276320000.0,276320000.0,,-3686000.0,15237000.0,18923000.0,,-7045000.0,0,-7045000.0,-7045000.0,,-10230000.0
PAHC,2024-11-06,2025,Q1,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-014644,260432000.0,250812000.0,176937000.0,,,250812000.0,83495000.0,,,65796000.0,65796000.0,,,,17699000.0,,,6975000.0,9620000.0,,,,,,,2645000.0,,,,,,,,,,,6975000.0,0,,6975000.0,,6975000.0,0,,0,0.17,0.17,40504000.0,40582000.0,,966289000.0,570767000.0,,,272556000.0,,298211000.0,395522000.0,,206315000.0,,,189207000.0,707762000.0,176894000.0,86528000.0,,29979000.0,60387000.0,0.0,295168000.0,235700000.0,,,,,,258527000.0,0,258527000.0,,,966289000.0,12622000.0,12622000.0,,-2930000.0,-2930000.0,,-29197000.0,-29197000.0,,729000.0,-18776000.0,-19505000.0,,6567000.0,0,6567000.0,6567000.0,,-408000.0
PAHC,2024-08-28,2024,FY,2023-07-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-012517,1017679000.0,1006763000.0,704587000.0,,,1006763000.0,313092000.0,,,259777000.0,259777000.0,,29194000.0,,53315000.0,,,2416000.0,10916000.0,,,,,,,8500000.0,20495000.0,-11995000.0,,,,,,,,,2416000.0,0,,2416000.0,,2416000.0,0,,0,0.06,0.06,40504000.0,40523000.0,,982184000.0,600997000.0,,,265911000.0,,335086000.0,381187000.0,,203300000.0,,,177887000.0,725543000.0,204148000.0,85567000.0,,37612000.0,80969000.0,521395000.0,312084000.0,209311000.0,,,,,,256641000.0,0,256641000.0,,,982184000.0,87594000.0,87594000.0,,-48194000.0,-48194000.0,,-6768000.0,-6768000.0,,-3300000.0,29332000.0,32632000.0,,-6901000.0,0,-6901000.0,-9317000.0,,-9317000.0
PAHC,2024-05-08,2024,Q3,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-007340,263223000.0,250301000.0,183623000.0,,,250301000.0,79600000.0,,,59676000.0,59676000.0,,,,19924000.0,,,8405000.0,12922000.0,,,,,,,4517000.0,,,,1070000.0,5645000.0,-4575000.0,-4575000.0,,,0.0,8405000.0,0,,8405000.0,,8405000.0,0,,0,0.21,0.21,40504000.0,40520000.0,,979035000.0,597180000.0,,,282289000.0,,314891000.0,381855000.0,,202061000.0,,,179794000.0,708941000.0,189072000.0,82613000.0,,30908000.0,75551000.0,519869000.0,,,,,,,,270094000.0,0,270094000.0,,,979035000.0,11408000.0,11408000.0,,1130000.0,1130000.0,,4854000.0,4854000.0,,-137000.0,17255000.0,17392000.0,,4016000.0,0,4016000.0,4016000.0,,-4389000.0
PAHC,2024-02-07,2024,Q2,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-000859,249943000.0,246378000.0,171327000.0,,,246378000.0,78616000.0,,,62915000.0,62915000.0,,,,15701000.0,,,1274000.0,3565000.0,,,,,,,2291000.0,,,,1064000.0,5723000.0,-4659000.0,-4659000.0,,,0.0,1274000.0,0,,1274000.0,,1274000.0,0,,0,0.03,0.03,40504000.0,40504000.0,,972708000.0,586586000.0,,,286680000.0,,299906000.0,386122000.0,,200839000.0,,,185283000.0,701905000.0,187735000.0,86410000.0,,27428000.0,73897000.0,0.0,323898000.0,190272000.0,,,,,,270803000.0,0,270803000.0,,,972708000.0,31558000.0,31558000.0,,-24861000.0,-24861000.0,,-14705000.0,-14705000.0,,-2175000.0,-10183000.0,-8008000.0,,2515000.0,0,2515000.0,2515000.0,,1241000.0
PAHC,2023-11-08,2024,Q1,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-018287,231349000.0,243328000.0,163623000.0,,,243328000.0,67726000.0,,,68452000.0,68452000.0,,,,-726000.0,,,-8015000.0,-11979000.0,,,,,,,-3964000.0,,,,1081000.0,5645000.0,-4564000.0,-4564000.0,,,0.0,-8015000.0,0,,-8015000.0,,-8015000.0,0,,0,-0.2,-0.2,40504000.0,40504000.0,,964523000.0,584424000.0,,,279154000.0,,305270000.0,380099000.0,,193359000.0,,,186740000.0,691454000.0,172355000.0,77216000.0,,26647000.0,68492000.0,0.0,328867000.0,190232000.0,,,,,,273069000.0,0,273069000.0,,,964523000.0,16199000.0,16199000.0,,-15352000.0,-15352000.0,,1296000.0,1296000.0,,-271000.0,1872000.0,2143000.0,,-4661000.0,0,-4661000.0,-4661000.0,,3354000.0
PAHC,2023-08-30,2023,FY,2022-07-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-015357,977889000.0,923818000.0,679652000.0,,,923818000.0,298237000.0,,,226390000.0,226390000.0,,24395000.0,,71847000.0,,,32606000.0,54071000.0,,,,,,,21465000.0,24361000.0,-2896000.0,,3355000.0,18676000.0,-15321000.0,-15321000.0,,,0.0,32606000.0,0,,32606000.0,,32606000.0,0,,0,0.81,0.81,40504000.0,40504000.0,,971397000.0,585723000.0,,,277570000.0,,308153000.0,385674000.0,,195568000.0,,,190106000.0,688888000.0,176000000.0,73853000.0,,29359000.0,72788000.0,512888000.0,333836000.0,179052000.0,,,,,,282509000.0,0,282509000.0,,,971397000.0,13310000.0,13310000.0,,-74018000.0,-74018000.0,,26987000.0,26987000.0,,754000.0,-32967000.0,-33721000.0,,39509000.0,0,39509000.0,6903000.0,,6903000.0
PAHC,2023-05-03,2023,Q3,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-007830,245673000.0,230569000.0,170133000.0,,,230569000.0,75540000.0,,,56987000.0,56987000.0,,,,18553000.0,,,10042000.0,15104000.0,,,,,,,5062000.0,,,,1035000.0,4906000.0,-3871000.0,-3871000.0,,,0.0,10042000.0,0,,10042000.0,,10042000.0,0,,0,0.25,0.25,40504000.0,40504000.0,,965432000.0,585483000.0,,,292833000.0,,292650000.0,379949000.0,,188939000.0,,,191010000.0,693104000.0,165308000.0,75768000.0,,28084000.0,61456000.0,527796000.0,288436000.0,239360000.0,,,,,,272328000.0,0,272328000.0,,,965432000.0,6259000.0,6259000.0,,-37777000.0,-37777000.0,,284000.0,284000.0,,50000.0,-31184000.0,-31234000.0,,8819000.0,0,8819000.0,8819000.0,,-1223000.0
PAHC,2023-02-08,2023,Q2,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-001027,244646000.0,232537000.0,167261000.0,,,232537000.0,77385000.0,,,61541000.0,61541000.0,,,,15844000.0,,,7210000.0,12109000.0,,,,,,,4899000.0,,,,744000.0,4628000.0,-3884000.0,-3884000.0,,,0.0,7210000.0,0,,7210000.0,,7210000.0,0,,0,0.18,0.18,40504000.0,40504000.0,,961833000.0,581689000.0,,,288984000.0,,292705000.0,380144000.0,,186122000.0,,,194022000.0,693463000.0,167569000.0,80487000.0,,27338000.0,59744000.0,0.0,292226000.0,233668000.0,,,,,,268370000.0,0,268370000.0,,,961833000.0,-2489000.0,-2489000.0,,-9810000.0,-9810000.0,,3716000.0,3716000.0,,725000.0,-7858000.0,-8583000.0,,10474000.0,0,10474000.0,10474000.0,,3264000.0
