ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PALI,2025-05-12,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-069204,0,,,,,,,,80000.0,2310000.0,,,,,-2310000.0,,,-2230000.0,-2230000.0,,,,,,,,,,,,1000.0,,,,,,-2230000.0,0,,-2230000.0,,-2230000.0,0,,0.0,-0.47,-0.47,4795646.0,4795646.0,,8190000.0,7887000.0,,,,,,303000.0,,2000,,,301000,2859000.0,2777000.0,745000.0,,118000,1914000.0,82000.0,,,,,,,,5331000.0,0,5331000.0,,,8190000.0,-2333000.0,-2333000.0,,2591000.0,2591000.0,,-258000.0,-258000.0,,,0.0,0.0,,-2230000.0,0,-2230000.0,0,,
PALI,2025-03-24,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-043859,0,,,,,,,,421000.0,14859000.0,,,,,-14859000.0,,,-14438000.0,-14438000.0,,,,,,,0.0,,,,,12000.0,,,,,,-14438000.0,0,,-14438000.0,,-14438000.0,0,,0.0,-10.19,-10.19,1416471.0,1416471.0,,10880000.0,10494000.0,,,,,,386000.0,,3000,,,110000,3388000.0,3236000.0,1105000.0,,722000,1409000.0,152000.0,,,,,,,,7492000.0,0,7492000.0,,,10880000.0,-12193000.0,-12193000.0,,2611000.0,2611000.0,,9582000.0,9582000.0,,,0.0,0.0,,-14438000.0,0,-14438000.0,0,,
PALI,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-124664,0,,,,,,,,106000.0,3593000.0,,,16000000.0,,-3593000.0,,,-3487000.0,-3487000.0,,,,,,,,,,,,6000.0,,,,,,-3487000.0,0,,-3487000.0,,-3487000.0,0,,0.0,-2.32,-2.32,1500409.0,1500409.0,,9336000.0,8870000.0,,,,,,466000.0,,3000,,,139000,2728000.0,2681000.0,366000.0,,449000,1866000.0,47000.0,,,,,,,,6608000.0,0,6608000.0,,,9336000.0,-3133000.0,-3133000.0,,3313000.0,3313000.0,,-180000.0,-180000.0,,,0.0,0.0,,-3487000.0,0,-3487000.0,0,,
PALI,2024-08-12,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-095432,0,,,,,,,,131000.0,4211000.0,,,,,-4211000.0,,,-4080000.0,-4080000.0,,,,,,,,,,,,2000.0,,,,,,-4080000.0,0,,-4080000.0,,-4080000.0,0,,0.0,-3.32,-3.32,1228453.0,1228453.0,,12871000.0,12312000.0,,,,,,559000.0,,4000,,,180000,2922000.0,2836000.0,514000.0,,288000,2034000.0,0.0,,,,,,,,9949000.0,0,9949000.0,,,12871000.0,-3499000.0,-3499000.0,,-77000.0,-77000.0,,3576000.0,3576000.0,,,0.0,0.0,,-4080000.0,0,-4080000.0,0,,
PALI,2024-05-13,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-058644,0,,,,,,,,146000.0,3673000.0,,,,,-3673000.0,,,-3527000.0,-3527000.0,,,,,,,,,,,,1000.0,,,,,,-3527000.0,0,,-3527000.0,,-3527000.0,0,,0.0,-4.59,-4.59,768137.0,768137.0,,12652000.0,12013000.0,,,,,,639000.0,,5000,,,208000,2588000.0,2467000.0,459000.0,,213000,1795000.0,0.0,,,,,,,,10064000.0,0,10064000.0,,,12652000.0,-3180000.0,-3180000.0,,1156000.0,1156000.0,,2024000.0,2024000.0,,,0.0,0.0,,-3527000.0,0,-3527000.0,0,,
PALI,2024-03-26,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-036402,250000,0.0,,,,13320000.0,,,770000.0,13320000.0,,,,,-13070000.0,,,-12300000.0,250000.0,,,,,,,0.0,,,,,15000.0,,,,,,-12300000.0,0,,-12300000.0,,-12316000.0,16000,,16000.0,-1.8,-1.8,6840213.0,6840213.0,,14052000.0,13328000.0,,,,,,724000.0,,10000,,,236000,2739000.0,2586000.0,698000.0,,778000,1110000.0,153000.0,,,,,,,,11313000.0,0,11313000.0,,,14052000.0,-11133000.0,-11133000.0,,-4000.0,-4000.0,,11186000.0,11186000.0,,,49000.0,49000.0,,-12300000.0,0,-12300000.0,0,,
PALI,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-062215,0,0.0,,,,3778000.0,,,182000.0,3778000.0,,1000.0,,3777000.0,-3778000.0,,,-3596000.0,-3596000.0,,,,,,,,,,,,8000.0,,,,,,-3596000.0,0,,-3596000.0,,-3612000.0,16000,,16000.0,-0.49,-0.49,7344351.0,7344351.0,,17067000.0,16266000.0,,,,,,801000.0,,10000,,,262000,2985000.0,2649000.0,950000.0,,529000,1170000.0,336000.0,,,,,,,,14082000.0,0,14082000.0,,,17067000.0,-2662000.0,-2662000.0,,0.0,0.0,,1571000.0,1571000.0,,,-1091000.0,-1091000.0,,-3596000.0,0,-3596000.0,0,,
PALI,2023-08-10,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-041459,0,0.0,,,,3609000.0,,,216000.0,3609000.0,,2000.0,,3607000.0,-3609000.0,,,-3393000.0,-3393000.0,,,,,,,,,,,,3000.0,,,,,,-3393000.0,0,,-3393000.0,,-3393000.0,0,,0.0,-0.53,-0.53,6417927.0,6417927.0,,18290000.0,17411000.0,,,,,,879000.0,,11000,,,288000,2490000.0,2335000.0,922000.0,,291000,1122000.0,0.0,,,,,,,,15800000.0,0,15800000.0,,,18290000.0,-2199000.0,-2199000.0,,910000.0,910000.0,,5309000.0,5309000.0,,,4020000.0,4020000.0,,-3393000.0,0,-3393000.0,0,,
PALI,2023-05-11,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-021374,250000,0.0,,,,2779000.0,,,189000.0,2779000.0,,1000.0,,2778000.0,-2529000.0,,,-2340000.0,250000.0,,,,,,,,,,,,0.0,,,,,,-2340000.0,0,,-2340000.0,,-2340000.0,0,,0.0,-0.54,-0.54,4315526.0,4315526.0,,15262000.0,14309000.0,,,,,,953000.0,,9000,,,313000,1515000.0,1315000.0,706000.0,,191000,418000.0,0.0,,,,,,,,13747000.0,0,13747000.0,,,15262000.0,-3526000.0,-3526000.0,,-914000.0,-914000.0,,4440000.0,4440000.0,,,0.0,0.0,,-2340000.0,0,-2340000.0,0,,
PALI,2023-03-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-009226,0,,,,,,,,1461000.0,15721000.0,,3000.0,,15718000.0,-15721000.0,,,-14260000.0,-14260000.0,,,,,,,0.0,,,,,13000.0,,,,,,-14260000.0,0,,-14260000.0,,-14548000.0,288000,,288000.0,-16.53,-16.53,880311.0,880311.0,,15763000.0,14733000.0,,,,,,1030000.0,,10000,,,338000,3284000.0,3012000.0,1759000.0,,486000,767000.0,272000.0,,,,,,,,12479000.0,0,12479000.0,,,15763000.0,-13360000.0,-13360000.0,,-10000.0,-10000.0,,15258000.0,15258000.0,,,1888000.0,1888000.0,,-14260000.0,0,-14260000.0,0,,
