ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PBPB,2025-05-07,2025,Q1,2024-12-30,2025-03-30,https://api.polygon.io/v1/reference/sec/filings/0001195734-25-000085,113681000.0,113598000.0,,,,113598000.0,,,,113431000.0,,,,,250000.0,,,85000.0,83000.0,,,,,,,-2000.0,,0.0,,,,,,,,,85000.0,147000.0,,-62000.0,,-62000.0,0.0,,0,0.0,0.0,29893000.0,29893000.0,,265757000.0,36500000.0,,,,,,229257000.0,,51446000.0,,,177811000.0,207404000.0,68391000.0,9345000.0,,,59046000.0,139013000.0,4500000.0,134513000.0,,,,,,58353000.0,-514000,58867000.0,,,265757000.0,8629000.0,8629000.0,,-4925000.0,-4925000.0,,-611000.0,-611000.0,,,3093000.0,3093000.0,,85000.0,0,85000.0,0,,
PBPB,2025-03-06,2024,FY,2024-01-01,2024-12-29,https://api.polygon.io/v1/reference/sec/filings/0001195734-25-000029,462598000.0,454811000.0,,,,454811000.0,,,,451606000.0,,,,,10992000.0,,,41332000.0,7787000.0,,,,,,,-33545000.0,,-34091000.0,,,,,,,,,41332000.0,1038000.0,,40294000.0,,40294000.0,0.0,,0,1.35,1.31,29838000.0,30720000.0,,263146000.0,33201000.0,,,,,,229945000.0,,50533000.0,,,179412000.0,205198000.0,65233000.0,9552000.0,,8233000.0,47448000.0,139965000.0,4000000.0,135965000.0,,,,,,57948000.0,-439000,58387000.0,,,263146000.0,19663000.0,19663000.0,,-19082000.0,-19082000.0,,-22640000.0,-22640000.0,,,-22059000.0,-22059000.0,,41332000.0,0,41332000.0,0,,
PBPB,2024-11-07,2024,Q3,2024-07-01,2024-09-29,https://api.polygon.io/v1/reference/sec/filings/0001195734-24-000166,115120000.0,111030000.0,,,,111030000.0,,,,110868000.0,,,,,4252000.0,,,4079000.0,4090000.0,,,,,,,11000.0,,-225000.0,,,162000.0,,,,,,4079000.0,344000.0,,3735000.0,,3735000.0,0.0,,0,0.12,0.12,29939000.0,30380000.0,,258649000.0,31837000.0,,,,,,226812000.0,,48490000.0,,,178322000.0,206123000.0,65413000.0,8255000.0,,,57158000.0,140710000.0,3000000.0,137710000.0,,,,,,52526000.0,-346000,52872000.0,,,258649000.0,9210000.0,9210000.0,,-4540000.0,-4540000.0,,-1792000.0,-1792000.0,,,2878000.0,2878000.0,,4079000.0,0,4079000.0,0,,
PBPB,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001195734-24-000148,119697000.0,115759000.0,,,,115759000.0,,,,115578000.0,,,,,4119000.0,,,34920000.0,3938000.0,,,,,,,-30982000.0,,-31252000.0,,,181000.0,,,,,,34920000.0,208000.0,,34712000.0,,34920000.0,0.0,,0,1.16,1.13,29926000.0,30714000.0,,254610000.0,28093000.0,,,,,,226517000.0,,46730000.0,,,179787000.0,206908000.0,62904000.0,9216000.0,,,53688000.0,0.0,4000000.0,140004000.0,,,,,,47702000.0,-600000,48302000.0,,,254610000.0,3157000.0,3157000.0,,-4724000.0,-4724000.0,,-2834000.0,-2834000.0,,,-4401000.0,-4401000.0,,34920000.0,0,34920000.0,0,,
PBPB,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001195734-24-000094,111153000.0,113775000.0,,,,113775000.0,,,,111035000.0,,,,,118000.0,,,-2673000.0,-2622000.0,,,,,,,51000.0,,1000.0,,,364000.0,,,,,,-2673000.0,94000.0,,-2767000.0,,-2673000.0,0.0,,0,-0.09,-0.09,29551000.0,29551000.0,,227456000.0,32306000.0,,,,,,195150000.0,,45608000.0,,,149542000.0,213800000.0,67416000.0,9970000.0,,,57446000.0,0.0,5000000.0,141384000.0,,,,,,13656000.0,-685000,14341000.0,,,227456000.0,693000.0,693000.0,,-3736000.0,-3736000.0,,-18022000.0,-18022000.0,,,-21065000.0,-21065000.0,,-2673000.0,0,-2673000.0,0,,
PBPB,2024-03-08,2023,FY,2022-12-26,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001195734-24-000022,491409000.0,484923000.0,,,,484923000.0,,,,481403000.0,,,,,10006000.0,,,5577000.0,6486000.0,,,,,,,909000.0,,0.0,,,3281000.0,,,,,,5577000.0,458000.0,,5119000.0,,5119000.0,0.0,,0,0.18,0.17,29201000.0,30088000.0,,252460000.0,53092000.0,,,,,,199368000.0,,45087000.0,,,154281000.0,238367000.0,71078000.0,9927000.0,,12778000.0,48373000.0,167289000.0,,,,,,,,14093000.0,-600000,14693000.0,,,252460000.0,19488000.0,19488000.0,,-10771000.0,-10771000.0,,10202000.0,10202000.0,,,18919000.0,18919000.0,,5577000.0,0,5577000.0,0,,
PBPB,2023-11-01,2023,Q3,2023-06-26,2023-09-24,https://api.polygon.io/v1/reference/sec/filings/0001195734-23-000164,120768000.0,118990000.0,,,,118990000.0,,,,118137000.0,,,,,2631000.0,,,1649000.0,1778000.0,,,,,,,129000.0,,-1000.0,,,853000.0,,,,,,1649000.0,154000.0,,1495000.0,,1495000.0,0.0,,0,0.05,0.05,29324000.0,30028000.0,,251281000.0,48057000.0,,,,,,203224000.0,,45148000.0,,,158076000.0,241622000.0,69854000.0,8955000.0,,,60899000.0,171768000.0,20918000.0,150850000.0,,,,,,9659000.0,-322000,9981000.0,,,251281000.0,2479000.0,2479000.0,,-4971000.0,-4971000.0,,-830000.0,-830000.0,,,-3322000.0,-3322000.0,,1649000.0,0,1649000.0,0,,
PBPB,2023-08-03,2023,Q2,2023-03-27,2023-06-25,https://api.polygon.io/v1/reference/sec/filings/0001195734-23-000140,126623000.0,124290000.0,,,,124290000.0,,,,123279000.0,,,,,3344000.0,,,2381000.0,2333000.0,,,,,,,-48000.0,,-82000.0,,,1011000.0,,,,,,2381000.0,165000.0,,2216000.0,,2381000.0,0.0,,0,0.08,0.07,29199000.0,30088000.0,,256873000.0,52417000.0,,,,,,204456000.0,,43485000.0,,,160971000.0,249672000.0,74175000.0,9754000.0,,,64421000.0,0.0,21108000.0,154389000.0,,,,,,7201000.0,-234000,7435000.0,,,256873000.0,12679000.0,12679000.0,,-2703000.0,-2703000.0,,-1311000.0,-1311000.0,,,8665000.0,8665000.0,,2381000.0,0,2381000.0,0,,
PBPB,2023-05-04,2023,Q1,2022-12-26,2023-03-26,https://api.polygon.io/v1/reference/sec/filings/0001195734-23-000081,118270000.0,119369000.0,,,,119369000.0,,,,118463000.0,,,,,-193000.0,,,-1204000.0,-1099000.0,,,,,,,105000.0,,1000.0,,,667000.0,,,,,,-1204000.0,123000.0,,-1327000.0,,-1204000.0,0.0,,0,-0.05,-0.05,28907000.0,28907000.0,,250889000.0,41966000.0,,,,,,208923000.0,,42543000.0,,,166380000.0,246533000.0,65806000.0,10412000.0,,,55394000.0,0.0,21297000.0,159430000.0,,,,,,4356000.0,-233000,4589000.0,,,250889000.0,-657000.0,-657000.0,,-3216000.0,-3216000.0,,14599000.0,14599000.0,,,10726000.0,10726000.0,,-1204000.0,0,-1204000.0,0,,
PBPB,2023-03-02,2022,FY,2021-12-27,2022-12-25,https://api.polygon.io/v1/reference/sec/filings/0001195734-23-000019,451973000.0,446935000.0,,,,446935000.0,,,,455777000.0,,,,,-3804000.0,,,4711000.0,5038000.0,,,,,,,327000.0,,18000.0,,,1349000.0,,,,,,4711000.0,366000.0,,4345000.0,,4345000.0,0.0,,0,0.15,0.15,28625000.0,29065000.0,,245171000.0,30530000.0,,,,,,214641000.0,,44477000.0,,,170164000.0,240898000.0,68939000.0,10718000.0,,13451000.0,44770000.0,171959000.0,,,,,,,,4273000.0,-204000,4477000.0,,,245171000.0,12476000.0,12476000.0,,-8426000.0,-8426000.0,,-2784000.0,-2784000.0,,,1266000.0,1266000.0,,4711000.0,0,4711000.0,0,,
