ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PHX,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-067218,7598312.0,1917225.0,,,,1917225.0,,,,1917225.0,,,,,5681087.0,,,4383882.0,5681087.0,,,,,,,1297205.0,,1032101.0,,,452051.0,,,,,,4383882.0,0,,4383882.0,,4383882.0,0,,0,0.12,0.12,36808766.0,38009410.0,0.04,161085432.0,9915512.0,,,,,,151169920.0,,,,,,35539132.0,5508709.0,656711.0,,,4851998.0,30030423.0,,,,,,,,125546300.0,0,125546300.0,,,161085432.0,4276440.0,4276440.0,,7228471.0,7228471.0,,-11210880.0,-11210880.0,,,294031.0,294031.0,,4383882.0,0,4383882.0,0,,
PHX,2025-03-12,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-037978,34571064.0,31422011.0,,,,31422011.0,,,,31422011.0,,,,,3149053.0,,,2321866.0,3149053.0,,,,,,,827187.0,298509.0,528678.0,,,2563268.0,,,,,,2321866.0,0,,2321866.0,,2321866.0,0,,0,0.06,0.06,36329735.0,36412270.0,0.14,163915766.0,9556933.0,,,,,,154358833.0,,,,,,41965913.0,3235745.0,804693.0,,853963.0,1577089.0,38730168.0,,,,,,,,121949853.0,0,121949853.0,,,163915766.0,18077853.0,18077853.0,,-7357395.0,-7357395.0,,-9284610.0,-9284610.0,,,1435848.0,1435848.0,,2321866.0,0,2321866.0,0,,
PHX,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-122353,9137029.0,7579464.0,,,,7579464.0,,,,7579464.0,,,,,1557565.0,,,1100310.0,1557565.0,,,,,,,457255.0,,460568.0,,,622480.0,,,,,,1100310.0,0,,1100310.0,,1100310.0,0,,0,0.03,0.03,36316742.0,36983669.0,0.04,162824111.0,8205511.0,,,,,,154618600.0,,,,,,39211242.0,2571878.0,512936.0,,,2058942.0,36639364.0,,,,,,,,123612869.0,0,123612869.0,,,162824111.0,5784497.0,5784497.0,,-3012179.0,-3012179.0,,-2442181.0,-2442181.0,,,330137.0,330137.0,,1100310.0,0,1100310.0,0,,
PHX,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-092831,9541235.0,7890313.0,,,,7890313.0,,,,7890313.0,,,,,1650922.0,,,1295771.0,1650922.0,,,,,,,355151.0,,46054.0,,,651982.0,,,,,,1295771.0,0,,1295771.0,,1295771.0,0,,0,0.04,0.04,36308224.0,36379653.0,0.03,163308127.0,9296845.0,,,,,,154011282.0,,,,,,39810123.0,2333183.0,636327.0,,,1696856.0,0.0,,,,,,,,123498004.0,0,123498004.0,,,163308127.0,4176704.0,4176704.0,,-450941.0,-450941.0,,-3079968.0,-3079968.0,,,645795.0,645795.0,,1295771.0,0,1295771.0,0,,
PHX,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-055705,7869418.0,8010701.0,,,,8010701.0,,,,8010701.0,,,,,-141283.0,,,-183615.0,-141283.0,,,,,,,42332.0,,25332.0,,,714886.0,,,,,,-183615.0,0,,-183615.0,,-183615.0,0,,0,-0.01,-0.01,36303392.0,36303392.0,0.03,163987025.0,8834068.0,,,,,,155152957.0,,,,,,41358752.0,1958632.0,621191.0,,,1337441.0,0.0,,,,,,,,122628273.0,0,122628273.0,,,163987025.0,5246651.0,5246651.0,,-1347188.0,-1347188.0,,-3079968.0,-3079968.0,,,819495.0,819495.0,,-183615.0,0,-183615.0,0,,
PHX,2024-03-12,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-029972,44463896.0,25807636.0,,,,25807636.0,,,,25807636.0,,,,,18656260.0,,,13920800.0,18656260.0,,,,,,,4735460.0,431729.0,4303731.0,,,2362393.0,,,,,,13920800.0,0,,13920800.0,,13920800.0,0,,0,0.39,0.39,35980309.0,35980309.0,0.0975,166508280.0,10161577.0,,,,,,156346703.0,,,,,,43276866.0,2011272.0,562607.0,,210379.0,1238286.0,41265594.0,,,,,,,,123231414.0,0,123231414.0,,,166508280.0,24171139.0,24171139.0,,-20447305.0,-20447305.0,,-5033232.0,-5033232.0,,,-1309398.0,-1309398.0,,13920800.0,0,13920800.0,0,,
PHX,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-061156,9181545.0,6697142.0,,,,6697142.0,,,,6697142.0,,,,,2484403.0,,,1895403.0,2484403.0,,,,,,,589000.0,,577000.0,,,556941.0,,,,,,1895403.0,0,,1895403.0,,1895403.0,0,,0,0.05,0.05,35983116.0,36656272.0,0.0225,162795292.0,8377648.0,,,,,,154417644.0,,,,,,41139300.0,2642176.0,387460.0,,,2254716.0,38497124.0,,,,,,,,121655992.0,0,121655992.0,,,162795292.0,6960419.0,6960419.0,,-13182472.0,-13182472.0,,6189619.0,6189619.0,,,-32434.0,-32434.0,,1895403.0,0,1895403.0,0,,
PHX,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039851,7526161.0,7733452.0,,,,7733452.0,,,,7733452.0,,,,,-207291.0,,,-41291.0,-207291.0,,,,,,,-166000.0,,-255000.0,,,524294.0,,,,,,-41291.0,0,,-41291.0,,-41291.0,0,,0,0.0,0.0,35965281.0,35965281.0,0.0225,152732205.0,9525072.0,,,,,,143207133.0,,,,,,32662073.0,1839964.0,270780.0,,,1569184.0,0.0,,,,,,,,120070132.0,0,120070132.0,,,152732205.0,4915788.0,4915788.0,,-1748581.0,-1748581.0,,-3061040.0,-3061040.0,,,106167.0,106167.0,,-41291.0,0,-41291.0,0,,
PHX,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-019766,15973217.0,3352973.0,,,,3352973.0,,,,3352973.0,,,,,12620244.0,,,9553244.0,12620244.0,,,,,,,3067000.0,,2934000.0,,,557473.0,,,,,,9553244.0,0,,9553244.0,,9553244.0,0,,0,0.27,0.27,35935791.0,35935791.0,0.0225,155924374.0,12263677.0,,,,,,143660697.0,,,,,,35683451.0,2391317.0,308508.0,,,2082809.0,0.0,,,,,,,,120240923.0,0,120240923.0,,,155924374.0,8933477.0,8933477.0,,-1217436.0,-1217436.0,,-8670233.0,-8670233.0,,,-954192.0,-954192.0,,9553244.0,0,9553244.0,0,,
PHX,2022-12-13,2022,FY,2021-10-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-22-026464,53495055.0,28883783.0,,,,28883783.0,,,,28883783.0,,,,,24611272.0,,,20409272.0,24611272.0,,,,,,,4202000.0,2960000.0,1242000.0,,,1164992.0,,,,,,20409272.0,0,,20409272.0,,20409272.0,0,,0,0.59,0.59,34403498.0,34560310.0,,152502112.0,17921930.0,,,,,,134580182.0,,,,,,44723593.0,11262684.0,647217.0,,1296471.0,9318996.0,33460909.0,,,,,,,,107778519.0,0,107778519.0,,,152502112.0,37531650.0,37531650.0,,-30860030.0,-30860030.0,,-5713322.0,-5713322.0,,,958298.0,958298.0,,20409272.0,0,20409272.0,0,,
PHX,2022-08-08,2022,Q3,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-028450,17383671.0,7818661.0,,,,7818661.0,,,,7818661.0,,,,,9565010.0,,,8589010.0,9565010.0,,,,,,,976000.0,,180000.0,,,286345.0,,,,,,8589010.0,0,,8589010.0,,8589010.0,0,,0,0.25,0.25,34652155.0,34851214.0,0.02,143369582.0,18407197.0,,,,,,124962385.0,,,,,,45406412.0,12355311.0,486034.0,,,11869277.0,33051101.0,,,,,,,,97963170.0,0,97963170.0,,,143369582.0,8404654.0,8404654.0,,-8054892.0,-8054892.0,,2435845.0,2435845.0,,,2785607.0,2785607.0,,8589010.0,0,8589010.0,0,,
PHX,2022-05-09,2022,Q2,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-018886,1962367.0,5949822.0,,,,5949822.0,,,,5949822.0,,,,,-3987455.0,,,-4020455.0,-3987455.0,,,,,,,33000.0,,-339000.0,,,230212.0,,,,,,-4020455.0,0,,-4020455.0,,-4020455.0,0,,0,-0.12,-0.12,34292455.0,34292455.0,0.015,130341637.0,12343353.0,,,,,,117998284.0,,,,,,45593091.0,17291335.0,602415.0,,,16688920.0,0.0,,,,,,,,84748546.0,0,84748546.0,,,130341637.0,7296330.0,7296330.0,,-7066638.0,-7066638.0,,-85367.0,-85367.0,,,144325.0,144325.0,,-4020455.0,0,-4020455.0,0,,
PHX,2022-02-14,2022,Q1,2021-10-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-004975,16602247.0,9157998.0,,,,9157998.0,,,,9157998.0,,,,,7444249.0,,,6682249.0,7444249.0,,,,,,,762000.0,,366000.0,,,176719.0,,,,,,6682249.0,0,,6682249.0,,6682249.0,0,,0,0.2,0.2,33127722.0,33127722.0,0.01,121802434.0,10912696.0,,,,,,110889738.0,,,,,,33461882.0,9706685.0,612387.0,,,9094298.0,0.0,,,,,,,,88340552.0,0,88340552.0,,,121802434.0,8637990.0,8637990.0,,-7250012.0,-7250012.0,,-2267139.0,-2267139.0,,,-879161.0,-879161.0,,6682249.0,0,6682249.0,0,,
PHX,2021-12-13,2021,FY,2020-10-01,2021-09-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-060165,21971668.0,28839956.0,,,,28839956.0,,,,28839956.0,,,,,-6868288.0,,-6868288.0,-6217237.0,-6868288.0,,,,,,,-651051.0,334050.0,-985101.0,,,995127.0,,,,,,-6217237.0,0,,-6217237.0,,-6217237.0,0,,0,-0.24,-0.24,25925536.0,25925536.0,,117011014.0,12223517.0,,,,,,104787497.0,,,,,,38302275.0,15136379.0,772717.0,,982259.0,13381403.0,23165896.0,,,,,,,,78708739.0,0,78708739.0,,,117011014.0,3942087.0,3942087.0,,-20368919.0,-20368919.0,,8174948.0,8174948.0,,,-8251884.0,-8251884.0,,-6217237.0,0,-6217237.0,0,,
PHX,2021-08-05,2021,Q3,2021-04-01,2021-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-041616,5671489.0,7844083.0,,,,8114153.0,,,,7844083.0,,,,,-2172594.0,,-2172594.0,-2172594.0,-2172594.0,,,,,,,-816000.0,,-829000.0,,,220439.0,,,,,,-1356594.0,0,,-1356594.0,,-1356594.0,0,,0,-0.05,-0.05,28309258.0,28309258.0,0.01,109814609.0,10883243.0,,,,,,98931366.0,,,,,,34518048.0,9383041.0,1173258.0,,,8209783.0,25135007.0,,,,,,,,75296561.0,0,75296561.0,,,109814609.0,5563226.0,5563226.0,,-11162051.0,-11162051.0,,7236843.0,7236843.0,,,1638018.0,1638018.0,,-1356594.0,0,-1356594.0,0,,
PHX,2021-05-06,2021,Q2,2021-01-01,2021-03-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-025005,6056236.0,6772959.0,,,,6796216.0,,,,6772959.0,,,,,-716723.0,,-716723.0,-716723.0,-716723.0,,,,,,,-217000.0,,-219000.0,,,267865.0,,,,,,-499723.0,0,,-499723.0,,-499723.0,0,,0,,,,,0.01,95867320.0,9184394.0,,,,,,86682926.0,,,,,,-61732555.0,5184775.0,672507.0,,,4512268.0,0.0,,,,,,,,61732555.0,0,61732555.0,,,95867320.0,4205726.0,4205726.0,,-340773.0,-340773.0,,-3758289.0,-3758289.0,,,106664.0,106664.0,,-499723.0,0,-499723.0,0,,
PHX,2021-02-08,2021,Q1,2020-10-01,2020-12-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-004700,6172376.0,6838096.0,,,,6858364.0,,,,6838096.0,,,,,-665720.0,,-665720.0,-665720.0,-665720.0,,,,,,,-69000.0,,-69000.0,,,301898.0,,,,,,-596720.0,0,,-596720.0,,-596720.0,0,,0,,,,,0.01,97898849.0,9970523.0,,,,,,87928326.0,,,,,,-62335886.0,3130232.0,536972.0,,,2593260.0,0.0,,,,,,,,62335886.0,0,62335886.0,,,97898849.0,471381.0,471381.0,,-7997829.0,-7997829.0,,-2000129.0,-2000129.0,,,-9526577.0,-9526577.0,,-596720.0,0,-596720.0,0,,
PHX,2020-12-10,2020,FY,2019-10-01,2020-09-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-056736,28965819.0,61206856.0,,,,61206856.0,,,,61206856.0,,,,,-32241037.0,,-32241037.0,-23952037.0,-32241037.0,,,,,,,-8289000.0,-3642000.0,-4647000.0,,,1286788.0,,,,,,-23952037.0,0,,-23952037.0,,-23952037.0,0,,0,,,,,,100021835.0,17789930.0,,,,,,82231905.0,,,,,,37027909.0,4454050.0,997637.0,,481062.0,2975351.0,32573859.0,,,,,,,,62993926.0,0,62993926.0,,,100021835.0,11106295.0,11106295.0,,-6462518.0,-6462518.0,,-114073.0,-114073.0,,,4529704.0,4529704.0,,-23952037.0,0,-23952037.0,0,,
PHX,2020-08-13,2020,Q3,2020-04-01,2020-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-040047,2705383.0,7138538.0,,,,7138538.0,,,,7138538.0,,,,,-4433155.0,,-4433155.0,-4433155.0,-4433155.0,,,,,,,-877940.0,,-1494000.0,,,241191.0,,,,,,-3555215.0,0,,-3555215.0,,-3555215.0,0,,0,,,,,0.01,91724110.0,8159321.0,,,,,,83564789.0,,,,,,35222066.0,4209997.0,724289.0,,,3485708.0,31012069.0,,,,,,,,56502044.0,0,56502044.0,,,91724110.0,3717398.0,3717398.0,,-24962.0,-24962.0,,-2166132.0,-2166132.0,,,1526304.0,1526304.0,,-3555215.0,0,-3555215.0,0,,
PHX,2020-05-07,2020,Q2,2020-01-01,2020-03-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-022886,11311287.0,38753101.0,,,,38813744.0,,,,38753101.0,,,,,-27441814.0,,-27441814.0,-27441814.0,-27441814.0,,,,,,,-6764000.0,,-5322000.0,,,346573.0,,,,,,-20454814.0,0,,-20454814.0,,-20454814.0,0,,0,,,,,0.04,98763950.0,12632321.0,,,,,,86131629.0,,,,,,-60051137.0,2056639.0,810095.0,,,1246544.0,0.0,,,,,,,,60051137.0,0,60051137.0,,,98763950.0,4009901.0,4009901.0,,-115912.0,-115912.0,,-3663919.0,-3663919.0,,,230070.0,230070.0,,-20454814.0,0,-20454814.0,0,,
PHX,2020-02-05,2020,Q1,2019-10-01,2019-12-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-003470,10576531.0,8430417.0,,,,8430417.0,,,,8430417.0,,,,,2146114.0,,2146114.0,2146114.0,2146114.0,,,,,,,254000.0,,658000.0,,,370665.0,,,,,,1892114.0,0,,1892114.0,,1892114.0,0,,0,,,,,0.04,127078162.0,8058486.0,,,,,,119019676.0,,,,,,-80108933.0,2494583.0,670175.0,,,1824408.0,0.0,,,,,,,,80108933.0,0,80108933.0,,,127078162.0,2098441.0,2098441.0,,-6901810.0,-6901810.0,,-1088615.0,-1088615.0,,,-5891984.0,-5891984.0,,1892114.0,0,1892114.0,0,,
PHX,2019-12-13,2019,FY,2018-10-01,2019-09-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-19-045877,66035685.0,120261623.0,,,,120261623.0,,,,120261623.0,,,,,-54225938.0,,-54225938.0,-40744938.0,-54225938.0,,,,,,,-13481000.0,-1369000.0,-12112000.0,,,1995789.0,,,,,,-40744938.0,0,,-40744938.0,,-40744938.0,0,,0,,,,,,126644947.0,14477455.0,,,,,,112167492.0,,,,,,47335414.0,3098626.0,665160.0,,1446710.0,986756.0,44236788.0,,,,,,,,79309533.0,0,79309533.0,,,126644947.0,21005684.0,21005684.0,,10325211.0,10325211.0,,-25702706.0,-25702706.0,,,5628189.0,5628189.0,,-40744938.0,0,-40744938.0,0,,
