ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PLL,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001728205-25-000099,19996000.0,35627000.0,19862000.0,,,35627000.0,134000.0,,-3776000.0,6771000.0,6771000.0,,,,-11855000.0,,-10696000.0,-15631000.0,-15631000.0,,,,,,-4935000.0,0.0,,0.0,,,,,,,,,-15631000.0,0,,-15631000.0,,-15631000.0,0,,0,-0.71,-0.71,21939000.0,21939000.0,,326989000.0,82480000.0,,,,,,244509000.0,,135649000.0,,,108860000.0,43698000.0,38427000.0,1411000.0,,,37016000.0,5271000.0,,,,,,,,283291000.0,0,283291000.0,,,326989000.0,-19155000.0,-19155000.0,,-2311000.0,-2311000.0,,-984000.0,-984000.0,,,-22450000.0,-22450000.0,,-15423000.0,0,-15423000.0,-15423000.0,,208000.0
PLL,2025-02-26,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001728205-25-000047,99877000.0,167770000.0,89082000.0,,,167770000.0,10795000.0,,-12217000.0,38800000.0,38703000.0,,,97000.0,-55676000.0,,-50073000.0,-64761000.0,-67893000.0,,,,,,-17820000.0,-3132000.0,,-6247000.0,,,,,,,,,-64761000.0,0,,-64761000.0,,-64761000.0,0,,0,-3.3,-3.3,19618000.0,19618000.0,,349885000.0,102639000.0,,,,,,247246000.0,,134544000.0,,,112702000.0,51638000.0,46106000.0,5239000.0,,,40867000.0,5532000.0,30124000.0,,,,,,,298247000.0,0,298247000.0,,,349885000.0,-42907000.0,-42907000.0,,12675000.0,12675000.0,,46342000.0,46342000.0,,,16110000.0,16110000.0,,-69062000.0,0,-69062000.0,-69062000.0,,-4301000.0
PLL,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001728205-24-000096,27663000.0,44350000.0,25010000.0,,,44350000.0,2653000.0,,-1762000.0,9501000.0,9466000.0,,,35000.0,-14925000.0,,-13173000.0,-16687000.0,-16687000.0,,,,,,-3514000.0,0.0,,0.0,,,,,,,,,-16687000.0,0,,-16687000.0,,-16687000.0,0,,0,-0.86,-0.86,19401000.0,19401000.0,,329227000.0,73654000.0,,,,,,255573000.0,,134510000.0,,,121063000.0,43021000.0,37026000.0,,,,,5995000.0,,,,,,,,286206000.0,0,286206000.0,,,329227000.0,-7696000.0,-7696000.0,,-4056000.0,-4056000.0,,17132000.0,17132000.0,,,5380000.0,5380000.0,,-15760000.0,0,-15760000.0,-15760000.0,,927000.0
PLL,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001728205-24-000078,13227000.0,26561000.0,12601000.0,,,26561000.0,626000.0,,289000.0,9339000.0,9330000.0,,,9000.0,-13623000.0,,-8424000.0,-13332000.0,-13334000.0,,,,,,-4910000.0,-2000.0,,0.0,,,,,,,,,-13332000.0,0,,-13332000.0,,-13332000.0,0,,0,-0.69,-0.69,19370000.0,19370000.0,,339640000.0,83693000.0,,,,,,255947000.0,,134270000.0,,,121677000.0,40015000.0,36017000.0,,,,,0.0,,,,,,,,299625000.0,0,299625000.0,,,339640000.0,-459000.0,-459000.0,,-11361000.0,-11361000.0,,-646000.0,-646000.0,,,-12466000.0,-12466000.0,,-13332000.0,0,-14090000.0,0.0,,-758000.0
PLL,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001728205-24-000062,13401000.0,40105000.0,12710000.0,,,40105000.0,691000.0,,-12028000.0,9927000.0,9874000.0,,,53000.0,-14676000.0,,-21264000.0,-23611000.0,-26704000.0,,,,,,-5440000.0,-3093000.0,,-6246000.0,,,222000.0,,,,,,-23611000.0,0,,-23611000.0,,-23611000.0,0,,0,-1.22,-1.22,19326000.0,19326000.0,,335203000.0,86050000.0,,,,,,249153000.0,,129785000.0,,,119368000.0,24136000.0,18810000.0,,,,,0.0,,,,,,,,311067000.0,0,311067000.0,,,335203000.0,-28322000.0,-28322000.0,,28695000.0,28695000.0,,-659000.0,-659000.0,,,-286000.0,-286000.0,,-23611000.0,0,-23524000.0,0.0,,87000.0
PLL,2024-02-29,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001728205-24-000034,39817000.0,58488000.0,34138000.0,,,58488000.0,5679000.0,,,45248000.0,43319000.0,,,1929000.0,-39375000.0,,-21107000.0,-21777000.0,-18671000.0,,,,,,2436000.0,3106000.0,,3106000.0,,,39000.0,,,,,,-21777000.0,0,,-21777000.0,,-21777000.0,0,,0,-1.14,-1.14,19033000.0,19033000.0,,381255000.0,76154000.0,,,,,,305101000.0,,127086000.0,,,178015000.0,48925000.0,41366000.0,,,,,7559000.0,200000.0,7359000.0,,,,,,332330000.0,0,332330000.0,,,381255000.0,1570000.0,1570000.0,,-99323000.0,-99323000.0,,70236000.0,70236000.0,,,-27517000.0,-27517000.0,,-20207000.0,0,-20207000.0,-20207000.0,,1570000.0
PLL,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001728205-23-000072,47127000.0,22208000.0,23363000.0,,,22208000.0,23764000.0,,,11656000.0,11185000.0,,,471000.0,15960000.0,,21067000.0,22891000.0,24919000.0,,,,,,3852000.0,2028000.0,,2027846.0,,,8000.0,,,,,,22891000.0,0,,22891000.0,,22891000.0,0,,0,1.19,1.19,19203000.0,19239000.0,,397350000.0,122150000.0,,,,,,275200000.0,,116422000.0,,,158778000.0,49299000.0,42860000.0,,,,,6439000.0,,,,,,,,348051000.0,0,348051000.0,,,397350000.0,25091001.0,25091001.0,,-18817265.0,-18817265.0,,-527192.0,-527192.0,,,5746544.0,5746544.0,,19899000.0,0,19899000.0,19899000.0,,-2992000.0
PLL,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001728205-23-000052,-2675145.0,7315184.0,,,,12426824.0,,,,12426824.0,,,,,-15101969.0,,-7315184.0,-10639000.0,-9990329.0,,,,,,-2675145.0,648811.0,,648811.0,,,11160.0,,,,,,-10639000.0,0,,-10639000.0,,-10639140.0,0,,0,-0.55,-0.55,19186640.0,19186640.0,,342935496.0,93653214.0,,,,,,249282282.0,,101685472.0,,,147596810.0,17500520.0,12717889.0,,,,,0.0,,,,,,,,325435000.0,0,325435000.0,,,342935496.0,-10175869.0,-10175869.0,,-30177827.0,-30177827.0,,-121277.0,-121277.0,,,-40474973.0,-40474973.0,,-10639000.0,0,-9517172.0,0.0,,1121968.0
PLL,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001728205-23-000047,-2742364.0,5404025.0,,,,9378224.0,,,,9378224.0,,,,,-12120588.0,,-5404025.0,-8639000.0,-8146389.0,,,,,,-2742364.0,493343.0,,493343.0,,,14517.0,,,,,,-8639000.0,0,,-8639000.0,,-8639732.0,0,,0,-0.47,-0.47,18523689.0,18523689.0,,347657287.0,130843389.0,,,,,,216813898.0,,92025385.0,,,124788513.0,15971203.0,12016916.0,,,,,0.0,,,,,,,,331687000.0,0,331687000.0,,,347657287.0,-9512132.0,-9512132.0,,-31477908.0,-31477908.0,,70966469.0,70966469.0,,,29976429.0,29976429.0,,-8639000.0,0,-10853004.0,0.0,,-2213272.0
PLL,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001728205-23-000030,-8352290.0,1483120.0,,,,31388065.0,,,,31388065.0,,,,,-39740355.0,,-1483120.0,-12974674.0,-9835410.0,,,,,,-8352290.0,3139264.0,,3139264.0,,,115029.0,,,,,,-12974674.0,0,,-12974674.0,,-12974674.0,0,,0,-0.74,-0.74,17517678.0,17517678.0,,287921083.0,101858804.0,,,,,,186062279.0,,71540798.0,,,114521481.0,17632422.0,13411165.0,,,,,4221257.0,600000.0,3621257.0,,,,,,270288661.0,0,270288661.0,,,287921083.0,-26448527.0,-26448527.0,,-59800271.0,-59800271.0,,121250778.0,121250778.0,,0.0,35001980.0,35001980.0,,-17606141.0,0,-17606141.0,-17606141.0,,-4631467.0
