ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PLUG,2025-05-12,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-007412,133674000.0,330533000.0,207535000.0,,,330533000.0,-73861000.0,,,104595000.0,80839000.0,,17357000.0,6399000.0,-178456000.0,,-194489000.0,-196859000.0,-196859000.0,,,,,,-2370000.0,0.0,,,,,11486000.0,,,,,,-196859000.0,-203000,,-196656000.0,,-196656000.0,0,,0,-0.21,-0.21,945767987.0,945767987.0,,3633406000.0,1533914000.0,,,693472000.0,,840442000.0,2099492000.0,,879850000.0,82777000.0,,1136865000.0,1700819000.0,788385000.0,191611000.0,,,596774000.0,912434000.0,,,,,,,,1932587000.0,75387000.0,1857200000.0,,,3633406000.0,-105568000.0,-105568000.0,,-46573000.0,-46573000.0,,193232000.0,193232000.0,,,41091000.0,41091000.0,,-199588000.0,-203000,-199385000.0,-2729000.0,,
PLUG,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-015312,173730000.0,384803000.0,273755000.0,,,384803000.0,-100025000.0,,,116143000.0,91586000.0,,19712000.0,4845000.0,-216168000.0,,-202383000.0,-211168000.0,-211073000.0,,,,,,-8690000.0,95000.0,,,,,9148000.0,,,,,,-211168000.0,0,,-211168000.0,,-211168000.0,0,,0,-0.25,-0.25,858442951.0,858442951.0,,4724874000.0,1634021000.0,,,885764000.0,,748257000.0,3090853000.0,,1534056000.0,175006000.0,,1381791000.0,1695541000.0,786945000.0,207224000.0,,,579721000.0,908596000.0,3900000.0,904696000.0,,,,,,3029333000.0,0.0,3029333000.0,,,4724874000.0,-174936000.0,-174936000.0,,-89871000.0,-89871000.0,,252424000.0,252424000.0,,,-12383000.0,-12383000.0,,-210853000.0,0,-210853000.0,315000.0,,
PLUG,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-011593,143350000.0,406059000.0,274605000.0,,,406059000.0,-131255000.0,,,113418000.0,85144000.0,,18940000.0,9334000.0,-244673000.0,,-255469000.0,-262333000.0,-262709000.0,,,,,,-7240000.0,-376000.0,,,,,9511000.0,,,,,,-262333000.0,0,,-262333000.0,,-262333000.0,0,,0,-0.36,-0.36,736848684.0,736848684.0,,4779853000.0,1672422000.0,,,939534000.0,,732888000.0,3107431000.0,,1509693000.0,178338000.0,,1419400000.0,1791273000.0,809614000.0,253715000.0,,,555899000.0,0.0,3700000.0,977959000.0,,,,,,2988580000.0,0.0,2988580000.0,,,4779853000.0,-254738000.0,-254738000.0,,-148074000.0,-148074000.0,,243686000.0,243686000.0,,,-159126000.0,-159126000.0,,-255204000.0,0,-255204000.0,7084000.0,,
PLUG,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-007592,120264000.0,415877000.0,279339000.0,,,415877000.0,-159075000.0,,,100334000.0,77959000.0,,25280000.0,-2905000.0,-259409000.0,,-282500000.0,-295776000.0,-295613000.0,,,,,,-13113000.0,163000.0,,,,,11325000.0,,,,,,-295776000.0,0,,-295776000.0,,-295776000.0,0,,0,-0.46,-0.46,641256134.0,641256134.0,,4847306000.0,1766573000.0,,,975898000.0,,790675000.0,3080733000.0,,1453991000.0,183325000.0,,1443417000.0,1918184000.0,911444000.0,285546000.0,,,625898000.0,0.0,3800000.0,1002940000.0,,,,,,2929167000.0,0.0,2929167000.0,,,4847306000.0,-167728000.0,-167728000.0,,-120584000.0,-120584000.0,,283065000.0,283065000.0,,,-5247000.0,-5247000.0,,-298052000.0,0,-298052000.0,-2231000.0,,
PLUG,2024-02-29,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-002178,891340000.0,2267537000.0,1399131000.0,,,2267537000.0,-507791000.0,,,835732000.0,422469000.0,,113745000.0,299518000.0,-1343523000.0,,-1334411000.0,-1368833000.0,-1376197000.0,,,,,,-41786000.0,-7364000.0,1170000.0,-103372000.0,,,45201000.0,,,,,,-1368833000.0,0,,-1368833000.0,,-1368833000.0,0,,0,-2.3,-2.3,595468419.0,595468419.0,,4902738000.0,1786965000.0,,,961253000.0,,825712000.0,3115773000.0,,1436177000.0,188886000.0,,1490710000.0,2004613000.0,964800000.0,257828000.0,,,706972000.0,1039813000.0,3900000.0,1035913000.0,,,,,,2898125000.0,0.0,2898125000.0,,,4902738000.0,-1106570000.0,-1106570000.0,,728052000.0,728052000.0,,6117000.0,6117000.0,,,-372401000.0,-372401000.0,,-1349631000.0,0,-1349631000.0,19202000.0,,
PLUG,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-018601,198711000.0,486919000.0,336676000.0,,,486919000.0,-137965000.0,,,136006000.0,105451000.0,,27651000.0,2904000.0,-273971000.0,,-281178000.0,-283479000.0,-288208000.0,,,,,,-7030000.0,-4729000.0,,,,,11802000.0,,,,,,-283479000.0,0,,-283479000.0,,-283479000.0,0,,0,-0.47,-0.47,599465146.0,599465146.0,,5452121000.0,2239904000.0,,,1024209000.0,,1215695000.0,3212217000.0,,1252483000.0,193177000.0,,1766557000.0,1942835000.0,930585000.0,292925000.0,,,637660000.0,1012250000.0,4100000.0,1008150000.0,,,,,,3509286000.0,0.0,3509286000.0,,,5452121000.0,-238908000.0,-238908000.0,,-144999000.0,-144999000.0,,-11197000.0,-11197000.0,,,-395104000.0,-395104000.0,,-271336000.0,0,-271336000.0,12143000.0,,
PLUG,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-014268,260182000.0,497497000.0,338325000.0,,,497497000.0,-78143000.0,,,155699000.0,101154000.0,,29251000.0,25294000.0,-233842000.0,,-229692000.0,-236398000.0,-237315000.0,,,,,,-7623000.0,-917000.0,,,,,11265000.0,,,,,,-236398000.0,0,,-236398000.0,,-236398000.0,0,,0,-0.4,-0.4,598053390.0,598053390.0,,5583277000.0,2617243000.0,,,904288000.0,,1712955000.0,2966034000.0,,1061810000.0,199083000.0,,1705141000.0,1844192000.0,827818000.0,220470000.0,,,607348000.0,0.0,4200000.0,1012174000.0,,,,,,3739085000.0,0.0,3739085000.0,,,5583277000.0,-348092000.0,-348092000.0,,509691000.0,509691000.0,,18463000.0,18463000.0,,,180062000.0,180062000.0,,-231128000.0,0,-231128000.0,5270000.0,,
PLUG,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-008801,210286000.0,418117000.0,279682000.0,,,418117000.0,-69396000.0,,,140403000.0,104016000.0,,26535000.0,9852000.0,-209799000.0,,-202514000.0,-206561000.0,-207831000.0,,,,,,-5317000.0,-1270000.0,,,,,10650000.0,,,,,6889000.0,-206561000.0,0,,-206561000.0,,-206561000.0,0,,0,-0.35,-0.35,589205165.0,589205165.0,,5654093000.0,2977324000.0,,,775649000.0,,2201675000.0,2676769000.0,,874659000.0,203740000.0,,1598370000.0,1732443000.0,677540000.0,188149000.0,,,489391000.0,0.0,9000000.0,1045903000.0,,,,,,3921650000.0,0.0,3921650000.0,,,5654093000.0,-276919000.0,-276919000.0,,95796000.0,95796000.0,,7181000.0,7181000.0,,,-173942000.0,-173942000.0,,-199591000.0,0,-199591000.0,6970000.0,,
PLUG,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-002599,701440000.0,1424609000.0,895796000.0,,,1424609000.0,-194356000.0,,,485194000.0,363929000.0,,99579000.0,21686000.0,-679550000.0,,-703003000.0,-724008000.0,-723169000.0,,,,,,-20166000.0,839000.0,668000.0,-35737000.0,,,39037000.0,,,,,,-724008000.0,0,,-724008000.0,,-724008000.0,0,,0,-1.25,-1.25,579716708.0,579716708.0,,5764276000.0,3305298000.0,,,645636000.0,,2659662000.0,2458978000.0,,719793000.0,207725000.0,,1531460000.0,1704062000.0,635275000.0,191895000.0,,,443380000.0,1068787000.0,9000000.0,1059787000.0,,,,,,4060214000.0,0.0,4060214000.0,,,5764276000.0,-828623000.0,-828623000.0,,-679370000.0,-679370000.0,,-77457000.0,-77457000.0,,,-1585450000.0,-1585450000.0,,-748480000.0,0,-748480000.0,-24472000.0,,
PLUG,2022-11-08,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-016911,188628000.0,357865000.0,234691000.0,,,357865000.0,-46063000.0,,,113683000.0,85578000.0,,28105000.0,,-159746000.0,,-164957000.0,-170758000.0,-169237000.0,,,,,,-4280000.0,1521000.0,,,,,9020000.0,,,,,5727000.0,-170758000.0,0,,-170758000.0,,-170758000.0,0,,0,-0.3,-0.3,578043278.0,578043278.0,,5858804000.0,3651652000.0,,,516280000.0,,3135372000.0,2207152000.0,,607268000.0,195647000.0,,1404237000.0,1635228000.0,599391000.0,199865000.0,,,399526000.0,1035837000.0,,,,,,,,4223576000.0,0.0,4223576000.0,,,5858804000.0,-116936000.0,-116936000.0,,-286016000.0,-286016000.0,,-10597000.0,-10597000.0,,,-358693000.0,-358693000.0,,-176794000.0,0,-176794000.0,-6036000.0,,
