ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PLYA,2025-05-05,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001692412-25-000062,267287000.0,221801000.0,126642000.0,,,201689000.0,140645000.0,,,75047000.0,52182000.0,,,22865000.0,65598000.0,,,43125000.0,45486000.0,,,,,,,2361000.0,,,,,,,,,,,43125000.0,0,,43125000.0,,43125000.0,0.0,,0.0,0.35,0.34,122830671.0,125178151.0,,1862743000.0,1862743000.0,,,15475000.0,,1847268000.0,0,,,1937000.0,,,1333016000.0,1333016000.0,,,,,0,,,,,,,,529727000.0,0,529727000.0,,,1862743000.0,78087000.0,78087000.0,,5445000.0,5445000.0,,-7410000.0,-7410000.0,,,76122000.0,76122000.0,,48020000.0,0,48020000.0,48020000.0,,4895000.0
PLYA,2025-02-25,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001692412-25-000052,938569000.0,856803000.0,498166000.0,,,764658000.0,440403000.0,,,266492000.0,199367000.0,,,67125000.0,173911000.0,,,73813000.0,81766000.0,,,,,,,7953000.0,16359000.0,-8406000.0,,,,,,,,,73813000.0,0,,73813000.0,,73813000.0,0.0,,0.0,0.57,0.56,129737022.0,131521526.0,,1823088000.0,1823088000.0,,,17226000.0,,1805862000.0,0,,,2091000.0,,,1341198000.0,1341198000.0,,,,,0,,,,,,,,481890000.0,0,481890000.0,,,1823088000.0,113117000.0,113117000.0,,-33191000.0,-33191000.0,,-163168000.0,-163168000.0,,,-83242000.0,-83242000.0,,63742000.0,0,63742000.0,63742000.0,,-10071000.0
PLYA,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001692412-24-000131,183517000.0,191235000.0,115731000.0,,,169620000.0,67786000.0,,,53889000.0,49825000.0,,,4064000.0,13897000.0,,,-2734000.0,-7718000.0,,,,,,,-4984000.0,,,,,,,,,,,-2734000.0,0,,-2734000.0,,-2734000.0,0.0,,0.0,-0.02,-0.02,127975787.0,127975787.0,,1817202000.0,1817202000.0,,,16450000.0,,1800752000.0,0,,,2189000.0,,,1320586000.0,1320586000.0,,,,,0,,,,,,,,496616000.0,0,496616000.0,,,1817202000.0,2933000.0,2933000.0,,33349000.0,33349000.0,,-59086000.0,-59086000.0,,,-22804000.0,-22804000.0,,-12400000.0,0,-12400000.0,-12400000.0,,-9666000.0
PLYA,2024-08-05,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001692412-24-000121,235475000.0,222244000.0,127367000.0,,,197565000.0,108108000.0,,,70198000.0,49794000.0,,,20404000.0,37910000.0,,,13170000.0,13231000.0,,,,,,,61000.0,,,,,,,,,,,13170000.0,0,,13170000.0,,13170000.0,0.0,,0.0,0.1,0.1,132426621.0,133867472.0,,1900080000.0,1900080000.0,,,18220000.0,,1881860000.0,0,,,3019000.0,,,1344055000.0,-556025000.0,,,,,0,,,,,,,,556025000.0,0,556025000.0,,,1900080000.0,12950000.0,12950000.0,,-22793000.0,-22793000.0,,-41558000.0,-41558000.0,,,-51401000.0,-51401000.0,,13170000.0,0,7389000.0,0.0,,-5781000.0
PLYA,2024-05-06,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001692412-24-000109,300635000.0,234257000.0,137979000.0,,,210336000.0,162656000.0,,,72357000.0,51219000.0,,,21138000.0,90299000.0,,,54341000.0,66378000.0,,,,,,,12037000.0,,,,,23128000.0,,,,,,54341000.0,0,,54341000.0,,54341000.0,0.0,,0.0,0.4,0.39,136651696.0,138009859.0,,1946998000.0,1946998000.0,,,18690000.0,,1928308000.0,0,,,3441000.0,,,1360013000.0,-586985000.0,,,,,0,,,,,,,,586985000.0,0,586985000.0,,,1946998000.0,56777000.0,56777000.0,,-10446000.0,-10446000.0,,-33509000.0,-33509000.0,,,12822000.0,12822000.0,,54341000.0,0,61042000.0,0.0,,6701000.0
PLYA,2024-02-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001692412-24-000075,977504000.0,911938000.0,516449000.0,,,802507000.0,461055000.0,,,286058000.0,192822000.0,,,93236000.0,174997000.0,,,53852000.0,65566000.0,,,,,,,11714000.0,14745000.0,-3031000.0,,,108184000.0,,,,,,53852000.0,0,,53852000.0,,53852000.0,0.0,,0.0,0.36,0.36,148063358.0,150309674.0,,1933725000.0,1933725000.0,,,19963000.0,,1913762000.0,0,,,4357000.0,,,1378928000.0,1378928000.0,,,,,0,,,,,,,,554797000.0,0,554797000.0,,,1933725000.0,136374000.0,136374000.0,,50532000.0,50532000.0,,-198331000.0,-198331000.0,,,-11425000.0,-11425000.0,,61949000.0,0,61949000.0,61949000.0,,8097000.0
PLYA,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001692412-23-000072,213145000.0,226457000.0,126356000.0,,,199555000.0,86789000.0,,,73199000.0,48826000.0,,,24373000.0,13590000.0,,,-10504000.0,-13312000.0,,,,,,,-2808000.0,,-3002000.0,,,26552000.0,,,,,,-10504000.0,0,,-10504000.0,,-10504000.0,0.0,,0.0,-0.07,-0.07,145469906.0,145469906.0,,1940944000.0,1940944000.0,,,20370000.0,,1920574000.0,0,,,5675000.0,,,1351766000.0,1351766000.0,,,,,0,,,,,,,,589178000.0,0,589178000.0,,,1940944000.0,8054000.0,8054000.0,,-11709000.0,-11709000.0,,-80782000.0,-80782000.0,,,-84437000.0,-84437000.0,,-8398000.0,0,-8398000.0,-8398000.0,,2106000.0
PLYA,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001692412-23-000065,248040000.0,224575000.0,132606000.0,,,198253000.0,115434000.0,,,65647000.0,47614000.0,,,18033000.0,49787000.0,,,20633000.0,23465000.0,,,,,,,2832000.0,,2175000.0,,,26119000.0,,,,,,20633000.0,0,,20633000.0,,20633000.0,0.0,,0.0,0.14,0.13,151955076.0,154192223.0,,2038195000.0,2038195000.0,,,20426000.0,,2017769000.0,0,,,6003000.0,,,1367392000.0,-670803000.0,,,,,0,,,,,,,,670803000.0,0,670803000.0,,,2038195000.0,21824000.0,21824000.0,,1221000.0,1221000.0,,-35665000.0,-35665000.0,,,-12620000.0,-12620000.0,,20633000.0,0,28986000.0,0.0,,8353000.0
PLYA,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001692412-23-000051,273802000.0,226267000.0,128968000.0,,,196833000.0,144834000.0,,,67865000.0,45127000.0,,,22738000.0,76969000.0,,,42719000.0,47535000.0,,,,,,,4816000.0,,3826000.0,,,29666000.0,,,,,,42719000.0,0,,42719000.0,,42719000.0,0.0,,0.0,0.27,0.27,157314177.0,158772453.0,,2051761000.0,2051761000.0,,,20607000.0,,2031154000.0,0,,,6293000.0,,,1379227000.0,-672534000.0,,,,,0,,,,,,,,672534000.0,0,672534000.0,,,2051761000.0,45287000.0,45287000.0,,-2352000.0,-2352000.0,,-45415000.0,-45415000.0,,,-2480000.0,-2480000.0,,42719000.0,0,45396000.0,0.0,,2677000.0
PLYA,2023-02-23,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001692412-23-000038,856263000.0,805110000.0,459030000.0,,,726496000.0,397233000.0,,,267466000.0,186608000.0,,,80858000.0,129767000.0,,,56706000.0,51153000.0,,,,,,,-5553000.0,1243000.0,-6796000.0,,,64164000.0,,,,,,56706000.0,0,,56706000.0,,56706000.0,0.0,,0.0,0.34,0.34,164782886.0,166077802.0,,2069820000.0,2069820000.0,,,20046000.0,,2049774000.0,0,,,6556000.0,,,1404958000.0,1404958000.0,,,,,0,,,,,,,,664862000.0,0,664862000.0,,,2069820000.0,158230000.0,158230000.0,,-27149000.0,-27149000.0,,-140713000.0,-140713000.0,,,-9632000.0,-9632000.0,,68392000.0,0,68392000.0,68392000.0,,11686000.0
