ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
PNC,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-021752,5452000000.0,3606000000.0,,,,3606000000.0,,,,3606000000.0,,90000000.0,,3516000000.0,1846000000.0,,,1499000000.0,1846000000.0,,,,,,,347000000.0,,-47000000.0,,6130000000.0,846000000.0,3476000000.0,3476000000.0,3387000000.0,1976000000.0,0.0,1499000000.0,18000000.0,,1399000000.0,,1399000000.0,9000000.0,,0.0,3.52,3.51,398000000.0,398000000.0,,554722000000.0,554722000000.0,,,,,,0,,,,,,498271000000.0,498271000000.0,,,,,0,60722000000.0,,,,,,,56451000000.0,46000000.0,56405000000.0,,,554722000000.0,-509000000.0,-509000000.0,,-980000000.0,-980000000.0,,-6362000000.0,-6362000000.0,,,-7851000000.0,-7851000000.0,,2827000000.0,18000000.0,2809000000.0,1328000000.0,,
PNC,2025-02-21,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000713676-25-000027,21555000000.0,14313000000.0,,,,14313000000.0,,,,14313000000.0,,259000000.0,,14054000000.0,7242000000.0,,,5953000000.0,7242000000.0,,,,,,,1289000000.0,1319000000.0,-30000000.0,,26384000000.0,4484000000.0,13499000000.0,13499000000.0,13524000000.0,8056000000.0,0.0,5953000000.0,64000000.0,,5496000000.0,,5496000000.0,33000000.0,,0.0,13.76,13.74,399000000.0,400000000.0,,560038000000.0,560038000000.0,,,,,,0,,8672000000.0,,,,505569000000.0,505569000000.0,,,,,0,61673000000.0,,,,,,,54469000000.0,44000000.0,54425000000.0,,,560038000000.0,7880000000.0,7880000000.0,,-3232000000.0,-3232000000.0,,-9122000000.0,-9122000000.0,,,-4474000000.0,-4474000000.0,,7100000000.0,64000000.0,7036000000.0,1147000000.0,,
PNC,2024-11-01,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000713676-24-000081,5432000000.0,3570000000.0,,,,3570000000.0,,,,3570000000.0,,21000000.0,,3549000000.0,1862000000.0,,,1505000000.0,1862000000.0,,,,,,,357000000.0,,-68000000.0,,6822000000.0,1182000000.0,,,3327000000.0,2022000000.0,,1505000000.0,15000000.0,,1490000000.0,,1396000000.0,10000000.0,,2000000.0,3.5,3.49,399000000.0,400000000.0,,564881000000.0,564881000000.0,,,,,,0,,,,,,509152000000.0,509152000000.0,,,,,0,68069000000.0,,,,,,,55729000000.0,40000000.0,55689000000.0,,,564881000000.0,3287000000.0,3287000000.0,,-3782000000.0,-3782000000.0,,2400000000.0,2400000000.0,,,1905000000.0,1905000000.0,,3861000000.0,15000000.0,3846000000.0,2356000000.0,,
PNC,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000713676-24-000068,5411000000.0,3592000000.0,,,,3592000000.0,,,,3592000000.0,,37000000.0,,3555000000.0,1819000000.0,,,1477000000.0,1819000000.0,,,,,,,342000000.0,,23000000.0,,6568000000.0,1182000000.0,,,3357000000.0,2109000000.0,,1477000000.0,18000000.0,,1459000000.0,,1355000000.0,7000000.0,,2000000.0,3.39,3.39,400000000.0,400000000.0,,556519000000.0,556519000000.0,,,,,,0,,,,,,503838000000.0,-52681000000.0,,,,,0,71391000000.0,,,,,,,52681000000.0,39000000.0,52642000000.0,,,556519000000.0,1035000000.0,1035000000.0,,-220000000.0,-220000000.0,,-11271000000.0,-11271000000.0,,,-10456000000.0,-10456000000.0,,2073000000.0,18000000.0,2055000000.0,596000000.0,,
PNC,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000713676-24-000046,5145000000.0,3489000000.0,,,,3489000000.0,,,,3489000000.0,,37000000.0,,3452000000.0,1656000000.0,,,1344000000.0,1656000000.0,,,,,,,312000000.0,,-44000000.0,,6500000000.0,3236000000.0,3264000000.0,3264000000.0,3334000000.0,1881000000.0,0.0,1344000000.0,14000000.0,,1330000000.0,,1240000000.0,7000000.0,,2000000.0,3.1,3.1,400000000.0,400000000.0,,566162000000.0,566162000000.0,,,,,,0,,,,,,514788000000.0,-51374000000.0,,,,,0,72707000000.0,,,,,,,51374000000.0,34000000.0,51340000000.0,,,566162000000.0,1758000000.0,1758000000.0,,-6365000000.0,-6365000000.0,,3619000000.0,3619000000.0,,,-988000000.0,-988000000.0,,1014000000.0,14000000.0,1000000000.0,-330000000.0,,
PNC,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000713676-24-000028,21490000000.0,14754000000.0,,,,14754000000.0,,,,14754000000.0,,217000000.0,,14537000000.0,6736000000.0,,,5647000000.0,6736000000.0,,,,,,,1089000000.0,1341000000.0,-252000000.0,,24308000000.0,10392000000.0,13916000000.0,13916000000.0,14012000000.0,7574000000.0,0.0,5647000000.0,69000000.0,,5578000000.0,,5126000000.0,27000000.0,,8000000.0,12.8,12.79,401000000.0,401000000.0,,561580000000.0,561580000000.0,,,,,,0,,8517000000.0,,,,510439000000.0,510439000000.0,,,,,0,72737000000.0,,,,,,,51141000000.0,36000000.0,51105000000.0,,,561580000000.0,10111000000.0,10111000000.0,,-6379000000.0,-6379000000.0,,-3854000000.0,-3854000000.0,,,-122000000.0,-122000000.0,,8107000000.0,69000000.0,8038000000.0,2460000000.0,,
PNC,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000713676-23-000079,5233000000.0,3374000000.0,,,,3374000000.0,,,,3374000000.0,,49000000.0,,3325000000.0,1859000000.0,,,1570000000.0,1859000000.0,,,,,,,289000000.0,,-44000000.0,,6203000000.0,2785000000.0,3418000000.0,3418000000.0,3245000000.0,1815000000.0,0.0,1570000000.0,16000000.0,,1554000000.0,,1440000000.0,8000000.0,,2000000.0,3.6,3.6,400000000.0,400000000.0,,557334000000.0,557334000000.0,,,,,,0,,,,,,507853000000.0,507853000000.0,,,,,0,66167000000.0,,,,,,,49481000000.0,27000000.0,49454000000.0,,,557334000000.0,115000000.0,115000000.0,,1688000000.0,1688000000.0,,-2694000000.0,-2694000000.0,,,-891000000.0,-891000000.0,,834000000.0,16000000.0,818000000.0,-736000000.0,,
PNC,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000713676-23-000058,5293000000.0,3518000000.0,,,,3518000000.0,,,,3518000000.0,,60000000.0,,3458000000.0,1775000000.0,,,1500000000.0,1775000000.0,,,,,,,275000000.0,,-45000000.0,,5944000000.0,2434000000.0,3321000000.0,3510000000.0,3372000000.0,1783000000.0,189000000.0,1500000000.0,17000000.0,,1483000000.0,,1347000000.0,7000000.0,,2000000.0,3.36,3.36,401000000.0,401000000.0,,558207000000.0,558207000000.0,,,,,,0,,,,,,508861000000.0,508861000000.0,,,,,0,65384000000.0,,,,,,,49346000000.0,26000000.0,49320000000.0,,,558207000000.0,3256000000.0,3256000000.0,,2310000000.0,2310000000.0,,-5315000000.0,-5315000000.0,,,251000000.0,251000000.0,,1083000000.0,17000000.0,1066000000.0,-417000000.0,,
PNC,2023-05-02,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000713676-23-000037,5603000000.0,3556000000.0,,,,3556000000.0,,,,3556000000.0,,65000000.0,,3491000000.0,2047000000.0,,,1694000000.0,2047000000.0,,,,,,,353000000.0,,-30000000.0,,5659000000.0,2074000000.0,3356000000.0,3585000000.0,3321000000.0,2018000000.0,229000000.0,1694000000.0,17000000.0,,1677000000.0,,1599000000.0,8000000.0,,2000000.0,3.98,3.98,401000000.0,402000000.0,,561777000000.0,561777000000.0,,,,,,0,,,,,,512703000000.0,512703000000.0,,,,,0,60833000000.0,,,,,,,49074000000.0,30000000.0,49044000000.0,,,561777000000.0,1876000000.0,1876000000.0,,-5712000000.0,-5712000000.0,,2733000000.0,2733000000.0,,,-1103000000.0,-1103000000.0,,2758000000.0,17000000.0,2741000000.0,1064000000.0,,
PNC,2023-02-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000713676-23-000020,21120000000.0,13647000000.0,,,,13647000000.0,,,,13647000000.0,,651000000.0,,12996000000.0,7473000000.0,,,6113000000.0,7473000000.0,,,,,,,1360000000.0,1009000000.0,351000000.0,,15436000000.0,2422000000.0,13014000000.0,13014000000.0,13170000000.0,8106000000.0,0.0,6113000000.0,72000000.0,,6041000000.0,,5708000000.0,27000000.0,,5000000.0,13.86,13.85,412000000.0,412000000.0,,557263000000.0,557263000000.0,,,,,,0,,8754000000.0,,,,511451000000.0,511451000000.0,,,,,0,58726000000.0,,,,,,,45812000000.0,38000000.0,45774000000.0,,,557263000000.0,9083000000.0,9083000000.0,,-13428000000.0,-13428000000.0,,3384000000.0,3384000000.0,,,-961000000.0,-961000000.0,,-4468000000.0,72000000.0,-4540000000.0,-10581000000.0,,
