ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
QCRH,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-007110,116673000.0,90568000.0,,,,90568000.0,,,,90568000.0,,,,,26105000.0,,,25797000.0,26105000.0,,,,,,,308000.0,,,,116673000.0,,55752000.0,59986000.0,46539000.0,16892000.0,4234000.0,25797000.0,0,,25797000.0,,25797000.0,0,,0,1.53,1.52,16900785.0,17013992.0,,9152779000.0,9152779000.0,,,,,,0,,166064000.0,,,,8130032000.0,8130032000.0,,,,,0.0,,,,,,,,1022747000.0,0,1022747000.0,,,9152779000.0,-3554000.0,-3554000.0,,-123499000.0,-123499000.0,,134315000.0,134315000.0,,,7262000.0,7262000.0,,26201000.0,0,26201000.0,404000.0,,404000.0
QCRH,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-001954,481857000.0,359280000.0,,,,359280000.0,,,,359280000.0,,,,,122577000.0,,,113850000.0,122577000.0,,,,,,,8727000.0,15919000.0,-7192000.0,,481857000.0,,214690000.0,231788000.0,207642000.0,115529000.0,17098000.0,113850000.0,0,,113850000.0,,113850000.0,0,,0,6.77,6.71,16829004.0,16959853.0,,9026030000.0,9026030000.0,,,,,,0,,159153000.0,,,,8028643000.0,8028643000.0,,,,,0.0,,,,,,,,997387000.0,0,997387000.0,,,9026030000.0,444538000.0,444538000.0,,-845231000.0,-845231000.0,,395302000.0,395302000.0,,,-5391000.0,-5391000.0,,110168000.0,0,110168000.0,-3682000.0,,-3682000.0
QCRH,2024-11-08,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-015002,152577000.0,122747000.0,,,,122747000.0,,,,122747000.0,,,,,29830000.0,,,27785000.0,29830000.0,,,,,,,2045000.0,,,,125420000.0,,56238000.0,59722000.0,53565000.0,27157000.0,3484000.0,27785000.0,0,,27785000.0,,27785000.0,0,,0,1.65,1.64,16846200.0,16982400.0,,9088565000.0,9088565000.0,,,,,,0,,147474000.0,,,,8111945000.0,8111945000.0,,,,,0.0,,,,,,,,976620000.0,0,976620000.0,,,9088565000.0,238121000.0,238121000.0,,-337167000.0,-337167000.0,,110713000.0,110713000.0,,,11667000.0,11667000.0,,39843000.0,0,39843000.0,39843000.0,,12058000.0
QCRH,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-011521,150635000.0,118967000.0,,,,118967000.0,,,,118967000.0,,,,,31668000.0,,,29114000.0,31668000.0,,,,,,,2554000.0,,,,119746000.0,,50667000.0,56163000.0,49888000.0,30889000.0,5496000.0,29114000.0,0,,29114000.0,,29114000.0,0,,0,1.73,1.72,16814814.0,16921854.0,,8871991000.0,8871991000.0,,,,,,0,,141069000.0,,,,7935672000.0,-936319000.0,,,,,0.0,,,,,,,,936319000.0,0,936319000.0,,,8871991000.0,26343000.0,26343000.0,,-250669000.0,-250669000.0,,235511000.0,235511000.0,,,11185000.0,11185000.0,,29114000.0,0,28746000.0,0.0,,-368000.0
QCRH,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-007504,141907000.0,114009000.0,,,,114009000.0,,,,114009000.0,,,,,27898000.0,,,26726000.0,27898000.0,,,,,,,1172000.0,,,,115049000.0,60350000.0,51730000.0,54699000.0,50690000.0,26858000.0,2969000.0,26726000.0,0,,26726000.0,,26726000.0,0,,0,1.59,1.58,16783348.0,16910675.0,,8599549000.0,8599549000.0,,,,,,0,,133179000.0,,,,7692207000.0,-907342000.0,,,,,0.0,,,,,,,,907342000.0,0,907342000.0,,,8599549000.0,2744000.0,2744000.0,,-82122000.0,-82122000.0,,63243000.0,63243000.0,,,-16135000.0,-16135000.0,,26726000.0,0,21353000.0,0.0,,-5373000.0
QCRH,2024-02-29,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-002208,546094000.0,419474000.0,,,,419474000.0,,,,419474000.0,,,,,126620000.0,,,113558000.0,126620000.0,,,,,,,13062000.0,14008000.0,-946000.0,,413410000.0,192404000.0,204467000.0,221006000.0,210531000.0,132684000.0,16539000.0,113558000.0,0,,113558000.0,,113558000.0,0,,0,6.79,6.73,16732406.0,16866391.0,,8538894000.0,8538894000.0,,,,,,0,,123277000.0,,,,7652298000.0,7652298000.0,,,,,0.0,,,,,,,,886596000.0,0,886596000.0,,,8538894000.0,376323000.0,376323000.0,,-749269000.0,-749269000.0,,410346000.0,410346000.0,,,37400000.0,37400000.0,,122497000.0,0,122497000.0,8939000.0,,8939000.0
QCRH,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-018207,135161000.0,108200000.0,,,,108200000.0,,,,108200000.0,,,,,26961000.0,,,25121000.0,26961000.0,,,,,,,1840000.0,,,,108568000.0,53313000.0,51449000.0,55255000.0,51081000.0,26593000.0,3806000.0,25121000.0,0,,25121000.0,,25121000.0,0,,0,1.5,1.49,16717303.0,16847951.0,,8540057000.0,8540057000.0,,,,,,0,,118943000.0,,,,7711674000.0,7711674000.0,,,,,0.0,,,,,,,,828383000.0,0,828383000.0,,,8540057000.0,24892000.0,24892000.0,,-185924000.0,-185924000.0,,181213000.0,181213000.0,,,20181000.0,20181000.0,,5706000.0,0,5706000.0,5706000.0,,-19415000.0
QCRH,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-013817,130897000.0,98505000.0,,,,98505000.0,,,,98505000.0,,,,,32392000.0,,,28425000.0,32392000.0,,,,,,,3967000.0,,,,98377000.0,45172000.0,49599000.0,53205000.0,49727000.0,32520000.0,3606000.0,28425000.0,0,,28425000.0,,28425000.0,0,,0,1.7,1.69,16701950.0,16799527.0,,8226673000.0,8226673000.0,,,,,,0,,118168000.0,,,,7403984000.0,-822689000.0,,,,,0.0,,,,,,,,822689000.0,0,822689000.0,,,8226673000.0,38693000.0,38693000.0,,-123137000.0,-123137000.0,,104233000.0,104233000.0,,,19789000.0,19789000.0,,28425000.0,0,22089000.0,0.0,,-6336000.0
QCRH,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-008762,120059000.0,90120000.0,,,,90120000.0,,,,90120000.0,,,,,29939000.0,,,27157000.0,29939000.0,,,,,,,2782000.0,,,,94217000.0,37407000.0,52882000.0,56810000.0,48785000.0,25842000.0,3928000.0,27157000.0,0,,27157000.0,,27157000.0,0,,0,1.62,1.6,16776289.0,16942132.0,,8036904000.0,8036904000.0,,,,,,0,,117641000.0,,,,7235410000.0,-801494000.0,,,,,0.0,,,,,,,,801494000.0,0,801494000.0,,,8036904000.0,21764000.0,21764000.0,,-117440000.0,-117440000.0,,100248000.0,100248000.0,,,4572000.0,4572000.0,,27157000.0,0,36482000.0,0.0,,9325000.0
QCRH,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-002607,373300000.0,259751000.0,,,,259751000.0,,,,259751000.0,,,,,113549000.0,,,99066000.0,113549000.0,,,,,,,14483000.0,19165000.0,-4682000.0,,292571000.0,61451000.0,222836000.0,231120000.0,190016000.0,80729000.0,8284000.0,99066000.0,0,,99066000.0,,99066000.0,0,,0,5.94,5.87,16681844.0,16890007.0,,7948837000.0,7948837000.0,,,,,,0,,117948000.0,,,,7176113000.0,7176113000.0,,,,,0.0,,,,,,,,772724000.0,0,772724000.0,,,7948837000.0,118699000.0,118699000.0,,-634692000.0,-634692000.0,,538226000.0,538226000.0,,,22233000.0,22233000.0,,32616000.0,0,32616000.0,-66450000.0,,-66450000.0
