ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
RF,2025-05-06,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001281761-25-000045,1725000000.0,1104000000.0,,,,1104000000.0,,,,1104000000.0,,,,,621000000.0,,,490000000.0,621000000.0,,,,,,,131000000.0,,,,1725000000.0,,1070000000.0,1194000000.0,1039000000.0,590000000.0,124000000.0,490000000.0,0,,490000000.0,,465000000.0,25000000.0,,25000000.0,0.51,0.51,906000000.0,910000000.0,,159846000000.0,159846000000.0,,,,,,0,,1726000000.0,161000000.0,,,141279000000.0,141279000000.0,,,,,0,6019000000.0,,,,,,,18567000000.0,37000000.0,18530000000.0,,,159846000000.0,1066000000.0,1066000000.0,,166000000.0,166000000.0,,2372000000.0,2372000000.0,,,3604000000.0,3604000000.0,,1126000000.0,0.0,1126000000.0,636000000.0,,
RF,2024-11-05,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001281761-24-000097,1820000000.0,1212000000.0,,,,1212000000.0,,,,1212000000.0,,,,,608000000.0,,,490000000.0,608000000.0,,,,,,,118000000.0,,,,1820000000.0,,1105000000.0,1218000000.0,1069000000.0,572000000.0,113000000.0,490000000.0,0,,490000000.0,,446000000.0,44000000.0,,44000000.0,0.49,0.49,914000000.0,918000000.0,,157426000000.0,157426000000.0,,,,,,0,,1648000000.0,178000000.0,,,138699000000.0,138699000000.0,,,,,0,6016000000.0,,,,,,,18727000000.0,51000000.0,18676000000.0,,,157426000000.0,1261000000.0,1261000000.0,,-498000000.0,-498000000.0,,1279000000.0,1279000000.0,,,2042000000.0,2042000000.0,,1861000000.0,0.0,1861000000.0,1371000000.0,,
RF,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001281761-24-000062,1762000000.0,1137000000.0,,,,1137000000.0,,,,1137000000.0,,,,,625000000.0,,,501000000.0,625000000.0,,,,,,,124000000.0,,,,1762000000.0,576000000.0,1084000000.0,1186000000.0,1004000000.0,545000000.0,102000000.0,501000000.0,0,,501000000.0,,477000000.0,0.0,,0.0,0.52,0.52,917000000.0,918000000.0,,154052000000.0,154052000000.0,,,,,,0,,1630000000.0,187000000.0,,,136850000000.0,-17169000000.0,,,,,0,5083000000.0,,,,,,,17202000000.0,33000000.0,17169000000.0,,,154052000000.0,161000000.0,161000000.0,,-1471000000.0,-1471000000.0,,-1461000000.0,-1461000000.0,,,-2771000000.0,-2771000000.0,,460000000.0,0.0,460000000.0,-41000000.0,,
RF,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001281761-24-000032,1724000000.0,1260000000.0,,,,1260000000.0,,,,1260000000.0,,,,,464000000.0,,,368000000.0,464000000.0,,,,,,,96000000.0,,,,1724000000.0,540000000.0,1032000000.0,1184000000.0,1131000000.0,563000000.0,152000000.0,368000000.0,0,,368000000.0,,343000000.0,0.0,,0.0,0.37,0.37,921000000.0,923000000.0,,154909000000.0,154909000000.0,,,,,,0,,1635000000.0,196000000.0,,,137831000000.0,-17044000000.0,,,,,0,3327000000.0,,,,,,,17078000000.0,34000000.0,17044000000.0,,,154909000000.0,396000000.0,396000000.0,,1209000000.0,1209000000.0,,2844000000.0,2844000000.0,,,4449000000.0,4449000000.0,,-44000000.0,0.0,-44000000.0,-412000000.0,,
RF,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001281761-24-000010,6897000000.0,4290000000.0,,,,4290000000.0,,,,6685000000.0,,,,,212000000.0,,,2074000000.0,2607000000.0,,,,,,,533000000.0,501000000.0,32000000.0,,6897000000.0,1577000000.0,4767000000.0,5320000000.0,4416000000.0,2256000000.0,553000000.0,2074000000.0,0,,2074000000.0,,1976000000.0,98000000.0,,98000000.0,2.11,2.11,936000000.0,938000000.0,,152194000000.0,152194000000.0,,,,,,0,,1642000000.0,205000000.0,,,134701000000.0,134701000000.0,,,,,0,2330000000.0,,,,,,,17493000000.0,64000000.0,17429000000.0,,,152194000000.0,2308000000.0,2308000000.0,,-1607000000.0,-1607000000.0,,-5127000000.0,-5127000000.0,,,-4426000000.0,-4426000000.0,,2605000000.0,0.0,2605000000.0,531000000.0,,
RF,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001281761-23-000057,1766000000.0,1147000000.0,,,,1147000000.0,,,,1147000000.0,,,,,619000000.0,,,490000000.0,619000000.0,,,,,,,129000000.0,,,,1766000000.0,475000000.0,1146000000.0,1291000000.0,1093000000.0,566000000.0,145000000.0,490000000.0,0,,490000000.0,,465000000.0,25000000.0,,25000000.0,0.49,0.49,939000000.0,940000000.0,,153624000000.0,153624000000.0,,,,,,0,,1616000000.0,216000000.0,,,137499000000.0,137499000000.0,,,,,0,4290000000.0,,,,,,,16125000000.0,25000000.0,16100000000.0,,,153624000000.0,860000000.0,860000000.0,,243000000.0,243000000.0,,-1973000000.0,-1973000000.0,,,-870000000.0,-870000000.0,,-306000000.0,0.0,-306000000.0,-796000000.0,,
RF,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001281761-23-000045,1739000000.0,1011000000.0,,,,1011000000.0,,,,1011000000.0,,,,,728000000.0,,,581000000.0,728000000.0,,,,,,,147000000.0,,,,1739000000.0,358000000.0,1263000000.0,1381000000.0,1111000000.0,576000000.0,118000000.0,581000000.0,0,,581000000.0,,556000000.0,0.0,,0.0,0.59,0.59,939000000.0,939000000.0,,155656000000.0,155656000000.0,,,,,,0,,1622000000.0,226000000.0,,,138995000000.0,-16639000000.0,,,,,0,4293000000.0,,,,,,,16661000000.0,22000000.0,16639000000.0,,,155656000000.0,397000000.0,397000000.0,,-598000000.0,-598000000.0,,1254000000.0,1254000000.0,,,1053000000.0,1053000000.0,,-15000000.0,0.0,-15000000.0,-596000000.0,,
RF,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001281761-23-000032,1641000000.0,0.0,,,,0.0,,,,852000000.0,,,,,789000000.0,,,612000000.0,612000000.0,,,,,,,177000000.0,,,,1641000000.0,224000000.0,1282000000.0,1417000000.0,1027000000.0,534000000.0,135000000.0,612000000.0,0,,612000000.0,,588000000.0,0.0,,0.0,0.63,0.62,935000000.0,942000000.0,,154135000000.0,154135000000.0,,,,,,0,,1705000000.0,238000000.0,,,137233000000.0,-16883000000.0,,,,,0,2307000000.0,,,,,,,16902000000.0,19000000.0,16883000000.0,,,154135000000.0,196000000.0,196000000.0,,-1096000000.0,-1096000000.0,,-1494000000.0,-1494000000.0,,,-2394000000.0,-2394000000.0,,1111000000.0,0.0,1111000000.0,499000000.0,,
RF,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001281761-23-000012,5102000000.0,0.0,,,,0.0,,,,,,,,,,,,2245000000.0,5102000000.0,,,,,,,631000000.0,609000000.0,22000000.0,,5102000000.0,316000000.0,4515000000.0,4786000000.0,4068000000.0,2429000000.0,271000000.0,2245000000.0,0,,2245000000.0,,2146000000.0,99000000.0,,99000000.0,2.29,2.28,935000000.0,942000000.0,,155220000000.0,155220000000.0,,,,,,0,,1718000000.0,249000000.0,,,139269000000.0,139269000000.0,,,,,0,2284000000.0,,,,,,,15951000000.0,4000000.0,15947000000.0,,,155220000000.0,3102000000.0,3102000000.0,,-12941000000.0,-12941000000.0,,-8345000000.0,-8345000000.0,,,-18184000000.0,-18184000000.0,,-1387000000.0,0.0,-1387000000.0,-3632000000.0,,
RF,2022-11-03,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001281761-22-000060,1343000000.0,0.0,,,,0.0,,,,,,,,,,,,429000000.0,1343000000.0,,,,,,,133000000.0,,,,1343000000.0,81000000.0,1127000000.0,1262000000.0,1170000000.0,605000000.0,135000000.0,429000000.0,0,,429000000.0,,404000000.0,25000000.0,,25000000.0,0.43,0.43,934000000.0,940000000.0,,157798000000.0,157798000000.0,,,,,,0,,1744000000.0,266000000.0,,,142625000000.0,142625000000.0,,,,,0,2274000000.0,,,,,,,15173000000.0,0.0,15173000000.0,,,157798000000.0,321000000.0,321000000.0,,-2085000000.0,-2085000000.0,,-3070000000.0,-3070000000.0,,,-4834000000.0,-4834000000.0,,-1136000000.0,0.0,-1136000000.0,-1565000000.0,,
