ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SAIL,2022-08-09,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001627857-22-000082,134283000.0,162679000.0,39693000.0,,,162679000.0,94590000.0,,-1603000.0,121383000.0,,,33363000.0,88020000.0,-26793000.0,,,-29371000.0,-28396000.0,,,,,,,975000.0,,,,,615000.0,,,,,,-29371000.0,0,,-29371000.0,,-29371000.0,0,,0,-0.31,-0.31,94469000.0,94469000.0,,1126677000.0,638103000.0,,,,,,488574000.0,,17280000.0,65110000.0,,406184000.0,744342000.0,685516000.0,11192000.0,,,674324000.0,58826000.0,,,,,,,,382335000.0,0,382335000.0,,,1126677000.0,-15634000.0,-15634000.0,,-2747000.0,-2747000.0,,6166000.0,6166000.0,,,-12215000.0,-12215000.0,,-29371000.0,0,-29371000.0,0,,
SAIL,2022-05-05,2022,Q1,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001627857-22-000073,115420000.0,147479000.0,35181000.0,,,147479000.0,80239000.0,,-1535000.0,110763000.0,,,31046000.0,79717000.0,-30524000.0,,,-33084000.0,-32059000.0,,,,,,,1025000.0,,,,,899000.0,,,,,,-33084000.0,0,,-33084000.0,,-33084000.0,0,,0,-0.35,-0.35,93939000.0,93939000.0,,1108577000.0,615493000.0,,,,,,493084000.0,,16319000.0,69292000.0,,407473000.0,721137000.0,664430000.0,8263000.0,,,656167000.0,0.0,,,,,,,,387440000.0,0,387440000.0,,,1108577000.0,-20551000.0,-20551000.0,,-745000.0,-745000.0,,484000.0,484000.0,,,-20812000.0,-20812000.0,,-33084000.0,0,-33084000.0,0,,
SAIL,2022-02-28,2021,FY,2021-01-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001627857-22-000030,438954000.0,500402000.0,115232000.0,,,500402000.0,323722000.0,,-2372000.0,382798000.0,,,98255000.0,284543000.0,-59076000.0,,,-61634000.0,-61448000.0,,,,,,,186000.0,3533000.0,-3347000.0,,,2680000.0,,,,,,-61634000.0,0,,-61634000.0,,-61634000.0,0,,0,-0.67,-0.67,92664000.0,92664000.0,,1159840000.0,665238000.0,,,,13746000.0,651492000.0,494602000.0,,17151000.0,73469000.0,,403385000.0,755601000.0,701591000.0,6097000.0,,10505000.0,684989000.0,54010000.0,,,,,,,,404239000.0,0,404239000.0,,,1159840000.0,-957000.0,-957000.0,,-75021000.0,-75021000.0,,1498000.0,1498000.0,,,-74480000.0,-74480000.0,,-61634000.0,0,-61634000.0,0,,
SAIL,2021-11-09,2021,Q3,2021-07-01,2021-09-30,https://api.polygon.io/v1/reference/sec/filings/0001627857-21-000102,110110000.0,129337000.0,31113000.0,,,129337000.0,78997000.0,,-529000.0,97695000.0,,,26879000.0,70816000.0,-18698000.0,,,-19896000.0,-19227000.0,,,,,,,669000.0,,,,,630000.0,,,,,,-19896000.0,0,,-19896000.0,,-19896000.0,0,,0,-0.21,-0.21,93032000.0,93032000.0,,1082714000.0,611797000.0,,,,,,470917000.0,,17655000.0,77656000.0,,375606000.0,688556000.0,635464000.0,1376000.0,,,634088000.0,53092000.0,,,,,,,,394158000.0,0,394158000.0,,,1082714000.0,13691000.0,13691000.0,,-915000.0,-915000.0,,1740000.0,1740000.0,,,14516000.0,14516000.0,,-19896000.0,0,-19896000.0,0,,
SAIL,2021-08-09,2021,Q2,2021-04-01,2021-06-30,https://api.polygon.io/v1/reference/sec/filings/0001627857-21-000048,102486000.0,120131000.0,27590000.0,,,120131000.0,74896000.0,,-639000.0,91902000.0,,,23033000.0,68869000.0,-17006000.0,,,-16742000.0,-17645000.0,,,,,,,-903000.0,,,,,632000.0,,,,,,-16742000.0,0,,-16742000.0,,-16742000.0,0,,0,-0.18,-0.18,92464000.0,92464000.0,,1055204000.0,580828000.0,,,,,,474376000.0,,18407000.0,82588000.0,,373381000.0,657294000.0,606941000.0,6687000.0,,,600254000.0,0.0,,,,,,,,397910000.0,0,397910000.0,,,1055204000.0,-12440000.0,-12440000.0,,-927000.0,-927000.0,,4824000.0,4824000.0,,,-8543000.0,-8543000.0,,-16742000.0,0,-16742000.0,0,,
SAIL,2021-05-10,2021,Q1,2021-01-01,2021-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-21-009712,90762000.0,106935000.0,24350000.0,,,106935000.0,66412000.0,,-590000.0,81995000.0,,,19566000.0,62429000.0,-15583000.0,,,-15291000.0,-16173000.0,,,,,,,-882000.0,,,,,789000.0,,,,,,-15291000.0,0,,-15291000.0,,-15291000.0,0,,0,-0.17,-0.17,91684000.0,91684000.0,,1032870000.0,557756000.0,,,,,,475114000.0,,18809000.0,86948000.0,,369357000.0,635914000.0,586500000.0,4384000.0,,,582116000.0,0.0,,,,,,,,396956000.0,0,396956000.0,,,1032870000.0,-12166000.0,-12166000.0,,-72052000.0,-72052000.0,,-9845000.0,-9845000.0,,,-94063000.0,-94063000.0,,-15291000.0,0,-15291000.0,0,,
SAIL,2021-02-25,2020,FY,2020-01-01,2020-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-21-003310,365254000.0,380937000.0,85747000.0,,,380937000.0,279507000.0,,-16560000.0,278630000.0,,,71191000.0,207439000.0,877000.0,,,-10763000.0,-15683000.0,,,,,,,-4920000.0,2398000.0,-7318000.0,,,18612000.0,,,,,,-10763000.0,0,,-10763000.0,,-10763000.0,0,0.0,0,-0.12,-0.12,90512000.0,90512000.0,,1075600000.0,670518000.0,,,,12411000.0,658107000.0,405082000.0,,19443000.0,63962000.0,,321545000.0,610990000.0,557858000.0,4753000.0,,6163000.0,546942000.0,53132000.0,,,,,,,,464610000.0,0,464610000.0,,,1075600000.0,57949000.0,57949000.0,,-3973000.0,-3973000.0,,12548000.0,12548000.0,,,66524000.0,66524000.0,,-10763000.0,0,-10763000.0,0,,
SAIL,2020-11-05,2020,Q3,2020-07-01,2020-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-20-015776,94013000.0,97127000.0,20799000.0,,,97127000.0,73214000.0,,-4076000.0,72252000.0,,,19314000.0,52938000.0,962000.0,,,-676000.0,-3114000.0,,,,,,,-2438000.0,,,,,4639000.0,,,,,,-676000.0,0,,-676000.0,,-676000.0,0,,0,-0.01,-0.01,90764000.0,90764000.0,,1036587000.0,630525000.0,,,,,,406062000.0,,19464000.0,72067000.0,,314531000.0,579747000.0,509778000.0,4257000.0,,,505521000.0,69969000.0,,,,,,,,456840000.0,0,456840000.0,,,1036587000.0,12353000.0,12353000.0,,-1141000.0,-1141000.0,,1907000.0,1907000.0,,,13119000.0,13119000.0,,-676000.0,0,-676000.0,0,,
SAIL,2020-08-06,2020,Q2,2020-04-01,2020-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-037852,92458000.0,88919000.0,18432000.0,,,88919000.0,74026000.0,,-4529000.0,65958000.0,,,17653000.0,48305000.0,8068000.0,,,3042000.0,3539000.0,,,,,,,497000.0,,,,,4586000.0,,,,,,3042000.0,0,,3042000.0,,3042000.0,0,,0,0.03,0.03,90328000.0,91599000.0,,1002573000.0,600081000.0,,,,,,402492000.0,,19730000.0,75226000.0,,307536000.0,554802000.0,167061000.0,3176000.0,,,163885000.0,0.0,,,,,,,,447771000.0,0,447771000.0,,,1002573000.0,5594000.0,5594000.0,,-1046000.0,-1046000.0,,4875000.0,4875000.0,,,9423000.0,9423000.0,,3042000.0,0,3042000.0,0,,
SAIL,2020-05-07,2020,Q1,2020-01-01,2020-03-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-022921,75442000.0,84328000.0,18562000.0,,,84328000.0,56880000.0,,-3584000.0,62182000.0,,,15808000.0,46374000.0,-5302000.0,,,-8417000.0,-8886000.0,,,,,,,-469000.0,,,,,4532000.0,,,,,,-8417000.0,0,,-8417000.0,,-8417000.0,0,,0,-0.09,-0.09,89862000.0,89862000.0,,968534000.0,568416000.0,,,,,,400118000.0,,19998000.0,78404000.0,,301716000.0,535830000.0,150039000.0,2508000.0,,,147531000.0,0.0,,,,,,,,432704000.0,0,432704000.0,,,968534000.0,16459000.0,16459000.0,,-229000.0,-229000.0,,1162000.0,1162000.0,,,17392000.0,17392000.0,,-8417000.0,0,-8417000.0,0,,
