ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SHEN,2025-04-30,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-020817,87898000.0,98149000.0,,,,93990000.0,,,733000.0,93990000.0,30992000.0,,,62998000.0,-6092000.0,,,-9132000.0,-10251000.0,0.0,,,0.0,,,-1119000.0,,,,,,,,,,,-9132000.0,0.0,,-9132000.0,,-10604000.0,1472000.0,,1472000.0,-0.19,-0.19,54959000.0,54959000.0,,1825453000.0,134464000.0,,,,,,1690989000.0,,1483796000.0,,,207193000.0,914980000.0,111994000.0,59266000.0,,,52728000.0,802986000.0,515779000.0,287207000.0,,83936000.0,,,,910473000.0,0,910473000.0,167872000.0,83936000.0,1825453000.0,20524000.0,20524000.0,0.0,-76260000.0,-76260000.0,0.0,97011000.0,97011000.0,,,41275000.0,41275000.0,0.0,-9762000.0,1472000.0,-11234000.0,-222000.0,,
SHEN,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-006567,328058000.0,366085000.0,,,,356649000.0,,,6461000.0,356649000.0,115193000.0,,,241456000.0,-28591000.0,,,-28357000.0,-38027000.0,222174000.0,,,220217000.0,,,-9670000.0,89000.0,-9759000.0,,,,,,,,,193817000.0,0.0,,193817000.0,,190388000.0,3429000.0,,3429000.0,3.54,3.54,53722000.0,53722000.0,,1740273000.0,94520000.0,,,,,,1645753000.0,,1438538000.0,157723000.0,,49492000.0,821690000.0,114571000.0,57820000.0,,,56751000.0,707119000.0,417957000.0,289162000.0,,82464000.0,,,,918583000.0,0,918583000.0,164928000.0,82464000.0,1740273000.0,62567000.0,69379000.0,-6812000.0,-339406000.0,-645233000.0,305827000.0,183856000.0,183856000.0,,,-92983000.0,-391998000.0,299015000.0,194002000.0,3429000.0,190573000.0,1850000.0,,
SHEN,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-045986,87599000.0,94445000.0,,,,91775000.0,,,998000.0,91775000.0,28006000.0,,,63769000.0,-4176000.0,,,-5304000.0,-6846000.0,41000.0,,,0.0,,,-1542000.0,,,,,,,,,,,-5263000.0,1638000.0,,-6901000.0,1638000.0,-6901000.0,0.0,,0.0,-0.13,-0.13,54781000.0,54781000.0,,1694809000.0,97514000.0,,,,,,1597295000.0,,1385355000.0,,,211940000.0,769451000.0,123133000.0,65952000.0,,,57181000.0,646318000.0,345157000.0,301161000.0,,81018000.0,,,,925358000.0,0,925358000.0,162036000.0,81018000.0,1694809000.0,24272000.0,25201000.0,-929000.0,-71966000.0,-71966000.0,0.0,47014000.0,47014000.0,,,-680000.0,249000.0,-929000.0,-7665000.0,1638000.0,-9303000.0,-7665000.0,,
SHEN,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-035391,85799000.0,103772000.0,,,,101684000.0,,,1908000.0,101684000.0,30239000.0,,,71445000.0,-15885000.0,,,-12773000.0,-17973000.0,-99000.0,,,0.0,,,-5200000.0,,,,,,,,,,,-12872000.0,0.0,,-12872000.0,,-12872000.0,0.0,,0.0,-0.24,-0.24,54730000.0,54730000.0,,1656333000.0,99522000.0,,,,,,1556811000.0,,1337252000.0,,,219559000.0,-933082000.0,112089000.0,57725000.0,,,54364000.0,0.0,297382000.0,313780000.0,,79380000.0,,,,933082000.0,0,933082000.0,79380000.0,79380000.0,1656333000.0,2541000.0,10260000.0,-7719000.0,-421614000.0,-421614000.0,0.0,73117000.0,73117000.0,,,-345956000.0,-338237000.0,-7719000.0,-12729000.0,0.0,-12729000.0,143000.0,,
SHEN,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-020142,69248000.0,74364000.0,,,,72024000.0,,,1736000.0,72024000.0,28596000.0,,,43428000.0,-2776000.0,,,-4090000.0,-5116000.0,218786000.0,,,216805000.0,,,-1026000.0,,,,,4076000.0,,,,,,214696000.0,0.0,,214696000.0,,214696000.0,0.0,,0.0,4.25,4.21,50520000.0,51011000.0,,1445922000.0,426167000.0,,,,,,1019755000.0,,896208000.0,,,123547000.0,-871643000.0,91033000.0,50281000.0,,,40752000.0,0.0,298688000.0,184558000.0,,,,,,871643000.0,0,871643000.0,0.0,0.0,1445922000.0,15158000.0,12915000.0,2243000.0,238484000.0,-67343000.0,305827000.0,-3162000.0,-3162000.0,,,250480000.0,-57590000.0,308070000.0,216290000.0,0.0,216290000.0,216290000.0,,
SHEN,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-005781,287379000.0,276368000.0,,,,277755000.0,,,1387000.0,277755000.0,103631000.0,,,174124000.0,9624000.0,,,8038000.0,11011000.0,0.0,,,0.0,,,2973000.0,-170000.0,3143000.0,,,,,,,,,8038000.0,0.0,,8038000.0,,8038000.0,0.0,,0.0,0.16,0.16,50396000.0,50715000.0,,1214229000.0,176071000.0,,,,,,1038158000.0,,879499000.0,81123000.0,,77536000.0,561559000.0,98355000.0,53546000.0,,0.0,44809000.0,463204000.0,300000000.0,163204000.0,,,,,,652670000.0,0,652670000.0,,,1214229000.0,113774000.0,113774000.0,0.0,-236691000.0,-236691000.0,0.0,218111000.0,218111000.0,0.0,,95194000.0,95194000.0,0.0,9706000.0,0.0,9706000.0,9706000.0,,
SHEN,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-036561,71842000.0,69529000.0,,,,70355000.0,,,826000.0,70355000.0,24402000.0,,,45953000.0,1487000.0,,,1593000.0,2313000.0,,,,,,,720000.0,,,,,,,,,,,1593000.0,0.0,,1593000.0,,1593000.0,0.0,,0.0,0.03,0.03,50379000.0,50836000.0,,1058710000.0,74454000.0,,,,,,984256000.0,,822494000.0,,,161762000.0,404347000.0,84421000.0,43360000.0,,0.0,41061000.0,319926000.0,149906000.0,170020000.0,,,,,,654363000.0,0,654363000.0,,,1058710000.0,21889000.0,21889000.0,,-36838000.0,-36838000.0,,24611000.0,24611000.0,,,9662000.0,9662000.0,,2708000.0,0.0,2708000.0,2708000.0,,
SHEN,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-026582,71341000.0,68795000.0,,,,68972000.0,,,177000.0,68972000.0,25691000.0,,,43281000.0,2369000.0,,,1790000.0,2546000.0,,,,,,,756000.0,,,,,,,,,,,1790000.0,0.0,,1790000.0,,1790000.0,0.0,,0.0,0.04,0.04,50366000.0,50693000.0,,1027458000.0,78911000.0,,,,,,948547000.0,,786446000.0,81270000.0,,80831000.0,-649425000.0,81831000.0,41238000.0,,0.0,40593000.0,0.0,125000000.0,171202000.0,,,,,,649425000.0,0,649425000.0,,,1027458000.0,21476000.0,21476000.0,,-68080000.0,-68080000.0,,24512000.0,24512000.0,,,-22092000.0,-22092000.0,,3917000.0,0.0,3917000.0,2127000.0,,
SHEN,2023-04-28,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-013763,71686000.0,67841000.0,,,,68958000.0,,,1117000.0,68958000.0,26609000.0,,,42349000.0,2728000.0,,,2066000.0,3845000.0,,,,,,,1779000.0,,,,,,,,,,,2066000.0,0.0,,2066000.0,,2066000.0,0.0,,0.0,0.04,0.04,50291000.0,50512000.0,,1006640000.0,104523000.0,,,,,,902117000.0,,739587000.0,81392000.0,,81138000.0,-642780000.0,92236000.0,48822000.0,,3478000.0,39936000.0,0.0,100000000.0,171624000.0,,,,,,642780000.0,0,642780000.0,,,1006640000.0,48324000.0,48324000.0,,-67570000.0,-67570000.0,,23581000.0,23581000.0,,,4335000.0,4335000.0,,2066000.0,0.0,2066000.0,0.0,,
SHEN,2023-02-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-004441,267371000.0,276677000.0,,,,275329000.0,,,-1348000.0,275329000.0,92392000.0,,,182937000.0,-7958000.0,,,-8379000.0,-9306000.0,0.0,,,0.0,,,-927000.0,487000.0,-1414000.0,,,,,,,,,-8379000.0,0.0,,-8379000.0,,-8379000.0,0.0,,0.0,-0.17,-0.17,50155000.0,50155000.0,,977719000.0,128562000.0,,,,,,849157000.0,,687553000.0,81515000.0,,80089000.0,339712000.0,96421000.0,49173000.0,,3341000.0,43907000.0,243291000.0,75000000.0,168291000.0,,,,,,638007000.0,0,638007000.0,,,977719000.0,74895000.0,74895000.0,0.0,-184179000.0,-184179000.0,0.0,69001000.0,69001000.0,0.0,,-40283000.0,-40283000.0,0.0,-8379000.0,0.0,-8379000.0,-8379000.0,,
