ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SHLS,2025-05-06,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001831651-25-000060,80361000.0,0.0,52221000.0,,,76049000.0,28140000.0,,,23828000.0,,2135000.0,,21693000.0,4312000.0,,,-282000.0,80361000.0,,,,,,,2297000.0,,2288000.0,,,,,,,,,-282000.0,0.0,,-282000.0,,-282000.0,0,,0,0.0,0.0,166960000.0,166960000.0,,788421000.0,187746000.0,,,61173000.0,,126573000.0,600675000.0,,30040000.0,,,570635000.0,229493000.0,80283000.0,26714000.0,,3577000.0,49992000.0,149210000.0,141750000.0,7460000.0,,,,,,558928000.0,0.0,558928000.0,,,788421000.0,15558000.0,15558000.0,,-3209000.0,-3209000.0,,-251000.0,-251000.0,,,12098000.0,12098000.0,,-282000.0,0,-282000.0,0,,
SHLS,2025-02-25,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001831651-25-000019,399208000.0,361345000.0,257191000.0,,,361345000.0,142017000.0,,,90845000.0,,8591000.0,,82254000.0,51172000.0,,,24127000.0,37863000.0,,,,,,,13736000.0,-299000.0,14035000.0,,,,,,,,,24127000.0,0.0,,24127000.0,,24127000.0,0,,0,0.14,0.14,168570000.0,168725000.0,,793080000.0,188352000.0,,,55977000.0,,132375000.0,604728000.0,,28222000.0,,,576506000.0,236280000.0,80912000.0,20032000.0,,5005000.0,55875000.0,155368000.0,141750000.0,13618000.0,,,,,,556800000.0,0.0,556800000.0,,,793080000.0,80388000.0,80388000.0,,-8393000.0,-8393000.0,,-71191000.0,-71191000.0,,,804000.0,804000.0,,24127000.0,0,24127000.0,0,,
SHLS,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001831651-24-000124,102165000.0,0.0,76789000.0,,,97641000.0,25376000.0,,,20852000.0,,2109000.0,,18743000.0,4524000.0,,,-267000.0,102165000.0,,,,,,,1703000.0,,1665000.0,,,,,,,,,-267000.0,0.0,,-267000.0,,-267000.0,0,,0,0.0,0.0,167318000.0,167381000.0,,801301000.0,190769000.0,,,65854000.0,,124915000.0,610532000.0,,28055000.0,,,582477000.0,256105000.0,91913000.0,23743000.0,,4475000.0,63695000.0,164192000.0,141750000.0,22442000.0,,,,,,545196000.0,0.0,545196000.0,,,801301000.0,15699000.0,15699000.0,,-2377000.0,-2377000.0,,-5405000.0,-5405000.0,,,7917000.0,7917000.0,,-267000.0,0,-267000.0,0,,
SHLS,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001831651-24-000098,99249000.0,0.0,59252000.0,,,80668000.0,39997000.0,,,21416000.0,,2198000.0,,19218000.0,18581000.0,,,11802000.0,11802000.0,,,,,,,3716000.0,,4024000.0,,,,,,,,,11802000.0,0.0,,11802000.0,,11802000.0,0,,0,0.07,0.07,169991000.0,170100000.0,,788437000.0,177255000.0,,,60006000.0,,117249000.0,611182000.0,,26932000.0,,,584250000.0,243851000.0,78262000.0,16187000.0,,3793000.0,58282000.0,0.0,146750000.0,18839000.0,,,,,,544586000.0,0.0,544586000.0,,,788437000.0,37841000.0,37841000.0,,-2002000.0,-2002000.0,,-47886000.0,-47886000.0,,,-12047000.0,-12047000.0,,11802000.0,0,11802000.0,0,,
SHLS,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001831651-24-000057,90807000.0,0.0,54347000.0,,,79223000.0,36460000.0,,,24876000.0,,2104000.0,,22772000.0,11584000.0,,,4774000.0,4774000.0,,,,,,,2448000.0,,2495000.0,,,4362000.0,,,,,,4774000.0,0.0,,4774000.0,,4774000.0,0,,0,0.03,0.03,170282000.0,170514000.0,,825306000.0,208482000.0,,,59565000.0,,148917000.0,616824000.0,,26213000.0,,,590611000.0,271329000.0,79622000.0,15728000.0,,3583000.0,60311000.0,0.0,168750000.0,22957000.0,,,,,,553977000.0,0.0,553977000.0,,,825306000.0,12860000.0,12860000.0,,-2483000.0,-2483000.0,,-17848000.0,-17848000.0,,,-7471000.0,-7471000.0,,4774000.0,0,4774000.0,0,,
SHLS,2024-02-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001831651-24-000011,488939000.0,434004000.0,320635000.0,,,434004000.0,168304000.0,,,89269000.0,,8550000.0,,80719000.0,79035000.0,,,42661000.0,54935000.0,,,,,,,12274000.0,915000.0,11334000.0,,,24100000.0,,,,,,42661000.0,2687000.0,,39974000.0,,39974000.0,0,,0,0.24,0.24,164165000.0,164504000.0,,843993000.0,227186000.0,,,52804000.0,,174382000.0,616807000.0,,24836000.0,,,591971000.0,298997000.0,92630000.0,14396000.0,,10796000.0,67438000.0,206367000.0,181445000.0,24922000.0,,,,,,544996000.0,0.0,544996000.0,,,843993000.0,91955000.0,91955000.0,,-10847000.0,-10847000.0,,-67167000.0,-67167000.0,,,13941000.0,13941000.0,,42661000.0,0,42661000.0,0,,
SHLS,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001831651-23-000091,134209000.0,0.0,120059000.0,,,144780000.0,14150000.0,,,24721000.0,,2170000.0,,22551000.0,-10571000.0,,,-9828000.0,134209000.0,,,,,,,-6642000.0,,-6497000.0,,,5899000.0,,,,,,-9828000.0,0.0,,-9828000.0,,-9828000.0,0,,0,-0.06,-0.06,169965000.0,169965000.0,,840148000.0,214241000.0,,,60961000.0,,153280000.0,625907000.0,,22789000.0,,,603118000.0,315508000.0,84410000.0,16615000.0,,9033000.0,58762000.0,231098000.0,190380000.0,40718000.0,,,,,,524640000.0,0.0,524640000.0,,,840148000.0,27674000.0,27674000.0,,-3534000.0,-3534000.0,,-20776000.0,-20776000.0,,,3364000.0,3364000.0,,-9828000.0,0,-9828000.0,0,,
SHLS,2023-08-01,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001831651-23-000075,119208000.0,0.0,68691000.0,,,87572000.0,50517000.0,,,18881000.0,,2158000.0,,16723000.0,31636000.0,,,18924000.0,18924000.0,,,,,,,6207000.0,,5954000.0,,,6505000.0,,,,,,18924000.0,0.0,,18924000.0,,18924000.0,0,,0,0.11,0.11,169887000.0,170241000.0,,818820000.0,200115000.0,,,68312000.0,,131803000.0,618705000.0,,20198000.0,,,598507000.0,289415000.0,77187000.0,16239000.0,,4969000.0,55979000.0,0.0,210609000.0,1619000.0,,,,,,529405000.0,0.0,529405000.0,,,818820000.0,27921000.0,27921000.0,,-2374000.0,-2374000.0,,-26147000.0,-26147000.0,,,-600000.0,-600000.0,,18924000.0,0,18924000.0,0,,
SHLS,2023-05-08,2023,Q4,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001831651-23-000047,105086000.0,0.0,56829000.0,,,78986000.0,48257000.0,,,22157000.0,,2165000.0,,19992000.0,26100000.0,,,16983000.0,16983000.0,,,,,,,3121000.0,,2999000.0,,,5996000.0,,,,,,16983000.0,2687000.0,,14296000.0,,14296000.0,0,,0,0.1,0.1,146409000.0,147107000.0,,808601000.0,183359000.0,,,73729000.0,,109630000.0,625242000.0,,18388000.0,,,606854000.0,302521000.0,64768000.0,21936000.0,,2791000.0,40041000.0,0.0,235836000.0,1917000.0,,,,,,506080000.0,0.0,506080000.0,,,808601000.0,9913000.0,9913000.0,,-2003000.0,-2003000.0,,-10216000.0,-10216000.0,,,-2306000.0,-2306000.0,,16983000.0,0,16983000.0,0,,
SHLS,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001831651-23-000024,326940000.0,174940000.0,195629000.0,,,174940000.0,131311000.0,,,64981000.0,,9073000.0,,55908000.0,66330000.0,,,143013000.0,152000000.0,,,,,,,8987000.0,554000.0,8406000.0,,,18538000.0,,,,,,143013000.0,15402000.0,,127611000.0,,127611000.0,0,,0,1.11,0.85,114495000.0,167631000.0,,594895000.0,153540000.0,,,72854000.0,,80686000.0,441355000.0,,16870000.0,,,424485000.0,293906000.0,52622000.0,9481000.0,,4917000.0,38224000.0,241284000.0,239063000.0,2221000.0,,,,,,300989000.0,9615000.0,291374000.0,,,594895000.0,39455000.0,39455000.0,,-3657000.0,-3657000.0,,-36589000.0,-36589000.0,,,-791000.0,-791000.0,,143013000.0,0,143013000.0,0,,
