ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SKIN,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-023922,69580000.0,78784000.0,21000000.0,,,78784000.0,48580000.0,,,60603000.0,,,998000.0,59605000.0,-12023000.0,,,-10096000.0,-9204000.0,,,,,,,892000.0,,,,,,,,,,,-10096000.0,0,,-10096000.0,,-10096000.0,0,,0,-0.08,-0.08,125079470.0,125079470.0,,673820000.0,469373000.0,,,65632000.0,,403741000.0,204447000.0,,,,,,627758000.0,62804000.0,23143000.0,,14525000.0,25136000.0,564954000.0,,,,,,,,46062000.0,0,46062000.0,,,673820000.0,2996000.0,2996000.0,,-1145000.0,-1145000.0,,-250000.0,-250000.0,,1367000.0,2968000.0,1601000.0,,-8968000.0,0,-8968000.0,-8968000.0,,
SKIN,2025-03-12,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-012407,334294000.0,363844000.0,151998000.0,,,363844000.0,182296000.0,,,250070000.0,,,6296000.0,243774000.0,-67774000.0,,,-29098000.0,-29550000.0,,,,,,,-452000.0,3143000.0,-3595000.0,,,,,,,,,-29098000.0,0,,-29098000.0,,-29098000.0,0,,0,-0.23,-0.36,123827372.0,142492575.0,,685683000.0,477124000.0,,,69113000.0,,408011000.0,208559000.0,,,,,,633880000.0,68152000.0,21941000.0,,17636000.0,28575000.0,565728000.0,,,,,,,,51803000.0,0,51803000.0,,,685683000.0,16134000.0,16134000.0,,-6794000.0,-6794000.0,,-158341000.0,-158341000.0,,-3961000.0,-152962000.0,-149001000.0,,-33015000.0,0,-33015000.0,-33015000.0,,
SKIN,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-047310,78802000.0,95145000.0,38153000.0,,,95145000.0,40649000.0,,,62164000.0,,,1108000.0,61056000.0,-21515000.0,,,-18291000.0,-16343000.0,,,,,,,1948000.0,,1894000.0,,,,,,,,,-18291000.0,0,,-18291000.0,,-18291000.0,0,,0,-0.15,-0.15,124057602.0,124057602.0,,699548000.0,485047000.0,,,73443000.0,,411604000.0,214501000.0,,,,,,639824000.0,73948000.0,23084000.0,,16543000.0,34321000.0,565876000.0,,,,,,,,59724000.0,0,59724000.0,,,699548000.0,10315000.0,10315000.0,,-2092000.0,-2092000.0,,-204000.0,-204000.0,,1329000.0,9348000.0,8019000.0,,-17104000.0,0,-17104000.0,-17104000.0,,
SKIN,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-036238,90594000.0,90745000.0,49654000.0,,,90745000.0,40940000.0,,,63051000.0,,,1159000.0,61892000.0,-22111000.0,,,202000.0,-151000.0,,,,,,,-353000.0,,-1114000.0,,,,,,,,,202000.0,0,,202000.0,,202000.0,0,,0,0.0,-0.1,123718797.0,141927750.0,,711833000.0,489626000.0,,,77143000.0,,412483000.0,222207000.0,,,,,,642644000.0,75426000.0,26686000.0,,17146000.0,31594000.0,0.0,,,,,,,,69189000.0,0,69189000.0,,,711833000.0,6201000.0,6201000.0,,-2038000.0,-2038000.0,,-98749000.0,-98749000.0,,-504000.0,-95090000.0,-94586000.0,,202000.0,0,-614000.0,0.0,,
SKIN,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-022336,81403000.0,82741000.0,33042000.0,,,82741000.0,48361000.0,,,65352000.0,,,2807000.0,62545000.0,-16991000.0,,,-679000.0,-1338000.0,,,,,,,-659000.0,,-1030000.0,,,3029000.0,,,,,,-679000.0,0,,-679000.0,,-679000.0,0,,0,-0.01,-0.1,123120426.0,144477208.0,,844741000.0,614824000.0,,,95721000.0,,519103000.0,229917000.0,,,,,,781446000.0,93568000.0,37312000.0,,15456000.0,40800000.0,0.0,,,,,,,,63295000.0,0,63295000.0,,,844741000.0,-16854000.0,-16854000.0,,-1802000.0,-1802000.0,,-58618000.0,-58618000.0,,-1117000.0,-78391000.0,-77274000.0,,-679000.0,0,-1726000.0,0.0,,
SKIN,2024-03-12,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-010638,397991000.0,499880000.0,242878000.0,,,499880000.0,155113000.0,,,286030000.0,,,10102000.0,275928000.0,-130917000.0,,,-100116000.0,-101889000.0,,,,,,,-1773000.0,4043000.0,-5816000.0,,,13649000.0,,,,,,-100116000.0,0,,-100116000.0,,-100116000.0,0,,0,-0.76,-0.76,131680605.0,131680605.0,,929113000.0,698252000.0,,,91321000.0,,606931000.0,230861000.0,,,,,,869723000.0,115008000.0,44768000.0,,22028000.0,48212000.0,754715000.0,,,,,,,,59390000.0,0,59390000.0,,,929113000.0,21750000.0,21750000.0,,-31507000.0,-31507000.0,,-37448000.0,-37448000.0,,2033000.0,-45172000.0,-47205000.0,,-98622000.0,0,-98622000.0,-98622000.0,,
SKIN,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-038926,97413000.0,167752000.0,109966000.0,,,167752000.0,-12553000.0,,,69548000.0,,,1839000.0,67709000.0,-82101000.0,,,-73818000.0,-70339000.0,,,,,,,3479000.0,,,,,3445000.0,,,,,,-73818000.0,0,,-73818000.0,,-73818000.0,0,,0,-0.56,-0.56,132896626.0,132896626.0,,973074000.0,738011000.0,,,74878000.0,,663133000.0,235063000.0,,,,,,883117000.0,125879000.0,35883000.0,,20752000.0,69244000.0,757238000.0,,,,,,,,89957000.0,0,89957000.0,,,973074000.0,17964000.0,17964000.0,,-4436000.0,-4436000.0,,-2350000.0,-2350000.0,,-1462000.0,9716000.0,11178000.0,,-74911000.0,0,-74911000.0,-74911000.0,,
SKIN,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-028569,117479000.0,116308000.0,49603000.0,,,116308000.0,67876000.0,,,81022000.0,,,2881000.0,78141000.0,-13146000.0,,,3364000.0,1171000.0,,,,,,,-2193000.0,,,,,3429000.0,,,,,,3364000.0,0,,3364000.0,,3364000.0,0,,0,0.03,0.03,132716024.0,132716024.0,,1007474000.0,767942000.0,,,107000000.0,,660942000.0,239532000.0,,,,,,845632000.0,82789000.0,29379000.0,,26154000.0,27256000.0,0.0,,,,,,,,161842000.0,0,161842000.0,,,1007474000.0,21966000.0,21966000.0,,-3219000.0,-3219000.0,,-1546000.0,-1546000.0,,245000.0,17446000.0,17201000.0,,3364000.0,0,2997000.0,0.0,,
SKIN,2023-05-10,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-017236,86278000.0,112225000.0,32174000.0,,,112225000.0,54104000.0,,,71414000.0,,,2336000.0,69078000.0,-17310000.0,,,-20259000.0,-25947000.0,,,,,,,-3662000.0,,-279000.0,,,3417000.0,,,,,,-20259000.0,0,,-20259000.0,,-22285000.0,0,,0,-0.17,-0.17,132420762.0,132420762.0,,994953000.0,748532000.0,,,122081000.0,,626451000.0,246421000.0,,,,,,847289000.0,72330000.0,34330000.0,,18722000.0,19278000.0,0.0,,,,,,,,152408000.0,0,152408000.0,,,994953000.0,-13010000.0,-13010000.0,,-21684000.0,-21684000.0,,-2195000.0,-2195000.0,,974000.0,-35915000.0,-36889000.0,,-20259000.0,0,-21397000.0,0.0,,
SKIN,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001818093-23-000006,365876000.0,320844000.0,115536000.0,,,320844000.0,250340000.0,,,274620000.0,,,8444000.0,266176000.0,-24280000.0,,,44384000.0,45032000.0,,,,,,,648000.0,2435000.0,-1787000.0,,,,,,,,,44384000.0,0,,44384000.0,,44384000.0,0,,0,0.3,-0.23,147554090.0,148506312.0,,1008907000.0,789099000.0,,,116430000.0,,672669000.0,219808000.0,,,,,,837431000.0,73115000.0,30335000.0,,21677000.0,21103000.0,764316000.0,,,,,,,,171476000.0,0,171476000.0,,,1008907000.0,-106600000.0,-106600000.0,,-18869000.0,-18869000.0,,-205242000.0,-205242000.0,,-2978000.0,-333689000.0,-330711000.0,,41111000.0,0,41111000.0,41111000.0,,
SKIN,2022-11-09,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001818093-22-000169,88792000.0,89482000.0,27217000.0,,,89482000.0,61575000.0,,3451000.0,65716000.0,,,2167000.0,63549000.0,-4141000.0,,,131000.0,-690000.0,,,,,,,-821000.0,,32000.0,,,,,,,,,131000.0,0,,131000.0,,131000.0,0,,0,0.0,-0.03,150788695.0,151417710.0,,1104795000.0,892432000.0,,,101706000.0,,790726000.0,212363000.0,,,,,,846886000.0,76438000.0,32576000.0,,20650000.0,23212000.0,770448000.0,,,,,,,,257909000.0,0,257909000.0,,,1104795000.0,-31401000.0,-31401000.0,,-7741000.0,-7741000.0,,-100000000.0,-100000000.0,,2380000.0,-136762000.0,-139142000.0,,-1505000.0,0,-1505000.0,-1505000.0,,
SKIN,2022-08-09,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001818093-22-000137,103536000.0,95529000.0,31882000.0,,,95529000.0,71654000.0,,11420000.0,75067000.0,,,2601000.0,72466000.0,-3413000.0,,,7931000.0,8007000.0,,,,,,,76000.0,,0.0,,,,,,,,,7931000.0,0,,7931000.0,,7931000.0,0,,0,0.05,-0.05,150731491.0,151719451.0,,1214960000.0,995758000.0,,,73526000.0,,922232000.0,219202000.0,,,,,,862625000.0,87058000.0,36830000.0,,27786000.0,22442000.0,0.0,,,,,,,,352335000.0,0,352335000.0,,,1214960000.0,-31335000.0,-31335000.0,,-4879000.0,-4879000.0,,-1980000.0,-1980000.0,,-73000.0,-38267000.0,-38194000.0,,7931000.0,0,4244000.0,0.0,,
SKIN,2022-05-10,2022,Q1,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001818093-22-000072,75415000.0,40293000.0,23478000.0,,,40293000.0,51937000.0,,48083000.0,64898000.0,,,2230000.0,62668000.0,-12961000.0,,,32507000.0,35122000.0,,,,,,,2615000.0,,0.0,,,,,,,,,32507000.0,0,,32507000.0,,32507000.0,0,,0,0.22,-0.13,150598105.0,152711698.0,,1199178000.0,982394000.0,,,47033000.0,,935361000.0,216784000.0,,,,,,857470000.0,68930000.0,26962000.0,,21383000.0,20585000.0,0.0,,,,,,,,341708000.0,0,341708000.0,,,1199178000.0,-38471000.0,-38471000.0,,-3425000.0,-3425000.0,,-783000.0,-783000.0,,30000.0,-42649000.0,-42679000.0,,32507000.0,0,32362000.0,0.0,,
SKIN,2022-03-01,2021,FY,2021-01-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001818093-22-000046,260086000.0,637436000.0,78259000.0,,,637436000.0,181827000.0,,-340711000.0,218466000.0,,,8195000.0,210271000.0,-36639000.0,,,-375108000.0,-377350000.0,,,,,,,-2242000.0,1521000.0,-3763000.0,,,,,,,,,-375108000.0,0,,-375108000.0,,-375108000.0,0,,0,-3.67,-3.67,102114949.0,102114949.0,,1218806000.0,1000892000.0,,,35261000.0,,965631000.0,217914000.0,,,,,,916509000.0,76437000.0,29049000.0,,28662000.0,18726000.0,840072000.0,,,,,,,,302297000.0,0,302297000.0,,,1218806000.0,-28361000.0,-28361000.0,,-37731000.0,-37731000.0,,959035000.0,959035000.0,,-543000.0,892400000.0,892943000.0,,-376607000.0,0,-376607000.0,-376607000.0,,
