ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SONM,2025-05-12,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-009749,16721000.0,16131000.0,8365000.0,,,16131000.0,8356000.0,,,7711000.0,,1055000.0,1633000.0,5023000.0,645000.0,,,458000.0,590000.0,,,,,,,132000.0,,,,,71000.0,,,,,,458000.0,0,,458000.0,,458000.0,0,,0,0.08,0.08,5839764.0,5868429.0,,35958000.0,26935000.0,,,8620000.0,,18315000.0,9023000.0,,188000.0,,,8835000.0,37037000.0,34677000.0,17294000.0,,,17383000.0,2360000.0,2831000.0,,,,,,,-1079000.0,0,-1079000.0,,,35958000.0,-9606000.0,-9606000.0,,3228000.0,3228000.0,,6378000.0,6378000.0,,,0.0,0.0,,458000.0,0,458000.0,0,,
SONM,2025-03-31,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-001720,58298000.0,91720000.0,48378000.0,,,91720000.0,9920000.0,,,43559000.0,,3557000.0,14235000.0,25767000.0,-33639000.0,,,-33648000.0,-33422000.0,,,,,,,226000.0,236000.0,-10000.0,,,,,,,,2295000.0,-33648000.0,0,,-33648000.0,,-33648000.0,0,,0,-7.13,-7.13,4718141.0,4718141.0,,39739000.0,32165000.0,,,10621000.0,,21544000.0,7574000.0,,227000.0,,,7347000.0,45439000.0,43740000.0,22848000.0,,,20892000.0,1699000.0,,,,,,,,-5700000.0,0,-5700000.0,,,39739000.0,-8486000.0,-8486000.0,,-214000.0,-214000.0,,4646000.0,4646000.0,,,-4054000.0,-4054000.0,,-33648000.0,0,-33648000.0,0,,
SONM,2024-11-13,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-045139,15022000.0,17417000.0,10790000.0,,,17417000.0,4232000.0,,,6608000.0,,918000.0,715000.0,5893000.0,-2376000.0,,,-2512000.0,-2395000.0,,,,,,,117000.0,,,,,,,,,,,-2512000.0,0,,-2512000.0,,-2512000.0,0,,0,-0.52,-0.52,4848999.0,4848999.0,,49147000.0,33864000.0,,,12374000.0,,21490000.0,15283000.0,,239000.0,,,15044000.0,33798000.0,32184000.0,9056000.0,,,23128000.0,1614000.0,,,,,,,,15349000.0,0,15349000.0,,,49147000.0,-417000.0,-417000.0,,-137000.0,-137000.0,,14000.0,14000.0,,,-540000.0,-540000.0,,-2512000.0,0,-2512000.0,0,,
SONM,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-030969,11516000.0,18095000.0,8547000.0,,,18095000.0,2969000.0,,,9439000.0,,845000.0,,9050000.0,-6470000.0,,,-6616000.0,-6579000.0,,,,,,,37000.0,,,,,,,,,,,-6616000.0,0,,-6616000.0,,-6616000.0,0,,0,-1.41,-1.41,4685352.0,4685352.0,,45871000.0,32585000.0,,12979000.0,7020000.0,,12586000.0,13286000.0,,120000.0,,,13166000.0,28397000.0,26890000.0,9164000.0,,,17726000.0,0.0,,,,,,,,17474000.0,0,17474000.0,,,45871000.0,-3392000.0,-3392000.0,,-184000.0,-184000.0,,3779000.0,3779000.0,,,203000.0,203000.0,,-6616000.0,0,-6616000.0,0,,
SONM,2024-05-14,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-019245,16776000.0,0.0,13874000.0,,,0.0,2902000.0,,,5591000.0,,880000.0,456000.0,4255000.0,-2689000.0,,,16776000.0,-2781000.0,,,,,,,125000.0,,,,,,,,,,,-2906000.0,0,,-2906000.0,,-2906000.0,0,,0,-0.07,-0.07,43193720.0,43193720.0,,42385000.0,29537000.0,,13901000.0,4823000.0,,10813000.0,12848000.0,,102000.0,,,12746000.0,22546000.0,20975000.0,9079000.0,,,11896000.0,0.0,,,,,,,,19839000.0,0,19839000.0,,,42385000.0,-168000.0,-168000.0,,115000.0,115000.0,,53000.0,53000.0,,,0.0,0.0,,-2906000.0,0,-2906000.0,0,,
SONM,2024-03-27,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-011530,93632000.0,93348000.0,74308000.0,,,93348000.0,19324000.0,,,18811000.0,,2206000.0,1772000.0,14833000.0,513000.0,,,-90000.0,284000.0,,,,,,,374000.0,308000.0,66000.0,,,,,,,,159000.0,-90000.0,0,,-90000.0,,-90000.0,0,,0,0.0,0.0,41689386.0,41689386.0,,56043000.0,43787000.0,,26265000.0,6517000.0,,11005000.0,12256000.0,,71000.0,,,12185000.0,33675000.0,32147000.0,19847000.0,,,12300000.0,1528000.0,,,,,,,,22368000.0,0,22368000.0,,,56043000.0,-4052000.0,-4052000.0,,-36000.0,-36000.0,,272000.0,272000.0,,,-3816000.0,-3816000.0,,-90000.0,0,-90000.0,0,,
SONM,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-041079,27566000.0,26943000.0,21963000.0,,,26943000.0,5603000.0,,,4915000.0,,67000.0,741000.0,4174000.0,688000.0,,,527000.0,623000.0,,,,,,,96000.0,,,,,2000.0,,,,,,527000.0,0,,527000.0,,527000.0,0,,0,0.01,0.01,41851729.0,42992680.0,,58610000.0,47537000.0,,31978000.0,4219000.0,,11340000.0,11073000.0,,80000.0,,,10993000.0,35500000.0,34038000.0,23256000.0,,886000.0,9896000.0,1462000.0,,,,,,,,23110000.0,0,23110000.0,,,58610000.0,-304000.0,-304000.0,,-1000.0,-1000.0,,382000.0,382000.0,,,77000.0,77000.0,,527000.0,0,527000.0,0,,
SONM,2023-08-14,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-028387,26835000.0,26254000.0,22409000.0,,,26254000.0,4426000.0,,,3679000.0,,553000.0,,3231000.0,747000.0,,,509000.0,581000.0,,,,,,,72000.0,,,,,5000.0,,,,,,509000.0,0,,509000.0,,509000.0,0,,0,0.01,0.01,41039405.0,43398189.0,,53740000.0,43468000.0,,27584000.0,4736000.0,,11148000.0,10272000.0,,83000.0,,,10189000.0,32091000.0,30645000.0,20913000.0,,972000.0,8760000.0,0.0,,,,,,,,21649000.0,0,21649000.0,,,53740000.0,820000.0,820000.0,,-4277000.0,-4277000.0,,-36000.0,-36000.0,,,-3493000.0,-3493000.0,,509000.0,0,509000.0,0,,
SONM,2023-05-08,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-015740,25801000.0,25461000.0,21626000.0,,,25461000.0,4175000.0,,,3842000.0,,630000.0,105000.0,3107000.0,333000.0,,,227000.0,340000.0,,,,,,,113000.0,,,,,0.0,,,,,,227000.0,0,,227000.0,,227000.0,0,,0,0.01,0.01,40907047.0,41095901.0,,51801000.0,41451000.0,,26287000.0,4508000.0,,10656000.0,10350000.0,,69000.0,,,10281000.0,31110000.0,29679000.0,20602000.0,,1042000.0,8035000.0,0.0,,,,,,,,20691000.0,0,20691000.0,,,51801000.0,-4217000.0,-4217000.0,,4254000.0,4254000.0,,-37000.0,-37000.0,,,0.0,0.0,,227000.0,0,227000.0,0,,
SONM,2023-03-20,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-008199,69828000.0,83731000.0,58205000.0,,,83731000.0,11623000.0,,,25913000.0,,2375000.0,7973000.0,15565000.0,-14290000.0,,,-14087000.0,-13903000.0,,,,,,,184000.0,327000.0,-143000.0,,,97000.0,,,,,,-14087000.0,0,,-14087000.0,,-14087000.0,0,,0,-0.49,,28889111.0,,,53686000.0,43632000.0,,24395000.0,3910000.0,,15327000.0,10054000.0,,168000.0,,,9886000.0,33641000.0,32062000.0,21126000.0,,1365000.0,9571000.0,1579000.0,,,,,,,,20045000.0,0,20045000.0,,,53686000.0,-12360000.0,-12360000.0,,-8000.0,-8000.0,,14348000.0,14348000.0,,,1980000.0,1980000.0,,-14087000.0,0,-14087000.0,0,,
