ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SOPA,2025-04-16,2024,TTM,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-032266,7105530.0,17262288.0,5242616.0,,,2677846.0,1862914.0,,-835426.0,11184246.0,,651654.0,54644.0,10477948.0,-9321332.0,,,-10237297.0,-10156758.0,,,,,,,80539.0,,91508.0,,,,,,,,,-10237297.0,-10019,-10019.0,-10227278.0,,-10227278.0,0.0,,0.0,-3.45,-3.45,2962528.0,2962528.0,,21279701.0,14475912.0,,,157734.0,1013526.0,13304652.0,6803789.0,,407871.0,,,6395918.0,23692406.0,23230652.0,2997994.0,,,20232658.0,461754.0,,,,,,,,-2412705.0,-273896,-2138809.0,,,21279701.0,2473495.0,2473495.0,,-29959.0,-29959.0,,1476971.0,1476971.0,,39490.0,3959997.0,3920507.0,,-9708875.0,0.0,-9708875.0,528422.0,,
SOPA,2025-04-16,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-032266,7105530.0,17262288.0,5242616.0,,,2677846.0,1862914.0,,-835426.0,11184246.0,,651654.0,54644.0,10477948.0,-9321332.0,,,-10237297.0,-10156758.0,,,,,,,80539.0,,91508.0,,,,,,,,,-10237297.0,-10019,-10019.0,-10227278.0,,-10227278.0,0.0,,0.0,-3.45,-3.45,2962528.0,2962528.0,,21279701.0,14475912.0,,,157734.0,1013526.0,13304652.0,6803789.0,,407871.0,,,6395918.0,23692406.0,23230652.0,2997994.0,,,20232658.0,461754.0,,,,,,,,-2412705.0,-273896,-2138809.0,,,21279701.0,2473495.0,2473495.0,,-29959.0,-29959.0,,1476971.0,1476971.0,,39490.0,3959997.0,3920507.0,,-9708875.0,0.0,-9708875.0,528422.0,,
SOPA,2024-11-15,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-098697,1675894.0,3004664.0,1310248.0,,,3004664.0,365646.0,,-154156.0,1540260.0,,,13635.0,1526625.0,-1174614.0,,,-1380578.0,-1328770.0,,,,,,,51808.0,,,,,,,,,,,-1380578.0,-2693,-2693.0,-1377885.0,,-1377885.0,0.0,,0.0,-0.48,-0.48,2882349.0,2882349.0,,16984381.0,9812203.0,,,294487.0,594406.0,8923310.0,7172178.0,,502206.0,,,6669972.0,16431060.0,15941685.0,2944355.0,,,12997330.0,489375.0,,,,,,,,553321.0,-309254,862575.0,,,16984381.0,,,,,,,,,,,,,,-2414594.0,0.0,-2414594.0,-1034016.0,,
SOPA,2024-05-15,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-043774,1847079.0,4685193.0,1354430.0,,,2677846.0,492649.0,,53547.0,3384310.0,,165115.0,13504.0,3205691.0,-2891661.0,,,-2839224.0,-2838114.0,,,,,,,1110.0,,4611.0,,,173.0,,,,,,-2839224.0,701,701.0,-2839925.0,,-2839925.0,0.0,,0.0,-1.21,-1.21,2341300.0,2341300.0,,13276105.0,5541140.0,,,379736.0,,5161404.0,7734965.0,,598623.0,,,7136342.0,10029823.0,9374608.0,1827955.0,,,7546653.0,0.0,,,,,,,,3246282.0,-271223,3517505.0,,,13276105.0,-2361485.0,-2361485.0,,2050750.0,2371764.0,,-10279.0,-10279.0,,321014.0,-321014.0,-642028.0,,-2839224.0,0.0,-2589841.0,0.0,,
SOPA,2024-04-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-032944,8171635.0,26245238.0,5701645.0,,,2677846.0,2469990.0,,-113185.0,20430408.0,,1271473.0,55645.0,19103290.0,-17960418.0,,,-18098918.0,-18073603.0,,,,,,,25315.0,,-149858.0,,,235.0,,,,,,-18098918.0,35210,35210.0,-18134128.0,,-18134128.0,0.0,,0.0,-0.63,-0.63,28972117.0,28972117.0,,16363174.0,8098635.0,,,431483.0,,7667152.0,8264539.0,,686658.0,,,7577881.0,11334012.0,10486062.0,1690651.0,,,8795411.0,847950.0,,,,,,,,5029162.0,-277253,5306415.0,,,16363174.0,-13908134.0,-13908134.0,,-340246.0,-340246.0,,-785525.0,-785525.0,,-245449.0,-15279354.0,-15033905.0,,-18373522.0,0.0,-18373522.0,-274604.0,,
SOPA,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-086883,2269066.0,6186366.0,1706502.0,,,6186366.0,562564.0,,225205.0,4705069.0,,,12649.0,4692420.0,-4142505.0,,,-3918046.0,-3917300.0,,,,,,,746.0,,,,,278.0,,,,,,-3918046.0,-56117,,-3861929.0,,-3861929.0,0.0,,0.0,-0.14,-0.14,28483858.0,28483858.0,,20737275.0,12051661.0,,,838843.0,,11212818.0,8685614.0,,725744.0,,,7959870.0,10788720.0,9867144.0,1819543.0,,,8047601.0,921576.0,,,,,,,,9948555.0,-419481,10368036.0,,,20737275.0,-2931714.0,-2931714.0,,-78766.0,-78766.0,,-10000.0,-10000.0,,381844.0,-2638636.0,-3020480.0,,-3962015.0,0.0,-3962015.0,-43969.0,,
SOPA,2023-08-10,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001607062-23-000393,2187232.0,5495408.0,1610073.0,,,5495408.0,577159.0,,107637.0,3992972.0,,,15209.0,3977763.0,-3415813.0,,,-3309230.0,-3308176.0,,,,,,,1054.0,,,,,300.0,,,,,,-3309230.0,-6028,,-3309230.0,,-3309230.0,0.0,,0.0,-0.12,-0.12,28171523.0,28171523.0,,23973480.0,14594840.0,,,200359.0,,14394481.0,9378640.0,,813315.0,,,8565325.0,11263652.0,10198391.0,1732961.0,,,8465430.0,0.0,,,,,,,,12709828.0,-413765,13123593.0,,,23973480.0,-2871050.0,-2871050.0,,-27460.0,-27460.0,,-98537.0,-98537.0,,89170.0,-2907877.0,-2997047.0,,-3309230.0,-3173820.0,-3137585.0,0.0,,
SOPA,2023-05-11,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001607062-23-000263,2042580.0,7432179.0,1356343.0,,,2677846.0,686237.0,,60633.0,6136469.0,,,13919.0,6122550.0,-5450232.0,,5389599.0,-5390213.0,-5389599.0,,,,,,,614.0,,,,,352.0,,,,,,-5390213.0,-95286,,-5390213.0,,-5390213.0,0.0,,0.0,-0.2,-0.2,27082849.0,27082849.0,,26074425.0,16862370.0,,,229010.0,,16633360.0,9212055.0,,827332.0,,,8384723.0,-15565493.0,9350649.0,1463466.0,,,7887183.0,10508932.0,,,,,,,,15565493.0,-450000,16015493.0,,,26074425.0,-4015201.0,-4015201.0,,-190061.0,-190061.0,,-541988.0,-541988.0,,-428145.0,-5175395.0,-4747250.0,,-5390213.0,-5677144.0,-5790629.0,0.0,,
SOPA,2023-03-23,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001607062-23-000144,5635553.0,39646944.0,4668580.0,,,2677846.0,966973.0,,144665.0,35123029.0,,,72999.0,35050030.0,-34156056.0,,34011391.0,-34015022.0,-34011391.0,,,,,,,3631.0,,,,,25105.0,,,,,,-34015022.0,-228915,-228915.0,-34015022.0,,-5730073.0,-28284949.0,,-28284949.0,-1.38,-1.38,24429526.0,24429526.0,,32698742.0,22996945.0,,,310932.0,,22686013.0,9701797.0,,706038.0,,,8995759.0,12687425.0,11614299.0,1296571.0,,,10317728.0,12687425.0,,,,,,,,20011317.0,-336515,20347832.0,,,32698742.0,-14453759.0,-14453759.0,,177393.0,177393.0,,10182905.0,10182905.0,,-167980.0,-4261441.0,-4093461.0,,-67584211.0,-33675240.0,-33908971.0,-33569189.0,,
SOPA,2022-11-14,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001607062-22-000677,2050264.0,12112995.0,1742329.0,,,12112995.0,307935.0,,37645.0,10408311.0,,,19759.0,10388552.0,-10100376.0,,10062731.0,-10063467.0,-10062731.0,,,,,,,736.0,,,,,11277.0,,,,,,-10063467.0,0,,-10063467.0,,-10063467.0,0.0,,0.0,-0.39,-0.39,25302206.0,25302206.0,,40715760.0,27972033.0,,,255820.0,,27716213.0,12743727.0,,647811.0,1600000.0,,10495916.0,13073603.0,12724702.0,1205030.0,,,11519672.0,13073603.0,,,,,,,,27642157.0,-319926,27962083.0,,,40715760.0,-5432533.0,-5432533.0,,521987.0,521987.0,,-168508.0,-168508.0,,73501.0,-5005553.0,-5079054.0,,-95201.0,9832121.0,-9927322.0,9968266.0,,
