ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SPSC,2025-04-24,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001092699-25-000038,181549000.0,153386000.0,56914000.0,,,153386000.0,124635000.0,,2207000.0,98679000.0,,,17439000.0,81240000.0,25956000.0,,,22196000.0,28163000.0,,,,,,,5967000.0,,-4418000.0,,,,,,,,,22196000.0,0,,22196000.0,,22196000.0,0,,0,0.58,0.58,37990000.0,38163000.0,,1109050000.0,251835000.0,,,,,,857215000.0,,38687000.0,,,818528000.0,188129000.0,153424000.0,11255000.0,,40747000.0,101422000.0,34705000.0,,,,,,,,920921000.0,0,920921000.0,,,1109050000.0,39983000.0,39983000.0,,-147786000.0,-147786000.0,,-38954000.0,-38954000.0,,,-146757000.0,-146757000.0,,24423000.0,0,24423000.0,24423000.0,,2227000.0
SPSC,2025-02-19,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001092699-25-000011,637765000.0,538289000.0,210714000.0,,,538289000.0,427051000.0,,10593000.0,338168000.0,,,62809000.0,275359000.0,88883000.0,,,77054000.0,99476000.0,,,,,,,22422000.0,,-9786000.0,,,,,,,,,77054000.0,0,,77054000.0,,77054000.0,0,,0,2.07,2.04,37306000.0,37856000.0,,1031230000.0,381907000.0,,,,,,649323000.0,,37547000.0,,,611776000.0,176540000.0,146684000.0,8577000.0,,47160000.0,90947000.0,29856000.0,,,,,,,,854690000.0,0,854690000.0,,,1031230000.0,157398000.0,157398000.0,,-110454000.0,-110454000.0,,-23026000.0,-23026000.0,,,23918000.0,23918000.0,,67149000.0,0,67149000.0,67149000.0,,-9905000.0
SPSC,2024-10-24,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001092699-24-000074,163686000.0,134337000.0,51624000.0,,,134337000.0,112062000.0,,3778000.0,86491000.0,,,15292000.0,71199000.0,25571000.0,,,23460000.0,29349000.0,,,,,,,5889000.0,,-1746000.0,,,,,,,,,23460000.0,0,,23460000.0,,23460000.0,0,,0,0.63,0.62,37447000.0,37996000.0,,1003300000.0,344647000.0,,,,,,658653000.0,,36148000.0,,,622505000.0,173935000.0,146331000.0,8107000.0,,46010000.0,92214000.0,27604000.0,,,,,,,,829365000.0,0,829365000.0,,,1003300000.0,53330000.0,53330000.0,,-98298000.0,-98298000.0,,2253000.0,2253000.0,,,-42715000.0,-42715000.0,,26628000.0,0,26628000.0,26628000.0,,3168000.0
SPSC,2024-07-25,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001092699-24-000060,153596000.0,126375000.0,52018000.0,,,126375000.0,101578000.0,,4056000.0,78413000.0,,,14366000.0,64047000.0,23165000.0,,,18032000.0,27221000.0,,,,,,,9189000.0,,-1102000.0,,,,,,,,,18032000.0,0,,18032000.0,,18032000.0,0,,0,0.49,0.48,37078000.0,37683000.0,,854521000.0,406938000.0,,,,,,447583000.0,,35083000.0,,,412500000.0,151100000.0,128546000.0,5877000.0,,32236000.0,90433000.0,0.0,,,,,,,,703421000.0,0,703421000.0,,,854521000.0,29442000.0,29442000.0,,-8984000.0,-8984000.0,,-15061000.0,-15061000.0,,,5397000.0,5397000.0,,16907000.0,0,16907000.0,16907000.0,,-1125000.0
SPSC,2024-04-25,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001092699-24-000046,149576000.0,131041000.0,51487000.0,,,131041000.0,98089000.0,,3132000.0,82686000.0,,,16009000.0,66677000.0,15403000.0,,,18003000.0,18535000.0,,,,,,,532000.0,,-7070000.0,,,,,,,,,18003000.0,0,,18003000.0,,18003000.0,0,,0,0.49,0.48,37049000.0,37686000.0,,839847000.0,420288000.0,,,,,,419559000.0,,34971000.0,,,384588000.0,156882000.0,134216000.0,12303000.0,,32990000.0,88923000.0,0.0,,,,,,,,682965000.0,0,682965000.0,,,839847000.0,34064000.0,34064000.0,,-2945000.0,-2945000.0,,-14889000.0,-14889000.0,,,16230000.0,16230000.0,,14553000.0,0,14553000.0,14553000.0,,-3450000.0
SPSC,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001092699-24-000012,536910000.0,451347000.0,182069000.0,,,451347000.0,354841000.0,,8315000.0,277593000.0,,,53654000.0,223939000.0,77248000.0,,,65824000.0,85563000.0,,,,,,,19739000.0,,-10079000.0,,,,,,,,,65824000.0,0,,65824000.0,,65824000.0,0,,0,1.8,1.76,36646000.0,37475000.0,,823844000.0,401441000.0,,,,,,422403000.0,,36043000.0,,,386360000.0,156369000.0,130669000.0,7420000.0,,41588000.0,81661000.0,25700000.0,,,,,,,,667475000.0,0,667475000.0,,,823844000.0,132298000.0,132298000.0,,-92642000.0,-92642000.0,,15970000.0,15970000.0,,,55626000.0,55626000.0,,69457000.0,0,69457000.0,69457000.0,,3633000.0
SPSC,2023-10-26,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001092699-23-000053,135661000.0,113360000.0,45521000.0,,,113360000.0,90140000.0,,1702000.0,69541000.0,,,13558000.0,55983000.0,20599000.0,,,16842000.0,22301000.0,,,,,,,5459000.0,,-3252000.0,,,,,,,,,16842000.0,0,,16842000.0,,16842000.0,0,,0,0.46,0.45,36728000.0,37584000.0,,787408000.0,359739000.0,,,,,,427669000.0,,36209000.0,,,391460000.0,160564000.0,132871000.0,6195000.0,,41474000.0,85202000.0,27693000.0,,,,,,,,626844000.0,0,626844000.0,,,787408000.0,43842000.0,43842000.0,,-75100000.0,-75100000.0,,1050000.0,1050000.0,,,-30208000.0,-30208000.0,,14034000.0,0,14034000.0,14034000.0,,-2808000.0
SPSC,2023-07-27,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001092699-23-000050,130416000.0,111501000.0,44544000.0,,,111501000.0,85872000.0,,1882000.0,68839000.0,,,13318000.0,55521000.0,17033000.0,,,14682000.0,18915000.0,,,,,,,4233000.0,,-3507000.0,,,,,,,,,14682000.0,0,,14682000.0,,14682000.0,0,,0,0.4,0.39,36593000.0,37426000.0,,735538000.0,384976000.0,,,,,,350562000.0,,35211000.0,,,315351000.0,134557000.0,111968000.0,6163000.0,,28637000.0,77168000.0,0.0,,,,,,,,600981000.0,0,600981000.0,,,735538000.0,34039000.0,34039000.0,,-13758000.0,-13758000.0,,6530000.0,6530000.0,,,26811000.0,26811000.0,,16324000.0,0,16324000.0,16324000.0,,1642000.0
SPSC,2023-04-26,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001092699-23-000035,125868000.0,107862000.0,42964000.0,,,107862000.0,82904000.0,,1276000.0,66174000.0,,,12563000.0,53611000.0,16730000.0,,,15289000.0,18006000.0,,,,,,,2717000.0,,-5147000.0,,,,,,,,,15289000.0,0,,15289000.0,,15289000.0,0,,0,0.42,0.41,36427000.0,37155000.0,,696927000.0,346382000.0,,,,,,350545000.0,,35078000.0,,,315467000.0,131037000.0,106961000.0,5339000.0,,26431000.0,75191000.0,0.0,,,,,,,,565889000.0,0,565889000.0,,,696927000.0,21631000.0,21631000.0,,-4590000.0,-4590000.0,,2425000.0,2425000.0,,,19466000.0,19466000.0,,15217000.0,0,15217000.0,15217000.0,,-72000.0
SPSC,2023-02-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001092699-23-000006,450875000.0,379551000.0,153065000.0,,,379551000.0,297810000.0,,142000.0,226628000.0,,,45748000.0,180880000.0,71182000.0,,,55134000.0,71324000.0,,,,,,,16190000.0,,-3732000.0,,,,,,,,,55134000.0,0,,55134000.0,,55134000.0,0,,0,1.53,1.49,36117000.0,36953000.0,,672914000.0,322814000.0,,,,,,350100000.0,,35458000.0,,,314642000.0,135841000.0,110642000.0,11256000.0,,30235000.0,69151000.0,25199000.0,,,,,,,,537073000.0,0,537073000.0,,,672914000.0,100052000.0,100052000.0,,-112790000.0,-112790000.0,,-31631000.0,-31631000.0,,,-44369000.0,-44369000.0,,53170000.0,0,53170000.0,53170000.0,,-1964000.0
