ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SRI,2025-04-30,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001043337-25-000092,217890000.0,223522000.0,171593000.0,,,223522000.0,46297000.0,,,49522000.0,31696000.0,,17826000.0,,-3225000.0,,-5926000.0,-7196000.0,-5632000.0,,,,,,294000.0,1564000.0,,-402000.0,,,,,,,,,-7196000.0,0.0,,-7196000.0,,-7196000.0,0,,0,-0.26,-0.26,27680000.0,27680000.0,,657359000.0,418021000.0,,,151794000.0,,266227000.0,239338000.0,,99289000.0,41260000.0,,98789000.0,404263000.0,175164000.0,97037000.0,,,78127000.0,229099000.0,,,,,,,,253096000.0,0.0,253096000.0,,,657359000.0,10897000.0,10897000.0,,-5988000.0,-5988000.0,,-787000.0,-787000.0,,3155000.0,7277000.0,4122000.0,,6930000.0,0,6930000.0,6930000.0,,14126000.0
SRI,2024-10-30,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001043337-24-000121,213831000.0,217488000.0,169340000.0,,,217488000.0,44491000.0,,,44176000.0,26533000.0,,17643000.0,,315000.0,,-2905000.0,-7070000.0,-3657000.0,,,,,,-752000.0,3413000.0,,665000.0,,,,,,,,,-7070000.0,0.0,,-7070000.0,,-7070000.0,0,,0,-0.26,-0.26,27618000.0,27618000.0,,662523000.0,414413000.0,,,176445000.0,,237968000.0,248110000.0,,103450000.0,44206000.0,,100454000.0,391173000.0,169891000.0,98130000.0,,,71761000.0,221282000.0,,,,,,,,271350000.0,0.0,271350000.0,,,662523000.0,10755000.0,10755000.0,,-6039000.0,-6039000.0,,5812000.0,5812000.0,,1498000.0,12026000.0,10528000.0,,129000.0,0,129000.0,129000.0,,7199000.0
SRI,2024-07-31,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001043337-24-000106,237059000.0,235209000.0,183319000.0,,,235209000.0,53740000.0,,,50333000.0,31876000.0,,18457000.0,,3407000.0,,1902000.0,2786000.0,1850000.0,,,,,,-52000.0,-936000.0,,-4725000.0,,,,,,,,,2786000.0,0.0,,2786000.0,,2786000.0,0,,0,0.1,0.1,27611000.0,27853000.0,,666651000.0,421958000.0,,,178749000.0,,243209000.0,244693000.0,,103061000.0,43586000.0,,98046000.0,-270451000.0,186247000.0,108085000.0,,,78162000.0,209953000.0,,,,,,,,270451000.0,0.0,270451000.0,,,666651000.0,8653000.0,8653000.0,,-7244000.0,-7244000.0,,-7067000.0,-7067000.0,,-670000.0,-6328000.0,-5658000.0,,2786000.0,0,-7868000.0,0.0,,-10654000.0
SRI,2024-05-01,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001043337-24-000089,239157000.0,244773000.0,190800000.0,,,244773000.0,48357000.0,,,48026000.0,30423000.0,,17603000.0,,331000.0,,-5339000.0,-6126000.0,-5616000.0,,,,,,-277000.0,510000.0,,-2279000.0,,0.0,3634000.0,-3634000.0,-3634000.0,,,0.0,-6126000.0,0.0,,-6126000.0,,-6126000.0,0,,0,-0.22,-0.22,27529000.0,27529000.0,,675412000.0,431343000.0,,,179891000.0,,251452000.0,244069000.0,,106170000.0,45270000.0,,92629000.0,-277256000.0,180246000.0,109222000.0,,,71024000.0,217910000.0,,,,,,,,277256000.0,0.0,277256000.0,,,675412000.0,9109000.0,9109000.0,,-5714000.0,-5714000.0,,5388000.0,5388000.0,,-1184000.0,7599000.0,8783000.0,,-6126000.0,0,-10935000.0,0.0,,-4809000.0
SRI,2024-03-01,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001043337-24-000007,975818000.0,977740000.0,774512000.0,,,977740000.0,201306000.0,,,188470000.0,117395000.0,,71075000.0,,12836000.0,,-1400000.0,-5183000.0,-1922000.0,,,,,,-522000.0,3261000.0,7299000.0,-4038000.0,,-26000000.0,-13000000.0,-13000000.0,-13000000.0,,,0.0,-5183000.0,0.0,,-5183000.0,,-5183000.0,0,,0,-0.19,-0.19,27443000.0,27443000.0,,679900000.0,429390000.0,,,187758000.0,,241632000.0,250510000.0,,110126000.0,47314000.0,,93070000.0,392183000.0,178241000.0,111925000.0,,23941000.0,42375000.0,213942000.0,191459000.0,22483000.0,,,,,,287717000.0,0.0,287717000.0,,,679900000.0,4946000.0,4946000.0,,-36979000.0,-36979000.0,,17485000.0,17485000.0,,591000.0,-13957000.0,-14548000.0,,5171000.0,0,5171000.0,5171000.0,,10354000.0
SRI,2023-11-01,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001043337-23-000056,238164000.0,233723000.0,185689000.0,,,233723000.0,52475000.0,,,45963000.0,28111000.0,,17852000.0,,6512000.0,,4582000.0,2171000.0,4441000.0,,,,,,-141000.0,2270000.0,,1050000.0,,0.0,3313000.0,-3313000.0,-3313000.0,,,0.0,2171000.0,0.0,,2171000.0,,2171000.0,0,,0,0.08,0.08,27484000.0,27734000.0,,678774000.0,436418000.0,,,183177000.0,,253241000.0,242356000.0,,106788000.0,45180000.0,,90388000.0,405432000.0,381914000.0,131094000.0,,,250820000.0,23518000.0,,,,,,,,273342000.0,0.0,273342000.0,,,678774000.0,-980000.0,-980000.0,,-10647000.0,-10647000.0,,14611000.0,14611000.0,,-931000.0,2053000.0,2984000.0,,-4924000.0,0,-4924000.0,-4924000.0,,-7095000.0
SRI,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001043337-23-000051,266814000.0,268319000.0,206326000.0,,,268319000.0,60488000.0,,,56157000.0,33491000.0,,22666000.0,,4331000.0,,-1176000.0,-2992000.0,-1505000.0,,,,,,-329000.0,1487000.0,,-1246000.0,,0.0,3120000.0,-3120000.0,-3120000.0,,,0.0,-2992000.0,0.0,,-2992000.0,,-2992000.0,0,,0,-0.11,-0.11,27452000.0,27452000.0,,685497000.0,438583000.0,,,175305000.0,,263278000.0,246914000.0,,106227000.0,46638000.0,,94049000.0,-277638000.0,383633000.0,136457000.0,,,247176000.0,24226000.0,,,,,,,,277638000.0,0.0,277638000.0,,,685497000.0,4494000.0,4494000.0,,-7541000.0,-7541000.0,,3042000.0,3042000.0,,-455000.0,-460000.0,-5000.0,,-2992000.0,0,288000.0,0.0,,3280000.0
SRI,2023-05-03,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001043337-23-000038,241325000.0,249419000.0,198523000.0,,,249419000.0,42802000.0,,,46831000.0,29863000.0,,16968000.0,,-4029000.0,,-7923000.0,-7386000.0,-8094000.0,,,,,,-171000.0,-708000.0,,-2536000.0,,0.0,2746000.0,-2746000.0,-2746000.0,,,0.0,-7386000.0,0.0,,-7386000.0,,-7386000.0,0,,0,-0.27,-0.27,27349000.0,27349000.0,,670738000.0,423136000.0,,,168701000.0,,254435000.0,247602000.0,,107591000.0,45585000.0,,94426000.0,-276243000.0,201999000.0,131996000.0,,,70003000.0,192496000.0,,,,,,,,276243000.0,0.0,276243000.0,,,670738000.0,-9182000.0,-9182000.0,,-8755000.0,-8755000.0,,-2119000.0,-2119000.0,,423000.0,-19633000.0,-20056000.0,,-7386000.0,0,-3546000.0,0.0,,3840000.0
SRI,2023-03-02,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001043337-23-000013,899923000.0,910619000.0,724997000.0,,,910619000.0,174926000.0,,,171991000.0,106695000.0,,65296000.0,,2935000.0,,-9873000.0,-14056000.0,-10696000.0,,,,,,-823000.0,3360000.0,8470000.0,-5110000.0,,,,-7097000.0,-7097000.0,,,0.0,-14056000.0,0.0,,-14056000.0,,-14056000.0,0,,0,-0.52,-0.52,27258000.0,27258000.0,,652105000.0,409551000.0,,,152580000.0,,256971000.0,242554000.0,,104643000.0,45508000.0,,92403000.0,371163000.0,177692000.0,110202000.0,,19015000.0,48475000.0,193471000.0,169252000.0,24219000.0,,,,,,280942000.0,0.0,280942000.0,,,652105000.0,6806000.0,6806000.0,,-28581000.0,-28581000.0,,-7297000.0,-7297000.0,,-1677000.0,-30749000.0,-29072000.0,,-20174000.0,0,-20174000.0,-6118000.0,,-6118000.0
SRI,2022-11-02,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-016028,226757000.0,225037000.0,177317000.0,,,225037000.0,49440000.0,,,43577000.0,27444000.0,,16133000.0,,5863000.0,,1686000.0,731000.0,1720000.0,,,,,,34000.0,989000.0,,-966000.0,,0.0,1845000.0,-1845000.0,-1845000.0,,,0.0,731000.0,0.0,,731000.0,,731000.0,0,,0,0.03,0.03,27281000.0,27524000.0,,633056000.0,398531000.0,,,150704000.0,,247827000.0,234525000.0,,101897000.0,43116000.0,,89512000.0,368892000.0,177950000.0,106297000.0,,,71653000.0,190942000.0,,,,,,,,264164000.0,0.0,264164000.0,,,633056000.0,-6320000.0,-6320000.0,,-8282000.0,-8282000.0,,7985000.0,7985000.0,,-1738000.0,-8355000.0,-6617000.0,,-9893000.0,0,-9893000.0,-10624000.0,,-10624000.0
