ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
SSD,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000920371-25-000091,538895000.0,434415000.0,286855000.0,,,434415000.0,252040000.0,,,149669000.0,,,,,102319000.0,,,77884000.0,104480000.0,,,,,,,26596000.0,,-1256000.0,,,,,,,,,77884000.0,0,,77884000.0,,77884000.0,0,,0,1.86,1.85,41846000.0,42010000.0,,2822956000.0,1204245000.0,,,618784000.0,,585461000.0,1618711000.0,,568503000.0,381079000.0,,669129000.0,952438000.0,380030000.0,118019000.0,,,262011000.0,572408000.0,382500000.0,189908000.0,,,,,,1861714000.0,0,1861714000.0,,,2822956000.0,7563000.0,7563000.0,,-50102000.0,-50102000.0,,-42832000.0,-42832000.0,,-3710000.0,-89081000.0,-85371000.0,,90031000.0,0,90031000.0,90031000.0,,
SSD,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000920371-24-000182,587153000.0,460660000.0,312096000.0,,,460660000.0,275057000.0,,,148872000.0,,,,,124854000.0,,,93519000.0,126493000.0,,,,,,,32974000.0,,-3871000.0,,,,,,,,,93519000.0,0,,93519000.0,,93519000.0,0,,0,2.22,2.21,42151000.0,42335000.0,,2897459000.0,1334766000.0,,,583380000.0,,751386000.0,1562693000.0,,371342000.0,395517000.0,,795834000.0,1034015000.0,377951000.0,110321000.0,,,267630000.0,656064000.0,393750000.0,262314000.0,,,,,,1856971000.0,0,1856971000.0,,,2897459000.0,103279000.0,103279000.0,,-106429000.0,-106429000.0,,-17919000.0,-17919000.0,,5645000.0,-15424000.0,-21069000.0,,108045000.0,0,108045000.0,108045000.0,,
SSD,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000920371-24-000163,596978000.0,464288000.0,318431000.0,,,464288000.0,278547000.0,,,145009000.0,,,,,132186000.0,,,97831000.0,132690000.0,,,,,,,34859000.0,,-4437000.0,,,,,,,,,97831000.0,0,,97831000.0,,97831000.0,0,,0,2.32,2.31,42251000.0,42418000.0,,2773361000.0,1331076000.0,,,533625000.0,,797451000.0,1442285000.0,,459297000.0,352496000.0,,630492000.0,1008560000.0,360325000.0,104670000.0,,,255655000.0,0.0,399375000.0,248860000.0,,,,,,1764801000.0,0,1764801000.0,,,2773361000.0,111148000.0,111148000.0,,-56315000.0,-56315000.0,,-68313000.0,-68313000.0,,-791000.0,-14271000.0,-13480000.0,,97537000.0,0,97537000.0,97537000.0,,
SSD,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000920371-24-000120,530579000.0,432161000.0,286023000.0,,,432161000.0,244556000.0,,,146610000.0,,,,,96098000.0,,,75430000.0,98418000.0,,,,,,,22988000.0,,-881000.0,,,,,,,,,75430000.0,0,,75430000.0,,75430000.0,0,,0,1.78,1.77,42386000.0,42630000.0,,2721946000.0,1328754000.0,,,555745000.0,,773009000.0,1393192000.0,,437429000.0,352527000.0,,603236000.0,996283000.0,352441000.0,102997000.0,,,249444000.0,0.0,405000000.0,238842000.0,,,,,,1725663000.0,0,1725663000.0,,,2721946000.0,7938000.0,7938000.0,,-39371000.0,-39371000.0,,-24800000.0,-24800000.0,,-4467000.0,-60700000.0,-56233000.0,,60833000.0,0,60833000.0,60833000.0,,
SSD,2024-02-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000920371-24-000063,2213803000.0,1737256000.0,1170048000.0,,,1737256000.0,1043755000.0,,,564250000.0,,,24800000.0,539450000.0,475149000.0,,,353987000.0,476547000.0,,,,,,,122560000.0,,-7541000.0,,,4486000.0,,,,,,353987000.0,0,,353987000.0,,353987000.0,0,,0,8.31,8.26,,,,2704724000.0,1312441000.0,,,551575000.0,,760866000.0,1392283000.0,,418612000.0,365339000.0,,608332000.0,1024978000.0,361257000.0,107524000.0,,,253733000.0,663721000.0,410625000.0,253096000.0,,,,,,1679746000.0,0,1679746000.0,,,2704724000.0,427022000.0,418478000.0,8544000.0,-103251000.0,-103251000.0,,-199034000.0,-199034000.0,,4343000.0,129080000.0,116193000.0,8544000.0,348056000.0,0,348056000.0,7163000.0,,
SSD,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000920371-23-000180,580084000.0,440008000.0,297167000.0,,,440008000.0,282917000.0,,,141935000.0,,,,,140213000.0,,,104021000.0,140076000.0,,,,,,,36055000.0,,-4312000.0,,,,,,,,,104021000.0,0,,104021000.0,,104021000.0,0,,0,2.44,2.43,42673000.0,42882000.0,,2815487000.0,1478199000.0,,,504446000.0,,973753000.0,1337288000.0,,382508000.0,356450000.0,,598330000.0,1145996000.0,427569000.0,95267000.0,,,332302000.0,718427000.0,416250000.0,302177000.0,,,,,,1669491000.0,0,1669491000.0,,,2815487000.0,200937000.0,200937000.0,,-18505000.0,-18505000.0,,-17179000.0,-17179000.0,,-2229000.0,163024000.0,165253000.0,,91866000.0,0,91866000.0,91866000.0,,
SSD,2023-08-07,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000920371-23-000154,597580000.0,452907000.0,310114000.0,,,452907000.0,287466000.0,,,140743000.0,,,,,145021000.0,,,107211000.0,144673000.0,,,,,,,37462000.0,,-6517000.0,,,,,,,,,107211000.0,0,,107211000.0,,107211000.0,0,,0,2.51,2.5,42669000.0,42813000.0,,2719349000.0,1372804000.0,,,523561000.0,,849243000.0,1346545000.0,,375240000.0,369649000.0,,601656000.0,1135738000.0,396948000.0,97847000.0,,,299101000.0,0.0,421875000.0,316915000.0,,,,,,1583611000.0,0,1583611000.0,,,2719349000.0,194282000.0,194282000.0,,-21006000.0,-21006000.0,,-17179000.0,-17179000.0,,-656000.0,155441000.0,156097000.0,,102084000.0,0,102084000.0,102084000.0,,
SSD,2023-05-08,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000920371-23-000122,534430000.0,417035000.0,281554000.0,,,417035000.0,252876000.0,,,133121000.0,,,,,118363000.0,,,87954000.0,117395000.0,,,,,,,29441000.0,,0.0,,,,,,,,,87954000.0,0,,87954000.0,,87954000.0,0,,0,2.06,2.05,42610000.0,42827000.0,,2555634000.0,1222541000.0,,,576433000.0,,646108000.0,1333093000.0,,369089000.0,366122000.0,,597882000.0,1068225000.0,330666000.0,95302000.0,,,235364000.0,0.0,427500000.0,310059000.0,,,,,,1487409000.0,0,1487409000.0,,,2555634000.0,2958000.0,2958000.0,,-27043000.0,-27043000.0,,-23817000.0,-23817000.0,,-299000.0,-48201000.0,-47902000.0,,88027000.0,0,88027000.0,88027000.0,,
SSD,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000920371-23-000072,2116087000.0,1668022000.0,1174794000.0,,,1668022000.0,941293000.0,,,466200000.0,,,15700000.0,450500000.0,459067000.0,,,333995000.0,448065000.0,,,,,,,114070000.0,,-13156000.0,,,8027000.0,,,,,,333995000.0,0,,333995000.0,,333995000.0,0,,0,7.78,7.76,,,,2503971000.0,1179250000.0,,,556801000.0,,622449000.0,1324721000.0,,361555000.0,362917000.0,,600249000.0,1090592000.0,348563000.0,97841000.0,,,250722000.0,742029000.0,433125000.0,308904000.0,,,,,,1413379000.0,0,1413379000.0,,,2503971000.0,399821000.0,399821000.0,,-870244000.0,-870244000.0,,465526000.0,465526000.0,,4484000.0,-413000.0,-4897000.0,,347541000.0,0,347541000.0,35761000.0,,
SSD,2022-11-08,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0000920371-22-000162,553662000.0,435537000.0,309139000.0,,,435537000.0,244523000.0,,,119942000.0,,,,,122815000.0,,,88243000.0,118125000.0,,,,,,,29882000.0,,-8599000.0,,,,,,,,,88243000.0,0,,88243000.0,,88243000.0,0,,0,2.06,2.06,42813000.0,42916000.0,,2504258000.0,1232147000.0,,,540020000.0,,692127000.0,1272111000.0,,341233000.0,330533000.0,,600345000.0,1166703000.0,346166000.0,98646000.0,,,247520000.0,820537000.0,438750000.0,381787000.0,,,,,,1337555000.0,0,1337555000.0,,,2504258000.0,124945000.0,124945000.0,,-11962000.0,-11962000.0,,-45082000.0,-45082000.0,,-4773000.0,63128000.0,67901000.0,,89049000.0,0,89049000.0,89049000.0,,
