ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
STC,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000094344-25-000012,611984000.0,606084000.0,,,,606084000.0,,,,606084000.0,,15322000.0,,590762000.0,5900000.0,,5631000.0,5416000.0,5900000.0,,,,,,269000.0,484000.0,,,,,,,,,596275000.0,,5416000.0,2339000.0,,3077000.0,,3077000.0,0.0,,0.0,0.11,0.11,27828000.0,28341000.0,,2707096000.0,2707096000.0,,,,,,0,,,165156000.0,,,1299233000.0,1299233000.0,,,,,0,,,,,,,,1407863000.0,7436000.0,1400427000.0,,,2707096000.0,-29927000.0,-29927000.0,,-20007000.0,-20007000.0,,-18645000.0,-18645000.0,,791000.0,-67788000.0,-68579000.0,,11787000.0,2339000.0,9448000.0,6371000.0,,
STC,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000094344-25-000004,2490419000.0,2376108000.0,,,,2376108000.0,,,,2376108000.0,,61612000.0,,2314496000.0,114311000.0,,112552000.0,88156000.0,114311000.0,,,,,,1759000.0,26155000.0,21534000.0,4621000.0,,,,,,,2422112000.0,,88156000.0,14846000.0,,73310000.0,,73310000.0,0.0,,0.0,2.65,2.61,27628000.0,28129000.0,,2730145000.0,2730145000.0,,,,,,0,,,173075000.0,,,1319056000.0,1319056000.0,,,,,0,445841000.0,,,,,,,1411089000.0,8947000.0,1402142000.0,,,2730145000.0,135609000.0,135609000.0,,-87263000.0,-87263000.0,,-60958000.0,-60958000.0,,-4455000.0,-17067000.0,-12612000.0,,79974000.0,14846000.0,65128000.0,-8182000.0,,
STC,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000094344-24-000018,667941000.0,625149000.0,,,,625149000.0,,,,625149000.0,,15480000.0,,609669000.0,42792000.0,,42268000.0,33669000.0,42792000.0,,,,,,524000.0,9123000.0,,,,,,,,,,,33669000.0,3573000.0,,30096000.0,,30096000.0,0.0,,0.0,1.09,1.07,27688000.0,28200000.0,,2729570000.0,2729570000.0,,,,,,0,,,175166000.0,,,1315235000.0,1315235000.0,,,,,0,,,,,,,,1414335000.0,7254000.0,1407081000.0,,,2729570000.0,76121000.0,76121000.0,,-15316000.0,-15316000.0,,-12085000.0,-12085000.0,,1647000.0,50367000.0,48720000.0,,51928000.0,3573000.0,48355000.0,18259000.0,,
STC,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000094344-24-000015,602230000.0,573225000.0,,,,573225000.0,,,,573225000.0,,15198000.0,,558027000.0,29005000.0,,28488000.0,21065000.0,29005000.0,,,,,,517000.0,7940000.0,,,,,,,,,,,21065000.0,3722000.0,,17343000.0,,17343000.0,0.0,,0.0,0.63,0.62,27592000.0,28013000.0,0.48,2645486000.0,2645486000.0,,,,,,0,,,177112000.0,,,1274212000.0,-1371274000.0,,,,,0,,,,,,,,1371274000.0,6551000.0,1364723000.0,,,2645486000.0,21123000.0,21123000.0,,-8894000.0,-8894000.0,,-16797000.0,-16797000.0,,-378000.0,-4946000.0,-4568000.0,,20313000.0,3722000.0,16591000.0,-752000.0,,
STC,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000094344-24-000009,554315000.0,547169000.0,,,,547169000.0,,,,547169000.0,,15384000.0,,531785000.0,7146000.0,,7156000.0,6210000.0,7146000.0,,,,,,-10000.0,936000.0,,,,,5058000.0,,,,,,6210000.0,3080000.0,,3130000.0,,3130000.0,0.0,,0.0,0.11,0.11,27512000.0,28027000.0,0.48,2651389000.0,2651389000.0,,,,,,0,,,185067000.0,,,1287246000.0,-1364143000.0,,,,,0,,,,,,,,1364143000.0,6498000.0,1357645000.0,,,2651389000.0,-29588000.0,-29588000.0,,-47377000.0,-47377000.0,,-16771000.0,-16771000.0,,-1278000.0,-95014000.0,-93736000.0,,-386000.0,3080000.0,-3466000.0,-6596000.0,,
STC,2024-02-29,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000094344-24-000005,2257341000.0,2196480000.0,,,,2196480000.0,,,,2196480000.0,,62447000.0,,2134033000.0,60861000.0,,59790000.0,45598000.0,60861000.0,,,,,,1071000.0,15263000.0,22047000.0,-6784000.0,,,19737000.0,,,,,,45598000.0,15159000.0,,30439000.0,,30439000.0,0.0,,0.0,1.12,1.11,27293000.0,27520000.0,1.85,2702861000.0,2702861000.0,,,,,,0,,,193196000.0,,,1324312000.0,1324312000.0,,,,,0,445290000.0,,,,,,,1378549000.0,7138000.0,1371411000.0,,,2702861000.0,83042000.0,83042000.0,,-29969000.0,-29969000.0,,-69099000.0,-69099000.0,,1024000.0,-15002000.0,-16026000.0,,61726000.0,15159000.0,46567000.0,16128000.0,,
STC,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000094344-23-000020,601714000.0,574650000.0,,,,574650000.0,,,,574650000.0,,16414000.0,,558236000.0,27064000.0,,26595000.0,17930000.0,27064000.0,,,,,,469000.0,9134000.0,,,,,5054000.0,,,,,,17930000.0,3931000.0,,13999000.0,,13999000.0,0.0,,0.0,0.51,0.51,27348000.0,27650000.0,0.48,2669070000.0,2669070000.0,,,,,,0,,,201539000.0,,,1309871000.0,1309871000.0,,,,,0,,,,,,,,1359199000.0,7338000.0,1351861000.0,,,2669070000.0,59533000.0,59533000.0,,-29443000.0,-29443000.0,,-15483000.0,-15483000.0,,-1661000.0,12946000.0,14607000.0,,4635000.0,3931000.0,704000.0,-13295000.0,,
STC,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000094344-23-000017,549154000.0,523980000.0,,,,523980000.0,,,,523980000.0,,15528000.0,,508452000.0,25174000.0,,24824000.0,19782000.0,25174000.0,,,,,,350000.0,5392000.0,,,,,4875000.0,,,,,,19782000.0,3967000.0,,15815000.0,,15815000.0,0.0,,0.0,0.58,0.58,27255000.0,27444000.0,0.45,2677838000.0,2677838000.0,,,,,,0,,,204509000.0,,,1311843000.0,-1365995000.0,,,,,0,,,,,,,,1365995000.0,7504000.0,1358491000.0,,,2677838000.0,35107000.0,35107000.0,,-2498000.0,-2498000.0,,-18297000.0,-18297000.0,,912000.0,15224000.0,14312000.0,,18492000.0,3967000.0,14525000.0,-1290000.0,,
STC,2023-05-08,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000094344-23-000009,524305000.0,534461000.0,,,,534461000.0,,,,534461000.0,,14906000.0,,519555000.0,-10156000.0,,-10184000.0,-5218000.0,-10156000.0,,,,,,28000.0,-4938000.0,,,,,4849000.0,,,,,,-5218000.0,2972000.0,,-8190000.0,,-8190000.0,0.0,,0.0,-0.3,-0.3,27201000.0,27201000.0,0.45,2679060000.0,2679060000.0,,,,,,0,,,190827000.0,,,1319308000.0,-1359752000.0,,,,,0,,,,,,,,1359752000.0,7311000.0,1352441000.0,,,2679060000.0,-51062000.0,-51062000.0,,-4812000.0,-4812000.0,,-17383000.0,-17383000.0,,-295000.0,-73552000.0,-73257000.0,,2089000.0,2972000.0,-883000.0,7307000.0,,
STC,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000094344-23-000005,3069296000.0,2836644000.0,,,,2836644000.0,,,,2836644000.0,,57178000.0,,2779466000.0,232652000.0,,229395000.0,181788000.0,232652000.0,,,,,,3257000.0,50864000.0,50571000.0,293000.0,,,18403000.0,,,,,,181788000.0,19483000.0,,162305000.0,,162305000.0,0.0,,0.0,6.0,5.94,27055000.0,27347000.0,1.65,2737879000.0,2737879000.0,,,,,,0,,,199084000.0,,,1367614000.0,1367614000.0,,,,,0,447006000.0,,,,,,,1370265000.0,8114000.0,1362151000.0,,,2737879000.0,191860000.0,191860000.0,,-300665000.0,-300665000.0,,-123220000.0,-123220000.0,,-5527000.0,-237552000.0,-232025000.0,,130192000.0,19483000.0,110709000.0,-51596000.0,,
