ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
STT,2025-05-01,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000093751-25-000226,3284000000.0,2462000000.0,,,,2462000000.0,,,,2462000000.0,,,,,822000000.0,,,644000000.0,822000000.0,,,,,,,178000000.0,,18000000.0,,2922000000.0,,714000000.0,714000000.0,2450000000.0,2570000000.0,0.0,644000000.0,0.0,,644000000.0,,597000000.0,47000000.0,,47000000.0,2.07,2.04,288562000.0,292716000.0,,372693000000.0,372693000000.0,,,,,,0.0,,,,,,346001000000.0,346001000000.0,,,,,0,,,,,,,,26692000000.0,0.0,26692000000.0,,,372693000000.0,2396000000.0,2396000000.0,,-14607000000.0,-14607000000.0,,13724000000.0,13724000000.0,,,1513000000.0,1513000000.0,,952000000.0,0.0,952000000.0,952000000.0,,308000000.0
STT,2025-02-13,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000093751-25-000111,13000000000.0,9605000000.0,,,,9605000000.0,,,,9605000000.0,,,,,3395000000.0,,,2687000000.0,3395000000.0,,,,,,,708000000.0,563000000.0,145000000.0,,11977000000.0,,2923000000.0,2923000000.0,9530000000.0,10156000000.0,0.0,2687000000.0,0.0,,2687000000.0,,2483000000.0,204000000.0,,204000000.0,8.33,8.21,297883000.0,302226000.0,,353240000000.0,353240000000.0,,,,,,0.0,,,,,,327914000000.0,327914000000.0,,,,,0,,,,,,,,25326000000.0,0.0,25326000000.0,,,353240000000.0,-13210000000.0,-13210000000.0,,-39483000000.0,-39483000000.0,,51791000000.0,51791000000.0,,,-902000000.0,-902000000.0,,2941000000.0,0.0,2941000000.0,2941000000.0,,254000000.0
STT,2024-10-31,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000093751-24-000909,3259000000.0,2334000000.0,,,,2334000000.0,,,,2334000000.0,,,,,925000000.0,,,730000000.0,925000000.0,,,,,,,195000000.0,,40000000.0,,3081000000.0,,723000000.0,723000000.0,2308000000.0,2616000000.0,0.0,730000000.0,0.0,,730000000.0,,682000000.0,48000000.0,,48000000.0,2.29,2.26,297365000.0,301847000.0,,338481000000.0,338481000000.0,,,,,,0.0,,2621000000.0,,,,312653000000.0,312653000000.0,,,,,0,,,,,,,,25828000000.0,0.0,25828000000.0,,,338481000000.0,2708000000.0,2708000000.0,,-6267000000.0,-6267000000.0,,4728000000.0,4728000000.0,,,1169000000.0,1169000000.0,,1419000000.0,0.0,1419000000.0,1419000000.0,,689000000.0
STT,2024-08-01,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000093751-24-000665,3191000000.0,2279000000.0,,,,2279000000.0,,,,2279000000.0,,,,,912000000.0,,,711000000.0,912000000.0,,,,,,,201000000.0,,9000000.0,,2998000000.0,,735000000.0,735000000.0,2269000000.0,2456000000.0,0.0,711000000.0,0.0,,711000000.0,,655000000.0,0.0,,0.0,2.18,2.15,300564000.0,304765000.0,,325603000000.0,325603000000.0,,,,,,0.0,,2539000000.0,,,,300841000000.0,-24762000000.0,,,,,0,,,,,,,,24762000000.0,0.0,24762000000.0,,,325603000000.0,-7644000000.0,-7644000000.0,,19178000000.0,19178000000.0,,-12049000000.0,-12049000000.0,,,-515000000.0,-515000000.0,,711000000.0,0.0,766000000.0,0.0,,55000000.0
STT,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-056459,726400000.0,577900000.0,,,,577900000.0,,,-44800000.0,533100000.0,,65900000.0,,467200000.0,193300000.0,,,131600000.0,148500000.0,,,,,,,16900000.0,,16700000.0,,,,,,,,,131600000.0,3700000.0,,127900000.0,,131600000.0,0.0,,0.0,1.88,1.87,68200000.0,68300000.0,0.65,9676700000.0,797600000.0,,,130600000.0,,667000000.0,8879100000.0,,7223100000.0,8400000.0,,1647600000.0,-3422500000.0,1088400000.0,132600000.0,,52200000.0,903600000.0,0,,,,,,,,3422500000.0,0.0,3333900000.0,,,9676700000.0,233400000.0,233400000.0,,-176900000.0,-176900000.0,,-19800000.0,-19800000.0,,,36700000.0,36700000.0,,134100000.0,3700000.0,130400000.0,2500000.0,,
STT,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000093751-24-000587,3138000000.0,2540000000.0,,,,2540000000.0,,,,2540000000.0,,,,,598000000.0,,,463000000.0,598000000.0,,,,,,,135000000.0,,8000000.0,,2889000000.0,2173000000.0,716000000.0,716000000.0,2513000000.0,2422000000.0,0.0,463000000.0,0.0,,463000000.0,,418000000.0,0.0,,0.0,1.38,1.37,301991000.0,305943000.0,,338003000000.0,338003000000.0,,,,,,0.0,,2479000000.0,,,,313570000000.0,-24433000000.0,,,,,0,,,,,,,,24433000000.0,0.0,24433000000.0,,,338003000000.0,-844000000.0,-844000000.0,,-41352000000.0,-41352000000.0,,41562000000.0,41562000000.0,,,-634000000.0,-634000000.0,,463000000.0,0.0,448000000.0,0.0,,-15000000.0
STT,2024-02-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000093751-24-000498,11945000000.0,9629000000.0,,,,9629000000.0,,,,9629000000.0,,,,,2316000000.0,,,1944000000.0,2316000000.0,,,,,,,372000000.0,556000000.0,-184000000.0,,9180000000.0,6421000000.0,2759000000.0,2759000000.0,9583000000.0,9480000000.0,0.0,1944000000.0,0.0,,1944000000.0,,1821000000.0,123000000.0,,123000000.0,5.65,5.58,322337000.0,326568000.0,,297258000000.0,297258000000.0,,,,,,0.0,,2399000000.0,,,,273459000000.0,273459000000.0,,,,,0,,,,,,,,23799000000.0,0.0,23799000000.0,,,297258000000.0,690000000.0,690000000.0,,12738000000.0,12738000000.0,,-13351000000.0,-13351000000.0,,,77000000.0,77000000.0,,3301000000.0,0.0,3301000000.0,3301000000.0,,1357000000.0
STT,2023-10-27,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000093751-23-000694,2691000000.0,2180000000.0,,,,2180000000.0,,,,2180000000.0,,,,,511000000.0,,,422000000.0,511000000.0,,,,,,,89000000.0,,-8000000.0,,2328000000.0,1704000000.0,624000000.0,624000000.0,2180000000.0,2361000000.0,0.0,422000000.0,0.0,,422000000.0,,398000000.0,24000000.0,,24000000.0,1.27,1.25,313147000.0,317329000.0,,284415000000.0,284415000000.0,,,,,,0.0,,2334000000.0,,,,260794000000.0,260794000000.0,,,,,0,,,,,,,,23621000000.0,0.0,23621000000.0,,,284415000000.0,222000000.0,222000000.0,,10168000000.0,10168000000.0,,-10311000000.0,-10311000000.0,,,79000000.0,79000000.0,,635000000.0,0.0,635000000.0,635000000.0,,213000000.0
STT,2023-07-28,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000093751-23-000642,3110000000.0,2194000000.0,,,,2194000000.0,,,,2194000000.0,,,,,916000000.0,,,763000000.0,916000000.0,,,,,,,153000000.0,,-16000000.0,,2232000000.0,1541000000.0,691000000.0,691000000.0,2212000000.0,2419000000.0,0.0,763000000.0,0.0,,763000000.0,,726000000.0,0.0,,0.0,2.2,2.17,329383000.0,333540000.0,,294561000000.0,294561000000.0,,,,,,0.0,,2349000000.0,,,,270357000000.0,-24204000000.0,,,,,0,,,,,,,,24204000000.0,0.0,24204000000.0,,,294561000000.0,-852000000.0,-852000000.0,,2086000000.0,2086000000.0,,-1002000000.0,-1002000000.0,,,232000000.0,232000000.0,,763000000.0,0.0,777000000.0,0.0,,14000000.0
STT,2023-04-27,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000093751-23-000554,3101000000.0,2413000000.0,,,,2413000000.0,,,,2413000000.0,,,,,688000000.0,,,549000000.0,688000000.0,,,,,,,139000000.0,,32000000.0,,2027000000.0,1261000000.0,766000000.0,766000000.0,2369000000.0,2335000000.0,0.0,549000000.0,0.0,,549000000.0,,525000000.0,0.0,,0.0,1.54,1.52,341106000.0,345472000.0,,290816000000.0,290816000000.0,,,,,,0.0,,2337000000.0,,,,266066000000.0,-24750000000.0,,,,,0,,,,,,,,24750000000.0,0.0,24750000000.0,,,290816000000.0,-2862000000.0,-2862000000.0,,14312000000.0,14312000000.0,,-11722000000.0,-11722000000.0,,,-272000000.0,-272000000.0,,549000000.0,0.0,988000000.0,0.0,,439000000.0
