ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
TLN,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-023501,390000000.0,577000000.0,,,,577000000.0,,,,496000000.0,,,,,-106000000.0,,,-135000000.0,-187000000.0,,,,,,,-52000000.0,,-70000000.0,74000000.0,,,,,,,,-135000000.0,0.0,,-135000000.0,,-135000000.0,0,,0,-2.94,-2.94,45849000.0,45849000.0,,5865000000.0,846000000.0,,,219000000.0,,627000000.0,5019000000.0,,3138000000.0,,,1881000000.0,4685000000.0,522000000.0,,,,,4163000000.0,2992000000.0,1171000000.0,,,,,,1180000000.0,0.0,1180000000.0,,,5865000000.0,119000000.0,119000000.0,,-68000000.0,-68000000.0,,-96000000.0,-96000000.0,,,-45000000.0,-45000000.0,,-133000000.0,0.0,-133000000.0,2000000.0,,
TLN,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-008786,2115000000.0,1004000000.0,,,,1004000000.0,,,,1889000000.0,,,,,226000000.0,,,1013000000.0,1111000000.0,,,,,,,98000000.0,144000000.0,-46000000.0,238000000.0,,,,,,,,1013000000.0,15000000.0,,998000000.0,,998000000.0,0,,0,18.4,17.67,54254000.0,56486000.0,,6106000000.0,1040000000.0,,,302000000.0,,738000000.0,5066000000.0,,3154000000.0,,,1912000000.0,4719000000.0,455000000.0,,,,,4264000000.0,3004000000.0,1260000000.0,,,,,,1387000000.0,0.0,1387000000.0,,,6106000000.0,256000000.0,256000000.0,,1171000000.0,1171000000.0,,-1963000000.0,-1963000000.0,,,-536000000.0,-536000000.0,,1024000000.0,15000000.0,1009000000.0,11000000.0,,
TLN,2024-11-14,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-047751,650000000.0,471000000.0,,,,471000000.0,,,,492000000.0,,75000000.0,1000000.0,416000000.0,158000000.0,,,168000000.0,179000000.0,,,,,,,11000000.0,,-55000000.0,66000000.0,,,,,,,,168000000.0,0.0,,168000000.0,,168000000.0,0,,0,3.3,3.16,50924000.0,53169000.0,,6848000000.0,1673000000.0,,,297000000.0,,1376000000.0,5175000000.0,,3228000000.0,,,1947000000.0,4403000000.0,408000000.0,,,,,3995000000.0,2625000000.0,1370000000.0,,,,,,2445000000.0,58000000.0,2387000000.0,,,6848000000.0,96000000.0,96000000.0,,246000000.0,246000000.0,,-325000000.0,-325000000.0,,,17000000.0,17000000.0,,192000000.0,0.0,192000000.0,24000000.0,,
TLN,2016-11-10,2016,Q3,2016-07-01,2016-09-30,https://api.polygon.io/v1/reference/sec/filings/0001622536-16-000174,1238000000.0,1096000000.0,,,,1096000000.0,,,,1045000000.0,,,,,193000000.0,,142000000.0,88000000.0,142000000.0,,,,,,,54000000.0,,,,,60000000.0,,,,,,88000000.0,0.0,,88000000.0,,88000000.0,0,,0,0.69,0.68,128527000.0,130143000.0,,12429000000.0,2579000000.0,,,407000000.0,45000000.0,2127000000.0,341000000.0,,8481000000.0,103000000.0,,,7862000000.0,1276000000.0,260000000.0,,,1016000000.0,2692000000.0,,,,,,,,4567000000.0,0.0,4567000000.0,,,12429000000.0,342000000.0,342000000.0,,-71000000.0,-71000000.0,,-4000000.0,-4000000.0,,,267000000.0,267000000.0,,99000000.0,0.0,99000000.0,11000000.0,,
TLN,2016-08-05,2016,Q2,2016-04-01,2016-06-30,https://api.polygon.io/v1/reference/sec/filings/0001622536-16-000148,697000000.0,703000000.0,,,,703000000.0,,,,649000000.0,,,,,48000000.0,,-6000000.0,-3000000.0,-6000000.0,,,,,,,-3000000.0,,,,,60000000.0,,,,,,-3000000.0,0.0,,-3000000.0,,-3000000.0,0,,0,-0.02,-0.02,128527000.0,128527000.0,,12403000000.0,2535000000.0,,,482000000.0,57000000.0,1996000000.0,302000000.0,,8564000000.0,105000000.0,,,7938000000.0,1482000000.0,262000000.0,,,1220000000.0,2560000000.0,,,,,,,,4465000000.0,0.0,4465000000.0,,,12403000000.0,11000000.0,11000000.0,,707000000.0,707000000.0,,-20000000.0,-20000000.0,,,698000000.0,698000000.0,,2000000.0,0.0,2000000.0,5000000.0,,
TLN,2016-05-10,2016,Q1,2016-01-01,2016-03-31,https://api.polygon.io/v1/reference/sec/filings/0001622536-16-000122,1173000000.0,916000000.0,,,,916000000.0,,,,862000000.0,,,,,311000000.0,,257000000.0,151000000.0,257000000.0,,,,,,,106000000.0,,,,,60000000.0,,,,,,151000000.0,0.0,,151000000.0,,151000000.0,0,,0,1.18,1.17,128526000.0,129018000.0,,12595000000.0,2528000000.0,,,484000000.0,65000000.0,1979000000.0,518000000.0,,8561000000.0,312000000.0,,,8132000000.0,1540000000.0,277000000.0,,,1263000000.0,2678000000.0,,,,,,,,4463000000.0,0.0,4463000000.0,,,12595000000.0,196000000.0,196000000.0,,583000000.0,583000000.0,,-527000000.0,-527000000.0,,,252000000.0,252000000.0,,155000000.0,0.0,155000000.0,4000000.0,,
TLN,2016-02-29,2015,FY,2015-01-01,2015-12-31,https://api.polygon.io/v1/reference/sec/filings/0001622536-16-000111,4481000000.0,4849000000.0,,,,4849000000.0,,,,4520000000.0,,,,,-39000000.0,,-368000000.0,-341000000.0,-368000000.0,0.0,,,,,,-27000000.0,43000000.0,-59000000.0,,,211000000.0,,,,,,-341000000.0,0.0,,-341000000.0,,-341000000.0,0,,0,-3.1,-3.1,109898000.0,109898000.0,,12826000000.0,2762000000.0,,,508000000.0,52000000.0,2202000000.0,501000000.0,,8587000000.0,310000000.0,,,8523000000.0,2088000000.0,291000000.0,,,1797000000.0,2631000000.0,4203000000.0,,,,,,,4303000000.0,0.0,4303000000.0,,,12826000000.0,768000000.0,768000000.0,,-915000000.0,-915000000.0,,-64000000.0,-64000000.0,,,-211000000.0,-211000000.0,,-344000000.0,0.0,-344000000.0,-3000000.0,,
TLN,2015-11-09,2015,Q3,2015-07-01,2015-09-30,https://api.polygon.io/v1/reference/sec/filings/0001622536-15-000063,1320000000.0,1721000000.0,,,,1721000000.0,,,,1665000000.0,,,,,-346000000.0,,-300000000.0,-401000000.0,-300000000.0,-62000000.0,,,,,,39000000.0,,,,,55000000.0,,,,,,-401000000.0,0.0,,-401000000.0,,-401000000.0,0,,0,-3.12,-3.12,128509000.0,128509000.0,,12254000000.0,2622000000.0,,,468000000.0,52000000.0,2102000000.0,623000000.0,,8071000000.0,309000000.0,,,7852000000.0,1848000000.0,278000000.0,,,1570000000.0,2628000000.0,,,,,,,,4402000000.0,0.0,4402000000.0,,,12254000000.0,376000000.0,376000000.0,,-46000000.0,-46000000.0,,-34000000.0,-34000000.0,,,296000000.0,296000000.0,,-401000000.0,0.0,-424000000.0,-23000000.0,,
TLN,2015-08-12,2015,Q2,2015-04-01,2015-06-30,https://api.polygon.io/v1/reference/sec/filings/0001622536-15-000020,948000000.0,922000000.0,,,,922000000.0,,,,1031000000.0,,,,,35000000.0,,-18000000.0,26000000.0,-18000000.0,1000000.0,,,,,,-43000000.0,,,,,55000000.0,,,,,,26000000.0,0.0,,26000000.0,,26000000.0,0,,0,0.26,0.26,98354000.0,98376000.0,,12862000000.0,2621000000.0,,,481000000.0,38000000.0,2102000000.0,1093000000.0,,8163000000.0,304000000.0,,,8036000000.0,2296000000.0,281000000.0,,,2015000000.0,2565000000.0,,,,,,,,4826000000.0,0.0,4826000000.0,,,12862000000.0,,,,,,,,,,,,,,26000000.0,0.0,62000000.0,36000000.0,,
TLN,,,TTM,2024-04-01,2025-03-31,,1996000000.0,1460000000.0,,,,1460000000.0,,,,1901000000.0,,,,,95000000.0,,,559000000.0,536000000.0,,,,,,,-23000000.0,,-173000000.0,253000000.0,,,,,,,,559000000.0,-10000000.0,,573000000.0,,569000000.0,0,,0,10.219999999999997,9.630000000000003,152758000.0,157523000.0,,5865000000.0,846000000.0,,,219000000.0,,627000000.0,5019000000.0,,3138000000.0,,,1881000000.0,4685000000.0,522000000.0,,,,,4163000000.0,2992000000.0,1171000000.0,,,,,,1180000000.0,0.0,1180000000.0,,,5865000000.0,202000000.0,202000000.0,,838000000.0,838000000.0,,-1800000000.0,-1800000000.0,,,-760000000.0,-760000000.0,,576000000.0,-10000000.0,586000000.0,17000000.0,,
