ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
TPL,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001811074-25-000060,195983000.0,41589000.0,,,,45910000.0,,,4321000.0,45910000.0,,,,,150073000.0,,,120652000.0,154394000.0,,,,,,,33742000.0,,,,,,,,,,,120652000.0,0,,120652000.0,,120652000.0,0,,0,5.25,5.24,22980695.0,23005847.0,,1353292000.0,606920000.0,,,,,,746372000.0,,128468000.0,34602000.0,,583302000.0,147035000.0,77858000.0,,,,,69177000.0,,,0.0,,,,,1206257000.0,0,1206257000.0,,,1353292000.0,156726000.0,156726000.0,,-12517000.0,-12517000.0,,-51794000.0,-51794000.0,,,92415000.0,92415000.0,,120613000.0,0,120613000.0,-39000.0,,
TPL,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001811074-24-000061,173563000.0,38146000.0,,,,46232000.0,,,8086000.0,46232000.0,,,,,127331000.0,,,106594000.0,135417000.0,,,,,,,28823000.0,,,,,,,,,,,106594000.0,0,,106594000.0,,106594000.0,0,,0,4.64,4.63,22979781.0,23012169.0,,1175569000.0,708969000.0,,,,,,466600000.0,,119108000.0,35773000.0,,311719000.0,123437000.0,57331000.0,,,,,66106000.0,,,0.0,,,,,1052132000.0,0,1052132000.0,,,1175569000.0,118563000.0,118563000.0,,-216115000.0,-216115000.0,,-263238000.0,-263238000.0,,,-360790000.0,-360790000.0,,106573000.0,0,106573000.0,-21000.0,,
TPL,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001811074-24-000049,172334000.0,25892000.0,,,,39112000.0,,,13220000.0,39112000.0,,,,,133222000.0,,,114589000.0,146442000.0,,,,,,,31853000.0,,,,,,,,,,,114589000.0,0,,114589000.0,,114589000.0,0,,0,4.99,4.98,22987971.0,23013793.0,1.17,1315791000.0,1017684000.0,,,,,,298107000.0,,95511000.0,20457000.0,,182139000.0,109370000.0,44268000.0,,,,,0.0,,,0.0,,,,,1206421000.0,0,1206421000.0,,,1315791000.0,98289000.0,98289000.0,,-7410000.0,-7410000.0,,-33275000.0,-33275000.0,,,57604000.0,57604000.0,,114568000.0,0,114568000.0,-21000.0,,
TPL,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001811074-24-000031,174142000.0,28158000.0,,,,38101000.0,,,9943000.0,38101000.0,,,,,136041000.0,,,114417000.0,145984000.0,,,,,,,31567000.0,,,,,,,,,,,114417000.0,0,,114417000.0,,114417000.0,0,,0,4.97,4.97,23003001.0,23020249.0,1.17,1259170000.0,963828000.0,,,,,,295342000.0,,92200000.0,20741000.0,,182401000.0,136721000.0,70871000.0,,,,,0.0,,,0.0,,,,,1122449000.0,0,1122449000.0,,,1259170000.0,147244000.0,147244000.0,,-2238000.0,-2238000.0,,-38455000.0,-38455000.0,,,106551000.0,106551000.0,,114396000.0,0,114396000.0,-21000.0,,
TPL,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001811074-24-000015,631595000.0,114034000.0,,,,145542000.0,,,31508000.0,145542000.0,,,,,486053000.0,,,405645000.0,517561000.0,,,,,,,111916000.0,110517000.0,1399000.0,,,,,,,,,405645000.0,0,,405645000.0,,405645000.0,0,,0,52.81,52.77,7681435.0,7686615.0,,1156398000.0,862464000.0,,,,,,293934000.0,,89587000.0,21025000.0,,183322000.0,113202000.0,44387000.0,,,,,68815000.0,,,0.0,,,,,1043196000.0,0,1043196000.0,,,1156398000.0,418288000.0,418288000.0,,-60312000.0,-60312000.0,,-144609000.0,-144609000.0,,,213367000.0,213367000.0,,404960000.0,0,404960000.0,-685000.0,,
TPL,2023-11-01,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001811074-23-000053,157967000.0,23030000.0,,,,31009000.0,,,7979000.0,31009000.0,,,,,126958000.0,,,105574000.0,134937000.0,,,,,,,29363000.0,,,,,,,,,,,105574000.0,0,,105574000.0,,105574000.0,0,,0,13.75,13.74,7675521.0,7681774.0,3.25,1079318000.0,790858000.0,,,,,,288460000.0,,86600000.0,21308000.0,,180552000.0,114760000.0,47370000.0,,,,,67390000.0,,,0.0,,,,,964558000.0,0,964558000.0,,,1079318000.0,107594000.0,107594000.0,,-28260000.0,-28260000.0,,-31243000.0,-31243000.0,,,48091000.0,48091000.0,,105548000.0,0,105548000.0,-26000.0,,
TPL,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001811074-23-000041,160609000.0,33458000.0,,,,40329000.0,,,6871000.0,40329000.0,,,,,120280000.0,,,100393000.0,127151000.0,,,,,,,26758000.0,,,,,,,,,,,100393000.0,0,,100393000.0,,100393000.0,0,,0,13.06,13.05,7685662.0,7690950.0,3.25,1001324000.0,737530000.0,,,,,,263794000.0,,84324000.0,,,179470000.0,113774000.0,44884000.0,,,,,0.0,,,0.0,,,,,887550000.0,0,887550000.0,,,1001324000.0,84489000.0,84489000.0,,-25910000.0,-25910000.0,,-44508000.0,-44508000.0,,,14071000.0,14071000.0,,100367000.0,0,100367000.0,-26000.0,,
TPL,2023-05-03,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001811074-23-000025,146362000.0,36021000.0,,,,41410000.0,,,5389000.0,41410000.0,,,,,104952000.0,,,86568000.0,110341000.0,,,,,,,23773000.0,,,,,,,,,,,86568000.0,0,,86568000.0,,86568000.0,0,,0,11.25,11.24,7693084.0,7698398.0,3.25,955251000.0,711006000.0,,,,,,244245000.0,,86192000.0,,,158053000.0,126200000.0,61037000.0,,,,,0.0,,,0.0,,,,,829051000.0,0,829051000.0,,,955251000.0,114775000.0,114775000.0,,-1744000.0,-1744000.0,,-32837000.0,-32837000.0,,,80194000.0,80194000.0,,86543000.0,0,86543000.0,-25000.0,,
TPL,2023-02-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001811074-23-000014,667422000.0,98567000.0,,,,105115000.0,,,6548000.0,105115000.0,,,,,562307000.0,,,446362000.0,568855000.0,,,,,,,122493000.0,121230000.0,1263000.0,,,,,,,,,446362000.0,0,,446362000.0,,446362000.0,0,,0,57.8,57.77,7721957.0,7726809.0,,877427000.0,633401000.0,,,,,,244026000.0,,85478000.0,,,158548000.0,104540000.0,39595000.0,,,,,64945000.0,,,0.0,,,,,772887000.0,0,772887000.0,,,877427000.0,447149000.0,447149000.0,,-21401000.0,-21401000.0,,-336808000.0,-336808000.0,,,88940000.0,88940000.0,,449885000.0,0,449885000.0,3523000.0,,
TPL,2022-11-02,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001811074-22-000071,191111000.0,27136000.0,,,,29056000.0,,,1920000.0,29056000.0,,,,,162055000.0,,,129837000.0,163975000.0,,,,,,,34138000.0,,,,,,,,,,,129837000.0,0,,129837000.0,,129837000.0,0,,0,16.83,16.82,7714796.0,7720221.0,3.0,828974000.0,589187000.0,,,,,,239787000.0,,81556000.0,,,158231000.0,107804000.0,43599000.0,,,,,64205000.0,,,0.0,,,,,721170000.0,0,721170000.0,,,828974000.0,119240000.0,119240000.0,,-6328000.0,-6328000.0,,-56118000.0,-56118000.0,,,56794000.0,56794000.0,,129845000.0,0,129845000.0,8000.0,,
