ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
TRC,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-023871,8209000.0,10947000.0,6981000.0,,,12375000.0,1228000.0,,270000.0,5394000.0,,,,,-4166000.0,,-3896000.0,-1466000.0,-2738000.0,,,,,,1158000.0,-1272000.0,,-33000.0,,,,,,,,,-1466000.0,-2000,,-1464000.0,,-1464000.0,0,,0,-0.05,-0.05,26852573.0,26852573.0,,614555000.0,45772000.0,,,5681000.0,,40091000.0,568783000.0,,57853000.0,,,510930000.0,126717000.0,17049000.0,11510000.0,,,5539000.0,109668000.0,,,,,,,,487838000.0,15360000.0,472478000.0,,,614555000.0,-1345000.0,-1345000.0,,-32650000.0,-32650000.0,,7010000.0,7010000.0,,,-26985000.0,-26985000.0,,-1472000.0,-2000,-1470000.0,-6000.0,,
TRC,2025-03-06,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000096869-25-000006,41886000.0,38222000.0,29111000.0,,,51084000.0,12775000.0,,1981000.0,21973000.0,,,,,-9198000.0,,-7217000.0,2688000.0,3664000.0,,,,,,10881000.0,976000.0,,784000.0,,,,,,,,,2688000.0,-2000,,2690000.0,,2690000.0,0,,0,0.1,0.1,26806173.0,26823406.0,,607998000.0,69402000.0,,,3972000.0,,65430000.0,538596000.0,,56387000.0,,,482209000.0,119042000.0,16796000.0,9085000.0,,,7711000.0,102246000.0,,,,,,,,488956000.0,15362000.0,473594000.0,,,607998000.0,14314000.0,14314000.0,,-25748000.0,-25748000.0,,18794000.0,18794000.0,,,7360000.0,7360000.0,,2946000.0,-2000,2948000.0,258000.0,,
TRC,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000096869-24-000014,10856000.0,10860000.0,,,,14648000.0,,,459000.0,14648000.0,,,,,-3792000.0,,-3333000.0,-1836000.0,-4000.0,,,,,,3329000.0,1832000.0,,2000.0,,,,,,,,,-1836000.0,0,,-1836000.0,,-1836000.0,0,,0,-0.07,-0.07,26814051.0,26814051.0,,598037000.0,55647000.0,,,7550000.0,,48097000.0,542390000.0,,56760000.0,,,485630000.0,114354000.0,19569000.0,11283000.0,,,8286000.0,94785000.0,,,,,,,,483683000.0,15363000.0,468320000.0,,,598037000.0,2071000.0,2071000.0,,-15734000.0,-15734000.0,,8000000.0,8000000.0,,,-5663000.0,-5663000.0,,-1803000.0,0,-1803000.0,33000.0,,
TRC,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000096869-24-000011,5689000.0,5909000.0,,,,9237000.0,,,559000.0,9237000.0,,,,,-3548000.0,,-2989000.0,956000.0,-220000.0,,,,,,2769000.0,-1176000.0,,0.0,,,,,,,,,956000.0,-1000,,957000.0,,957000.0,0,,0,0.04,0.04,26800594.0,26849340.0,,590834000.0,64492000.0,,,9001000.0,,55491000.0,526342000.0,,56074000.0,,,470268000.0,106251000.0,18786000.0,13234000.0,,,5552000.0,0.0,,,,,,,,484583000.0,15363000.0,469220000.0,,,590834000.0,-1803000.0,-1803000.0,,-4717000.0,-4717000.0,,4000000.0,4000000.0,,,-2520000.0,-2520000.0,,958000.0,-1000,959000.0,2000.0,,
TRC,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000096869-24-000008,7406000.0,9262000.0,,,,11390000.0,,,615000.0,11390000.0,,,,,-3984000.0,,-3369000.0,-914000.0,-1856000.0,,,,,,1513000.0,-942000.0,,1000.0,,,,,,,,,-914000.0,0,,-914000.0,,-914000.0,0,,0,-0.03,-0.03,26788345.0,26788345.0,,581631000.0,74663000.0,,,5821000.0,,68842000.0,506968000.0,,55172000.0,,,451796000.0,98909000.0,15359000.0,9752000.0,,,5607000.0,0.0,,,,,,,,482722000.0,15364000.0,467358000.0,,,581631000.0,777000.0,777000.0,,3074000.0,3074000.0,,-206000.0,-206000.0,,,3645000.0,3645000.0,,-920000.0,0,-920000.0,-6000.0,,
TRC,2024-03-06,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000096869-24-000005,44739000.0,39151000.0,,,,48438000.0,,,2419000.0,48438000.0,,,,,-3699000.0,,-1280000.0,3265000.0,5588000.0,,,,,,6868000.0,2323000.0,,1121000.0,,,,,,,,,3265000.0,0,,3265000.0,,3265000.0,0,,0,0.12,0.12,26706824.0,26706824.0,,577523000.0,79810000.0,,,3493000.0,,76317000.0,497713000.0,,53985000.0,,,443728000.0,94427000.0,11562000.0,6457000.0,,,5105000.0,82865000.0,47942000.0,34923000.0,,,,,,483096000.0,15364000.0,467732000.0,,,577523000.0,13655000.0,13655000.0,,-14002000.0,-14002000.0,,-6865000.0,-6865000.0,,,-7212000.0,-7212000.0,,5122000.0,0,5122000.0,1857000.0,,
TRC,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000096869-23-000017,10209000.0,8341000.0,,,,10172000.0,,,670000.0,10172000.0,,,,,37000.0,,707000.0,-347000.0,1868000.0,,,,,,1161000.0,2215000.0,,,,,,,,,,,-347000.0,-6000,,-341000.0,,-341000.0,0,,0,-0.01,-0.01,26725628.0,26798063.0,,580273000.0,89030000.0,,,8925000.0,,80105000.0,491243000.0,,54941000.0,,,436302000.0,99283000.0,18155000.0,6393000.0,,,11762000.0,81128000.0,,,,,,,,480990000.0,15361000.0,465629000.0,,,580273000.0,13581000.0,13581000.0,,2675000.0,2675000.0,,-449000.0,-449000.0,,,15807000.0,15807000.0,,939000.0,-6000,945000.0,1286000.0,,
TRC,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000096869-23-000014,6098000.0,5443000.0,,,,7968000.0,,,587000.0,7968000.0,,,,,-1870000.0,,-1283000.0,264000.0,655000.0,,,,,,1938000.0,391000.0,,,,,,,,,,,264000.0,-3000,,267000.0,,267000.0,0,,0,0.01,0.01,26713090.0,26800236.0,,572944000.0,81289000.0,,,7558000.0,,73731000.0,491655000.0,,54520000.0,,,437135000.0,93867000.0,12365000.0,5362000.0,,,7003000.0,0.0,,,,,,,,479077000.0,15367000.0,463710000.0,,,572944000.0,-2244000.0,-2244000.0,,-10357000.0,-10357000.0,,-436000.0,-436000.0,,,-13037000.0,-13037000.0,,1026000.0,-3000,1029000.0,762000.0,,
TRC,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000096869-23-000012,12265000.0,9472000.0,,,,11779000.0,,,790000.0,11779000.0,,,,,486000.0,,1276000.0,1780000.0,2793000.0,,,,,,1517000.0,1013000.0,,,,,,,,,,,1780000.0,6000,,1774000.0,,1774000.0,0,,0,0.07,0.07,26647565.0,26649348.0,,572129000.0,87264000.0,,,5744000.0,,81520000.0,484865000.0,,53791000.0,,,431074000.0,95077000.0,13100000.0,5170000.0,,,7930000.0,0.0,,,,,,,,477052000.0,15370000.0,461682000.0,,,572129000.0,3413000.0,3413000.0,,877000.0,877000.0,,-3030000.0,-3030000.0,,,1260000.0,1260000.0,,1279000.0,6000,1273000.0,-501000.0,,
TRC,2023-03-08,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000096869-23-000006,79217000.0,56014000.0,,,,65488000.0,,,1722000.0,65488000.0,,,,,13729000.0,,15451000.0,15810000.0,23203000.0,,,,,,7752000.0,7393000.0,,2865000.0,,,,,,,,,15810000.0,2000,,15808000.0,,15808000.0,0,,0,0.6,0.59,26478171.0,26652919.0,,566791000.0,83045000.0,,,3369000.0,,79676000.0,483746000.0,,52980000.0,,,430766000.0,89197000.0,12029000.0,5117000.0,,,6912000.0,77168000.0,50154000.0,27014000.0,,,,,,477594000.0,15364000.0,462230000.0,,,566791000.0,8531000.0,8531000.0,,-1891000.0,-1891000.0,,-4419000.0,-4419000.0,,,2221000.0,2221000.0,,20604000.0,2000,20602000.0,4794000.0,,
