ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
TRT,2025-05-13,2025,Q3,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-016318,7384000.0,7859000.0,5408000.0,,,7859000.0,1976000.0,,-132000.0,2319000.0,,671000.0,90000,1558000.0,-343000.0,,,-481000.0,-475000.0,5000,,,,,,6000,,-30000,,,,,,,,-47000.0,-476000.0,19000,,-495000.0,,-495000.0,0,,0,-0.12,-0.12,4272000.0,4375000.0,,39959000.0,30929000.0,,,2240000.0,,28689000.0,9030000.0,,,,,,7231000.0,6320000.0,1958000.0,,,4362000.0,911000.0,729000.0,182000.0,,,,,,32728000.0,412000.0,32316000.0,,,39959000.0,781000.0,781000.0,,-341000.0,-341000.0,,87000.0,87000.0,,,527000.0,527000.0,,46000.0,26000,20000.0,522000.0,,
TRT,2025-02-13,2025,Q2,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-003692,8619000.0,7944000.0,6401000.0,,,7944000.0,2218000.0,,678000.0,2221000.0,,711000.0,114000,1396000.0,-3000.0,,,536000.0,675000.0,-7000,,,,,,139000,,45000,,,,,,,,-14000.0,529000.0,22000,,507000.0,,507000.0,0,,0,0.12,0.12,4250000.0,4403000.0,,39800000.0,30648000.0,,,1957000.0,,28691000.0,9152000.0,,,,,,7571000.0,6751000.0,1804000.0,,,4947000.0,820000.0,782000.0,38000.0,,,,,,32229000.0,386000.0,31843000.0,,,39800000.0,2111000.0,2111000.0,,159000.0,159000.0,,-90000.0,-90000.0,,,2180000.0,2180000.0,,-1265000.0,-2000,-1263000.0,-1794000.0,,
TRT,2024-11-12,2025,Q1,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-034421,9799000.0,9978000.0,7477000.0,,,9978000.0,2322000.0,,-312000.0,2189000.0,,711000.0,88000,1390000.0,133000.0,,,-230000.0,-179000.0,7000,,,,,,51000,,5000,,,,,,,,0.0,-223000.0,13000,,-236000.0,,-236000.0,0,,0,-0.06,-0.06,4250000.0,4335000.0,,42940000.0,32475000.0,,,2872000.0,,29603000.0,10465000.0,,,,,,9500000.0,8139000.0,2375000.0,,,5764000.0,1361000.0,923000.0,438000.0,,,,,,33440000.0,388000.0,33052000.0,,,42940000.0,-1857000.0,-1857000.0,,81000.0,81000.0,,-93000.0,-93000.0,,,-1869000.0,-1869000.0,,1791000.0,139000,1652000.0,2014000.0,,
TRT,2024-09-23,2024,FY,2023-07-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-029817,42312000.0,40683000.0,31550000.0,,,40683000.0,10762000.0,,536000.0,9669000.0,,4341000.0,392000,4936000.0,1093000.0,,,1143000.0,1629000.0,-1000,,,,,,486000,520000.0,-22000,,,,,,,,-5000.0,1142000.0,92000,,1050000.0,,1050000.0,0,,0,0.25,0.24,4160000.0,4299000.0,,42540000.0,32182000.0,,,3162000.0,,29020000.0,10358000.0,,,,,,10962000.0,9422000.0,3175000.0,,,6247000.0,1540000.0,874000.0,666000.0,,,,,,31578000.0,249000.0,31329000.0,,,42540000.0,2558000.0,2558000.0,,-113000.0,-113000.0,,-90000.0,-90000.0,,,2355000.0,2355000.0,,1036000.0,84000,952000.0,-106000.0,,
TRT,2024-05-13,2024,Q3,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-016136,10398000.0,10092000.0,7695000.0,,,10092000.0,2703000.0,,247000.0,2644000.0,,760000.0,89000,1795000.0,59000.0,,,164000.0,306000.0,-1000,,,,,,142000,,29000,,,17000.0,,,,,-2000.0,163000.0,93000,,70000.0,,70000.0,0,,0,0.02,0.02,4176000.0,4282000.0,,43087000.0,32270000.0,,,2742000.0,,29528000.0,10817000.0,,,,,,11635000.0,9796000.0,2406000.0,,,7390000.0,1839000.0,984000.0,855000.0,,,,,,31452000.0,210000.0,31242000.0,,,43087000.0,1237000.0,1237000.0,,-680000.0,-680000.0,,-358000.0,-358000.0,,,199000.0,199000.0,,-590000.0,93000,-683000.0,-753000.0,,
TRT,2024-02-12,2024,Q2,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-003714,12202000.0,11625000.0,9348000.0,,,11625000.0,2854000.0,,-100000.0,2177000.0,,1315000.0,131000,731000.0,677000.0,,,482000.0,577000.0,4000,,,,,,95000,,17000,,,22000.0,,,,,8000.0,486000.0,-21000,,507000.0,,507000.0,0,,0,0.12,0.12,4120000.0,4259000.0,,46598000.0,35077000.0,,,3546000.0,,31531000.0,11521000.0,,,,,,15070000.0,12875000.0,2345000.0,,,10530000.0,2195000.0,1137000.0,1058000.0,,,,,,31528000.0,91000.0,31437000.0,,,46598000.0,5664000.0,5664000.0,,-2324000.0,-2324000.0,,-75000.0,-75000.0,,,3265000.0,3265000.0,,1644000.0,-72000,1716000.0,1158000.0,,
TRT,2023-11-13,2024,Q1,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-031430,9966000.0,9722000.0,7446000.0,,,9722000.0,2520000.0,,245000.0,2521000.0,,1471000.0,85000,965000.0,-1000.0,,,207000.0,244000.0,0,,,,,,37000,,-68000,,,24000.0,,,,,-11000.0,207000.0,-23000,,230000.0,,230000.0,0,,0,0.06,0.05,4096000.0,4280000.0,,44699000.0,32354000.0,,,4023000.0,,28331000.0,12345000.0,,,,,,15044000.0,12463000.0,2556000.0,,,9907000.0,2581000.0,1232000.0,1349000.0,,,,,,29655000.0,163000.0,29492000.0,,,44699000.0,-4388000.0,-4388000.0,,3460000.0,3460000.0,,355000.0,355000.0,,,-573000.0,-573000.0,,24000.0,-2000,26000.0,-183000.0,,
TRT,2023-09-27,2023,FY,2022-07-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-026863,43250000.0,40868000.0,31545000.0,,,40868000.0,11705000.0,,154000.0,9477000.0,,5088000.0,397000,3992000.0,2228000.0,,,1760000.0,2382000.0,-2000,,,,,,622000,516000.0,106000,,0.0,105000.0,,,,,-11000.0,1758000.0,214000,,1544000.0,,1544000.0,0,,0,0.38,0.37,4082000.0,4165000.0,,42186000.0,28827000.0,,,2151000.0,,26676000.0,13359000.0,,,,,,12615000.0,9326000.0,1660000.0,,,7666000.0,3289000.0,1352000.0,1937000.0,,,,,,29571000.0,165000.0,29406000.0,,,42186000.0,8110000.0,8110000.0,,-6074000.0,-6074000.0,,-1243000.0,-1243000.0,,,793000.0,793000.0,,1142000.0,37000,1105000.0,-616000.0,,
TRT,2023-05-15,2023,Q3,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-014443,9842000.0,9785000.0,7384000.0,,,9785000.0,2458000.0,,94000.0,2495000.0,,1498000.0,87000,910000.0,-37000.0,,,49000.0,57000.0,5000,,,,,,8000,,6000,,,29000.0,,,,,2000.0,54000.0,61000,,-7000.0,,-7000.0,0,,0,0.0,0.0,4075000.0,4159000.0,,45374000.0,29726000.0,,,2324000.0,,27402000.0,15648000.0,,,,,,14898000.0,10879000.0,1835000.0,,,9044000.0,4019000.0,1567000.0,2452000.0,,,,,,30476000.0,255000.0,30221000.0,,,45374000.0,2632000.0,2632000.0,,-751000.0,-751000.0,,-46000.0,-46000.0,,,1835000.0,1835000.0,,220000.0,-85000,305000.0,166000.0,,
TRT,2023-02-10,2023,Q2,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001851734-23-000045,12390000.0,11574000.0,9055000.0,,,11574000.0,3335000.0,,-253000.0,2266000.0,,1236000.0,151000,879000.0,1069000.0,,,575000.0,816000.0,-10000,,,,,,241000,,74000,,,10000.0,,,,,0.0,565000.0,58000,,507000.0,,507000.0,0,,0,0.12,0.12,4074000.0,4162000.0,,46196000.0,30031000.0,,,3219000.0,,26812000.0,16165000.0,,,,,,16223000.0,12087000.0,3067000.0,,,9020000.0,4136000.0,1696000.0,2440000.0,,,,,,29973000.0,340000.0,29633000.0,,,46196000.0,2218000.0,2218000.0,,-4758000.0,-4758000.0,,-618000.0,-618000.0,,,-3158000.0,-3158000.0,,2133000.0,133000,2000000.0,1568000.0,,
