ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
TSE,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-006909,784800000.0,857200000.0,721000000.0,,,857200000.0,63800000.0,,,92800000.0,91000000.0,,,1800000.0,-29000000.0,,-70600000.0,-79000000.0,-72400000.0,,,,,,-1800000.0,6600000.0,,5400000.0,,,,,,,,,-79000000.0,0,,-79000000.0,,-79000000.0,0,,0,-2.22,-2.22,35500000.0,35500000.0,,2655000000.0,1036000000.0,,,383700000.0,,652300000.0,1619000000.0,,,,,,3334200000.0,689300000.0,318500000.0,,,370800000.0,2644900000.0,2460000000.0,184900000.0,,,,,,-679200000.0,0,-679200000.0,,,2655000000.0,-110200000.0,-110200000.0,,-8700000.0,-8700000.0,,32800000.0,32800000.0,,,-86100000.0,-86100000.0,,-60100000.0,0,-60100000.0,18900000.0,,18900000.0
TSE,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-014793,867700000.0,951600000.0,787100000.0,,,951600000.0,80600000.0,,,93000000.0,97000000.0,,,,-12400000.0,,-87900000.0,-87300000.0,-83900000.0,,,,,,4000000.0,3400000.0,,-200000.0,,,,,,,,,-87300000.0,0,,-87300000.0,,-87300000.0,0,,0,-2.47,-2.47,35400000.0,35400000.0,,2882800000.0,1119700000.0,,,434800000.0,,684900000.0,1763100000.0,,,,,,3362800000.0,814200000.0,392100000.0,,,422100000.0,2548600000.0,2399000000.0,149600000.0,,,,,,-480000000.0,0,-480000000.0,,,2882800000.0,8800000.0,8800000.0,,-12200000.0,-12200000.0,,60500000.0,60500000.0,,,57100000.0,57100000.0,,-68000000.0,0,-68000000.0,-68000000.0,,19300000.0
TSE,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-011273,920000000.0,967500000.0,851600000.0,,,967500000.0,68400000.0,,,54500000.0,70100000.0,,,,13900000.0,,-63100000.0,-67800000.0,-47500000.0,,,,,,15600000.0,20300000.0,,12700000.0,,,,,,,,,-67800000.0,0,,-67800000.0,,-67800000.0,0,,0,-1.92,-1.92,35300000.0,35300000.0,,2847800000.0,1093900000.0,,,410400000.0,,683500000.0,1753900000.0,,,,,,413800000.0,662100000.0,425800000.0,,,236300000.0,2599500000.0,2298600000.0,300900000.0,,,,,,-413800000.0,0,-413800000.0,,,2847800000.0,-41900000.0,-41900000.0,,-10700000.0,-10700000.0,,-10600000.0,-10600000.0,,,-63200000.0,-63200000.0,,-67800000.0,0,-67800000.0,0.0,,0.0
TSE,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-007569,904000000.0,974100000.0,843400000.0,,,974100000.0,60600000.0,,,63900000.0,70100000.0,,,,-3300000.0,,-76300000.0,-75500000.0,-70100000.0,,,,,,6200000.0,5400000.0,,-3800000.0,,,,,,,,,-75500000.0,0,,-75500000.0,,-75500000.0,0,,0,-2.14,-2.14,35300000.0,35300000.0,,2989400000.0,1196700000.0,,,431200000.0,,765500000.0,1792700000.0,,,,,,348000000.0,732000000.0,478900000.0,,,253100000.0,2605400000.0,2297800000.0,307600000.0,,,,,,-348000000.0,0,-348000000.0,,,2989400000.0,-66200000.0,-66200000.0,,-11000000.0,-11000000.0,,-9200000.0,-9200000.0,,,-86400000.0,-86400000.0,,-75500000.0,0,-83300000.0,0.0,,-7800000.0
TSE,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-001604,3675400000.0,4308300000.0,3533100000.0,,,4308300000.0,142300000.0,,,597700000.0,310300000.0,,,287400000.0,-455400000.0,,-695000000.0,-701300000.0,-632900000.0,,,,,,62100000.0,68400000.0,27000000.0,41400000.0,,,,,,,,,-701300000.0,0,,-701300000.0,,-701300000.0,0,,0,-19.88,-19.88,35300000.0,35300000.0,,3029200000.0,1194100000.0,,,404700000.0,,789400000.0,1835100000.0,,,,,,3297200000.0,672600000.0,449700000.0,,,222900000.0,2624600000.0,2298500000.0,326100000.0,,,,,,-268000000.0,0,-268000000.0,,,3029200000.0,148700000.0,148700000.0,,-31700000.0,-31700000.0,,-66000000.0,-66000000.0,,,51000000.0,51000000.0,,-699600000.0,0,-699600000.0,1700000.0,,1700000.0
TSE,2023-11-06,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-017725,879000000.0,935100000.0,847700000.0,,,935100000.0,31300000.0,,,47700000.0,66600000.0,,,-18900000.0,-16400000.0,,-75100000.0,-38400000.0,-56100000.0,,,,,,19000000.0,-17700000.0,,-7400000.0,,,,,,,,,-38400000.0,0,,-38400000.0,,-38400000.0,0,,0,-1.09,-1.09,35200000.0,35200000.0,,3271200000.0,1306300000.0,,,445900000.0,,860400000.0,1964900000.0,,,,,,3292600000.0,691500000.0,426500000.0,,,265000000.0,2601100000.0,2295100000.0,306000000.0,,,,,,-21400000.0,0,-21400000.0,,,3271200000.0,29300000.0,29300000.0,,2200000.0,2200000.0,,-16500000.0,-16500000.0,,,15000000.0,15000000.0,,-46400000.0,0,-46400000.0,-46400000.0,,-8000000.0
TSE,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-013353,962600000.0,1336700000.0,909000000.0,,,1336700000.0,53600000.0,,,390400000.0,53800000.0,,,336600000.0,-336800000.0,,-386600000.0,-349000000.0,-374100000.0,,,,,,12500000.0,-25100000.0,,-77500000.0,,,,,,,,,-349000000.0,0,,-349000000.0,,-349000000.0,0,,0,-9.93,-9.93,35200000.0,35200000.0,,3355000000.0,1324100000.0,,,430900000.0,,893200000.0,2030900000.0,,,,,,-21200000.0,695200000.0,434500000.0,,,260700000.0,2638600000.0,2317100000.0,321500000.0,,,,,,21200000.0,0,21200000.0,,,3355000000.0,56500000.0,56500000.0,,8500000.0,8500000.0,,-11200000.0,-11200000.0,,,53800000.0,53800000.0,,-349000000.0,0,-358200000.0,0.0,,-9200000.0
TSE,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-008238,996300000.0,1061900000.0,959100000.0,,,1061900000.0,37200000.0,,,67400000.0,84700000.0,,,-17400000.0,-30200000.0,,-83200000.0,-48900000.0,-65600000.0,,,,,,17600000.0,-16700000.0,,-16600000.0,,,,,,,,,-48900000.0,0,,-48900000.0,,-48900000.0,0,,0,-1.4,-1.4,35000000.0,35000000.0,,3741500000.0,1376300000.0,,,502600000.0,,873700000.0,2365200000.0,,,,,,-376200000.0,717800000.0,454600000.0,,,263200000.0,2647500000.0,2316500000.0,331000000.0,,,,,,376200000.0,0,376200000.0,,,3741500000.0,45400000.0,45400000.0,,-21800000.0,-21800000.0,,-20500000.0,-20500000.0,,,3100000.0,3100000.0,,-48900000.0,0,-45500000.0,0.0,,3400000.0
TSE,2023-02-27,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-002165,4965500000.0,5435100000.0,4693200000.0,,,5435100000.0,272300000.0,,,636200000.0,398800000.0,,,237400000.0,-363900000.0,,-571800000.0,-428000000.0,-469600000.0,-2900000.0,,,,,102200000.0,-41600000.0,51700000.0,-93300000.0,,,,,,,,,-430900000.0,0,,-430900000.0,,-430900000.0,0,,0,-11.99,-11.99,35900000.0,35900000.0,,3760200000.0,1390700000.0,,,553600000.0,,837100000.0,2369500000.0,,,,,,3339900000.0,689400000.0,438100000.0,,,251300000.0,2650500000.0,2317600000.0,332900000.0,,,,,,420300000.0,0,420300000.0,,,3760200000.0,43500000.0,46400000.0,-2900000.0,-164000000.0,-163200000.0,-800000.0,-233700000.0,-233700000.0,,,-354200000.0,-350500000.0,-3700000.0,-415000000.0,0,-415000000.0,15900000.0,,15900000.0
TSE,2022-11-04,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-016352,1178100000.0,1308100000.0,1217600000.0,,,1308100000.0,-39500000.0,,,59600000.0,80500000.0,,,,-99100000.0,,-152800000.0,-117900000.0,-130000000.0,-1900000.0,,,,,22800000.0,-12100000.0,,-17800000.0,,,,,,,,,-119800000.0,0,,-119800000.0,,-119800000.0,0,,0,-3.41,-3.41,35200000.0,35200000.0,,4131900000.0,1571000000.0,,,614000000.0,,957000000.0,2560900000.0,,,,,,3433800000.0,717600000.0,442200000.0,,,275400000.0,2716200000.0,2314500000.0,401700000.0,,,,,,698100000.0,0,698100000.0,,,4131900000.0,97500000.0,99700000.0,-2200000.0,-38600000.0,-38600000.0,0.0,-72700000.0,-72700000.0,,,-13800000.0,-11600000.0,-2200000.0,-168900000.0,0,-168900000.0,-168900000.0,,-49100000.0
