ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
UG,2025-05-13,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001171843-25-003113,2481127.0,1773168.0,1123076.0,,,1870205.0,1358051.0,,97037.0,747129.0,,,114394.0,632735.0,610922.0,,,560895.0,707959.0,,,,,,,147064.0,,38391.0,,,,,,,,,560895.0,0,,560895.0,,560895.0,0,,0,0.12,,4594319.0,,0.35,12763387.0,11691416.0,,,1503061.0,,10188355.0,1071971.0,,934965.0,,,137006.0,1927638.0,1927638.0,378250,,,1549388.0,0,,,,,,,,10835749.0,0,10835749.0,,,12763387.0,322080.0,322080.0,,679370.0,679370.0,,-1607893.0,-1607893.0,,,-606443.0,-606443.0,,560895.0,0,560895.0,0.0,,
UG,2025-03-21,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001171843-25-001611,12181971.0,8073514.0,5721584.0,,,8535182.0,6460387.0,,461668.0,2813598.0,,,456779.0,2356819.0,3646789.0,,,3250875.0,4108457.0,,,,,,,857582.0,982049.0,-124467.0,,,,,,,,,3250875.0,0,,3250875.0,,3250875.0,0,,0,0.71,,4594319.0,,0.6,13797335.0,12665551.0,,,1451995.0,,11213556.0,1131784.0,,956387.0,,,175397.0,1914469.0,1914469.0,425003,,,1489466.0,0,,,,,,,,11882866.0,0,11882866.0,,,13797335.0,3466251.0,3466251.0,,-7077395.0,-7077395.0,,-2756323.0,-2756323.0,,,-6367467.0,-6367467.0,,3250875.0,0,3250875.0,0.0,,
UG,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001171843-24-006259,3060113.0,1963828.0,1408866.0,,,2110985.0,1651247.0,,147157.0,702119.0,,,111072.0,591047.0,949128.0,,,865484.0,1096285.0,,,,,,,230801.0,,-68691.0,,,,,,,,,865484.0,0,,865484.0,,865484.0,0,,0,0.19,,4594319.0,,0.35,13254380.0,12484639.0,,,1191394.0,,11293245.0,769741.0,,667548.0,,,102193.0,1875238.0,1875238.0,513204,,,1362034.0,0,,,,,,,,11379142.0,0,11379142.0,,,13254380.0,1228704.0,1228704.0,,-5584304.0,-5584304.0,,-1607855.0,-1607855.0,,,-5963455.0,-5963455.0,,865484.0,0,865484.0,0.0,,
UG,2024-08-12,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001171843-24-004675,3390205.0,2185021.0,1561090.0,,,2275527.0,1829115.0,,90506.0,714437.0,,,111660.0,602777.0,1114678.0,,,956225.0,1205184.0,,,,,,,248959.0,,-53141.0,,,,,,,,,956225.0,0,,956225.0,,956225.0,0,,0,0.21,,4594319.0,,0.0,13834678.0,13142508.0,,,1172087.0,,11970421.0,692170.0,,658668.0,,,33502.0,1713009.0,1713009.0,336879,,,1376130.0,0,,,,,,,,12121669.0,0,12121669.0,,,13834678.0,1324130.0,1324130.0,,7945.0,7945.0,,0.0,0.0,,,1332075.0,1332075.0,,956225.0,0,956225.0,0.0,,
UG,2024-05-13,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001171843-24-002786,3254944.0,2088768.0,1556490.0,,,2228337.0,1698454.0,,139569.0,671847.0,,,102982.0,568865.0,1026607.0,,,925442.0,1166176.0,,,,,,,240734.0,,70569.0,,,,,,,,,925442.0,0,,925442.0,,925442.0,0,,0,0.2,,4594319.0,,0.25,13047429.0,12429989.0,,,1278691.0,,11151298.0,617440.0,,617440.0,,,,1881985.0,1862346.0,418650,,,1443696.0,0,,,,,,,,11165444.0,0,11165444.0,,,13047429.0,644120.0,644120.0,,-665478.0,-665478.0,,-1148468.0,-1148468.0,,,-1169826.0,-1169826.0,,925442.0,0,925442.0,0.0,,
UG,2024-03-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001171843-24-001526,10885154.0,7634376.0,5479566.0,,,8022122.0,5405588.0,,387746.0,2542556.0,,,463992.0,2078564.0,2863032.0,,,2581370.0,3250778.0,,,,,,,669408.0,609794.0,59614.0,,,,,,,,,2581370.0,0,,2581370.0,,2581370.0,0,,0,0.56,,4594319.0,,,12922838.0,12252713.0,,,1223506.0,,11029207.0,670125.0,,619195.0,,,50930.0,1534256.0,1534256.0,134449,,,1399807.0,0,,,,,,,,11388582.0,0,11388582.0,,,12922838.0,3144480.0,3144480.0,,4727577.0,4727577.0,,-459387.0,-459387.0,,,7412670.0,7412670.0,,2581370.0,0,2581370.0,0.0,,
UG,2023-11-13,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001171843-23-007003,3057518.0,2270321.0,1749041.0,,,2335646.0,1308477.0,,65325.0,586605.0,,,98141.0,488464.0,721872.0,,,626756.0,787197.0,,,,,,,160441.0,,8091.0,,,,,,,,,626756.0,0,,626756.0,,626756.0,0,,0,0.14,,4594319.0,,0.1,12172773.0,11615631.0,,,1228076.0,,10387555.0,557142.0,,557142.0,,,,1521630.0,1473630.0,166199,,,1307431.0,48000,,,,,,,,10651143.0,0,10651143.0,,,12172773.0,1164663.0,1164663.0,,-72052.0,-72052.0,,5193068.0,5193068.0,,,6285679.0,6285679.0,,626756.0,0,626756.0,0.0,,
UG,2023-08-11,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001171843-23-005251,2650299.0,2069800.0,1429407.0,,,2132229.0,1220892.0,,62429.0,702822.0,,,128729.0,574093.0,518070.0,,,461094.0,580499.0,,,,,,,119405.0,,201006.0,,,,,,,,,461094.0,0,,461094.0,,461094.0,0,,0,0.1,,4594319.0,,,11877437.0,11363275.0,,,1779026.0,,9584249.0,514162.0,,514162.0,,,,-10483819.0,1353709.0,155842,,,1197867.0,0,,,,,,,,10483819.0,0,10483819.0,,,11877437.0,434658.0,434658.0,,4846296.0,4846296.0,,-5280954.0,-5280954.0,,,0.0,0.0,,461094.0,0,461094.0,0.0,,
UG,2023-05-12,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001171843-23-003246,2570324.0,1618167.0,1093595.0,,,1738500.0,1476729.0,,120333.0,644905.0,,,126959.0,517946.0,831824.0,,,756081.0,952157.0,,,,,,,196076.0,,-50553.0,,,,,,,,,756081.0,0,,756081.0,,756081.0,0,,0,0.16,,4594319.0,,,11940336.0,11241951.0,,,2470089.0,,8771862.0,698385.0,,537288.0,,,161097.0,-10022725.0,1917611.0,441508,,,1476103.0,0,,,,,,,,10022725.0,0,10022725.0,,,11940336.0,417589.0,417589.0,,-46088.0,-46088.0,,-371501.0,-371501.0,,,0.0,0.0,,756081.0,0,756081.0,0.0,,
UG,2023-03-23,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001171843-23-001846,12698503.0,9470823.0,5996376.0,,,8661273.0,6702127.0,,-809550.0,2664897.0,,,490770.0,2174127.0,4037230.0,,,2569512.0,3227680.0,,,,,,,658168.0,851934.0,-193766.0,,,,,,,,,2569512.0,0,,2569512.0,,2569512.0,0,,0,0.56,,4594319.0,,,10640335.0,9970630.0,,,1672012.0,,8298618.0,669705.0,,559161.0,,,110544.0,1373691.0,1373691.0,30415,,,1343276.0,0,,,,,,,,9266644.0,0,9266644.0,,,10640335.0,2525169.0,2525169.0,,897562.0,897562.0,,-3123492.0,-3123492.0,,,299239.0,299239.0,,2569512.0,0,2569512.0,0.0,,
