ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
UI,2025-05-09,2025,Q3,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001511737-25-000033,664170000.0,442729000.0,368296000.0,,,442729000.0,295874000.0,,,69013000.0,24751000.0,,44262000.0,,226861000.0,,,180435000.0,221441000.0,,,,,,,41006000.0,,109000.0,,,,,,,,,180435000.0,0,,180435000.0,,180435000.0,0,,0,2.98,2.98,60490000.0,60545000.0,0.6,1298268000.0,1082297000.0,,,590477000.0,,491820000.0,215971000.0,,71307000.0,3016000.0,,141648000.0,862155000.0,778522000.0,129621000.0,,,648901000.0,83633000.0,340000000.0,,,,,,,436113000.0,0,436113000.0,,,1298268000.0,123573000.0,123573000.0,,-2828000.0,-2828000.0,,-102866000.0,-102866000.0,,,17879000.0,17879000.0,,180435000.0,0,180435000.0,0.0,,
UI,2025-02-07,2025,Q2,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001511737-25-000013,599879000.0,432507000.0,352649000.0,,,432507000.0,247230000.0,,,68418000.0,28460000.0,,39958000.0,,178812000.0,,,136795000.0,167372000.0,,,,,,,30577000.0,,-642000.0,,,,,,,,,136795000.0,0,,136795000.0,,136795000.0,0,,0,2.26,2.26,60470000.0,60527000.0,0.6,1183718000.0,961661000.0,,,537344000.0,,424317000.0,222057000.0,,75217000.0,3395000.0,,143445000.0,893273000.0,432294000.0,122001000.0,,,310293000.0,0.0,406250000.0,54729000.0,,,,,,290445000.0,0,290445000.0,,,1183718000.0,152431000.0,152431000.0,,-1986000.0,-1986000.0,,-182532000.0,-182532000.0,,,-32087000.0,-32087000.0,,136795000.0,0,136795000.0,0.0,,
UI,2024-11-08,2025,Q1,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001511737-24-000078,550344000.0,391716000.0,318726000.0,,,391716000.0,231618000.0,,,62412000.0,24415000.0,,37997000.0,,169206000.0,,,127988000.0,158628000.0,,,,,,,30640000.0,,99000.0,,,,,,,,,127988000.0,0,,127988000.0,,127988000.0,0,,0,2.12,2.12,60469000.0,60494000.0,0.6,1157918000.0,926497000.0,,,446179000.0,,480318000.0,231421000.0,,77080000.0,3774000.0,,150567000.0,969779000.0,364094000.0,52603000.0,,,311491000.0,0.0,552500000.0,53185000.0,,,,,,188139000.0,0,188139000.0,,,1157918000.0,233667000.0,233667000.0,,-2604000.0,-2604000.0,,-192230000.0,-192230000.0,,,38833000.0,38833000.0,,127988000.0,0,127988000.0,0.0,,
UI,2024-08-23,2024,FY,2023-07-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001511737-24-000053,1928490000.0,1504662000.0,1188728000.0,,,1504662000.0,739762000.0,,,240765000.0,80997000.0,,159768000.0,,498997000.0,,,349960000.0,423828000.0,,,,,,,73868000.0,85835000.0,-11967000.0,,,,,,,,,349960000.0,0,,349960000.0,,349960000.0,0,,0,5.79,5.79,60454000.0,60458000.0,2.4,1154412000.0,916013000.0,,,462032000.0,,453981000.0,238399000.0,,81126000.0,4164000.0,,153109000.0,1059352000.0,284791000.0,51095000.0,,,233696000.0,774561000.0,708125000.0,66436000.0,,,,,,95060000.0,0,95060000.0,,,1154412000.0,541516000.0,541516000.0,,-11975000.0,-11975000.0,,-518025000.0,-518025000.0,,,11516000.0,11516000.0,,349960000.0,0,349960000.0,349960000.0,,0.0
UI,2024-05-10,2024,Q3,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001511737-24-000027,492997000.0,400644000.0,318897000.0,,,400644000.0,174100000.0,,,62877000.0,20379000.0,,42498000.0,,111223000.0,,,76290000.0,92353000.0,,,,,,,16063000.0,,438000.0,,,,,,,,,76290000.0,0,,76290000.0,,76290000.0,0,,0,1.26,1.26,60461000.0,60463000.0,0.6,1223784000.0,1000812000.0,,,533529000.0,,467283000.0,222972000.0,,82205000.0,4554000.0,,136213000.0,1197911000.0,253528000.0,65305000.0,,,188223000.0,944383000.0,877500000.0,66883000.0,,,,,,25873000.0,0,25873000.0,,,1223784000.0,163852000.0,163852000.0,,-3232000.0,-3232000.0,,-155734000.0,-155734000.0,,,4886000.0,4886000.0,,76290000.0,0,76290000.0,76290000.0,,
UI,2024-02-09,2024,Q2,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001511737-24-000010,464954000.0,362114000.0,287307000.0,,,362114000.0,177647000.0,,,56545000.0,19634000.0,,36911000.0,,121102000.0,,,82116000.0,102840000.0,,,,,,,20724000.0,,126000.0,,,,,,,,,82116000.0,0,,82116000.0,,82116000.0,0,,0,1.36,1.36,60448000.0,60451000.0,0.6,1334913000.0,1105733000.0,,,683593000.0,,422140000.0,229180000.0,,84486000.0,4945000.0,,139749000.0,1350635000.0,287787000.0,92297000.0,,,195490000.0,0.0,996875000.0,65973000.0,,,,,,-15722000.0,0,-15722000.0,,,1334913000.0,78581000.0,78581000.0,,-3852000.0,-3852000.0,,-85655000.0,-85655000.0,,,-10926000.0,-10926000.0,,82116000.0,0,82116000.0,0.0,,
UI,2023-11-03,2024,Q1,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001511737-23-000082,463078000.0,356000000.0,279203000.0,,,356000000.0,183875000.0,,,55573000.0,19290000.0,,36283000.0,,128302000.0,,,87750000.0,107078000.0,,,,,,,19328000.0,,116000.0,,,,,,,,,87750000.0,0,,87750000.0,,87750000.0,0,,0,1.45,1.45,60447000.0,60451000.0,0.6,1388135000.0,1153686000.0,,,706508000.0,,447178000.0,234449000.0,,85000000.0,5336000.0,,144113000.0,1451199000.0,338115000.0,124222000.0,,,213893000.0,0.0,1046250000.0,66834000.0,,,,,,-63064000.0,0,-63064000.0,,,1388135000.0,67682000.0,67682000.0,,-3025000.0,-3025000.0,,-70956000.0,-70956000.0,,,-6299000.0,-6299000.0,,87750000.0,0,87750000.0,0.0,,0.0
UI,2023-08-25,2023,FY,2022-07-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001511737-23-000061,1940512000.0,1454170000.0,1179781000.0,,,1454170000.0,760731000.0,,,216165000.0,70993000.0,,145172000.0,,544566000.0,,,407641000.0,486342000.0,,,,,,,78701000.0,95558000.0,-16857000.0,,,,,,,,,407641000.0,0,,407641000.0,,407641000.0,0,,0,6.75,6.74,60435000.0,60451000.0,2.4,1406399000.0,1167044000.0,,,737121000.0,,429923000.0,239355000.0,,86845000.0,5695000.0,,146815000.0,1522132000.0,351819000.0,154157000.0,,,197662000.0,1170313000.0,1080625000.0,89688000.0,,,,,,-115733000.0,0,-115733000.0,,,1406399000.0,-145428000.0,-145428000.0,,-20934000.0,-20934000.0,,144964000.0,144964000.0,,,-21398000.0,-21398000.0,,407641000.0,0,407641000.0,407641000.0,,0.0
UI,2023-05-05,2023,Q3,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001511737-23-000037,457773000.0,340745000.0,269297000.0,,,340745000.0,188476000.0,,,54951000.0,16741000.0,,38210000.0,,133525000.0,,,98577000.0,117028000.0,,,,,,,18451000.0,,4000.0,,,,,,,,,98577000.0,0,,98577000.0,,98577000.0,0,,0,1.63,1.63,60441000.0,60455000.0,0.6,1375197000.0,1152392000.0,,,743397000.0,,408995000.0,222805000.0,,85122000.0,6085000.0,,131598000.0,1559672000.0,362380000.0,159075000.0,,,203305000.0,1197292000.0,1090000000.0,107292000.0,,,,,,-184475000.0,0,-184475000.0,,,1375197000.0,-162205000.0,-162205000.0,,-2182000.0,-2182000.0,,157402000.0,157402000.0,,,-6985000.0,-6985000.0,,98577000.0,0,98577000.0,98577000.0,,0.0
UI,2023-02-03,2023,Q2,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001511737-23-000012,493571000.0,359690000.0,296010000.0,,,359690000.0,197561000.0,,,52408000.0,18643000.0,,33765000.0,,145153000.0,,,112205000.0,133881000.0,,,,,,,21676000.0,,-4000.0,,,,,,,,,112205000.0,0,,112205000.0,,112205000.0,0,,0,1.86,1.86,60429000.0,60448000.0,0.6,1268659000.0,1044659000.0,,,644133000.0,,400526000.0,224000000.0,,86351000.0,6474000.0,,131175000.0,1516609000.0,514601000.0,244695000.0,,,269906000.0,0.0,896250000.0,105758000.0,,,,,,-247950000.0,0,-247950000.0,,,1268659000.0,-39651000.0,-39651000.0,,-4806000.0,-4806000.0,,67443000.0,67443000.0,,,22986000.0,22986000.0,,112205000.0,0,112205000.0,0.0,,0.0
