ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
UNB,2025-05-14,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000706863-25-000060,18295000.0,0.0,,,,0.0,,,,,,,,,,,,2501000.0,18295000.0,,,,,,,150000.0,,12000.0,,18295000.0,,10035000.0,10270000.0,9824000.0,2440000.0,235000.0,2501000.0,0,,2501000.0,,2501000.0,0,,0,0.55,0.55,4538361.0,4566970.0,,1524832000.0,1524832000.0,,,,,,0,,19988000.0,,,,1454758000.0,1454758000.0,,,,,0,,,,,,,,70074000.0,0,70074000.0,,,1524832000.0,4060000.0,4060000.0,,1948000.0,1948000.0,,-8134000.0,-8134000.0,,,-2126000.0,-2126000.0,,5064000.0,0,5064000.0,5064000.0,,2563000.0
UNB,2025-03-25,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000706863-25-000044,67954000.0,0.0,,,,0.0,,,,,,,,,,,,8761000.0,67954000.0,,,,,,,369000.0,,-1829000.0,,67954000.0,,37434000.0,38364000.0,38027000.0,9723000.0,930000.0,8761000.0,0,,8761000.0,,8761000.0,0,,0,1.94,1.92,4523140.0,4554049.0,,1528358000.0,1528358000.0,,,,,,0,,20225000.0,,,,1461878000.0,1461878000.0,,,,,0,,,,,,,,66480000.0,0,66480000.0,,,1528358000.0,12151000.0,12151000.0,,-124826000.0,-124826000.0,,50847000.0,50847000.0,,,-61828000.0,-61828000.0,,6719000.0,0,6719000.0,6719000.0,,-2042000.0
UNB,2024-11-14,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000706863-24-000073,17191000.0,0.0,,,,0.0,,,,,,,,,,,,1324000.0,17191000.0,,,,,,,-123000.0,,-2000.0,,17191000.0,,9005000.0,9430000.0,9409000.0,1605000.0,425000.0,1324000.0,0,,1324000.0,,1324000.0,0,,0,0.29,0.29,4524319.0,4555591.0,,1519494000.0,1519494000.0,,,,,,0,,20460000.0,,,,1447193000.0,1447193000.0,,,,,0,,,,,,,,72301000.0,0,72301000.0,,,1519494000.0,1281000.0,1281000.0,,-96471000.0,-96471000.0,,111944000.0,111944000.0,,,16754000.0,16754000.0,,1324000.0,0,9716000.0,0.0,,8392000.0
UNB,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000706863-24-000064,16552000.0,0.0,,,,0.0,,,,,,,,,,,,2019000.0,16552000.0,,,,,,,61000.0,,-2000.0,,16552000.0,7068000.0,9096000.0,9484000.0,9781000.0,2765000.0,388000.0,2019000.0,0,,2019000.0,,2019000.0,0,,0,0.45,0.45,4521829.0,4553124.0,,1398446000.0,1398446000.0,,,,,,0,,20646000.0,,,,1334400000.0,-64046000.0,,,,,0,,,,,,,,64046000.0,0,64046000.0,,,1398446000.0,3250000.0,3250000.0,,28144000.0,28144000.0,,-23546000.0,-23546000.0,,,7848000.0,7848000.0,,2019000.0,0,1690000.0,0.0,,-329000.0
UNB,2024-05-14,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000706863-24-000038,15621000.0,0.0,,,,0.0,,,,,,,,,,,,2417000.0,15621000.0,,,,,,,165000.0,,11000.0,,15621000.0,6613000.0,9238000.0,9008000.0,9223000.0,2567000.0,-230000.0,2417000.0,0,,2417000.0,,2417000.0,0,,0,0.53,0.53,4519209.0,4537181.0,,1417597000.0,1417597000.0,,,,,,0,,20738000.0,,,,1353777000.0,-63820000.0,,,,,0,,,,,,,,63820000.0,0,63820000.0,,,1417597000.0,1861000.0,1861000.0,,-6298000.0,-6298000.0,,-50570000.0,-50570000.0,,,-55007000.0,-55007000.0,,2417000.0,0,-522000.0,0.0,,-2939000.0
UNB,2024-03-26,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000706863-24-000028,57110000.0,0.0,,,,0.0,,,,,,,,,,,,11257000.0,57110000.0,,,,,,,1620000.0,,266000.0,,57110000.0,19267000.0,38342000.0,37843000.0,35369000.0,9904000.0,-499000.0,11257000.0,0,,11257000.0,,11257000.0,0,,0,2.5,2.48,4508868.0,4537396.0,,1468879000.0,1468879000.0,,,,,,0,,20771000.0,,,,1403072000.0,1403072000.0,,,,,0,,,,,,,,65807000.0,0,65807000.0,,,1468879000.0,9191000.0,9191000.0,,-82252000.0,-82252000.0,,112842000.0,112842000.0,,,39781000.0,39781000.0,,16721000.0,0,16721000.0,16721000.0,,5464000.0
UNB,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000706863-23-000065,14847000.0,0.0,,,,0.0,,,,,,,,,,,,2532000.0,14847000.0,,,,,,,296000.0,,-1000.0,,14847000.0,5699000.0,9287000.0,9148000.0,8926000.0,2467000.0,-139000.0,2532000.0,0,,2532000.0,,2532000.0,0,,0,0.56,0.55,4508028.0,4540026.0,,1395628000.0,1395628000.0,,,,,,0,,20365000.0,,,,1346382000.0,1346382000.0,,,,,0,,,,,,,,49246000.0,0,49246000.0,,,1395628000.0,411000.0,411000.0,,-81975000.0,-81975000.0,,67091000.0,67091000.0,,,-14473000.0,-14473000.0,,2532000.0,0,-8280000.0,0.0,,-10812000.0
UNB,2023-08-11,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000706863-23-000055,13803000.0,0.0,,,,0.0,,,,,,,,,,,,2699000.0,13803000.0,,,,,,,435000.0,,-2000.0,,13803000.0,4185000.0,9714000.0,9618000.0,9063000.0,2483000.0,-96000.0,2699000.0,0,,2699000.0,,2699000.0,0,,0,0.6,0.6,4508593.0,4539288.0,,1334744000.0,1334744000.0,,,,,,0,,20054000.0,,,,1275690000.0,-59054000.0,,,,,0,,,,,,,,59054000.0,0,59054000.0,,,1334744000.0,3661000.0,3661000.0,,38777000.0,38777000.0,,-28454000.0,-28454000.0,,,13984000.0,13984000.0,,2699000.0,0,-38000.0,0.0,,-2737000.0
UNB,2023-05-15,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000706863-23-000027,13044000.0,0.0,,,,0.0,,,,,,,,,,,,2977000.0,13044000.0,,,,,,,459000.0,,32000.0,,13044000.0,3069000.0,9901000.0,9975000.0,8750000.0,2285000.0,74000.0,2977000.0,0,,2977000.0,,2977000.0,0,,0,0.66,0.66,4509099.0,4519989.0,,1362055000.0,1362055000.0,,,,,,0,,20256000.0,,,,1301463000.0,-60592000.0,,,,,0,,,,,,,,60592000.0,0,60592000.0,,,1362055000.0,2084000.0,2084000.0,,-35662000.0,-35662000.0,,17512000.0,17512000.0,,,-16066000.0,-16066000.0,,2977000.0,0,6882000.0,0.0,,3905000.0
UNB,2023-03-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000706863-23-000016,43948000.0,0.0,,,,0.0,,,,,,,,,,,,12615000.0,43948000.0,,,,,,,2632000.0,,-270000.0,,43948000.0,4524000.0,39424000.0,39424000.0,33164000.0,8987000.0,0.0,12615000.0,0,,12615000.0,,12615000.0,0,,0,2.81,2.79,4496169.0,4514224.0,,1336489000.0,1336489000.0,,,,,,0,,20479000.0,,,,1281269000.0,1281269000.0,,,,,0,,,,,,,,55220000.0,0,55220000.0,,,1336489000.0,29031000.0,29031000.0,,-207583000.0,-207583000.0,,150515000.0,150515000.0,,,-28037000.0,-28037000.0,,-23252000.0,0,-23252000.0,-23252000.0,,-35867000.0
