ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
UNH,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000731766-25-000131,109575000000.0,101469000000.0,12390000000.0,,,100456000000.0,97185000000.0,,,88066000000.0,13594000000.0,1061000000.0,,73411000000.0,9119000000.0,,,6474000000.0,8106000000.0,,,,,,,1632000000.0,,64000000.0,,,998000000.0,,,,,,6474000000.0,182000000.0,,6292000000.0,,6292000000.0,0,,0,6.9,6.85,912000000.0,918000000.0,2.1,309790000000.0,96285000000.0,,,,,,213505000000.0,,10734000000.0,22947000000.0,,179824000000.0,204621000000.0,113471000000.0,,,,,91150000000.0,,,,4358000000.0,,,,100811000000.0,5773000000.0,95038000000.0,4358000000.0,,309790000000.0,5456000000.0,5456000000.0,,-74000000.0,-74000000.0,,99000000.0,99000000.0,,15000000.0,5496000000.0,5481000000.0,,6956000000.0,182000000.0,6774000000.0,482000000.0,,
UNH,2025-02-27,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000731766-25-000063,400278000000.0,380207000000.0,46694000000.0,,,367991000000.0,353584000000.0,,,321297000000.0,53013000000.0,4099000000.0,,264185000000.0,32287000000.0,,,15242000000.0,20071000000.0,,,,,,,4829000000.0,5125000000.0,-296000000.0,,,3906000000.0,,,,,,15242000000.0,837000000.0,,14405000000.0,,14405000000.0,0,,0,15.64,15.51,921000000.0,929000000.0,8.18,298278000000.0,85779000000.0,,,3800000000.0,,81979000000.0,212499000000.0,,10553000000.0,23268000000.0,,178678000000.0,195687000000.0,103769000000.0,,,,,91918000000.0,,,,4323000000.0,,,,98268000000.0,5610000000.0,92658000000.0,4323000000.0,,298278000000.0,24204000000.0,24204000000.0,,-20527000000.0,-20527000000.0,,-3512000000.0,-3512000000.0,,-61000000.0,104000000.0,165000000.0,,18882000000.0,837000000.0,18045000000.0,3640000000.0,,
UNH,2024-11-04,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000731766-24-000323,100820000000.0,93206000000.0,11834000000.0,,,92112000000.0,88986000000.0,,,80278000000.0,13280000000.0,1041000000.0,,65957000000.0,8708000000.0,,,6258000000.0,7614000000.0,,,,,,,1356000000.0,,124000000.0,,,1074000000.0,,,,,,6258000000.0,203000000.0,,6055000000.0,,6055000000.0,0,,0,6.56,6.51,923000000.0,930000000.0,2.1,299309000000.0,92258000000.0,,,,,,207051000000.0,,10139000000.0,23594000000.0,,173318000000.0,194854000000.0,101565000000.0,,,,,93289000000.0,,,,4574000000.0,,,,99881000000.0,5346000000.0,94535000000.0,4574000000.0,,299309000000.0,13945000000.0,13945000000.0,,-5651000000.0,-5651000000.0,,-2205000000.0,-2205000000.0,,14000000.0,6103000000.0,6089000000.0,,7228000000.0,203000000.0,7025000000.0,970000000.0,,
UNH,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000731766-24-000262,98855000000.0,93190000000.0,11340000000.0,,,90980000000.0,87515000000.0,,,79640000000.0,13162000000.0,1020000000.0,,65458000000.0,7875000000.0,,,4421000000.0,5665000000.0,,,,,,,1244000000.0,,-331000000.0,,,985000000.0,,,,,,4421000000.0,205000000.0,,4216000000.0,,4216000000.0,0,,0,4.58,4.54,921000000.0,928000000.0,2.1,286056000000.0,92038000000.0,,,,,,194018000000.0,,9801000000.0,14729000000.0,,169488000000.0,186822000000.0,104670000000.0,,,,,0.0,,,,4558000000.0,,,,94676000000.0,5317000000.0,94676000000.0,4558000000.0,,286056000000.0,6746000000.0,6746000000.0,,-7417000000.0,-7417000000.0,,-1196000000.0,-1196000000.0,,4000000.0,-1863000000.0,-1867000000.0,,4437000000.0,205000000.0,4232000000.0,16000000.0,,
UNH,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000731766-24-000155,99796000000.0,99795000000.0,11056000000.0,,,91865000000.0,88740000000.0,,,80809000000.0,14077000000.0,997000000.0,,65735000000.0,7931000000.0,,,-1221000000.0,1000000.0,,,,,,,1222000000.0,,-27000000.0,,,844000000.0,,,,,,-1221000000.0,188000000.0,,-1409000000.0,,-1409000000.0,0,,0,-1.53,-1.53,922000000.0,922000000.0,1.88,284210000000.0,88942000000.0,,,,,,195268000000.0,,10429000000.0,15543000000.0,,169296000000.0,187292000000.0,104431000000.0,,,,,0.0,,,,4548000000.0,,,,92370000000.0,5682000000.0,92370000000.0,4548000000.0,,284210000000.0,1144000000.0,1144000000.0,,-6340000000.0,-6340000000.0,,8231000000.0,8231000000.0,,-48000000.0,2987000000.0,3035000000.0,,2367000000.0,188000000.0,2179000000.0,3588000000.0,,
UNH,2024-02-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000731766-24-000081,371622000000.0,342510000000.0,38770000000.0,,,339264000000.0,332852000000.0,,,300494000000.0,54628000000.0,3972000000.0,,241894000000.0,32358000000.0,,,23144000000.0,29112000000.0,,,,,,,5968000000.0,6213000000.0,-245000000.0,,,3246000000.0,,,,,,23144000000.0,763000000.0,,22381000000.0,,22381000000.0,0,,0,24.12,23.86,928000000.0,938000000.0,7.29,273720000000.0,78437000000.0,,,2800000000.0,,75637000000.0,195283000000.0,,11450000000.0,15194000000.0,,168639000000.0,174801000000.0,99054000000.0,,,,,75747000000.0,,,,4498000000.0,,,,94421000000.0,5665000000.0,88756000000.0,4498000000.0,,273720000000.0,29068000000.0,29068000000.0,,-15574000000.0,-15574000000.0,,-11529000000.0,-11529000000.0,,97000000.0,2062000000.0,1965000000.0,,24510000000.0,763000000.0,23747000000.0,1366000000.0,,
UNH,2023-11-06,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000731766-23-000064,92361000000.0,84669000000.0,9423000000.0,,,83835000000.0,82938000000.0,,,74412000000.0,13855000000.0,1007000000.0,,59550000000.0,8526000000.0,,,6038000000.0,7692000000.0,,,,,,,1654000000.0,,-12000000.0,,,834000000.0,,,,,,6038000000.0,197000000.0,,5841000000.0,,5841000000.0,0,,0,6.31,6.24,926000000.0,936000000.0,1.88,282063000000.0,91905000000.0,,,,,,190158000000.0,,11070000000.0,15200000000.0,,163888000000.0,188083000000.0,114179000000.0,,,,,73904000000.0,,,,4416000000.0,,,,89564000000.0,5070000000.0,84494000000.0,4416000000.0,,282063000000.0,6902000000.0,6902000000.0,,-2639000000.0,-2639000000.0,,-7104000000.0,-7104000000.0,,-57000000.0,-2898000000.0,-2841000000.0,,5000000000.0,197000000.0,4803000000.0,-1038000000.0,,
UNH,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000731766-23-000053,92903000000.0,85674000000.0,9748000000.0,,,84846000000.0,83155000000.0,,,75098000000.0,13809000000.0,1021000000.0,,60268000000.0,8057000000.0,,,5657000000.0,7229000000.0,,,,,,,1572000000.0,,-150000000.0,,,828000000.0,,,,,,5657000000.0,183000000.0,,5474000000.0,,5474000000.0,0,,0,5.89,5.82,930000000.0,940000000.0,1.88,280164000000.0,89869000000.0,,,,,,190295000000.0,,10926000000.0,15643000000.0,,163726000000.0,188008000000.0,112981000000.0,,,,,0.0,,,,4788000000.0,,,,87368000000.0,5015000000.0,87368000000.0,4788000000.0,,280164000000.0,11032000000.0,11032000000.0,,-728000000.0,-728000000.0,,-10459000000.0,-10459000000.0,,55000000.0,-100000000.0,-155000000.0,,5556000000.0,183000000.0,5373000000.0,-101000000.0,,
UNH,2023-05-03,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000731766-23-000029,91931000000.0,84599000000.0,9405000000.0,,,83845000000.0,82526000000.0,,,74440000000.0,13625000000.0,970000000.0,,59845000000.0,8086000000.0,,,5774000000.0,7332000000.0,,,,,,,1558000000.0,,-332000000.0,,,754000000.0,,,,,,5774000000.0,163000000.0,,5611000000.0,,5611000000.0,0,,0,6.01,5.95,933000000.0,943000000.0,1.65,283679000000.0,93895000000.0,,,,,,189784000000.0,,10637000000.0,16165000000.0,,162982000000.0,193057000000.0,116482000000.0,,,,,0.0,,,,4801000000.0,,,,85821000000.0,4509000000.0,85821000000.0,4801000000.0,,283679000000.0,16327000000.0,16327000000.0,,-11020000000.0,-11020000000.0,,13190000000.0,13190000000.0,,51000000.0,18548000000.0,18497000000.0,,6618000000.0,163000000.0,6455000000.0,844000000.0,,
UNH,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000731766-23-000008,324162000000.0,297819000000.0,33703000000.0,,,295727000000.0,290459000000.0,,,262024000000.0,47782000000.0,3400000000.0,,210842000000.0,28435000000.0,,,20639000000.0,26343000000.0,,,,,,,5704000000.0,6377000000.0,-673000000.0,,,2092000000.0,,,,,,20639000000.0,519000000.0,,20120000000.0,,20120000000.0,0,,0,21.47,21.18,937000000.0,950000000.0,6.4,245705000000.0,69069000000.0,,,3500000000.0,,65569000000.0,176636000000.0,,10128000000.0,14401000000.0,,152107000000.0,159358000000.0,89237000000.0,,,,,70121000000.0,,,,4897000000.0,,,,81450000000.0,3678000000.0,77772000000.0,4897000000.0,,245705000000.0,26206000000.0,26206000000.0,,-28476000000.0,-28476000000.0,,4226000000.0,4226000000.0,,34000000.0,1990000000.0,1956000000.0,,17630000000.0,519000000.0,17111000000.0,-3009000000.0,,
