ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
USM,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000821130-25-000032,891000000.0,851000000.0,,,,851000000.0,,,-1000000.0,850000000.0,332000000.0,,,518000000.0,41000000.0,,4000000.0,20000000.0,40000000.0,,,,,,36000000.0,20000000.0,,-8000000.0,,,40000000.0,,,,,,20000000.0,2000000.0,,18000000.0,,18000000.0,0,,0,0.21,0.21,85000000.0,88000000.0,,10365000000.0,1373000000.0,,,178000000.0,63000000.0,1132000000.0,8992000000.0,,2394000000.0,,,6598000000.0,5766000000.0,807000000.0,,,33000000.0,774000000.0,4959000000.0,,,,16000000.0,,16000000.0,,4599000000.0,14000000.0,4585000000.0,16000000.0,,10365000000.0,160000000.0,160000000.0,,-74000000.0,-74000000.0,,-44000000.0,-44000000.0,,,42000000.0,42000000.0,,20000000.0,0,20000000.0,0,,
USM,2025-02-21,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000821130-25-000023,3770000000.0,3792000000.0,,,,3792000000.0,,,-10000000.0,3782000000.0,1330000000.0,,,2452000000.0,-12000000.0,,-183000000.0,-32000000.0,-22000000.0,,,,,,161000000.0,10000000.0,,-27000000.0,,,183000000.0,,,,,,-32000000.0,7000000.0,,-39000000.0,,-39000000.0,0,,0,-0.46,-0.46,86000000.0,86000000.0,,10449000000.0,1345000000.0,,,179000000.0,46000000.0,1120000000.0,9104000000.0,,2502000000.0,,,6602000000.0,5857000000.0,884000000.0,,,93000000.0,791000000.0,4973000000.0,,,,14000000.0,,16000000.0,,4592000000.0,15000000.0,4577000000.0,14000000.0,,10449000000.0,883000000.0,883000000.0,,-556000000.0,-556000000.0,,-347000000.0,-347000000.0,,,-20000000.0,-20000000.0,,-32000000.0,0,-32000000.0,0,,
USM,2024-11-01,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000821130-24-000063,922000000.0,1014000000.0,,,,1014000000.0,,,-2000000.0,1012000000.0,324000000.0,,,688000000.0,-90000000.0,,-135000000.0,-78000000.0,-92000000.0,,,,,,43000000.0,-14000000.0,,-46000000.0,,,49000000.0,,,,,,-78000000.0,1000000.0,,-79000000.0,,-79000000.0,0,,0,-0.92,-0.92,86000000.0,86000000.0,,10516000000.0,1427000000.0,,,161000000.0,55000000.0,1211000000.0,9089000000.0,,2504000000.0,,,6585000000.0,5918000000.0,909000000.0,,,66000000.0,843000000.0,5009000000.0,,,,16000000.0,,16000000.0,,4598000000.0,16000000.0,4582000000.0,16000000.0,,10516000000.0,245000000.0,245000000.0,,-131000000.0,-131000000.0,,-41000000.0,-41000000.0,,,73000000.0,73000000.0,,-78000000.0,0,-78000000.0,0,,
USM,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000821130-24-000051,927000000.0,895000000.0,,,,895000000.0,,,-4000000.0,891000000.0,322000000.0,,,569000000.0,36000000.0,,-6000000.0,18000000.0,32000000.0,,,,,,38000000.0,14000000.0,,7000000.0,,,45000000.0,,,,,,18000000.0,1000000.0,,17000000.0,,17000000.0,0,,0,0.2,0.2,86000000.0,88000000.0,,10639000000.0,1374000000.0,,,143000000.0,58000000.0,1173000000.0,9265000000.0,,2540000000.0,,,6725000000.0,-4690000000.0,886000000.0,,,57000000.0,829000000.0,0.0,,,,16000000.0,,16000000.0,,4690000000.0,15000000.0,4675000000.0,16000000.0,,10639000000.0,313000000.0,313000000.0,,-140000000.0,-140000000.0,,-168000000.0,-168000000.0,,,5000000.0,5000000.0,,18000000.0,0,18000000.0,0,,
USM,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000821130-24-000028,950000000.0,898000000.0,,,,898000000.0,,,1000000.0,899000000.0,331000000.0,,,568000000.0,51000000.0,,10000000.0,24000000.0,52000000.0,,,,,,42000000.0,28000000.0,,4000000.0,,,43000000.0,,,,,,24000000.0,6000000.0,,18000000.0,,18000000.0,0,,0,0.21,0.2,85000000.0,88000000.0,,10704000000.0,1395000000.0,,,175000000.0,71000000.0,1149000000.0,9309000000.0,,2540000000.0,,,6769000000.0,-4673000000.0,837000000.0,,,32000000.0,805000000.0,0.0,,,,16000000.0,,16000000.0,,4673000000.0,15000000.0,4658000000.0,16000000.0,,10704000000.0,203000000.0,203000000.0,,-144000000.0,-144000000.0,,-28000000.0,-28000000.0,,,31000000.0,31000000.0,,24000000.0,0,24000000.0,0,,
USM,2024-02-16,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000821130-24-000007,3906000000.0,3795000000.0,,,,3795000000.0,,,-28000000.0,3767000000.0,1368000000.0,,,2399000000.0,139000000.0,,-47000000.0,58000000.0,111000000.0,,,,,,158000000.0,53000000.0,,47000000.0,,,196000000.0,,,,,,58000000.0,4000000.0,,54000000.0,,54000000.0,0,,0,0.64,0.63,85000000.0,87000000.0,,10750000000.0,1400000000.0,,,199000000.0,57000000.0,1144000000.0,9350000000.0,,2576000000.0,,,6774000000.0,6108000000.0,901000000.0,,,83000000.0,818000000.0,5207000000.0,,,,14000000.0,,12000000.0,,4642000000.0,16000000.0,4626000000.0,14000000.0,,10750000000.0,866000000.0,866000000.0,,-721000000.0,-721000000.0,,-274000000.0,-274000000.0,,,-129000000.0,-129000000.0,,58000000.0,0,58000000.0,0,,
USM,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000821130-23-000050,963000000.0,913000000.0,,,,913000000.0,,,-7000000.0,906000000.0,333000000.0,,,573000000.0,57000000.0,,10000000.0,23000000.0,50000000.0,,,,,,40000000.0,27000000.0,,16000000.0,,,50000000.0,,,,,,23000000.0,0.0,,23000000.0,,23000000.0,0,,0,0.26,0.26,85000000.0,86000000.0,,10749000000.0,1393000000.0,,,175000000.0,64000000.0,1154000000.0,9356000000.0,,2593000000.0,,,6763000000.0,6130000000.0,1031000000.0,,,61000000.0,970000000.0,5099000000.0,,,,12000000.0,,12000000.0,,4619000000.0,16000000.0,4603000000.0,12000000.0,,10749000000.0,329000000.0,329000000.0,,-119000000.0,-119000000.0,,-249000000.0,-249000000.0,,,-39000000.0,-39000000.0,,23000000.0,0,23000000.0,0,,
USM,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000821130-23-000043,957000000.0,933000000.0,,,,933000000.0,,,-10000000.0,923000000.0,341000000.0,,,582000000.0,34000000.0,,-14000000.0,5000000.0,24000000.0,,,,,,38000000.0,19000000.0,,18000000.0,,,51000000.0,,,,,,5000000.0,0.0,,5000000.0,,5000000.0,0,,0,0.05,0.05,85000000.0,86000000.0,,10889000000.0,1500000000.0,,,210000000.0,69000000.0,1221000000.0,9389000000.0,,2640000000.0,,,6749000000.0,-4589000000.0,1008000000.0,,,54000000.0,954000000.0,0.0,,,,12000000.0,,12000000.0,,4589000000.0,16000000.0,4573000000.0,12000000.0,,10889000000.0,349000000.0,349000000.0,,-153000000.0,-153000000.0,,-172000000.0,-172000000.0,,,24000000.0,24000000.0,,5000000.0,0,5000000.0,0,,
USM,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000821130-23-000028,986000000.0,961000000.0,,,,961000000.0,,,-1000000.0,960000000.0,345000000.0,,,615000000.0,26000000.0,,-19000000.0,14000000.0,25000000.0,,,,,,44000000.0,11000000.0,,7000000.0,,,47000000.0,,,,,,14000000.0,1000000.0,,13000000.0,,13000000.0,0,,0,0.15,0.15,85000000.0,86000000.0,,10997000000.0,1562000000.0,,,262000000.0,76000000.0,1224000000.0,9435000000.0,,2658000000.0,,,6777000000.0,-4583000000.0,953000000.0,,,44000000.0,909000000.0,0.0,,,,12000000.0,,12000000.0,,4583000000.0,15000000.0,4568000000.0,12000000.0,,10997000000.0,41000000.0,41000000.0,,-192000000.0,-192000000.0,,43000000.0,43000000.0,,,-108000000.0,-108000000.0,,14000000.0,0,14000000.0,0,,
USM,2023-02-16,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000821130-23-000007,4169000000.0,4097000000.0,,,,4097000000.0,,,3000000.0,4100000000.0,1408000000.0,,,2692000000.0,69000000.0,,-86000000.0,35000000.0,72000000.0,,,,,,158000000.0,37000000.0,,33000000.0,,,163000000.0,,,,,,35000000.0,5000000.0,,30000000.0,,30000000.0,0,,0,0.35,0.35,85000000.0,86000000.0,,11119000000.0,1723000000.0,,,261000000.0,68000000.0,1394000000.0,9396000000.0,,2624000000.0,,,6772000000.0,6549000000.0,1195000000.0,,,84000000.0,1111000000.0,5354000000.0,,,,14000000.0,,12000000.0,,4570000000.0,16000000.0,4554000000.0,14000000.0,,11119000000.0,832000000.0,832000000.0,,-1179000000.0,-1179000000.0,,456000000.0,456000000.0,,,109000000.0,109000000.0,,35000000.0,0,35000000.0,0,,
