ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
VC,2025-04-24,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001111335-25-000059,934000000.0,839000000.0,796000000.0,,,839000000.0,138000000.0,,,43000000.0,47000000.0,,,,95000000.0,,93000000.0,67000000.0,95000000.0,,,,,,2000000.0,28000000.0,,,,,3000000.0,,,,,,67000000.0,2000000.0,,65000000.0,,65000000.0,0,,0,2.39,2.36,27200000.0,27500000.0,,2997000000.0,1697000000.0,,,310000000.0,26000000.0,1361000000.0,1300000000.0,,462000000.0,,,838000000.0,1600000000.0,927000000.0,556000000.0,,90000000.0,281000000.0,673000000.0,,,,,,,,1397000000.0,84000000.0,1313000000.0,,,2997000000.0,70000000.0,70000000.0,,-33000000.0,-33000000.0,,-18000000.0,-18000000.0,,13000000.0,32000000.0,19000000.0,,87000000.0,3000000.0,84000000.0,20000000.0,,
VC,2025-02-18,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001111335-25-000006,3866000000.0,3568000000.0,3335000000.0,,,3568000000.0,531000000.0,,,233000000.0,207000000.0,,191000000.0,,298000000.0,,301000000.0,284000000.0,298000000.0,,,,,,-8000000.0,14000000.0,,-64000000.0,,,15000000.0,,,,,3000000.0,284000000.0,10000000.0,,274000000.0,,274000000.0,0,,0,9.93,9.82,27600000.0,27900000.0,,2862000000.0,1596000000.0,,,283000000.0,23000000.0,1290000000.0,1266000000.0,,452000000.0,,,814000000.0,1552000000.0,916000000.0,505000000.0,,107000000.0,304000000.0,636000000.0,,,,,,,,1310000000.0,81000000.0,1229000000.0,,,2862000000.0,427000000.0,427000000.0,,-189000000.0,-189000000.0,,-100000000.0,-100000000.0,,-30000000.0,108000000.0,138000000.0,,238000000.0,16000000.0,222000000.0,-46000000.0,,
VC,2024-10-24,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001111335-24-000132,980000000.0,929000000.0,849000000.0,,,929000000.0,131000000.0,,,80000000.0,51000000.0,,,29000000.0,51000000.0,,54000000.0,40000000.0,51000000.0,,,,,,-3000000.0,11000000.0,,,,,4000000.0,,,,,,40000000.0,1000000.0,,39000000.0,,39000000.0,0,,0,1.41,1.4,27600000.0,27900000.0,,2893000000.0,1702000000.0,,,321000000.0,18000000.0,1363000000.0,1191000000.0,,438000000.0,,,753000000.0,1620000000.0,937000000.0,547000000.0,,98000000.0,292000000.0,683000000.0,,,,,,,,1273000000.0,88000000.0,1185000000.0,,,2893000000.0,98000000.0,98000000.0,,-76000000.0,-76000000.0,,-4000000.0,-4000000.0,,27000000.0,45000000.0,18000000.0,,69000000.0,7000000.0,62000000.0,29000000.0,,
VC,2024-07-25,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001111335-24-000121,1014000000.0,914000000.0,867000000.0,,,914000000.0,147000000.0,,,47000000.0,49000000.0,,,-2000000.0,100000000.0,,100000000.0,75000000.0,100000000.0,,,,,,0.0,25000000.0,,,,,4000000.0,,,,,,75000000.0,4000000.0,,71000000.0,,75000000.0,0,,0,2.57,2.54,27600000.0,27900000.0,,2731000000.0,1641000000.0,,,311000000.0,18000000.0,1312000000.0,1090000000.0,,416000000.0,,,674000000.0,-1198000000.0,887000000.0,529000000.0,,81000000.0,277000000.0,0.0,,,,,,,,1198000000.0,85000000.0,1113000000.0,,,2731000000.0,57000000.0,57000000.0,,-35000000.0,-35000000.0,,-5000000.0,-5000000.0,,-16000000.0,1000000.0,17000000.0,,55000000.0,2000000.0,53000000.0,-20000000.0,,
VC,2024-04-25,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001111335-24-000096,933000000.0,870000000.0,814000000.0,,,870000000.0,119000000.0,,,56000000.0,52000000.0,,,4000000.0,63000000.0,,67000000.0,44000000.0,63000000.0,,,,,,-4000000.0,19000000.0,,,,,4000000.0,,,,,,44000000.0,2000000.0,,42000000.0,,44000000.0,0,,0,1.52,1.5,27600000.0,28000000.0,,2739000000.0,1630000000.0,,,342000000.0,22000000.0,1266000000.0,1109000000.0,,415000000.0,,,694000000.0,-1134000000.0,938000000.0,566000000.0,,84000000.0,288000000.0,0.0,,,,,,,,1134000000.0,85000000.0,1049000000.0,,,2739000000.0,69000000.0,69000000.0,,-37000000.0,-37000000.0,,-31000000.0,-31000000.0,,-12000000.0,-11000000.0,1000000.0,,29000000.0,1000000.0,28000000.0,-15000000.0,,
VC,2024-02-20,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001111335-24-000018,3954000000.0,3697000000.0,3467000000.0,,,3697000000.0,487000000.0,,,230000000.0,207000000.0,,210000000.0,,257000000.0,,267000000.0,505000000.0,257000000.0,,,,,,-15000000.0,-248000000.0,,-321000000.0,,,17000000.0,,,,,2000000.0,505000000.0,19000000.0,,486000000.0,,486000000.0,0,,0,17.3,17.05,28100000.0,28500000.0,,2727000000.0,1616000000.0,,,298000000.0,24000000.0,1294000000.0,1111000000.0,,418000000.0,,,693000000.0,1604000000.0,931000000.0,551000000.0,,99000000.0,281000000.0,673000000.0,,,,,,,,1123000000.0,85000000.0,1038000000.0,,,2727000000.0,267000000.0,267000000.0,,-123000000.0,-123000000.0,,-156000000.0,-156000000.0,,7000000.0,-5000000.0,-12000000.0,,461000000.0,16000000.0,445000000.0,-44000000.0,,
VC,2023-10-26,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001111335-23-000045,1014000000.0,922000000.0,871000000.0,,,922000000.0,143000000.0,,,51000000.0,52000000.0,,,-1000000.0,92000000.0,,93000000.0,71000000.0,92000000.0,,,,,,-1000000.0,21000000.0,,,,,4000000.0,,,,,,71000000.0,5000000.0,,66000000.0,,66000000.0,0,,0,2.35,2.32,28100000.0,28500000.0,,2357000000.0,1622000000.0,,,318000000.0,19000000.0,1285000000.0,735000000.0,,377000000.0,,,358000000.0,1556000000.0,948000000.0,595000000.0,,86000000.0,267000000.0,608000000.0,,,,,,,,801000000.0,77000000.0,724000000.0,,,2357000000.0,127000000.0,127000000.0,,-31000000.0,-31000000.0,,-62000000.0,-62000000.0,,,26000000.0,34000000.0,,58000000.0,4000000.0,54000000.0,-13000000.0,,
VC,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001111335-23-000040,983000000.0,947000000.0,879000000.0,,,947000000.0,104000000.0,,,68000000.0,52000000.0,,,16000000.0,36000000.0,,38000000.0,23000000.0,36000000.0,,,,,,-2000000.0,13000000.0,,,,,4000000.0,,,,,,23000000.0,3000000.0,,20000000.0,,23000000.0,0,,0,0.71,0.7,28300000.0,28700000.0,,2321000000.0,1597000000.0,,,329000000.0,20000000.0,1248000000.0,724000000.0,,367000000.0,,,357000000.0,-778000000.0,911000000.0,564000000.0,,74000000.0,273000000.0,0.0,,,,,,,,778000000.0,73000000.0,705000000.0,,,2321000000.0,61000000.0,61000000.0,,-29000000.0,-29000000.0,,-52000000.0,-52000000.0,,,-28000000.0,-20000000.0,,3000000.0,-1000000.0,4000000.0,-20000000.0,,
VC,2023-04-27,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001111335-23-000022,967000000.0,915000000.0,857000000.0,,,915000000.0,110000000.0,,,58000000.0,52000000.0,,,6000000.0,52000000.0,,57000000.0,38000000.0,52000000.0,,,,,,-5000000.0,14000000.0,,,,,5000000.0,,,,,,38000000.0,4000000.0,,34000000.0,,38000000.0,0,,0,1.21,1.18,28200000.0,28700000.0,,2405000000.0,1664000000.0,,,358000000.0,25000000.0,1281000000.0,741000000.0,,365000000.0,,,376000000.0,-807000000.0,964000000.0,605000000.0,,77000000.0,282000000.0,0.0,,,,,,,,807000000.0,87000000.0,720000000.0,,,2405000000.0,-19000000.0,-19000000.0,,-20000000.0,-20000000.0,,-5000000.0,-5000000.0,,8000000.0,-36000000.0,-44000000.0,,53000000.0,3000000.0,50000000.0,15000000.0,,
VC,2023-02-16,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001111335-23-000009,3756000000.0,3581000000.0,3388000000.0,,,3581000000.0,368000000.0,,,193000000.0,188000000.0,,196000000.0,,175000000.0,,176000000.0,130000000.0,175000000.0,,,,,,-4000000.0,45000000.0,,-1000000.0,,,14000000.0,,,,,1000000.0,130000000.0,6000000.0,,124000000.0,,124000000.0,0,,0,4.41,4.35,28100000.0,28500000.0,,2450000000.0,1710000000.0,,,348000000.0,18000000.0,1344000000.0,740000000.0,,364000000.0,,,376000000.0,1676000000.0,1035000000.0,657000000.0,,90000000.0,288000000.0,641000000.0,,,,,,,,774000000.0,99000000.0,675000000.0,,,2450000000.0,167000000.0,167000000.0,,-68000000.0,-68000000.0,,-9000000.0,-9000000.0,,-22000000.0,68000000.0,90000000.0,,141000000.0,1000000.0,140000000.0,11000000.0,,
