ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
VEEV,2025-03-24,2025,TTM,2024-02-01,2025-01-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-25-000022,2746619000.0,1827238000.0,699636000.0,,,1827238000.0,2046983000.0,,,1355548000.0,,,693078000.0,662470000.0,691435000.0,,,714138000.0,919381000.0,,,,,,,205243000.0,317516000.0,-112273000.0,,,,,,,,,714138000.0,0,,714138000.0,,714138000.0,0,,0,4.41,4.32,161879000.0,165232000.0,,7339756000.0,6308802000.0,,,,,,1030954000.0,,55912000.0,,,975042000.0,1507383000.0,1398404000.0,30447000.0,,39429000.0,1328528000.0,108979000.0,,,,,,,,5832373000.0,0,5832373000.0,,,7339756000.0,1090051000.0,1090051000.0,,-700138000.0,-700138000.0,,26115000.0,26115000.0,,-1735000.0,414293000.0,416028000.0,,716359000.0,0,716359000.0,716359000.0,,2221000.0
VEEV,2025-03-24,2025,FY,2024-02-01,2025-01-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-25-000022,2746619000.0,1827238000.0,699636000.0,,,1827238000.0,2046983000.0,,,1355548000.0,,,693078000.0,662470000.0,691435000.0,,,714138000.0,919381000.0,,,,,,,205243000.0,317516000.0,-112273000.0,,,,,,,,,714138000.0,0,,714138000.0,,714138000.0,0,,0,4.41,4.32,161879000.0,165232000.0,,7339756000.0,6308802000.0,,,,,,1030954000.0,,55912000.0,,,975042000.0,1507383000.0,1398404000.0,30447000.0,,39429000.0,1328528000.0,108979000.0,,,,,,,,5832373000.0,0,5832373000.0,,,7339756000.0,1090051000.0,1090051000.0,,-700138000.0,-700138000.0,,26115000.0,26115000.0,,-1735000.0,414293000.0,416028000.0,,716359000.0,0,716359000.0,716359000.0,,2221000.0
VEEV,2024-12-09,2025,Q3,2024-08-01,2024-10-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-24-000075,699207000.0,456917000.0,174389000.0,,,456917000.0,524818000.0,,,343465000.0,,,172411000.0,171054000.0,181353000.0,,,185808000.0,242290000.0,,,,,,,56482000.0,,-31430000.0,,,,,,,,,185808000.0,0,,185808000.0,,185808000.0,0,,0,1.15,1.13,161987000.0,164979000.0,,6452853000.0,5447160000.0,,,,,,1005693000.0,,55695000.0,,,949998000.0,951450000.0,857001000.0,31845000.0,,34634000.0,790522000.0,94449000.0,,,,,,,,5501403000.0,0,5501403000.0,,,6452853000.0,164117000.0,164117000.0,,-298226000.0,-298226000.0,,12960000.0,12960000.0,,-94000.0,-121243000.0,-121149000.0,,184924000.0,0,184924000.0,184924000.0,,-884000.0
VEEV,2024-09-04,2025,Q2,2024-05-01,2024-07-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-24-000062,676181000.0,451121000.0,170372000.0,,,451121000.0,505809000.0,,,339322000.0,,,176429000.0,162893000.0,166487000.0,,,171041000.0,225060000.0,,,,,,,54019000.0,,-33262000.0,,,,,,,,,171041000.0,0,,171041000.0,,171041000.0,0,,0,1.06,1.04,161708000.0,164564000.0,,6330837000.0,5367843000.0,,,,,,962994000.0,,56685000.0,,,906309000.0,1146139000.0,1070438000.0,28307000.0,,37151000.0,1004980000.0,0.0,,,,,,,,5184698000.0,0,5184698000.0,,,6330837000.0,92874000.0,92874000.0,,-113842000.0,-113842000.0,,-11484000.0,-11484000.0,,5000.0,-32447000.0,-32452000.0,,196112000.0,0,196112000.0,196112000.0,,25071000.0
VEEV,2024-06-04,2025,Q1,2024-02-01,2024-04-30,https://api.polygon.io/v1/reference/sec/filings/0001393052-24-000024,650345000.0,443444000.0,173884000.0,,,443444000.0,476461000.0,,,321289000.0,,,162711000.0,158578000.0,155172000.0,,,161664000.0,206901000.0,,,,,,,45237000.0,,-26539000.0,,,,,,,,,161664000.0,0,,161664000.0,,161664000.0,0,,0,1.0,0.98,161421000.0,164394000.0,,6187558000.0,5244948000.0,,,,,,942610000.0,,58042000.0,,,884568000.0,1298177000.0,1223286000.0,31930000.0,,38755000.0,1152601000.0,0.0,,,,,,,,4889381000.0,0,4889381000.0,,,6187558000.0,763516000.0,763516000.0,,-272378000.0,-272378000.0,,3828000.0,3828000.0,,-1257000.0,493709000.0,494966000.0,,141655000.0,0,141655000.0,141655000.0,,-20009000.0
VEEV,2024-03-25,2024,FY,2023-02-01,2024-01-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-24-000013,2363673000.0,1775650000.0,677291000.0,,,1775650000.0,1686382000.0,,,1257048000.0,,,629031000.0,628017000.0,429334000.0,,,525705000.0,588023000.0,,,,,,,62318000.0,167692000.0,-105374000.0,,,,,,,,,525705000.0,0,,525705000.0,,525705000.0,0,,0,3.27,3.22,160532000.0,163486000.0,,5910920000.0,5003211000.0,,,,,,907709000.0,,58532000.0,,,849177000.0,1266096000.0,1178883000.0,31513000.0,,43433000.0,1103937000.0,87213000.0,,,,,,,,4644824000.0,0,4644824000.0,,,5910920000.0,911339000.0,911339000.0,,-1076351000.0,-1076351000.0,,-16188000.0,-16188000.0,,-1780000.0,-182980000.0,-181200000.0,,546197000.0,0,546197000.0,546197000.0,,20492000.0
VEEV,2023-12-07,2024,Q3,2023-08-01,2023-10-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-23-000066,616505000.0,445829000.0,167682000.0,,,445829000.0,448823000.0,,,320334000.0,,,161278000.0,159056000.0,128489000.0,,,135158000.0,170676000.0,,,,,,,35518000.0,,-33405000.0,,,,,,,,,135158000.0,0,,135158000.0,,135158000.0,0,,0,0.84,0.83,160768000.0,163761000.0,,5225772000.0,4335758000.0,,,,,,890014000.0,,57597000.0,,,832417000.0,845999000.0,768250000.0,36236000.0,,38430000.0,693584000.0,77749000.0,,,,,,,,4379773000.0,0,4379773000.0,,,5225772000.0,82598000.0,82598000.0,,-73324000.0,-73324000.0,,-6889000.0,-6889000.0,,-1282000.0,1103000.0,2385000.0,,132003000.0,0,132003000.0,132003000.0,,-3155000.0
VEEV,2023-09-01,2024,Q2,2023-05-01,2023-07-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-23-000051,590225000.0,447350000.0,169018000.0,,,447350000.0,421207000.0,,,317158000.0,,,157228000.0,159930000.0,104049000.0,,,111628000.0,142875000.0,,,,,,,31247000.0,,-25213000.0,,,,,,,,,111628000.0,0,,111628000.0,,111628000.0,0,,0,0.7,0.68,160396000.0,163284000.0,,5228143000.0,4361753000.0,,,,,,866390000.0,,56937000.0,,,809453000.0,1075500000.0,1001954000.0,49932000.0,,48296000.0,903726000.0,0.0,,,,,,,,4152643000.0,0,4152643000.0,,,5228143000.0,265036000.0,265036000.0,,-618930000.0,-618930000.0,,2577000.0,2577000.0,,290000.0,-351027000.0,-351317000.0,,103004000.0,0,103004000.0,-8624000.0,,
VEEV,2023-06-02,2024,Q1,2023-02-01,2023-04-30,https://api.polygon.io/v1/reference/sec/filings/0001393052-23-000034,526325000.0,434547000.0,166663000.0,,,434547000.0,359662000.0,,,298132000.0,,,146960000.0,151172000.0,61530000.0,,,131521000.0,91778000.0,,,,,,,-39743000.0,,-21514000.0,,,,,,,,,131521000.0,0,,131521000.0,,131521000.0,0,,0,0.82,0.81,159852000.0,162521000.0,,5023370000.0,4188134000.0,,,,,,835236000.0,,50059000.0,,,785177000.0,1080307000.0,1006302000.0,44404000.0,,44358000.0,917540000.0,0.0,,,,,,,,3943063000.0,0,3943063000.0,,,5023370000.0,505936000.0,505936000.0,,-297394000.0,-297394000.0,,-1392000.0,-1392000.0,,19000.0,207169000.0,207150000.0,,136891000.0,0,136891000.0,5370000.0,,
VEEV,2023-03-30,2023,FY,2022-02-01,2023-01-31,https://api.polygon.io/v1/reference/sec/filings/0001393052-23-000025,2155060000.0,1645964000.0,609405000.0,,,1645964000.0,1545655000.0,,,1086564000.0,,,520278000.0,566286000.0,459091000.0,,,487706000.0,509096000.0,,,,,,,21390000.0,148892000.0,-127502000.0,,,,,,,,,487706000.0,0,,487706000.0,,487706000.0,0,,0,3.14,3.0,155385000.0,162437000.0,,4804296000.0,3969313000.0,,,,,,834983000.0,,49817000.0,,,785166000.0,1088044000.0,1006803000.0,41678000.0,,44282000.0,920843000.0,81241000.0,,,,,,,,3716252000.0,0,3716252000.0,,,4804296000.0,780470000.0,780470000.0,,-1007683000.0,-1007683000.0,,-19376000.0,-19376000.0,,-4986000.0,-251575000.0,-246589000.0,,468535000.0,0,468535000.0,-19171000.0,,
