ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
VHC,2025-05-14,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001140361-25-018930,0.0,,,,,,,,,4047000.0,2788000.0,,1259000.0,,-4047000.0,,,-3679000.0,-3677000.0,,,,,,,2000.0,,,,,,,,,,,-3679000.0,0,,-3679000.0,,-3679000.0,0,,0,-1.01,-1.01,3627000.0,3627000.0,,45111000.0,34575000.0,,,,,,10536000.0,,62000,,,10474000.0,8748000.0,1951000.0,,,327000.0,1624000.0,6797000.0,,,,,,,,36363000.0,0,36363000.0,,,45111000.0,-3894000.0,-3894000.0,,3820000.0,3820000.0,,74000.0,74000.0,,,0.0,0.0,,-3691000.0,0,-3691000.0,-3691000.0,,-12000
VHC,2025-03-17,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001140361-25-009024,5000.0,18177000.0,,,,18177000.0,,,,20402000.0,14364000.0,,6038000.0,,-20397000.0,,,-18175000.0,-18172000.0,,,,,,,3000.0,3000.0,0.0,,,,,,,,,-18175000.0,0,,-18175000.0,,-18175000.0,0,,0,-5.05,-5.05,3596.0,3596.0,0.0,49609000.0,38204000.0,,,,,,11405000.0,,67000,,,11338000.0,9986000.0,7195000.0,,,257000.0,6938000.0,2791000.0,,,,,,,,39623000.0,0,39623000.0,,,49609000.0,-15327000.0,-15327000.0,,12463000.0,12463000.0,,-129000.0,-129000.0,,,-2993000.0,-2993000.0,,-18163000.0,0,-18163000.0,-18163000.0,,12000
VHC,2024-11-13,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001140361-24-046446,2000.0,3841000.0,,,,3841000.0,,,,4389000.0,3213000.0,,1176000.0,,-4387000.0,,,-3839000.0,-3839000.0,,,,,,,0.0,,,,,,,,,,,-3839000.0,0,,-3839000.0,,-3839000.0,0,,0,-1.07,-1.07,3603000.0,3603000.0,0.0,55587000.0,44020000.0,,,,,,11567000.0,,62000,,,11505000.0,10094000.0,7135000.0,,,384000.0,6751000.0,2959000.0,,,,,,,,45493000.0,0,45493000.0,,,55587000.0,-3221000.0,-3221000.0,,2072000.0,2072000.0,,-6000.0,-6000.0,,,-1155000.0,-1155000.0,,-3767000.0,0,-3767000.0,-3767000.0,,72000
VHC,2024-08-14,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001140361-24-037312,1000.0,3828000.0,,,,3828000.0,,,,4416000.0,3193000.0,,1223000.0,,-4415000.0,,,-3830000.0,-3827000.0,,,,,,,3000.0,,,,,,,,,,,-3830000.0,0,,-3830000.0,,-3830000.0,0,,0,-1.07,-1.07,3593000.0,3593000.0,0.0,58948000.0,47208000.0,,,,,,11740000.0,,68000,,,11672000.0,10139000.0,7007000.0,,,353000.0,6654000.0,0.0,,,,,,,,48809000.0,0,48809000.0,,,58948000.0,-3080000.0,-3080000.0,,1772000.0,1772000.0,,0.0,0.0,,,-1308000.0,-1308000.0,,-3835000.0,0,-3835000.0,-3835000.0,,-5000
VHC,2024-05-15,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001140361-24-026230,2000.0,4293000.0,,,,4293000.0,,,,4928000.0,3660000.0,,1268000.0,,-4926000.0,,,-4291000.0,-4291000.0,,,,,,,0.0,,,,,,,,,,,-4291000.0,0,,-4291000.0,,-4291000.0,0,,0,-1.19,-1.19,3616000.0,3616000.0,0.0,62275000.0,50372000.0,,,,,,11903000.0,,62000,,,11841000.0,10091000.0,7029000.0,,,324000.0,6705000.0,0.0,,,,,,,,52184000.0,0,52184000.0,,,62275000.0,-3516000.0,-3516000.0,,4823000.0,4823000.0,,-3000.0,-3000.0,,,1304000.0,1304000.0,,-4314000.0,0,-4314000.0,-4314000.0,,-23000
VHC,2024-03-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001140361-24-013522,7000.0,27957000.0,,,,27957000.0,,,,31452000.0,21739000.0,,9713000.0,,-31445000.0,,,-27871000.0,-27950000.0,,,,,,,-79000.0,2000.0,-81000.0,,,,,,,,,-27871000.0,0,,-27871000.0,,-27871000.0,0,,0,-7.79,-7.79,3579.0,3579.0,20.0,60412000.0,53831000.0,,,,,,6581000.0,,67000,,,6514000.0,4399000.0,1254000.0,,,316000.0,938000.0,3145000.0,,,,,,,,56013000.0,0,56013000.0,,,60412000.0,-24773000.0,-24773000.0,,35941000.0,35941000.0,,-71440000.0,-71440000.0,,,-60272000.0,-60272000.0,,-27569000.0,0,-27569000.0,-27569000.0,,302000
VHC,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-052446,3000.0,4922000.0,,,,4922000.0,,,,5638000.0,4420000.0,,1218000.0,,-5635000.0,,,-4918000.0,-4919000.0,,,,,,,-1000.0,,,,,,,,,,,-4918000.0,0,,-4918000.0,,-4918000.0,0,,0,-1.36,-1.36,3612000.0,3612000.0,0.0,63913000.0,61469000.0,,,,,,2444000.0,,6000,,,2438000.0,1601000.0,1601000.0,,,410000.0,1191000.0,0.0,,,,,,,,62312000.0,0,62312000.0,,,63913000.0,-3291000.0,-3291000.0,,5172000.0,5172000.0,,-6000.0,-6000.0,,,1875000.0,1875000.0,,-4822000.0,0,-4822000.0,-4822000.0,,96000
VHC,2023-08-11,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-039281,2000.0,11381000.0,,,,11381000.0,,,,12121000.0,7366000.0,,4755000.0,,-12119000.0,,,-11379000.0,-11379000.0,,,,,,,0.0,,,,,,,,,,,-11379000.0,0,,-11379000.0,,-11379000.0,0,,0,-0.16,-0.16,71466000.0,71466000.0,0.0,67247000.0,66713000.0,,,,,,534000.0,,8000,,,526000.0,813000.0,813000.0,,,392000.0,421000.0,0.0,,,,,,,,66434000.0,0,66434000.0,,,67247000.0,-11755000.0,-11755000.0,,12109000.0,12109000.0,,-60945000.0,-60945000.0,,,-60591000.0,-60591000.0,,-11379000.0,0,-11379000.0,-11379000.0,,0
VHC,2023-05-15,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-024691,2000.0,4547000.0,,,,4547000.0,,,,5916000.0,4548000.0,,1368000.0,,-5914000.0,,,-4467000.0,-4545000.0,,,,,,,-78000.0,,,,,,,,,,,-4467000.0,0,,-4467000.0,,-4467000.0,0,,0,-0.06,-0.06,71425000.0,71425000.0,1.0,150659000.0,150035000.0,,,,,,624000.0,,10000,,,614000.0,73523000.0,73523000.0,,,365000.0,73158000.0,0.0,,,,,,,,77136000.0,0,77136000.0,,,150659000.0,-2711000.0,-2711000.0,,13200000.0,13200000.0,,-10489000.0,-10489000.0,,,0.0,0.0,,-4361000.0,0,-4361000.0,-4361000.0,,106000
VHC,2023-03-31,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-015369,48000.0,20276000.0,,,,20276000.0,,,,22124000.0,15722000.0,,6406000.0,,-22076000.0,,,-36260000.0,-20228000.0,,,,,,,16032000.0,3000.0,16029000.0,,,,,,,,,-36260000.0,0,,-36260000.0,,-36260000.0,0,,0,-0.51,-0.51,71335046.0,71335046.0,0.0,152975000.0,152261000.0,,,,,,714000.0,,11000,,,703000.0,731000.0,731000.0,,,311000.0,420000.0,0.0,,,,,,,,152244000.0,0,152244000.0,,,152975000.0,-16893000.0,-16893000.0,,-38535000.0,-38535000.0,,-29000.0,-29000.0,,,-55457000.0,-55457000.0,,-36506000.0,0,-36506000.0,-36506000.0,,-246000
