ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
VITL,2025-05-08,2025,Q1,2024-12-30,2025-03-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-066392,162189000.0,139847000.0,99676000.0,,,139847000.0,62513000.0,,573000.0,40744000.0,31909000.0,3259000.0,,5576000.0,21769000.0,,,16901000.0,22342000.0,,,,,,,5441000.0,,240000.0,,,,,,,,,16901000.0,0,,16901000.0,,16901000.0,0,,0,0.38,0.37,44250685.0,45804924.0,,376889000.0,259833000.0,,,34525000.0,,225308000.0,117056000.0,,81452000.0,,,35604000.0,87984000.0,77512000.0,38756000.0,,6192000.0,32564000.0,10472000.0,,,,,,,,288905000.0,0,288905000.0,,,376889000.0,5274000.0,5274000.0,,1600000.0,1600000.0,,-1170000.0,-1170000.0,,,5704000.0,5704000.0,,16917000.0,0,16917000.0,16000.0,,
VITL,2025-02-27,2024,FY,2024-01-01,2024-12-29,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-028365,606307000.0,538769000.0,376381000.0,,,538769000.0,229926000.0,,3986000.0,166374000.0,133939000.0,13093000.0,,19342000.0,63552000.0,,,53388000.0,67538000.0,,,,,,,14150000.0,,-1864000.0,,,,,,,,,53388000.0,0,,53388000.0,,53388000.0,0,,0,1.25,1.18,42849660.0,45127128.0,,359332000.0,246041000.0,,,23666000.0,,222375000.0,113291000.0,,84521000.0,,,28770000.0,90030000.0,78529000.0,38582000.0,,15074000.0,24873000.0,11501000.0,,,,,,,,269302000.0,0,269302000.0,,,359332000.0,64824000.0,64824000.0,,-7026000.0,-7026000.0,,8654000.0,8654000.0,,,66452000.0,66452000.0,,53768000.0,0,53768000.0,380000.0,,
VITL,2024-11-07,2024,Q3,2024-07-01,2024-09-29,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-122803,145002000.0,134620000.0,91526000.0,,,134620000.0,53476000.0,,1142000.0,44236000.0,36102000.0,,,8134000.0,9240000.0,,,7446000.0,10382000.0,,,,,,,2936000.0,,-267000.0,,,,,,,,,7446000.0,0,,7446000.0,,7446000.0,0,,0,0.17,0.16,43249234.0,45463862.0,,344668000.0,251594000.0,,,33392000.0,,218202000.0,93074000.0,,69269000.0,,,23805000.0,91308000.0,77745000.0,35883000.0,,15349000.0,26513000.0,13563000.0,,,,,,,,253360000.0,0,253360000.0,,,344668000.0,9961000.0,9961000.0,,2602000.0,2602000.0,,3798000.0,3798000.0,,,16361000.0,16361000.0,,7550000.0,0,7550000.0,104000.0,,
VITL,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-093329,147388000.0,129277000.0,89710000.0,,,129277000.0,57678000.0,,972000.0,40539000.0,33336000.0,,,7203000.0,17139000.0,,,16339000.0,18111000.0,,,,,,,1772000.0,,0.0,,,257000.0,,,,,,16339000.0,0,,16339000.0,,16339000.0,0,,0,0.38,0.36,42500355.0,45248792.0,,320489000.0,234210000.0,,,31448000.0,2568000.0,200194000.0,86279000.0,,68327000.0,,,17952000.0,82068000.0,66991000.0,33358000.0,,8725000.0,24908000.0,0.0,,,,,,,,238421000.0,0,238421000.0,,,320489000.0,16133000.0,16133000.0,,-1274000.0,-1274000.0,,4494000.0,4494000.0,,,19353000.0,19353000.0,,16440000.0,0,16440000.0,101000.0,,
VITL,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-056285,147929000.0,123204000.0,89032000.0,,,123204000.0,58897000.0,,556000.0,34728000.0,27132000.0,,,7596000.0,24169000.0,,,19023000.0,24725000.0,,,,,,,5702000.0,,0.0,,,255000.0,,,,,,19023000.0,0,,19023000.0,,19023000.0,0,,0,0.46,0.43,41792527.0,43845952.0,,300158000.0,218170000.0,,,30813000.0,,187357000.0,81988000.0,,66231000.0,,,15757000.0,86854000.0,70368000.0,33119000.0,,4788000.0,32461000.0,0.0,,,,,,,,213304000.0,0,213304000.0,,,300158000.0,23949000.0,23949000.0,,7027000.0,7027000.0,,-1305000.0,-1305000.0,,,29671000.0,29671000.0,,19131000.0,0,19131000.0,108000.0,,
VITL,2024-03-07,2023,FY,2022-12-26,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-027602,471857000.0,439656000.0,309531000.0,,,439656000.0,162326000.0,,-1053000.0,129072000.0,101728000.0,,,27344000.0,33254000.0,,,25566000.0,32201000.0,,,,,,,6635000.0,,-179000.0,,,782000.0,,,,,,25566000.0,0,,25566000.0,,25566000.0,0,,0,0.62,0.59,41192544.0,43312836.0,,275178000.0,195524000.0,,,32895000.0,,162629000.0,79654000.0,,66839000.0,,,12815000.0,82501000.0,65221000.0,33485000.0,,9131000.0,22605000.0,17280000.0,,,,,,,,192677000.0,0,192677000.0,,,275178000.0,50906000.0,50906000.0,,22383000.0,22383000.0,,-2054000.0,-2054000.0,,,71235000.0,71235000.0,,26736000.0,0,26736000.0,1170000.0,,
VITL,2023-11-02,2023,Q3,2023-06-26,2023-09-24,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-057826,110429000.0,105373000.0,73764000.0,,,105373000.0,36665000.0,,-173000.0,31436000.0,25081000.0,,,6355000.0,5229000.0,,,4523000.0,5056000.0,,,,,,,533000.0,,315000.0,,,238000.0,,,,,,4523000.0,0,,4523000.0,,4523000.0,0,,0,0.11,0.1,41375008.0,43135579.0,,250039000.0,176764000.0,,,38271000.0,,138493000.0,73275000.0,,67859000.0,,,5416000.0,67164000.0,52958000.0,21970000.0,,7473000.0,23515000.0,14206000.0,,,,,,,,182875000.0,0,182875000.0,,,250039000.0,8266000.0,8266000.0,,1335000.0,1335000.0,,-464000.0,-464000.0,,,9137000.0,9137000.0,,4762000.0,0,4762000.0,239000.0,,
VITL,2023-08-03,2023,Q2,2023-03-27,2023-06-25,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-037588,106445000.0,98533000.0,68645000.0,,,98533000.0,37800000.0,,-127000.0,29761000.0,23908000.0,,,5853000.0,8039000.0,,,6683000.0,7912000.0,,,,,,,1229000.0,,322000.0,,,136000.0,,,,,,6683000.0,0,,6683000.0,,6683000.0,0,,0,0.16,0.15,40948365.0,43292261.0,,236322000.0,171878000.0,,,42105000.0,,129773000.0,64444000.0,,59340000.0,,,5104000.0,60278000.0,51704000.0,21840000.0,,6108000.0,23756000.0,0.0,,,0.0,,,,,176044000.0,0,176044000.0,,,236322000.0,13508000.0,13508000.0,,8493000.0,8493000.0,,-166000.0,-166000.0,,,21835000.0,21835000.0,,6845000.0,0,6845000.0,162000.0,,
VITL,2023-05-04,2023,Q1,2022-12-26,2023-03-26,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-017666,119172000.0,109500000.0,76504000.0,,,109500000.0,42668000.0,,-1224000.0,31772000.0,23946000.0,,,7826000.0,10896000.0,,,7150000.0,9672000.0,,,,,,,2522000.0,,445000.0,,,139000.0,,,,,,7150000.0,0,,7150000.0,,7150000.0,0,,0,0.18,0.16,40764546.0,43398336.0,,226779000.0,162554000.0,,,33942000.0,,128612000.0,64225000.0,,58772000.0,,,5453000.0,59249000.0,50520000.0,26586000.0,,3356000.0,20578000.0,0.0,,,0.0,,,,,167530000.0,0,167530000.0,,,226779000.0,5403000.0,5403000.0,,8519000.0,8519000.0,,-998000.0,-998000.0,,,12924000.0,12924000.0,,7571000.0,0,7571000.0,421000.0,,
VITL,2023-03-09,2022,FY,2021-12-27,2022-12-25,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-006950,362050000.0,359219000.0,252606000.0,,,359219000.0,109444000.0,,727000.0,107340000.0,77236000.0,,,30104000.0,2104000.0,,,1230000.0,2831000.0,,,,,,,1601000.0,,632000.0,,,114000.0,,,,,,1230000.0,-21000,,1251000.0,,1251000.0,0,,0,0.03,0.03,40648592.0,43469586.0,,214666000.0,149614000.0,,,26849000.0,,122765000.0,65052000.0,,59155000.0,,,5897000.0,56334000.0,47652000.0,25972000.0,,7453000.0,14227000.0,8682000.0,,,0.0,,,,,158332000.0,0,158332000.0,,,214666000.0,-8098000.0,-8098000.0,,-10037000.0,-10037000.0,,83000.0,83000.0,,,-18052000.0,-18052000.0,,-36000.0,0,-36000.0,-1266000.0,,
