ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
VIVK,2025-04-15,2024,TTM,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001829126-25-002687,89811240.0,116035296.0,79592036.0,,,116035296.0,10219204.0,,-4228763.0,32214497.0,,11360425.0,,20854072.0,-21995293.0,,,-22189820.0,-26224056.0,,,,,,,126869.0,60810.0,,,,,,,,,,-26350925.0,-4161105.0,,-26350925.0,,-23043020.0,-3307905.0,,-3307905.0,-0.76,-0.76,30456974.0,30456974.0,,241040684.0,11974500.0,,4462094.0,205529,1204790.0,6102087.0,229066184.0,,100039371.0,,,129026813.0,125922040.0,113503223.0,27714220.0,,1249099.0,84539904.0,12418817.0,,,,,,,,115118644.0,-4119284.0,119237928.0,,,241040684.0,1810827.0,1810827.0,,302188.0,302188.0,,819670.0,819670.0,,,2932685.0,2932685.0,,-26350925.0,0,-26350925.0,0,,
VIVK,2025-04-15,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001829126-25-002687,89811240.0,116035296.0,79592036.0,,,116035296.0,10219204.0,,-4228763.0,32214497.0,,11360425.0,,20854072.0,-21995293.0,,,-22189820.0,-26224056.0,,,,,,,126869.0,60810.0,,,,,,,,,,-26350925.0,-4161105.0,,-26350925.0,,-23043020.0,-3307905.0,,-3307905.0,-0.76,-0.76,30456974.0,30456974.0,,241040684.0,11974500.0,,4462094.0,205529,1204790.0,6102087.0,229066184.0,,100039371.0,,,129026813.0,125922040.0,113503223.0,27714220.0,,1249099.0,84539904.0,12418817.0,,,,,,,,115118644.0,-4119284.0,119237928.0,,,241040684.0,1810827.0,1810827.0,,302188.0,302188.0,,819670.0,819670.0,,,2932685.0,2932685.0,,-26350925.0,0,-26350925.0,0,,
VIVK,2024-11-19,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001829126-24-007695,15916423.0,17656620.0,14190073.0,,,17656620.0,1726350.0,,218440.0,3684987.0,,1064943.0,,2620044.0,-1958367.0,,,-1740197.0,-1740197.0,,,,,,,,,,,,641244.0,,,,,,-1740197.0,-52045.0,,-1688152.0,,-1688152.0,0.0,,0.0,-0.06,-0.06,30625756.0,30625756.0,,72543710.0,4661082.0,,,184882,81484.0,4394716.0,67882628.0,,28348642.0,,,39533986.0,55804135.0,47130154.0,8070842.0,,,39059312.0,8673981.0,,,,,,,,16739575.0,-58772.0,16798347.0,,,72543710.0,990673.0,990673.0,,-186100.0,-186100.0,,-212371.0,-212371.0,,,592202.0,592202.0,,-1740197.0,0,-1740197.0,0,,
VIVK,2024-08-16,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001829126-24-005612,16181122.0,19481177.0,15070308.0,,,19481177.0,1110814.0,,-447641.0,3963228.0,,988420.0,,2974808.0,-2852414.0,,,-3300055.0,-3300055.0,,,,,,,,,,,,479947.0,,,,,,-3333238.0,-20240.0,,-3312998.0,,-3312998.0,0.0,,0.0,-0.12,-0.12,27987899.0,,,73679687.0,5753649.0,,,75167,180385.0,5498097.0,67926038.0,,27641821.0,,,40284217.0,58646122.0,43720499.0,6702091.0,,,37018408.0,0.0,,,,,,,,15033565.0,-6727.0,15040292.0,,,73679687.0,1004365.0,1004365.0,,-1147913.0,-1147913.0,,-528755.0,-528755.0,,,-672303.0,-672303.0,,-3333238.0,0,-3333238.0,0,,
VIVK,2024-05-20,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001829126-24-003562,16021391.0,17931134.0,14953254.0,,,17931134.0,1068137.0,,-292821.0,2685059.0,,1009053.0,,1676006.0,-1616922.0,,,-1910543.0,-1909743.0,,,,,,,800.0,,,,,444040.0,,,,,,-1910543.0,-28308.0,,-1882235.0,,-1910543.0,28308.0,,28308.0,-0.07,-0.07,26391937.0,,,74433685.0,6822743.0,,,57780,166269.0,6598694.0,67610942.0,,26555136.0,,,41055806.0,58493754.0,43771427.0,5442670.0,,,38328757.0,0.0,,,,,,,,15939931.0,13513.0,15926418.0,,,74433685.0,-1829679.0,-1829679.0,,-1028885.0,-1028885.0,,2881530.0,2881530.0,,,22966.0,22966.0,,-1910543.0,0,-1910543.0,0,,
VIVK,2024-04-17,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001829126-24-002582,59321752.0,70064324.0,54300788.0,,,70064324.0,5020964.0,,-4410912.0,11352624.0,,3932744.0,,7419880.0,-6331660.0,,,-10738625.0,-10742572.0,,,,,,,92703.0,4380.0,,,,,,,,,,-10931925.0,-96650.0,,-10835275.0,,-10835275.0,0.0,,0.0,,,,,,71235743.0,5110642.0,,152083.0,44632,74876.0,4839051.0,66125101.0,,24299317.0,,,41825784.0,53998554.0,39984466.0,5226071.0,,1968063.0,32790332.0,14014088.0,,,,,,,,17237189.0,41821.0,17195368.0,,,71235743.0,-764902.0,-764902.0,,-3712839.0,-3712839.0,,2039255.0,2039255.0,,,-2438486.0,-2438486.0,,-10931925.0,0,-10931925.0,0,,
VIVK,2023-11-20,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001829126-23-007602,16313406.0,18965297.0,14766494.0,,,18965297.0,1546912.0,,-1906777.0,2292026.0,,817058.0,,1474968.0,-745114.0,,,-2651891.0,-2651891.0,,,,,,,,,,,,516357.0,,,,,,-2651891.0,-134517.0,,-2517374.0,,-2517374.0,0.0,,0.0,-0.14,-0.14,18120344.0,,,76115250.0,7046478.0,,,63680,67345.0,6915453.0,69068772.0,,26691972.0,,,42376800.0,52212857.0,26030619.0,3749916.0,,,22280703.0,26182238.0,,,,,,,,23902393.0,9996600.0,13905793.0,,,76115250.0,458085.0,458085.0,,-1816286.0,-1816286.0,,-80673.0,-80673.0,,,-1438874.0,-1438874.0,,-2651891.0,0,-2651891.0,0,,
VIVK,2023-08-21,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001829126-23-005546,1214764.0,3136795.0,,,,2052698.0,,,-1084097.0,2052698.0,,667867.0,,1384831.0,-837934.0,,,-1922031.0,-1922031.0,,,,,,,,,,,,459079.0,,,,,,-1922031.0,-77358.0,,-1844673.0,,-1844673.0,0.0,,0.0,-0.1,-0.1,18064838.0,,,76917961.0,8609553.0,,,49519,125714.0,8434320.0,68308408.0,,25155883.0,,,43152525.0,53399825.0,16915270.0,2625745.0,,,14289525.0,0.0,,,,,,,,23518136.0,8575445.0,14942691.0,,,76917961.0,-20655.0,-20655.0,,-1141484.0,-1141484.0,,1100191.0,1100191.0,,,-61948.0,-61948.0,,-1922031.0,0,-1922031.0,0,,
VIVK,2023-07-28,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001829126-23-004968,1513158.0,4046950.0,,,,2638030.0,,,-1691495.0,2638030.0,,784520.0,,1853510.0,-1124872.0,,,-2534592.0,-2533792.0,,,,,,,800.0,,,,,451294.0,,,,,,-2817167.0,-282575.0,,-2817167.0,,-2817167.0,0.0,,0.0,-0.14,-0.14,18064838.0,,,74725842.0,7160500.0,,,69998,90632.0,6999870.0,67565342.0,,23808236.0,,,43757106.0,50060950.0,13602257.0,2972461.0,,,10629796.0,0.0,,,,,,,,24664892.0,8345037.0,16319855.0,,,74725842.0,-1276123.0,-1276123.0,,-883819.0,-883819.0,,1677068.0,1677068.0,,,-482874.0,-482874.0,,-2817167.0,0,-2817167.0,0,,
VIVK,2023-05-25,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001829126-23-003752,28107223.0,52791535.0,25239962.0,,,52791535.0,2867261.0,,-1940357.0,25611216.0,,2953629.0,,22657587.0,-22743955.0,,,-19438422.0,-24684312.0,,,,,,,-4436691.0,800.0,,,,,,,,,,-21056820.0,-809199.0,,-20247621.0,,-19438422.0,-809199.0,,-809199.0,,,,,,76342500.0,9178254.0,,948352.0,47180,,8182722.0,67164246.0,,22578876.0,,,44585370.0,49281439.0,12943493.0,5022302.0,,1302890.0,6618301.0,36337946.0,,,,,,,,27061061.0,8206614.0,18854447.0,,,76342500.0,-4143296.0,-4143296.0,,-2332755.0,-2332755.0,,8165125.0,8165125.0,,,1689074.0,1689074.0,,-21056820.0,0,-21056820.0,0,,
